energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.47992542,-2.85069351,0.65321133,-0.46365362,1.87611853,-1.48670905,1.31917568,-1.06185765,0.52302222,-0.38744239,0.00169370,-0.00220887,0.50600642,-0.45137250,0.03270183,-0.02094770,0.33683371,-0.34227911
-5.99399700,3.60088825,-2.84004996,0.68000106,-0.46159669,1.92119579,-1.47361872,1.41257833,-1.08106330,0.54915278,-0.38729205,0.00154105,-0.00212832,0.53824123,-0.45667293,0.03460248,-0.02156801,0.34206976,-0.33715854
-5.98799400,3.72962123,-2.83547716,0.70841575,-0.46190786,1.96825351,-1.46515101,1.51355707,-1.10220206,0.57704650,-0.38716612,0.00140253,-0.00204328,0.57298473,-0.46205995,0.03661389,-0.02225334,0.34755753,-0.33278941
-5.98199100,3.86436765,-2.83761122,0.73801423,-0.46482574,2.01655815,-1.46153009,1.62106439,-1.12568132,0.60634587,-0.38713626,0.00127854,-0.00195445,0.60985493,-0.46767118,0.03871264,-0.02301969,0.35318017,-0.32922246
-5.97598799,4.00310555,-2.84709140,0.76829955,-0.47056574,2.06529645,-1.46295045,1.73381633,-1.15192900,0.63663675,-0.38729093,0.00116917,-0.00186275,0.64839061,-0.47366166,0.04087126,-0.02388273,0.35881246,-0.32651128
-5.96998499,4.14356871,-2.86452584,0.79872776,-0.47930935,2.11358120,-1.46956134,1.85030405,-1.18137343,0.66745389,-0.38773303,0.00107422,-0.00176923,0.68805630,-0.48019878,0.04305885,-0.02485700,0.36432198,-0.32470741
-5.96398199,4.28327936,-2.89045455,0.82871889,-0.49119337,2.16046144,-1.48145061,1.96881417,-1.21442120,0.69828862,-0.38857669,0.00099324,-0.00167506,0.72825017,-0.48745646,0.04524167,-0.02595519,0.36957072,-0.32385503
-5.95797899,4.41959261,-2.92531150,0.85766996,-0.50629950,2.20493755,-1.49862883,2.08745825,-1.25143414,0.72859867,-0.38994346,0.00092554,-0.00158149,0.76831485,-0.49560850,0.04738401,-0.02718728,0.37441742,-0.32398569
-5.95197599,4.54975228,-2.96938764,0.88496973,-0.52464498,2.24598097,-1.52101462,2.20421083,-1.29270647,0.75781990,-0.39195802,0.00087028,-0.00148981,0.80755109,-0.50482164,0.04944906,-0.02855987,0.37872057,-0.32511338
-5.94597299,4.67095679,-3.02279698,0.91001463,-0.54617455,2.28255835,-1.54842206,2.31695573,-1.33844303,0.78537978,-0.39474358,0.00082647,-0.00140132,0.84523397,-0.51524842,0.05139990,-0.03007547,0.38234193,-0.32723016
