energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-5.75387694,2.43845377,0.01056506,0.00000000,0.01053265,0.10733860,0.99668153,0.84372831,0.00370785,1.44395022
-5.74787394,2.58983662,0.01120363,0.00000000,0.01118900,0.11238452,1.05680880,0.90028465,0.00378988,1.53517186
-5.74187094,2.73631127,0.01183401,0.00000000,0.01182308,0.11703999,1.11458179,0.95546242,0.00387269,1.62375819
-5.73586793,2.87598070,0.01244904,0.00000000,0.01242773,0.12123623,1.16934199,1.00852794,0.00395312,1.70859485
-5.72986493,3.00704687,0.01304194,0.00000000,0.01299608,0.12491415,1.22048163,1.05876856,0.00402850,1.78862130
-5.72386193,3.12785662,0.01360646,0.00000000,0.01352177,0.12802599,1.26745903,1.10551117,0.00409665,1.86285736
-5.71785893,3.23694389,0.01413696,0.00000000,0.01399911,0.13053676,1.30981195,1.14813989,0.00415594,1.93042781
-5.71185593,3.33306685,0.01462855,0.00000000,0.01442319,0.13242512,1.34716844,1.18611246,0.00420531,1.99058395
-5.70585293,3.41523847,0.01507716,0.00000000,0.01479012,0.13368393,1.37925475,1.21897456,0.00424424,2.04272158
-5.69984992,3.48274946,0.01547959,0.00000000,0.01509708,0.13432037,1.40590024,1.24637160,0.00427275,2.08639462
-5.69384692,3.53518294,0.01583357,0.00000000,0.01534250,0.13435554,1.42703897,1.26805742,0.00429137,2.12132392
-5.68784392,3.57242036,0.01613775,0.00000000,0.01552614,0.13382376,1.44270820,1.28389976,0.00430106,2.14740112
-5.68184092,3.59463861,0.01639172,0.00000000,0.01564914,0.13277147,1.45304388,1.29388217,0.00430319,2.16468750
-5.67583792,3.60229878,0.01659594,0.00000000,0.01571407,0.13125583,1.45827351,1.29810249,0.00429949,2.17340792
-5.66983492,3.59612715,0.01675175,0.00000000,0.01572496,0.12934308,1.45870665,1.29676787,0.00429193,2.17394031
-5.66383192,3.57708926,0.01686125,0.00000000,0.01568725,0.12710681,1.45472363,1.29018686,0.00428268,2.16680120
-5.65782891,3.54635842,0.01692724,0.00000000,0.01560776,0.12462600,1.44676290,1.27875874,0.00427404,2.15262791
-5.65182591,3.50527980,0.01695314,0.00000000,0.01549458,0.12198316,1.43530757,1.26296074,0.00426838,2.13215822
-5.64582291,3.45533160,0.01694282,0.00000000,0.01535695,0.11926246,1.42087148,1.24333365,0.00426802,2.10620819
-5.63981991,3.39808470,0.01690054,0.00000000,0.01520510,0.11654786,1.40398540,1.22046647,0.00427522,2.07564911
-5.63381691,3.33516211,0.01683079,0.00000000,0.01505009,0.11392148,1.38518374,1.19498077,0.00429206,2.04138425
-5.62781391,3.26819975,0.01673817,0.00000000,0.01490357,0.11146202,1.36499195,1.16751514,0.00432044,2.00432623
-5.62181091,3.19880939,0.01662722,0.00000000,0.01477757,0.10924342,1.34391508,1.13871060,0.00436198,1.96537567
-5.61580790,3.12854515,0.01650234,0.00000000,0.01468426,0.10733360,1.32242769,1.10919707,0.00441801,1.92540176
