energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up
-6.00000000,2.88534541,0.01757837,0.01394868,0.32113428,0.33510799,0.21459315,0.52171107,0.25824656,1.46446682
-5.99399700,2.85441211,0.01862142,0.01417703,0.32272175,0.32843900,0.21560502,0.52077095,0.25300660,1.44941958
-5.98799400,2.81530325,0.01984917,0.01450057,0.32448969,0.32025178,0.21681054,0.51910703,0.24654199,1.43021833
-5.98199100,2.77034330,0.02129633,0.01494726,0.32683813,0.31080092,0.21849765,0.51712400,0.23900934,1.40803114
-5.97598799,2.72211577,0.02299880,0.01554838,0.33020284,0.30037543,0.22098040,0.51526242,0.23058690,1.38415173
-5.96998499,2.67338303,0.02499265,0.01633791,0.33504453,0.28929028,0.22459150,0.51398303,0.22146827,1.35995880
-5.96398199,2.62700006,0.02731307,0.01735183,0.34183661,0.27787731,0.22967390,0.51375012,0.21185573,1.33687232
-5.95797899,2.58582501,0.02999319,0.01862728,0.35105185,0.26647570,0.23657157,0.51501462,0.20195349,1.31630850
-5.95197599,2.55262962,0.03306283,0.02020164,0.36314826,0.25542252,0.24561967,0.51819752,0.19196129,1.29963487
-5.94597299,2.53001263,0.03654723,0.02211141,0.37855451,0.24504347,0.25713437,0.52367410,0.18206831,1.28812695
-5.93996998,2.52031881,0.04046584,0.02439111,0.39765516,0.23564424,0.27140250,0.53175977,0.17244794,1.28292822
-5.93396698,2.52556636,0.04483109,0.02707207,0.42077638,0.22750274,0.28867145,0.54269782,0.16325331,1.28501428
-5.92796398,2.54738466,0.04964728,0.03018115,0.44817228,0.22086233,0.30913943,0.55664954,0.15461388,1.29516262
-5.92196098,2.58696450,0.05490968,0.03373955,0.48001257,0.21592635,0.33294670,0.57368708,0.14663310,1.31392876
-5.91595798,2.64502194,0.06060377,0.03776164,0.51637179,0.21285398,0.36016787,0.59378923,0.13938713,1.34162941
-5.90995498,2.72177701,0.06670479,0.04225386,0.55722083,0.21175758,0.39080580,0.61684026,0.13292466,1.37833320
-5.90395198,2.81694772,0.07317752,0.04721384,0.60242093,0.21270148,0.42478742,0.64263176,0.12726768,1.42385912
-5.89794897,2.92975963,0.07997649,0.05262974,0.65172079,0.21570235,0.46196168,0.67086755,0.12241317,1.47778268
-5.89194597,3.05897060,0.08704654,0.05847983,0.70475704,0.22073096,0.50210011,0.70117128,0.11833547,1.53944972
-5.88594297,3.20291010,0.09432370,0.06473238,0.76105828,0.22771533,0.54490004,0.73309664,0.11498928,1.60799713
-5.87993997,3.35953195,0.10173656,0.07134603,0.82005295,0.23654516,0.58999060,0.76613974,0.11231303,1.68238022
-5.87393697,3.52647886,0.10920793,0.07827036,0.88108104,0.24707734,0.63694160,0.79975329,0.11023251,1.76140561
-5.86793397,3.70115695,0.11665692,0.08544705,0.94340927,0.25914238,0.68527501,0.83336212,0.10866461,1.84376875
-5.86193097,3.88081783,0.12400119,0.09281128,1.00624975,0.27255148,0.73447884,0.86637953,0.10752090,1.92809491
-5.85592796,4.06264546,0.13115947,0.10029355,1.06878125,0.28710412,0.78402290,0.89822403,0.10671112,2.01298218
-5.84992496,4.24384504,0.13805419,0.10782176,1.13017268,0.30259568,0.83337594,0.92833582,0.10614631,2.09704503
-5.84392196,4.42173037,0.14461409,0.11532356,1.18960770,0.31882496,0.88202329,0.95619251,0.10574157,2.17895697
-5.83791896,4.59380672,0.15077673,0.12272869,1.24630963,0.33560124,0.92948438,0.98132360,0.10541833,2.25749053
-5.83191596,4.75784556,0.15649074,0.12997147,1.29956554,0.35275055,0.97532902,1.00332318,0.10510622,2.33155314
-5.82591296,4.91194829,0.16171783,0.13699308,1.34874847,0.37012089,1.01919176,1.02186045,0.10474438,2.40021736
-5.81990995,5.05459605,0.16643424,0.14374362,1.39333664,0.38758621,1.06078334,1.03668762,0.10428227,2.46274415
-5.81390695,5.18468324,0.17063180,0.15018385,1.43292886,0.40504887,1.09989855,1.04764499,0.10368008,2.51859815
-5.80790395,5.30153332,0.17431831,0.15628646,1.46725513,0.42244052,1.13641991,1.05466302,0.10290865,2.56745425
-5.80190095,5.40489584,0.17751736,0.16203679,1.49618211,0.43972129,1.17031677,1.05776118,0.10194902,2.60919503
-5.79589795,5.49492489,0.18026753,0.16743303,1.51971289,0.45687746,1.20163979,1.05704393,0.10079172,2.64389927
-5.78989495,5.57213990,0.18262099,0.17248579,1.53798131,0.47391755,1.23051090,1.05269366,0.09943569,2.67182197
-5.78389195,5.63737067,0.18464156,0.17721705,1.55124082,0.49086722,1.25710918,1.04496126,0.09788716,2.69336695
-5.77788894,5.69168958,0.18640232,0.18165869,1.55984877,0.50776306,1.28165345,1.03415442,0.09615822,2.70905336
-5.77188594,5.73633419,0.18798287,0.18585038,1.56424666,0.52464589,1.30438250,1.02062440,0.09426556,2.71947785
-5.76588294,5.77262467,0.18946633,0.18983732,1.56493763,0.54155362,1.32553399,1.00475178,0.09222899,2.72527451
-5.75987994,5.80188006,0.19093619,0.19366758,1.56246232,0.55851437,1.34532348,0.98693176,0.09007020,2.72707463
-5.75387694,5.82533804,0.19247324,0.19738944,1.55737426,0.57554002,1.36392470,0.96755979,0.08781153,2.72546851
-5.74787394,5.84408236,0.19415253,0.20104873,1.55021621,0.59262065,1.38145233,0.94701795,0.08547496,2.72097132
-5.74187094,5.85898161,0.19604062,0.20468637,1.54149858,0.60972021,1.39794857,0.92566287,0.08308119,2.71399503
-5.73586793,5.87064249,0.19819307,0.20833619,1.53168088,0.62677348,1.41337408,0.90381539,0.08064902,2.70482758
-5.72986493,5.87937970,0.20065239,0.21202312,1.52115707,0.64368470,1.42760423,0.88175255,0.07819486,2.69362057
-5.72386193,5.88520355,0.20344636,0.21576193,1.51024534,0.66032773,1.44043073,0.85970198,0.07573248,2.68038588
-5.71785893,5.88782556,0.20658686,0.21955638,1.49918257,0.67654778,1.45156877,0.83783889,0.07327296,2.66500109
-5.71185593,5.88668098,0.21006910,0.22339896,1.48812346,0.69216459,1.46066910,0.81628551,0.07082475,2.64722336
-5.70585293,5.88096644,0.21387148,0.22727121,1.47714395,0.70697695,1.46733461,0.79511296,0.06839396,2.62671053
-5.69984992,5.86969011,0.21795570,0.23114438,1.46624853,0.72076810,1.47114014,0.77434513,0.06598468,2.60304799
-5.69384692,5.85173104,0.22226756,0.23498063,1.45538060,0.73331197,1.47165465,0.75396433,0.06359938,2.57577977
-5.68784392,5.82590418,0.22673801,0.23873456,1.44443507,0.74437984,1.46846426,0.73391829,0.06123943,2.54444163
-5.68184092,5.79102735,0.23128474,0.24235496,1.43327226,0.75374716,1.46119489,0.71412797,0.05890552,2.50859436
-5.67583792,5.74598652,0.23581403,0.24578673,1.42173230,0.76120031,1.44953327,0.69449589,0.05659815,2.46785537
-5.66983492,5.68979627,0.24022312,0.24897289,1.40964893,0.76654294,1.43324516,0.67491451,0.05431797,2.42192674
-5.66383192,5.62165256,0.24440274,0.25185656,1.39686222,0.76960189,1.41218976,0.65527419,0.05206622,2.37061845
-5.65782891,5.54097574,0.24824008,0.25438282,1.38322937,0.77023241,1.38632974,0.63547064,0.04984489,2.31386565
-5.65182591,5.44744238,0.25162190,0.25650037,1.36863330,0.76832257,1.35573640,0.61541142,0.04765701,2.25173939
-5.64582291,5.34100521,0.25443789,0.25816303,1.35298871,0.76379691,1.32058984,0.59502137,0.04550673,2.18445054
-5.63981991,5.22190112,0.25658410,0.25933084,1.33624551,0.75661918,1.28117443,0.57424698,0.04339936,2.11234710
-5.63381691,5.09064775,0.25796638,0.25997094,1.31838976,0.74679418,1.23786984,0.55305949,0.04134140,2.03590538
-5.62781391,4.94802984,0.25850377,0.26005812,1.29944228,0.73436875,1.19113846,0.53145682,0.03934045,1.95571598
-5.62181091,4.79507662,0.25813159,0.25957504,1.27945537,0.71943190,1.14150988,0.50946442,0.03740512,1.87246551
-5.61580790,4.63303201,0.25680426,0.25851211,1.25850794,0.70211396,1.08956345,0.48713501,0.03554493,1.78691521
-5.60980490,4.46331938,0.25449760,0.25686723,1.23669962,0.68258503,1.03590979,0.46454740,0.03377012,1.69987785
-5.60380190,4.28750267,0.25121054,0.25464517,1.21414432,0.66105238,0.98117223,0.44180446,0.03209147,1.61219384
-5.59779890,4.10724548,0.24696607,0.25185687,1.19096361,0.63775717,0.92596900,0.41903037,0.03052018,1.52470788
-5.59179590,3.92426980,0.24181146,0.24851863,1.16728049,0.61297023,0.87089691,0.39636729,0.02906759,1.43824690
-5.58579290,3.74031556,0.23581758,0.24465116,1.14321376,0.58698711,0.81651707,0.37397151,0.02774501,1.35360021
-5.57978989,3.55710215,0.22907730,0.24027877,1.11887336,0.56012241,0.76334317,0.35200923,0.02656344,1.27150230
-5.57378689,3.37629284,0.22170314,0.23542849,1.09435682,0.53270346,0.71183244,0.33065211,0.02553335,1.19261869
-5.56778389,3.19946271,0.21382404,0.23012935,1.06974692,0.50506353,0.66237944,0.31007272,0.02466436,1.11753498
-5.56178089,3.02807057,0.20558145,0.22441182,1.04511061,0.47753475,0.61531264,0.29043995,0.02396493,1.04674923
-5.55577789,2.86343526,0.19712499,0.21830737,1.02049897,0.45044081,0.57089351,0.27191454,0.02344207,0.98066730
-5.54977489,2.70671652,0.18860764,0.21184817,0.99594833,0.42408981,0.52931801,0.25464494,0.02310097,0.91960120
-5.54377189,2.55890056,0.18018079,0.20506706,0.97148206,0.39876747,0.49071992,0.23876355,0.02294467,0.86376996
-5.53776888,2.42079042,0.17198946,0.19799748,0.94711305,0.37473083,0.45517583,0.22438343,0.02297376,0.81330277
-5.53176588,2.29300110,0.16416760,0.19067370,0.92284656,0.35220282,0.42271125,0.21159579,0.02318612,0.76824412
-5.52576288,2.17595941,0.15683405,0.18313099,0.89868313,0.33136783,0.39330762,0.20046813,0.02357664,0.72856055
-5.51975988,2.06990848,0.15008901,0.17540584,0.87462147,0.31236854,0.36690965,0.19104331,0.02413717,0.69414867
-5.51375688,1.97491676,0.14401137,0.16753618,0.85066116,0.29530402,0.34343292,0.18333948,0.02485641,0.66484441
-5.50775388,1.89089122,0.13865696,0.15956152,0.82680487,0.28022933,0.32277133,0.17735096,0.02572004,0.64043295
-5.50175088,1.81759446,0.13405770,0.15152300,0.80306020,0.26715657,0.30480419,0.17305004,0.02671097,0.62065940
-5.49574787,1.75466528,0.13022181,0.14346328,0.77944106,0.25605735,0.28940282,0.17038959,0.02780968,0.60523985
-5.48974487,1.70164215,0.12713490,0.13542631,0.75596851,0.24686653,0.27643654,0.16930645,0.02899480,0.59387264
-5.48374187,1.65798881,0.12476196,0.12745696,0.73267122,0.23948717,0.26577778,0.16972538,0.03024383,0.58624967
-5.47773887,1.62312128,0.12305014,0.11960050,0.70958556,0.23379636,0.25730649,0.17156346,0.03153396,0.58206738
-5.47173587,1.59643523,0.12193202,0.11190199,0.68675547,0.22965171,0.25091352,0.17473463,0.03284308,0.58103725
-5.46573287,1.57733285,0.12132936,0.10440555,0.66423202,0.22689824,0.24650305,0.17915422,0.03415089,0.58289549
-5.45972986,1.56524792,0.12115707,0.09715358,0.64207295,0.22537526,0.24399398,0.18474319,0.03544008,0.58741150
-5.45372686,1.55966827,0.12132714,0.09018604,0.62034205,0.22492303,0.24332026,0.19143178,0.03669754,0.59439495
-5.44772386,1.56015437,0.12175244,0.08353972,0.59910850,0.22538885,0.24443020,0.19916248,0.03791558,0.60370103
-5.44172086,1.56635336,0.12235009,0.07724751,0.57844609,0.22663228,0.24728456,0.20789203,0.03909309,0.61523359
-5.43571786,1.57800765,0.12304434,0.07133792,0.55843239,0.22852938,0.25185375,0.21759229,0.04023666,0.62894611
-5.42971486,1.59495763,0.12376887,0.06583458,0.53914760,0.23097569,0.25811397,0.22824997,0.04136146,0.64484010
-5.42371186,1.61713836,0.12446822,0.06075597,0.52067334,0.23388786,0.26604257,0.23986518,0.04249201,0.66296120
-5.41770885,1.64457018,0.12509860,0.05611524,0.50309106,0.23720406,0.27561271,0.25244882,0.04366270,0.68339280
-5.41170585,1.67734389,0.12562791,0.05192021,0.48648014,0.24088298,0.28678757,0.26601898,0.04491803,0.70624757
-5.40570285,1.71560098,0.12603498,0.04817347,0.47091573,0.24490172,0.29951441,0.28059648,0.04631258,0.73165714
-5.39969985,1.75951022,0.12630833,0.04487260,0.45646623,0.24925272,0.31371872,0.29619987,0.04791061,0.75976043
-5.39369685,1.80924162,0.12644433,0.04201052,0.44319067,0.25393984,0.32929894,0.31284016,0.04978539,0.79069114
-5.38769385,1.86493940,0.12644509,0.03957586,0.43113585,0.25897405,0.34612185,0.33051557,0.05201807,0.82456501
-5.38169085,1.92669535,0.12631617,0.03755343,0.42033370,0.26436882,0.36401928,0.34920664,0.05469629,0.86146745
-5.37568784,1.99452414,0.12606424,0.03592469,0.41079865,0.27013571,0.38278619,0.36887209,0.05791237,0.90144224
-5.36968484,2.06834182,0.12569498,0.03466827,0.40252560,0.27628015,0.40218045,0.38944549,0.06176116,0.94448171
-5.36368184,2.14794885,0.12521117,0.03376044,0.39548823,0.28279797,0.42192462,0.41083324,0.06633759,0.99051896
-5.35767884,2.23301829,0.12461133,0.03317559,0.38963819,0.28967263,0.44170957,0.43291380,0.07173390,1.03942243
-5.35167584,2.32308988,0.12388873,0.03288667,0.38490497,0.29687332,0.46120010,0.45553825,0.07803664,1.09099301
-5.34567284,2.41756998,0.12303110,0.03286560,0.38119671,0.30435409,0.48004238,0.47853229,0.08532346,1.14496375
-5.33966983,2.51573724,0.12202077,0.03308365,0.37840185,0.31205394,0.49787285,0.50169937,0.09365983,1.20100193
-5.33366683,2.61675340,0.12083546,0.03351171,0.37639163,0.31989776,0.51432834,0.52482502,0.10309567,1.25871346
-5.32766383,2.71967836,0.11944943,0.03412060,0.37502330,0.32779815,0.52905695,0.54768180,0.11366209,1.31764901
-5.32166083,2.82348843,0.11783509,0.03488127,0.37414392,0.33565770,0.54172909,0.57003495,0.12536834,1.37731160
-5.31565783,2.92709667,0.11596480,0.03576499,0.37359452,0.34337188,0.55204824,0.59164805,0.13819903,1.43716506
-5.30965483,3.02937405,0.11381283,0.03674347,0.37321445,0.35083200,0.55976086,0.61228874,0.15211182,1.49664302
-5.30365183,3.12917040,0.11135725,0.03778898,0.37284571,0.35792830,0.56466496,0.63173390,0.16703568,1.55515789
-5.29764882,3.22533415,0.10858174,0.03887442,0.37233696,0.36455281,0.56661683,0.64977425,0.18286989,1.61210952
-5.29164582,3.31673027,0.10547707,0.03997338,0.37154720,0.37060193,0.56553572,0.66621813,0.19948379,1.66689341
-5.28564282,3.40225586,0.10204224,0.04106024,0.37034878,0.37597862,0.56140612,0.68089426,0.21671751,1.71890818
-5.27963982,3.48085336,0.09828520,0.04211020,0.36862980,0.38059405,0.55427756,0.69365364,0.23438358,1.76756245
-5.27363682,3.55152147,0.09422309,0.04309939,0.36629572,0.38436881,0.54426212,0.70437039,0.25226968,1.81228110
