energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,2.95440707,0.04494042,0.06422730,0.05508018,1.80541481,0.56971387,0.96924648
-5.99399700,2.84355624,0.04419646,0.06214676,0.05275501,1.73457727,0.54888614,0.93651769
-5.98799400,2.72862453,0.04323738,0.05986873,0.05039817,1.66179551,0.52744900,0.90210161
-5.98199100,2.61033789,0.04207904,0.05741957,0.04802356,1.58749048,0.50550732,0.86622858
-5.97598799,2.48945824,0.04074052,0.05482876,0.04564429,1.51209390,0.48317298,0.82914457
-5.96998499,2.36677707,0.03924362,0.05212813,0.04327272,1.43604622,0.46056523,0.79110884
-5.96398199,2.24310837,0.03761225,0.04935113,0.04092047,1.35979435,0.43781079,0.75239126
-5.95797899,2.11928102,0.03587187,0.04653205,0.03859853,1.28378900,0.41504380,0.71326946
-5.95197599,1.99613082,0.03404878,0.04370531,0.03631728,1.20848191,0.39240556,0.67402588
-5.94597299,1.87449267,0.03216960,0.04090489,0.03408661,1.13432282,0.37004421,0.63494480
-5.93996998,1.75519287,0.03026066,0.03816380,0.03191591,1.06175653,0.34811428,0.59630952
-5.93396698,1.63904216,0.02834751,0.03551363,0.02981426,0.99122003,0.32677641,0.55839969
-5.92796398,1.52682956,0.02645449,0.03298427,0.02779043,0.92313992,0.30619706,0.52148891
-5.92196098,1.41931733,0.02460436,0.03060374,0.02585296,0.85793023,0.28654846,0.48584280
-5.91595798,1.31723708,0.02281809,0.02839809,0.02401033,0.79599066,0.26800877,0.45171734
-5.90995498,1.22128732,0.02111462,0.02639141,0.02227094,0.73770547,0.25076252,0.41935775
-5.90395198,1.13213228,0.01951080,0.02460591,0.02064326,0.68344292,0.23500125,0.38899779
-5.89794897,1.05040195,0.01802132,0.02306209,0.01913594,0.63355532,0.22092453,0.36085951
-5.89194597,0.97669340,0.01665878,0.02177888,0.01775787,0.58837964,0.20874112,0.33515341
-5.88594297,0.91157287,0.01543369,0.02077381,0.01651827,0.54823873,0.19867036,0.31207896
-5.87993997,0.85557877,0.01435466,0.02006320,0.01542684,0.51344280,0.19094355,0.29182538
-5.87393697,0.80922500,0.01342841,0.01966222,0.01449381,0.48429133,0.18580545,0.27457269
-5.86793397,0.77300445,0.01265995,0.01958503,0.01373008,0.46107507,0.18351552,0.26049286
-5.86193097,0.74739232,0.01205268,0.01984467,0.01314724,0.44407800,0.18434888,0.24975092
-5.85592796,0.73284894,0.01160848,0.02045305,0.01275769,0.43357912,0.18859679,0.24250609
-5.84992496,0.72982166,0.01132778,0.02142069,0.01257465,0.42985376,0.19656655,0.23891260
-5.84392196,0.73874562,0.01120960,0.02275650,0.01261215,0.43317426,0.20858047,0.23912025
-5.83791896,0.76004288,0.01125162,0.02446740,0.01288505,0.44380982,0.22497386,0.24327452
-5.83191596,0.79411975,0.01145016,0.02655786,0.01340887,0.46202523,0.24609190,0.25151608
-5.82591296,0.84136199,0.01180016,0.02902950,0.01419967,0.48807824,0.27228502,0.26397963
-5.81990995,0.90212767,0.01229519,0.03188050,0.01527379,0.52221559,0.30390297,0.28079201
-5.81390695,0.97673742,0.01292741,0.03510513,0.01664754,0.56466720,0.34128725,0.30206940
-5.80790395,1.06546226,0.01368759,0.03869325,0.01833673,0.61563879,0.38476200,0.32791362
-5.80190095,1.16850874,0.01456505,0.04262991,0.02035618,0.67530267,0.43462338,0.35840754
-5.79589795,1.28600178,0.01554778,0.04689495,0.02271909,0.74378675,0.49112756,0.39360952
-5.78989495,1.41796544,0.01662240,0.05146285,0.02543629,0.82116208,0.55447749,0.43354718
-5.78389195,1.56430204,0.01777432,0.05630261,0.02851551,0.90742907,0.62480887,0.47821027
-5.77788894,1.72477031,0.01898789,0.06137785,0.03196049,1.00250272,0.70217554,0.52754332
-5.77188594,1.89896337,0.02024654,0.06664709,0.03577013,1.10619747,0.78653495,0.58143783
-5.76588294,2.08628732,0.02153305,0.07206419,0.03993759,1.21821221,0.87773417,0.63972471
-5.75987994,2.28594167,0.02282981,0.07757903,0.04444953,1.33811610,0.97549713,0.70216714
-5.75387694,2.49690253,0.02411912,0.08313831,0.04928536,1.46533607,1.07941363,0.76845423
-5.74787394,2.71790989,0.02538356,0.08868651,0.05441663,1.59914672,1.18893099,0.83819606
-5.74187094,2.94746006,0.02660627,0.09416703,0.05980672,1.73866346,1.30334890,0.91092030
-5.73586793,3.18380428,0.02777137,0.09952334,0.06541059,1.88283968,1.42181800,0.98607112
-5.72986493,3.42495467,0.02886422,0.10470023,0.07117499,2.03046866,1.54334290,1.06301035
-5.72386193,3.66869800,0.02987177,0.10964507,0.07703880,2.18019075,1.66678989,1.14102159
-5.71785893,3.91261799,0.03078279,0.11430896,0.08293385,2.33050626,1.79089960,1.21931718
-5.71185593,4.15412627,0.03158806,0.11864793,0.08878592,2.47979423,1.91430476,1.29704828
-5.70585293,4.39050185,0.03228053,0.12262387,0.09451619,2.62633701,2.03555276,1.37331791
-5.69984992,4.61893851,0.03285534,0.12620547,0.10004287,2.76835042,2.15313281,1.44719691
-5.69384692,4.83659942,0.03330981,0.12936884,0.10528313,2.90401877,2.26550693,1.51774240
-5.68784392,5.04067739,0.03364338,0.13209811,0.11015522,3.03153403,2.37114413,1.58401828
-5.68184092,5.22845943,0.03385742,0.13438571,0.11458065,3.14913790,2.46855676,1.64511727
-5.67583792,5.39739345,0.03395503,0.13623256,0.11848648,3.25516567,2.55633775,1.70018375
-5.66983492,5.54515503,0.03394078,0.13764808,0.12180744,3.34809014,2.63319778,1.74843662
-5.66383192,5.66971194,0.03382044,0.13864997,0.12448804,3.42656431,2.69800071,1.78919132
-5.65782891,5.76938384,0.03360070,0.13926396,0.12648432,3.48946089,2.74979630,1.82188023
-5.65182591,5.84289504,0.03328887,0.13952333,0.12776531,3.53590738,2.78784865,1.84607061
-5.64582291,5.88941785,0.03289263,0.13946838,0.12831417,3.56531494,2.81165947,1.86147918
-5.63981991,5.90860463,0.03241984,0.13914570,0.12812879,3.57739997,2.82098495,1.86798291
-5.63381691,5.90060695,0.03187834,0.13860740,0.12722199,3.57219718,2.81584566,1.86562517
-5.62781391,5.86608046,0.03127582,0.13791018,0.12562121,3.55006351,2.79652881,1.85461716
-5.62181091,5.80617494,0.03061979,0.13711424,0.12336768,3.51167239,2.76358270,1.83533416
-5.61580790,5.72250920,0.02991751,0.13628210,0.12051523,3.45799840,2.71780343,1.80830672
-5.60980490,5.61713136,0.02917605,0.13547721,0.11712860,3.39029245,2.66021410,1.77420698
-5.60380190,5.49246541,0.02840228,0.13476252,0.11328151,3.31004851,2.59203733,1.73383045
-5.59779890,5.35124566,0.02760300,0.13419875,0.10905435,3.21896262,2.51466182,1.68807384
-5.59179590,5.19644114,0.02678494,0.13384271,0.10453186,3.11888576,2.42960419,1.63790973
-5.58579290,5.03117244,0.02595485,0.13374542,0.09980058,3.01177213,2.33846731,1.58435889
-5.57978989,4.85862389,0.02511950,0.13395030,0.09494644,2.89962467,2.24289670,1.52846130
-5.57378689,4.68195424,0.02428569,0.13449131,0.09005237,2.78443974,2.14453632,1.47124677
-5.56778389,4.50420889,0.02346020,0.13539127,0.08519615,2.66815297,2.04498540,1.41370643
-5.56178089,4.32823711,0.02264973,0.13666036,0.08044851,2.55258821,1.94575778,1.35676596
-5.55577789,4.15661710,0.02186074,0.13829498,0.07587155,2.43941133,1.84824507,1.30126156
-5.54977489,3.99159182,0.02109933,0.14027688,0.07151750,2.33009063,1.75368482,1.24791958
-5.54377189,3.83501769,0.02037107,0.14257287,0.06742792,2.22586495,1.66313483,1.19734044
-5.53776888,3.68832832,0.01968082,0.14513505,0.06363325,2.12772076,1.57745425,1.14998748
-5.53176588,3.55251405,0.01903256,0.14790151,0.06015278,2.03637876,1.49729198,1.10618090
-5.52576288,3.42811822,0.01842925,0.15079779,0.05699496,1.95229016,1.42308265,1.06609712
-5.51975988,3.31524972,0.01787272,0.15373876,0.05415815,1.87564271,1.35505007,1.02977323
-5.51375688,3.21361109,0.01736358,0.15663110,0.05163151,1.80637568,1.29321767,0.99711640
-5.50775388,3.12254048,0.01690125,0.15937617,0.04939630,1.74420312,1.23742553,0.96791762
-5.50175088,3.04106558,0.01648397,0.16187330,0.04742722,1.68864399,1.18735287,0.94186907
-5.49574787,2.96796665,0.01610891,0.16402314,0.04569401,1.63905777,1.14254502,0.91858428
-5.48974487,2.90184580,0.01577234,0.16573117,0.04416296,1.59468377,1.10244371,0.89762024
-5.48374187,2.84119941,0.01546986,0.16691100,0.04279856,1.55468244,1.06641921,0.87850023
-5.47773887,2.78449027,0.01519658,0.16748752,0.04156500,1.51817682,1.03380293,0.86073663
-5.47173587,2.73021645,0.01494744,0.16739947,0.04042756,1.48429227,1.00391928,0.84385248
-5.46573287,2.67697397,0.01471747,0.16660163,0.03935388,1.45219309,0.97611527,0.82740118
-5.45972986,2.62351082,0.01450202,0.16506627,0.03831496,1.42111437,0.94978690,0.81098326
-5.45372686,2.56877035,0.01429705,0.16278394,0.03728602,1.39038816,0.92440126,0.79425999
-5.44772386,2.51192266,0.01409926,0.15976356,0.03624703,1.35946302,0.89951362,0.77696307
-5.44172086,2.45238332,0.01390629,0.15603176,0.03518306,1.32791663,0.87477909,0.75890044
-5.43571786,2.38981919,0.01371676,0.15163156,0.03408436,1.29546125,0.84995847,0.73995809
-5.42971486,2.32414215,0.01353034,0.14662054,0.03294619,1.26194240,0.82491863,0.72009813
-5.42371186,2.25549161,0.01334762,0.14106849,0.03176846,1.22733122,0.79962748,0.69935333
-5.41770885,2.18420760,0.01317009,0.13505468,0.03055525,1.19171152,0.77414420,0.67781886
-5.41170585,2.11079638,0.01299991,0.12866509,0.02931409,1.15526235,0.74860557,0.65564163
-5.40570285,2.03589067,0.01283976,0.12198939,0.02805525,1.11823752,0.72320923,0.63300810
-5.39969985,1.96020714,0.01269255,0.11511814,0.02679087,1.08094316,0.69819490,0.61013110
-5.39369685,1.88450314,0.01256119,0.10814011,0.02553420,1.04371476,0.67382474,0.58723661
-5.38769385,1.80953527,0.01244835,0.10113994,0.02429877,1.00689480,0.65036380,0.56455094
-5.38169085,1.73602129,0.01235622,0.09419618,0.02309767,0.97081204,0.62806167,0.54228908
-5.37568784,1.66460749,0.01228629,0.08737970,0.02194287,0.93576359,0.60713618,0.52064465
-5.36968484,1.59584237,0.01223921,0.08075260,0.02084475,0.90200024,0.58775989,0.49978180
-5.36368184,1.53015766,0.01221469,0.07436758,0.01981167,0.86971570,0.57004998,0.47982944
-5.35767884,1.46785703,0.01221144,0.06826765,0.01884972,0.83903998,0.55406188,0.46087772
-5.35167584,1.40911236,0.01222717,0.06248633,0.01796261,0.81003692,0.53978667,0.44297692
-5.34567284,1.35396734,0.01225872,0.05704809,0.01715166,0.78270566,0.52715245,0.42613852
-5.33966983,1.30234737,0.01230215,0.05196905,0.01641597,0.75698568,0.51602905,0.41033831
-5.33366683,1.25407499,0.01235296,0.04725792,0.01575264,0.73276491,0.50623595,0.39552101
-5.32766383,1.20888936,0.01240628,0.04291703,0.01515709,0.70989016,0.49755267,0.38160635
-5.32166083,1.16646861,0.01245715,0.03894335,0.01462345,0.68817913,0.48973091,0.36849585
-5.31565783,1.12645365,0.01250073,0.03532962,0.01414495,0.66743337,0.48250775,0.35608012
-5.30965483,1.08847183,0.01253262,0.03206530,0.01371433,0.64745119,0.47561919,0.34424613
-5.30365183,1.05215961,0.01254902,0.02913755,0.01332429,0.62803999,0.46881311,0.33288408
-5.29764882,1.01718266,0.01254696,0.02653202,0.01296779,0.60902727,0.46186109,0.32189357
-5.29164582,0.98325290,0.01252442,0.02423347,0.01263838,0.59026987,0.45456855,0.31118876
-5.28564282,0.95014153,0.01248046,0.02222641,0.01233046,0.57166094,0.44678257,0.30070230
-5.27963982,0.91768784,0.01241523,0.02049541,0.01203942,0.55313458,0.43839735,0.29038795
-5.27363682,0.88580358,0.01232991,0.01902547,0.01176174,0.53466784,0.42935688,0.28022184
-5.26763382,0.85447305,0.01222668,0.01780214,0.01149498,0.51628042,0.41965509,0.27020243
-5.26163082,0.82374933,0.01210856,0.01681168,0.01123776,0.49803200,0.40933344,0.26034916
-5.25562781,0.79374722,0.01197921,0.01604110,0.01098958,0.48001774,0.39847641,0.25070024
-5.24962481,0.76463347,0.01184271,0.01547814,0.01075070,0.46236227,0.38720523,0.24130949
-5.24362181,0.73661549,0.01170340,0.01511131,0.01052195,0.44521270,0.37567028,0.23224278
-5.23761881,0.70992900,0.01156559,0.01492986,0.01030445,0.42873115,0.36404280,0.22357413
-5.23161581,0.68482588,0.01143336,0.01492381,0.01009944,0.41308734,0.35250639,0.21538185
-5.22561281,0.66156279,0.01131043,0.01508401,0.00990810,0.39845172,0.34124883,0.20774504
-5.21960980,0.64039138,0.01119996,0.01540217,0.00973132,0.38498949,0.33045462,0.20074050
-5.21360680,0.62155059,0.01110452,0.01587107,0.00956961,0.37285602,0.32029869,0.19444037
-5.20760380,0.60526135,0.01102603,0.01648459,0.00942301,0.36219361,0.31094151,0.18891057
-5.20160080,0.59172397,0.01096581,0.01723798,0.00929109,0.35312992,0.30252570,0.18421006
-5.19559780,0.58111793,0.01092468,0.01812794,0.00917289,0.34577793,0.29517427,0.18039096
-5.18959480,0.57360406,0.01090309,0.01915286,0.00906710,0.34023725,0.28899029,0.17749936
-5.18359180,0.56932843,0.01090130,0.02031286,0.00897211,0.33659663,0.28405794,0.17557688
-5.17758879,0.56842761,0.01091962,0.02160994,0.00888618,0.33493724,0.28044449,0.17466249
-5.17158579,0.57103446,0.01095860,0.02304795,0.00880761,0.33533634,0.27820309,0.17479473
-5.16558279,0.57728383,0.01101929,0.02463251,0.00873496,0.33787096,0.27737583,0.17601383
-5.15957979,0.58731748,0.01110341,0.02637086,0.00866722,0.34262116,0.27799688,0.17836367
-5.15357679,0.60128753,0.01121352,0.02827153,0.00860397,0.34967242,0.28009520,0.18189329
-5.14757379,0.61935809,0.01135315,0.03034403,0.00854557,0.35911697,0.28369668,0.18665786
-5.14157079,0.64170444,0.01152684,0.03259833,0.00849324,0.37105374,0.28882550,0.19271883
-5.13556778,0.66850988,0.01174012,0.03504434,0.00844918,0.38558682,0.29550441,0.20014336
-5.12956478,0.69995998,0.01199939,0.03769130,0.00841659,0.40282239,0.30375417,0.20900292
-5.12356178,0.73623466,0.01231181,0.04054717,0.00839966,0.42286434,0.31359193,0.21937101
-5.11755878,0.77749827,0.01268498,0.04361801,0.00840351,0.44580866,0.32502892,0.23132032
