energy_ev,total_up,Nb_p_up,Nb_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,1.04057211,1.11068277,0.40179515,0.00225193,0.57126957,0.08526699,0.08033964
-5.99399700,0.93787845,1.00155304,0.36224688,0.00203209,0.51506110,0.07694756,0.07229482
-5.98799400,0.83974335,0.89711980,0.32442341,0.00182128,0.46129937,0.06896983,0.06463952
-5.98199100,0.74686091,0.79816471,0.28860081,0.00162119,0.41037761,0.06139777,0.05741941
-5.97598799,0.65977803,0.70530440,0.25499690,0.00143318,0.36260623,0.05428208,0.05066997
-5.96998499,0.57889060,0.61898766,0.22376995,0.00125824,0.31821102,0.04766002,0.04441616
-5.96398199,0.50444570,0.53949896,0.19501972,0.00109699,0.27733455,0.04155577,0.03867238
-5.95797899,0.43654918,0.46696743,0.16879055,0.00094975,0.24004049,0.03598116,0.03344303
-5.95197599,0.37517741,0.40138025,0.14507603,0.00081654,0.20632029,0.03093672,0.02872323
-5.94597299,0.32019232,0.34259941,0.12382492,0.00069709,0.17610161,0.02641307,0.02449994
-5.93996998,0.27135863,0.29038066,0.10494795,0.00059094,0.14925790,0.02239238,0.02075318
-5.93396698,0.22836219,0.24439357,0.08832494,0.00049742,0.12561863,0.01884996,0.01745732
-5.92796398,0.19082849,0.20424178,0.07381209,0.00041575,0.10497958,0.01575589,0.01458248
-5.92196098,0.15834069,0.16948246,0.06124897,0.00034503,0.08711281,0.01307650,0.01209581
-5.91595798,0.13045627,0.13964452,0.05046501,0.00028431,0.07177594,0.01077584,0.00996275
-5.90995498,0.10672207,0.11424476,0.04128539,0.00023262,0.05872050,0.00881691,0.00814808
-5.90395198,0.08668717,0.09280191,0.03353603,0.00018897,0.04769900,0.00716282,0.00661692
-5.89794897,0.06991362,0.07484820,0.02704778,0.00015242,0.03847095,0.00577764,0.00533549
-5.89194597,0.05598491,0.05993848,0.02165968,0.00012206,0.03080753,0.00462712,0.00427175
-5.88594297,0.04451216,0.04765699,0.01722145,0.00009706,0.02449500,0.00367929,0.00339582
-5.87993997,0.03513835,0.03762192,0.01359506,0.00007662,0.01933711,0.00290474,0.00268032
-5.87393697,0.02754079,0.02948805,0.01065574,0.00006006,0.01515642,0.00227687,0.00210052
-5.86793397,0.02143191,0.02294772,0.00829231,0.00004674,0.01179479,0.00177196,0.00163442
-5.86193097,0.01655896,0.01773044,0.00640698,0.00003611,0.00911319,0.00136916,0.00126268
-5.85592796,0.01270255,0.01360141,0.00491493,0.00002770,0.00699094,0.00105035,0.00096853
-5.84992496,0.00967460,0.01035934,0.00374339,0.00002110,0.00532456,0.00080001,0.00073760
-5.84392196,0.00731574,0.00783363,0.00283072,0.00001596,0.00402639,0.00060498,0.00055772
-5.83791896,0.00549247,0.00588135,0.00212528,0.00001198,0.00302296,0.00045421,0.00041869
-5.83191596,0.00409415,0.00438407,0.00158426,0.00000893,0.00225339,0.00033858,0.00031208
-5.82591296,0.00303007,0.00324468,0.00117259,0.00000661,0.00166778,0.00025057,0.00023095
-5.81990995,0.00222666,0.00238440,0.00086180,0.00000486,0.00122564,0.00018411,0.00016969
-5.81390695,0.00162481,0.00173996,0.00062904,0.00000354,0.00089446,0.00013431,0.00012380
-5.80790395,0.00117758,0.00126108,0.00045619,0.00000257,0.00064841,0.00009728,0.00008968
-5.80190095,0.00084801,0.00090821,0.00032896,0.00000184,0.00046718,0.00006995,0.00006453
