energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,3.65968525,0.03593591,0.25302381,0.02621201,2.26605815,1.29302327,1.53591340
-5.99399700,3.64263753,0.03543089,0.25828117,0.02545618,2.25424891,1.28443432,1.53459242
-5.98799400,3.62670919,0.03502666,0.26430259,0.02474624,2.24168362,1.27795110,1.53229188
-5.98199100,3.61187720,0.03472735,0.27113299,0.02408711,2.22829099,1.27348412,1.52906677
-5.97598799,3.59794868,0.03453233,0.27878964,0.02348164,2.21392973,1.27084107,1.52493521
-5.96998499,3.58457107,0.03443637,0.28725962,0.02293083,2.19839665,1.26973588,1.51987738
-5.96398199,3.57124920,0.03442995,0.29649830,0.02243401,2.18143787,1.26980104,1.51383659
-5.95797899,3.55736825,0.03449972,0.30642917,0.02198916,2.16276226,1.27060278,1.50672216
-5.95197599,3.54222117,0.03462910,0.31694473,0.02159325,2.14205668,1.27165823,1.49841399
-5.94597299,3.52503959,0.03479894,0.32790867,0.02124261,2.11900191,1.27245399,1.48876861
-5.93996998,3.50502661,0.03498832,0.33915915,0.02093325,2.09328897,1.27246530,1.47762636
-5.93396698,3.48139026,0.03517532,0.35051319,0.02066120,2.06463477,1.27117509,1.46481953
-5.92796398,3.45337633,0.03533787,0.36177182,0.02042284,2.03279673,1.26809228,1.45018092
-5.92196098,3.42029929,0.03545453,0.37272605,0.02021510,1.99758576,1.26276872,1.43355273
-5.91595798,3.38157031,0.03550525,0.38316323,0.02003564,1.95887706,1.25481410,1.41479528
-5.90995498,3.33672141,0.03547203,0.39287368,0.01988297,1.91661858,1.24390853,1.39379522
-5.90395198,3.28542486,0.03533955,0.40165729,0.01975648,1.87083674,1.22981238,1.37047303
-5.89794897,3.22750737,0.03509558,0.40932975,0.01965635,1.82163930,1.21237302,1.34478936
-5.89194597,3.16295861,0.03473139,0.41572829,0.01958351,1.76921550,1.19152848,1.31675000
-5.88594297,3.09193386,0.03424192,0.42071660,0.01953939,1.71383324,1.16730791,1.28640932
-5.87993997,3.01475089,0.03362589,0.42418869,0.01952574,1.65583386,1.13982893,1.25387193
-5.87393697,2.93188134,0.03288571,0.42607165,0.01954437,1.59562449,1.10929213,1.21929254
-5.86793397,2.84393709,0.03202735,0.42632716,0.01959687,1.53366847,1.07597303,1.18287411
-5.86193097,2.75165236,0.03106004,0.42495161,0.01968434,1.47047432,1.04021185,1.14486412
-5.85592796,2.65586247,0.02999586,0.42197505,0.01980712,1.40658373,1.00240168,1.10554956
-5.84992496,2.55748020,0.02884936,0.41745895,0.01996460,1.34255902,0.96297552,1.06525051
-5.84392196,2.45747109,0.02763703,0.41149287,0.02015504,1.27897087,0.92239283,1.02431290
-5.83791896,2.35682870,0.02637680,0.40419046,0.02037547,1.21638660,0.88112611,0.98310074
-5.83191596,2.25655104,0.02508755,0.39568473,0.02062165,1.15535968,0.83964819,0.94198825
-5.82591296,2.15761926,0.02378861,0.38612321,0.02088811,1.09642087,0.79842059,0.90135229
-5.81990995,2.06097951,0.02249933,0.37566290,0.02116830,1.04007125,0.75788347,0.86156548
-5.81390695,1.96752855,0.02123871,0.36446559,0.02145477,0.98677742,0.71844751,0.82299022
-5.80790395,1.87810367,0.02002509,0.35269356,0.02173942,0.93696887,0.68048784,0.78597408
-5.80190095,1.79347694,0.01887590,0.34050595,0.02201383,0.89103749,0.64434020,0.75084638
-5.79589795,1.71435359,0.01780755,0.32805587,0.02226959,0.84933893,0.61029917,0.71791619
-5.78989495,1.64137428,0.01683529,0.31548836,0.02249868,0.81219559,0.57861843,0.68747163
-5.78389195,1.57512019,0.01597320,0.30293916,0.02269380,0.77990055,0.54951263,0.65978023
-5.77788894,1.51612040,0.01523423,0.29053433,0.02284871,0.75272218,0.52316066,0.63509008
