energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Zr_p_up,Zr_d_up
-6.00000000,5.51236739,0.01964486,0.42595053,0.10461631,3.09650234,2.00193687,0.76228559,0.68195955,0.71907185
-5.99399700,5.53233233,0.01965640,0.43231185,0.10361229,3.10341468,2.02454404,0.76499623,0.68194931,0.72678522
-5.98799400,5.54169836,0.01960561,0.43747177,0.10235886,3.10449149,2.04448038,0.76450187,0.68072120,0.73276208
-5.98199100,5.53986014,0.01949221,0.44139408,0.10085337,3.09935822,2.06128967,0.76076317,0.67827375,0.73694718
-5.97598799,5.52635218,0.01931707,0.44406128,0.09909760,3.08772043,2.07454234,0.75379743,0.67461974,0.73930871
-5.96998499,5.50087285,0.01908221,0.44547641,0.09709797,3.06937657,2.08384671,0.74367881,0.66978788,0.73984117
-5.96398199,5.46330588,0.01879071,0.44566454,0.09486553,3.04422912,2.08885993,0.73053702,0.66382418,0.73856804
-5.95797899,5.41373832,0.01844660,0.44467385,0.09241592,3.01229363,2.08929810,0.71455459,0.65679320,0.73554390
-5.95197599,5.35247366,0.01805481,0.44257618,0.08976919,2.97370480,2.08494511,0.69596273,0.64877874,0.73085599
-5.94597299,5.28003913,0.01762096,0.43946704,0.08694945,2.92871948,2.07565966,0.67503600,0.63988410,0.72462488
-5.93996998,5.19718639,0.01715127,0.43546486,0.08398452,2.87771592,2.06138022,0.65208591,0.63023179,0.71700432
-5.93396698,5.10488523,0.01665237,0.43070958,0.08090530,2.82118941,2.04212765,0.62745378,0.61996246,0.70817986
-5.92796398,5.00430985,0.01613115,0.42536046,0.07774524,2.75974403,2.01800526,0.60150295,0.60923326,0.69836650
-5.92196098,4.89681822,0.01559460,0.41959312,0.07453961,2.69408103,1.98919660,0.57461068,0.59821543,0.68780501
-5.91595798,4.78392463,0.01504966,0.41359590,0.07132478,2.62498378,1.95596078,0.54716003,0.58709134,0.67675728
-5.90995498,4.66726655,0.01450305,0.40756556,0.06813743,2.55330027,1.91862590,0.51953177,0.57605083,0.66550046
-5.90395198,4.54856661,0.01396117,0.40170240,0.06501379,2.47992329,1.87758066,0.49209678,0.56528717,0.65432029
-5.89794897,4.42959103,0.01342999,0.39620503,0.06198888,2.40576938,1.83326474,0.46520888,0.55499253,0.64350367
-5.89194597,4.31210594,0.01291495,0.39126484,0.05909581,2.33175702,1.78615833,0.43919839,0.54535336,0.63333069
-5.88594297,4.19783292,0.01242089,0.38706040,0.05636511,2.25878495,1.73677109,0.41436648,0.53654553,0.62406649
-5.87993997,4.08840533,0.01195205,0.38375193,0.05382415,2.18771119,1.68563122,0.39098039,0.52872960,0.61595316
