energy_ev,total_up,Pb_p_up,Pb_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,0.66069121,0.30770032,0.00146800,0.21627225,0.37623576,0.00038389,0.04413801
-5.99399700,0.63140199,0.29293662,0.00146675,0.20465080,0.36124629,0.00043958,0.03944896
-5.98799400,0.60845105,0.28099916,0.00148445,0.19494966,0.34993331,0.00050101,0.03512166
-5.98199100,0.59201281,0.27198962,0.00152100,0.18723988,0.34238102,0.00056811,0.03117706
-5.97598799,0.58211710,0.26594340,0.00157591,0.18154595,0.33859095,0.00064066,0.02762807
-5.96998499,0.57865834,0.26283345,0.00164832,0.17784862,0.33848747,0.00071832,0.02448063
-5.96398199,0.58140821,0.26257573,0.00173706,0.17608882,0.34192541,0.00080058,0.02173495
-5.95797899,0.59003139,0.26503613,0.00184061,0.17617261,0.34869939,0.00088679,0.01938682
-5.95197599,0.60410387,0.27003860,0.00195721,0.17797684,0.35855469,0.00097616,0.01742905
-5.94597299,0.62313334,0.27737419,0.00208486,0.18135558,0.37119946,0.00106773,0.01585273
-5.93996998,0.64658110,0.28681090,0.00222142,0.18614681,0.38631763,0.00116044,0.01464860
-5.93396698,0.67388476,0.29810381,0.00236462,0.19217951,0.40358247,0.00125311,0.01380817
-5.92796398,0.70448106,0.31100534,0.00251212,0.19928056,0.42267008,0.00134448,0.01332471
-5.92196098,0.73782810,0.32527522,0.00266165,0.20728163,0.44327257,0.00143324,0.01319410
-5.91595798,0.77342604,0.34068978,0.00281097,0.21602537,0.46511017,0.00151805,0.01341539
-5.90995498,0.81083546,0.35705029,0.00295803,0.22537110,0.48794204,0.00159761,0.01399114
-5.90395198,0.84969265,0.37418978,0.00310097,0.23519942,0.51157500,0.00167067,0.01492747
-5.89794897,0.88972086,0.39197820,0.00323819,0.24541574,0.53586985,0.00173607,0.01623384
-5.89194597,0.93073696,0.41032552,0.00336841,0.25595243,0.56074479,0.00179280,0.01792259
-5.88594297,0.97265290,0.42918252,0.00349068,0.26676955,0.58617565,0.00184000,0.02000818
-5.87993997,1.01547164,0.44853908,0.00360440,0.27785395,0.61219273,0.00187701,0.02250612
-5.87393697,1.05927742,0.46842006,0.00370934,0.28921684,0.63887410,0.00190341,0.02543183
-5.86793397,1.10422058,0.48887868,0.00380562,0.30088977,0.66633566,0.00191899,0.02879912
-5.86193097,1.15049738,0.50998774,0.00389365,0.31291925,0.69471812,0.00192379,0.03261874
-5.85592796,1.19832561,0.53182894,0.00397414,0.32536025,0.72417148,0.00191808,0.03689670
-5.84992496,1.24791716,0.55448079,0.00404799,0.33826869,0.75483768,0.00190237,0.04163270
