energy_ev,total_up,Co_p_up,Co_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.18677520,0.39054201,0.20379391,0.43302620,0.22207944,0.02311677,0.10288696,0.49160263,0.00000000
-5.99399700,1.14181284,0.37932126,0.19391941,0.42145113,0.21624097,0.02345840,0.09886690,0.46984192,0.00000000
-5.98799400,1.09986143,0.36892302,0.18458703,0.41041491,0.21109972,0.02396055,0.09497307,0.44885320,0.00000000
-5.98199100,1.06141414,0.35943482,0.17594861,0.40000191,0.20669857,0.02462076,0.09124064,0.42888216,0.00000000
-5.97598799,1.02683984,0.35090389,0.16813599,0.39024865,0.20305898,0.02543368,0.08769311,0.41012313,0.00000000
-5.96998499,0.99638388,0.34333956,0.16125894,0.38114701,0.20018214,0.02639139,0.08434273,0.39271852,0.00000000
-5.96398199,0.97017327,0.33671722,0.15540372,0.37264979,0.19805061,0.02748372,0.08119163,0.37676035,0.00000000
-5.95797899,0.94822546,0.33098343,0.15063235,0.36467796,0.19663046,0.02869853,0.07823328,0.36229375,0.00000000
-5.95197599,0.93046005,0.32606194,0.14698247,0.35712933,0.19587361,0.03002197,0.07545440,0.34932199,0.00000000
-5.94597299,0.91671263,0.32186024,0.14446768,0.34988813,0.19572029,0.03143877,0.07283707,0.33781277,0.00000000
-5.93996998,0.90674984,0.31827641,0.14307838,0.34283490,0.19610160,0.03293244,0.07036100,0.32770535,0.00000000
-5.93396698,0.90028494,0.31520581,0.14278287,0.33585632,0.19694190,0.03448539,0.06800586,0.31891800,0.00000000
-5.92796398,0.89699314,0.31254733,0.14352880,0.32885433,0.19816106,0.03607913,0.06575341,0.31135559,0.00000000
-5.92196098,0.89652605,0.31020908,0.14524489,0.32175426,0.19967647,0.03769429,0.06358953,0.30491677,0.00000000
-5.91595798,0.89852497,0.30811309,0.14784273,0.31451149,0.20140478,0.03931073,0.06150589,0.29950058,0.00000000
-5.90995498,0.90263251,0.30619912,0.15121887,0.30711645,0.20326335,0.04090758,0.05950132,0.29501220,0.00000000
-5.90395198,0.90850252,0.30442728,0.15525704,0.29959777,0.20517148,0.04246334,0.05758268,0.29136773,0.00000000
-5.89794897,0.91580827,0.30277958,0.15983054,0.29202344,0.20705138,0.04395597,0.05576541,0.28849782,0.00000000
-5.89194597,0.92424889,0.30126034,0.16480486,0.28450006,0.20882901,0.04536309,0.05407347,0.28635015,0.00000000
-5.88594297,0.93355426,0.29989560,0.17004035,0.27717023,0.21043476,0.04666215,0.05253900,0.28489085,0.00000000
-5.87993997,0.94348843,0.29873157,0.17539520,0.27020824,0.21180412,0.04783079,0.05120141,0.28410471,0.00000000
-5.87393697,0.95385179,0.29783225,0.18072840,0.26381428,0.21287831,0.04884717,0.05010618,0.28399447,0.00000000
-5.86793397,0.96448203,0.29727634,0.18590285,0.25820742,0.21360494,0.04969046,0.04930328,0.28457917,0.00000000
-5.86193097,0.97525396,0.29715353,0.19078847,0.25361758,0.21393865,0.05034129,0.04884532,0.28589161,0.00000000
-5.85592796,0.98607838,0.29756041,0.19526515,0.25027683,0.21384178,0.05078238,0.04878547,0.28797520,0.00000000
-5.84992496,0.99689964,0.29859590,0.19922555,0.24841036,0.21328508,0.05099902,0.04917524,0.29088006,0.00000000
-5.84392196,1.00769221,0.30035655,0.20257757,0.24822723,0.21224823,0.05097965,0.05006217,0.29465879,0.00000000
-5.83791896,1.01845591,0.30293157,0.20524636,0.24991140,0.21072030,0.05071637,0.05148749,0.29936168,0.00000000
-5.83191596,1.02920992,0.30639796,0.20717587,0.25361309,0.20870002,0.05020534,0.05348390,0.30503182,0.00000000
-5.82591296,1.03998561,0.31081558,0.20832973,0.25944088,0.20619579,0.04944710,0.05607343,0.31169996,0.00000000
-5.81990995,1.05081820,0.31622251,0.20869145,0.26745482,0.20322531,0.04844672,0.05926550,0.31937952,0.00000000
-5.81390695,1.06173759,0.32263078,0.20826398,0.27766058,0.19981498,0.04721387,0.06305538,0.32806179,0.00000000
-5.80790395,1.07275867,0.33002255,0.20706857,0.29000516,0.19599894,0.04576262,0.06742285,0.33771162,0.00000000
-5.80190095,1.08387154,0.33834708,0.20514307,0.30437409,0.19181767,0.04411121,0.07233145,0.34826374,0.00000000
-5.79589795,1.09503231,0.34751850,0.20253963,0.32059051,0.18731650,0.04228153,0.07772806,0.35962000,0.00000000
-5.78989495,1.10615494,0.35741477,0.19932209,0.33841618,0.18254379,0.04029857,0.08354319,0.37164776,0.00000000
-5.78389195,1.11710495,0.36787779,0.19556319,0.35755452,0.17754900,0.03818969,0.08969168,0.38417966,0.00000000
