energy_ev,total_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,3.96143091,0.55509389,2.48782090,0.03767536,1.26238648,0.51714811,0.01851191
-5.99399700,3.84111371,0.52955675,2.41604407,0.03718831,1.22022453,0.49749591,0.01854839
-5.98799400,3.71683844,0.50466825,2.34101849,0.03660055,1.17753425,0.47721822,0.01855008
-5.98199100,3.58980831,0.48063209,2.26354182,0.03591281,1.13472809,0.45650490,0.01851697
-5.97598799,3.46135136,0.45766263,2.18448045,0.03512944,1.09225289,0.43555407,0.01845079
-5.96998499,3.33290632,0.43598243,2.10476020,0.03425856,1.05058444,0.41457031,0.01835505
-5.96398199,3.20600302,0.41581891,2.02535428,0.03331189,1.01022056,0.39376244,0.01823497
-5.95797899,3.08223773,0.39740049,1.94726855,0.03230460,0.97167274,0.37334090,0.01809737
-5.95197599,2.96324344,0.38095199,1.87152414,0.03125485,0.93545637,0.35351463,0.01795048
-5.94597299,2.85065582,0.36668945,1.79913784,0.03018339,0.90207995,0.33448759,0.01780366
-5.93996998,2.74607562,0.35481457,1.73110059,0.02911286,0.87203330,0.31645487,0.01766709
-5.93396698,2.65102844,0.34550866,1.66835456,0.02806713,0.84577534,0.29959858,0.01755140
-5.92796398,2.56692321,0.33892655,1.61176966,0.02707053,0.82372154,0.28408352,0.01746722
-5.92196098,2.49501069,0.33519040,1.56212008,0.02614700,0.80623159,0.27005294,0.01742483
-5.91595798,2.43634349,0.33438382,1.52006181,0.02531930,0.79359769,0.25762438,0.01743366
-5.90995498,2.39173926,0.33654646,1.48611196,0.02460820,0.78603379,0.24688600,0.01750192
-5.90395198,2.36174853,0.34166940,1.46063087,0.02403168,0.78366643,0.23789334,0.01763623
-5.89794897,2.34662878,0.34969152,1.44380761,0.02360429,0.78652737,0.23066686,0.01784126
-5.89194597,2.34632601,0.36049723,1.43564994,0.02333651,0.79454854,0.22519042,0.01811951
-5.88594297,2.36046500,0.37391565,1.43597908,0.02323436,0.80755963,0.22141072,0.01847113
-5.87993997,2.38834915,0.38972161,1.44442984,0.02329899,0.82528854,0.21923795,0.01889379
-5.87393697,2.42897028,0.40763844,1.46045647,0.02352662,0.84736479,0.21854754,0.01938272
-5.86793397,2.48102872,0.42734262,1.48334410,0.02390843,0.87332613,0.21918317,0.01993079
-5.86193097,2.54296312,0.44847040,1.51222574,0.02443086,0.90262804,0.22096092,0.02052869
-5.85592796,2.61298963,0.47062606,1.54610440,0.02507586,0.93465615,0.22367437,0.02116520
-5.84992496,2.68914899,0.49339176,1.58387961,0.02582145,0.96874104,0.22710062,0.02182757
-5.84392196,2.76936021,0.51633851,1.62437760,0.02664234,1.00417517,0.23100698,0.02250187
-5.83791896,2.85147890,0.53903802,1.66638410,0.02751072,1.04023130,0.23515803,0.02317349
-5.83191596,2.93335826,0.56107483,1.70867858,0.02839714,1.07618170,0.23932282,0.02382759
-5.82591296,3.01291024,0.58205824,1.75006870,0.02927145,1.11131762,0.24328189,0.02444962
-5.81990995,3.08816473,0.60163359,1.78942374,0.03010375,1.14496805,0.24683386,0.02502575
-5.81390695,3.15732419,0.61949221,1.82570560,0.03086539,1.17651728,0.24980123,0.02554335
-5.80790395,3.21881185,0.63537980,1.85799639,0.03152983,1.20542040,0.25203528,0.02599136
-5.80190095,3.27131121,0.64910250,1.88552133,0.03207358,1.23121612,0.25341968,0.02636063
-5.79589795,3.31379555,0.66053071,1.90766633,0.03247683,1.25353651,0.25387279,0.02664412
-5.78989495,3.34554608,0.66960012,1.92398930,0.03272408,1.27211308,0.25334858,0.02683711
-5.78389195,3.36615831,0.67631018,1.93422511,0.03280456,1.28677919,0.25183605,0.02693725
-5.77788894,3.37553639,0.68071983,1.93828385,0.03271242,1.29746854,0.24935726,0.02694449
-5.77188594,3.37387598,0.68294097,1.93624274,0.03244680,1.30420998,0.24596415,0.02686101
-5.76588294,3.36163658,0.68312977,1.92833205,0.03201169,1.30711891,0.24173426,0.02669098
-5.75987994,3.33950488,0.68147642,1.91491579,0.03141555,1.30638562,0.23676555,0.02644031
-5.75387694,3.30835090,0.67819389,1.89646814,0.03067085,1.30226140,0.23117078,0.02611631
-5.74787394,3.26917928,0.67350612,1.87354675,0.02979342,1.29504281,0.22507149,0.02572731
-5.74187094,3.22307786,0.66763647,1.84676413,0.02880176,1.28505521,0.21859209,0.02528232
-5.73586793,3.17116620,0.66079679,1.81675851,0.02771616,1.27263599,0.21185424,0.02479056
-5.72986493,3.11454633,0.65317786,1.78416538,0.02655797,1.25811865,0.20497182,0.02426119
-5.72386193,3.05425789,0.64494155,1.74959114,0.02534871,1.24181818,0.19804660,0.02370286
-5.71785893,2.99123964,0.63621494,1.71358971,0.02410933,1.22401847,0.19116502,0.02312349
-5.71185593,2.92629866,0.62708687,1.67664332,0.02285952,1.20496235,0.18439588,0.02253002
-5.70585293,2.86008856,0.61760682,1.63914791,0.02161712,1.18484449,0.17778919,0.02192822
-5.69984992,2.79309704,0.60778605,1.60140378,0.02039768,1.16380744,0.17137608,0.02132260
-5.69384692,2.72564285,0.59760099,1.56361166,0.01921411,1.14194084,0.16516974,0.02071639
-5.68784392,2.65788196,0.58699840,1.52587396,0.01807657,1.11928366,0.15916715,0.02011156
-5.68184092,2.58982176,0.57590211,1.48820107,0.01699235,1.09582921,0.15335163,0.01950891
-5.67583792,2.52134228,0.56422071,1.45052190,0.01596605,1.07153248,0.14769576,0.01890827
-5.66983492,2.45222281,0.55185584,1.41269817,0.01499973,1.04631934,0.14216476,0.01830860
-5.66383192,2.38217228,0.53871063,1.37454129,0.01409326,1.02009703,0.13671982,0.01770829
-5.65782891,2.31086150,0.52469766,1.33583098,0.01324465,0.99276531,0.13132145,0.01710536
-5.65182591,2.23795555,0.50974623,1.29633460,0.01245051,0.96422757,0.12593250,0.01649766
-5.64582291,2.16314468,0.49380852,1.25582606,0.01170646,0.93440153,0.12052079,0.01588315
-5.63981991,2.08617214,0.47686431,1.21410354,0.01100758,0.90322877,0.11506123,0.01526006
-5.63381691,2.00685777,0.45892420,1.17100510,0.01034882,0.87068280,0.10953733,0.01462707
-5.62781391,1.92511644,0.44003132,1.12642149,0.00972537,0.83677532,0.10394212,0.01398346
-5.62181091,1.84097071,0.42026131,1.08030578,0.00913297,0.80156037,0.09827851,0.01332919
-5.61580790,1.75455749,0.39972094,1.03267940,0.00856818,0.76513633,0.09255900,0.01266494
-5.60980490,1.66612886,0.37854546,0.98363464,0.00802857,0.72764583,0.08680498,0.01199216
-5.60380190,1.57604723,0.35689481,0.93333355,0.00751287,0.68927358,0.08104566,0.01131300
-5.59779890,1.48477575,0.33494914,0.88200366,0.00702102,0.65024245,0.07531659,0.01063026
-5.59179590,1.39286465,0.31290383,0.82993088,0.00655419,0.61080801,0.06965817,0.00994730
-5.58579290,1.30093453,0.29096431,0.77745004,0.00611481,0.57125199,0.06411397,0.00926793
-5.57978989,1.20965769,0.26934101,0.72493393,0.00570647,0.53187491,0.05872909,0.00859628
-5.57378689,1.11973860,0.24824455,0.67278114,0.00533385,0.49298843,0.05354874,0.00793665
-5.56778389,1.03189444,0.22788166,0.62140369,0.00500268,0.45490769,0.04861689,0.00729340
-5.56178089,0.94683677,0.20845158,0.57121480,0.00471960,0.41794400,0.04397520,0.00667082
-5.55577789,0.86525496,0.19014348,0.52261755,0.00449205,0.38239832,0.03966229,0.00607298
-5.54977489,0.78780211,0.17313451,0.47599474,0.00432825,0.34855552,0.03571316,0.00550371
-5.54377189,0.71508369,0.15758883,0.43170034,0.00423701,0.31667983,0.03215897,0.00496644
-5.53776888,0.64764931,0.14365733,0.39005282,0.00422771,0.28701142,0.02902705,0.00446421
-5.53176588,0.58598739,0.13147794,0.35133032,0.00431015,0.25976416,0.02634107,0.00399961
-5.52576288,0.53052265,0.12117654,0.31576779,0.00449444,0.23512454,0.02412140,0.00357478
-5.51975988,0.48161616,0.11286807,0.28355591,0.00479088,0.21325150,0.02238553,0.00319142
-5.51375688,0.43956720,0.10665778,0.25484160,0.00520981,0.19427719,0.02114856,0.00285080
-5.50775388,0.40461675,0.10264244,0.22972985,0.00576142,0.17830828,0.02042365,0.00255386
-5.50175088,0.37695164,0.10091119,0.20828650,0.00645553,0.16542761,0.02022238,0.00230116
-5.49574787,0.35670910,0.10154601,0.19054180,0.00730136,0.15569607,0.02055500,0.00209303
-5.48974487,0.34398087,0.10462158,0.17649421,0.00830725,0.14915428,0.02143053,0.00192957
-5.48374187,0.33881660,0.11020439,0.16611431,0.00948037,0.14582402,0.02285667,0.00181070
-5.47773887,0.34122592,0.11835113,0.15934835,0.01082641,0.14570923,0.02483953,0.00173621
-5.47173587,0.35117920,0.12910633,0.15612152,0.01234928,0.14879635,0.02738313,0.00170581
-5.46573287,0.36860664,0.14249920,0.15634044,0.01405078,0.15505407,0.03048879,0.00171910
-5.45972986,0.39339576,0.15853988,0.15989505,0.01593036,0.16443240,0.03415430,0.00177561
-5.45372686,0.42538755,0.17721519,0.16665979,0.01798489,0.17686117,0.03837301,0.00187479
-5.44772386,0.46437142,0.19848406,0.17649404,0.02020848,0.19224802,0.04313287,0.00201594
-5.44172086,0.51007950,0.22227289,0.18924200,0.02259242,0.21047612,0.04841547,0.00219824
-5.43571786,0.56218060,0.24847119,0.20473221,0.02512515,0.23140166,0.05419504,0.00242062
-5.42971486,0.62027455,0.27692757,0.22277669,0.02779237,0.25485161,0.06043769,0.00268178
-5.42371186,0.68388740,0.30744663,0.24317009,0.03057725,0.28062166,0.06710074,0.00298009
-5.41770885,0.75246802,0.33978680,0.26568892,0.03346069,0.30847484,0.07413226,0.00331351
-5.41170585,0.82538665,0.37365952,0.29009114,0.03642171,0.33814099,0.08147099,0.00367960
-5.40570285,0.90193589,0.40872994,0.31611618,0.03943791,0.36931710,0.08904641,0.00407540
-5.39969985,0.98133429,0.44461926,0.34348561,0.04248594,0.40166894,0.09677931,0.00449748
-5.39369685,1.06273295,0.48090882,0.37190449,0.04554204,0.43483387,0.10458259,0.00494183
-5.38769385,1.14522499,0.51714598,0.40106350,0.04858259,0.46842495,0.11236249,0.00540396
-5.38169085,1.22785788,0.55285165,0.43064184,0.05158456,0.50203623,0.12002007,0.00587887
-5.37568784,1.30964836,0.58752937,0.46031079,0.05452598,0.53524925,0.12745304,0.00636111
-5.36968484,1.38959948,0.62067567,0.48973794,0.05738633,0.56764043,0.13455780,0.00684485
-5.36368184,1.46671928,0.65179140,0.51859191,0.06014680,0.59878919,0.14123166,0.00732401
-5.35767884,1.54004043,0.68039365,0.54654735,0.06279046,0.62828646,0.14737518,0.00779231
-5.35167584,1.60864015,0.70602785,0.57329021,0.06530234,0.65574343,0.15289453,0.00824346
-5.34567284,1.67165963,0.72827960,0.59852288,0.06766939,0.68079993,0.15770374,0.00867125
-5.33966983,1.72832232,0.74678573,0.62196918,0.06988032,0.70313240,0.16172691,0.00906973
-5.33366683,1.77795023,0.76124419,0.64337899,0.07192545,0.72246092,0.16490012,0.00943333
-5.32766383,1.81997785,0.77142242,0.66253232,0.07379640,0.73855520,0.16717305,0.00975698
-5.32166083,1.85396310,0.77716377,0.67924280,0.07548587,0.75123918,0.16851029,0.01003630
-5.31565783,1.87959504,0.77839176,0.69336039,0.07698732,0.76039415,0.16889223,0.01026763
-5.30965483,1.89669803,0.77511202,0.70477343,0.07829481,0.76596033,0.16831552,0.01044817
-5.30365183,1.90523252,0.76741186,0.71340983,0.07940280,0.76793683,0.16679308,0.01057601
-5.29764882,1.90529246,0.75545741,0.71923756,0.08030608,0.76638008,0.16435369,0.01065019
-5.29164582,1.89709963,0.73948865,0.72226444,0.08099987,0.76140093,0.16104114,0.01067070
-5.28564282,1.88099530,0.71981231,0.72253727,0.08147988,0.75316046,0.15691301,0.01063846
-5.27963982,1.85742964,0.69679316,0.72014051,0.08174261,0.74186483,0.15203914,0.01055527
-5.27363682,1.82694942,0.67084399,0.71519432,0.08178571,0.72775942,0.14649973,0.01042377
-5.26763382,1.79018454,0.64241455,0.70785239,0.08160835,0.71112243,0.14038336,0.01024733
-5.26163082,1.74783384,0.61198010,0.69829931,0.08121169,0.69225829,0.13378479,0.01002995
-5.25562781,1.70065071,0.58002981,0.68674769,0.08059939,0.67149106,0.12680269,0.00977618
-5.24962481,1.64942885,0.54705551,0.67343509,0.07977799,0.64915801,0.11953746,0.00949097
-5.24362181,1.59498850,0.51354109,0.65862061,0.07875736,0.62560358,0.11208904,0.00917955
-5.23761881,1.53816340,0.47995289,0.64258133,0.07755089,0.60117381,0.10455492,0.00884734
-5.23161581,1.47978855,0.44673132,0.62560844,0.07617574,0.57621133,0.09702829,0.00849979
-5.22561281,1.42068896,0.41428393,0.60800320,0.07465276,0.55105089,0.08959650,0.00814231
-5.21960980,1.36166923,0.38297990,0.59007258,0.07300639,0.52601555,0.08233973,0.00778016
-5.21360680,1.30350415,0.35314620,0.57212472,0.07126428,0.50141333,0.07532993,0.00741835
-5.20760380,1.24693011,0.32506517,0.55446426,0.06945682,0.47753450,0.06863016,0.00706156
-5.20160080,1.19263743,0.29897359,0.53738742,0.06761650,0.45464918,0.06229412,0.00671410
-5.19559780,1.14126345,0.27506312,0.52117725,0.06577711,0.43300549,0.05636599,0.00637982
-5.18959480,1.09338651,0.25348176,0.50609885,0.06397293,0.41282800,0.05088062,0.00606209
-5.18359180,1.04952085,0.23433641,0.49239491,0.06223782,0.39431649,0.04586380,0.00576377
-5.17758879,1.01011242,0.21769607,0.48028164,0.06060423,0.37764504,0.04133293,0.00548721
-5.17158579,0.97553568,0.20359565,0.46994526,0.05910243,0.36296145,0.03729767,0.00523419
-5.16558279,0.94609160,0.19204005,0.46153919,0.05775957,0.35038678,0.03376086,0.00500600
-5.15957979,0.92200677,0.18300843,0.45518211,0.05659903,0.34001534,0.03071945,0.00480340
-5.15357679,0.90343366,0.17645829,0.45095681,0.05563981,0.33191478,0.02816552,0.00462669
-5.14757379,0.89045215,0.17232945,0.44891011,0.05489608,0.32612643,0.02608727,0.00447572
-5.14157079,0.88307211,0.17054753,0.44905366,0.05437686,0.32266593,0.02447004,0.00434996
-5.13556778,0.88123695,0.17102699,0.45136557,0.05408593,0.32152385,0.02329723,0.00424854
-5.12956478,0.88482797,0.17367353,0.45579284,0.05402185,0.32266657,0.02255116,0.00417033
-5.12356178,0.89366930,0.17838588,0.46225446,0.05417805,0.32603713,0.02221383,0.00411399
-5.11755878,0.90753313,0.18505687,0.47064479,0.05454317,0.33155606,0.02226757,0.00407807
-5.11155578,0.92614500,0.19357391,0.48083732,0.05510140,0.33912226,0.02269555,0.00406103
-5.10555278,0.94918897,0.20381881,0.49268841,0.05583291,0.34861370,0.02348221,0.00406133
-5.09954977,0.97631236,0.21566707,0.50604086,0.05671435,0.35988807,0.02461350,0.00407750
-5.09354677,1.00713007,0.22898682,0.52072728,0.05771937,0.37278340,0.02607704,0.00410817
-5.08754377,1.04122832,0.24363741,0.53657296,0.05881917,0.38711859,0.02786218,0.00415213
-5.08154077,1.07816791,0.25946798,0.55339838,0.05998303,0.40269403,0.02995994,0.00420834
-5.07553777,1.11748708,0.27631598,0.57102121,0.06117888,0.41929232,0.03236286,0.00427596
-5.06953477,1.15870418,0.29400606,0.58925783,0.06237388,0.43667935,0.03506478,0.00435438
-5.06353177,1.20132040,0.31234926,0.60792458,0.06353493,0.45460566,0.03806056,0.00444314
-5.05752876,1.24482271,0.33114280,0.62683870,0.06462929,0.47280840,0.04134573,0.00454200
-5.05152576,1.28868739,0.35017063,0.64581912,0.06562518,0.49101389,0.04491608,0.00465085
-5.04552276,1.33238440,0.36920460,0.66468726,0.06649239,0.50894084,0.04876727,0.00476968
-5.03951976,1.37538247,0.38800661,0.68326783,0.06720289,0.52630443,0.05289432,0.00489856
-5.03351676,1.41715537,0.40633153,0.70138992,0.06773152,0.54282095,0.05729107,0.00503757
-5.02751376,1.45718902,0.42393086,0.71888807,0.06805659,0.55821325,0.06194973,0.00518673
-5.02151076,1.49498939,0.44055714,0.73560373,0.06816055,0.57221665,0.06686021,0.00534598
-5.01550775,1.53009107,0.45596887,0.75138673,0.06803051,0.58458521,0.07200963,0.00551508
-5.00950475,1.56206593,0.46993582,0.76609688,0.06765878,0.59509810,0.07738169,0.00569359
-5.00350175,1.59053178,0.48224446,0.77960560,0.06704327,0.60356592,0.08295612,0.00588084
-4.99749875,1.61516040,0.49270339,0.79179732,0.06618775,0.60983648,0.08870817,0.00607584
-4.99149575,1.63568454,0.50114841,0.80257080,0.06510191,0.61380000,0.09460816,0.00627729
-4.98549275,1.65190364,0.50744721,0.81184004,0.06380134,0.61539319,0.10062108,0.00648353
-4.97948974,1.66368783,0.51150321,0.81953485,0.06230723,0.61460226,0.10670642,0.00669257
-4.97348674,1.67097999,0.51325862,0.82560108,0.06064585,0.61146438,0.11281812,0.00690207
-4.96748374,1.67379582,0.51269646,0.83000036,0.05884791,0.60606771,0.11890470,0.00710936
-4.96148074,1.67222180,0.50984150,0.83270958,0.05694766,0.59854972,0.12490966,0.00731147
-4.95547774,1.66641123,0.50476003,0.83372007,0.05498192,0.58909394,0.13077215,0.00750522
-4.94947474,1.65657849,0.49755845,0.83303658,0.05298888,0.57792519,0.13642781,0.00768721
-4.94347174,1.64299176,0.48838081,0.83067625,0.05100694,0.56530338,0.14181003,0.00785394
-4.93746873,1.62596466,0.47740532,0.82666754,0.04907340,0.55151615,0.14685128,0.00800192
-4.93146573,1.60584697,0.46483989,0.82104933,0.04722335,0.53687061,0.15148471,0.00812770
-4.92546273,1.58301496,0.45091696,0.81387021,0.04548841,0.52168441,0.15564596,0.00822802
-4.91945973,1.55786159,0.43588774,0.80518793,0.04389580,0.50627651,0.15927495,0.00829988
-4.91345673,1.53078688,0.42001601,0.79506911,0.04246745,0.49095805,0.16231774,0.00834067
-4.90745373,1.50218877,0.40357172,0.78358907,0.04121932,0.47602345,0.16472827,0.00834824
-4.90145073,1.47245458,0.38682450,0.77083175,0.04016104,0.46174224,0.16646998,0.00832098
-4.89544772,1.44195329,0.37003739,0.75688957,0.03929566,0.44835179,0.16751717,0.00825792
-4.88944472,1.41102866,0.35346080,0.74186319,0.03861971,0.43605121,0.16785597,0.00815874
-4.88344172,1.37999339,0.33732700,0.72586102,0.03812353,0.42499660,0.16748507,0.00802381
-4.87743872,1.34912410,0.32184522,0.70899838,0.03779174,0.41529773,0.16641587,0.00785420
-4.87143572,1.31865749,0.30719744,0.69139622,0.03760395,0.40701634,0.16467228,0.00765168
-4.86543272,1.28878733,0.29353508,0.67317945,0.03753566,0.40016600,0.16229012,0.00741864
-4.85942971,1.25966262,0.28097657,0.65447487,0.03755921,0.39471347,0.15931601,0.00715806
-4.85342671,1.23138678,0.26960591,0.63540870,0.03764490,0.39058156,0.15580601,0.00687340
-4.84742371,1.20401796,0.25947225,0.61610393,0.03776205,0.38765339,0.15182391,0.00656853
-4.84142071,1.17757057,0.25059051,0.59667757,0.03788020,0.38577772,0.14743946,0.00624761
-4.83541771,1.15201809,0.24294297,0.57723798,0.03797008,0.38477537,0.14272635,0.00591495
-4.82941471,1.12729713,0.23648192,0.55788252,0.03800468,0.38444636,0.13776039,0.00557496
-4.82341171,1.10331285,0.23113309,0.53869560,0.03796009,0.38457762,0.13261767,0.00523196
-4.81740870,1.07994573,0.22680002,0.51974741,0.03781624,0.38495106,0.12737303,0.00489014
-4.81140570,1.05705948,0.22336908,0.50109337,0.03755750,0.38535158,0.12209881,0.00455344
-4.80540270,1.03451014,0.22071500,0.48277449,0.03717306,0.38557507,0.11686388,0.00422549
-4.79939970,1.01215592,0.21870682,0.46481848,0.03665722,0.38543592,0.11173315,0.00390956
-4.79339670,0.98986773,0.21721403,0.44724184,0.03600942,0.38477390,0.10676734,0.00360852
-4.78739370,0.96753986,0.21611263,0.43005259,0.03523414,0.38346030,0.10202324,0.00332483
-4.78139070,0.94510039,0.21529105,0.41325370,0.03434070,0.38140299,0.09755417,0.00306053
-4.77538769,0.92252099,0.21465547,0.39684688,0.03334283,0.37855034,0.09341071,0.00281730
-4.76938469,0.89982547,0.21413456,0.38083661,0.03225822,0.37489385,0.08964163,0.00259644
-4.76338169,0.87709668,0.21368328,0.36523411,0.03110793,0.37046939,0.08629480,0.00239895
-4.75737869,0.85448124,0.21328560,0.35006109,0.02991570,0.36535686,0.08341811,0.00222558
-4.75137569,0.83219181,0.21295604,0.33535290,0.02870734,0.35967847,0.08106024,0.00207685
-4.74537269,0.81050642,0.21273980,0.32116103,0.02750994,0.35359539,0.07927113,0.00195313
-4.73936968,0.78976484,0.21271155,0.30755476,0.02635115,0.34730297,0.07810218,0.00185468
-4.73336668,0.77036180,0.21297288,0.29462178,0.02525850,0.34102461,0.07760607,0.00178164
-4.72736368,0.75273719,0.21364823,0.28246779,0.02425867,0.33500435,0.07783615,0.00173413
-4.72136068,0.73736350,0.21487985,0.27121511,0.02337682,0.32949849,0.07884541,0.00171217
-4.71535768,0.72473075,0.21682150,0.26100023,0.02263601,0.32476633,0.08068508,0.00171577
-4.70935468,0.71532964,0.21963147,0.25197062,0.02205661,0.32106045,0.08340283,0.00174484
-4.70335168,0.70963334,0.22346504,0.24428076,0.02165580,0.31861686,0.08704076,0.00179921
-4.69734867,0.70807888,0.22846675,0.23808770,0.02144713,0.31764518,0.09163319,0.00187859
-4.69134567,0.71104871,0.23476279,0.23354632,0.02144015,0.31831951,0.09720447,0.00198254
-4.68534267,0.71885345,0.24245386,0.23080454,0.02164017,0.32077012,0.10376677,0.00211040
-4.67933967,0.73171656,0.25160897,0.22999867,0.02204802,0.32507641,0.11131825,0.00226127
-4.67333667,0.74976171,0.26226024,0.23124911,0.02265997,0.33126159,0.11984144,0.00243398
-4.66733367,0.77300348,0.27439927,0.23465656,0.02346776,0.33928908,0.12930228,0.00262708
-4.66133067,0.80134199,0.28797503,0.24029899,0.02445869,0.34906116,0.13964960,0.00283878
-4.65532766,0.83456174,0.30289365,0.24822924,0.02561583,0.36041986,0.15081536,0.00306697
-4.64932466,0.87233491,0.31901994,0.25847358,0.02691843,0.37315007,0.16271557,0.00330926
-4.64332166,0.91422903,0.33618081,0.27103109,0.02834226,0.38698504,0.17525193,0.00356296
-4.63731866,0.95971879,0.35417034,0.28587377,0.02986026,0.40161395,0.18831413,0.00382519
-4.63131566,1.00820161,0.37275633,0.30294758,0.03144312,0.41669129,0.20178273,0.00409287
-4.62531266,1.05901620,0.39168803,0.32217403,0.03306002,0.43184792,0.21553255,0.00436287
-4.61930965,1.11146347,0.41070472,0.34345239,0.03467940,0.44670310,0.22943635,0.00463205
-4.61330665,1.16482888,0.42954476,0.36666236,0.03626979,0.46087728,0.24336866,0.00489735
-4.60730365,1.21840510,0.44795458,0.39166703,0.03780062,0.47400495,0.25720961,0.00515595
-4.60130065,1.27151427,0.46569734,0.41831600,0.03924307,0.48574709,0.27084849,0.00540530
-4.59529765,1.32352864,0.48256070,0.44644867,0.04057079,0.49580272,0.28418697,0.00564324
-4.58929465,1.37388897,0.49836353,0.47589736,0.04176067,0.50391904,0.29714171,0.00586810
-4.58329165,1.42211969,0.51296106,0.50649038,0.04279344,0.50989981,0.30964631,0.00607873
