energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.47012655,0.01633936,0.04277585,0.49543993,0.14983751,0.03081615,0.84492543,0.24943362,0.05808338
-5.99399700,1.37507476,0.01495839,0.04015271,0.46598372,0.13868688,0.02860813,0.79075281,0.23529946,0.05377393
-5.98799400,1.27909754,0.01360068,0.03745445,0.43576855,0.12769205,0.02638980,0.73600358,0.22071303,0.04953127
-5.98199100,1.18310662,0.01228183,0.03471723,0.40512414,0.11693471,0.02418867,0.68119342,0.20582771,0.04538403
-5.97598799,1.08800571,0.01101523,0.03197596,0.37438295,0.10649232,0.02202989,0.62683630,0.19080300,0.04135976
-5.96998499,0.99466348,0.00981197,0.02926343,0.34387003,0.09643592,0.01993580,0.57342880,0.17579916,0.03748407
-5.96398199,0.90388964,0.00868072,0.02660963,0.31389396,0.08682838,0.01792563,0.52143612,0.16097202,0.03377991
-5.95797899,0.81641480,0.00762780,0.02404118,0.28473888,0.07772304,0.01601526,0.47128012,0.14646847,0.03026698
-5.95197599,0.73287477,0.00665730,0.02158094,0.25665800,0.06916277,0.01421722,0.42332997,0.13242253,0.02696132
-5.94597299,0.65379955,0.00577122,0.01924783,0.22986882,0.06117961,0.01254068,0.37789528,0.11895225,0.02387509
-5.93996998,0.57960701,0.00496971,0.01705668,0.20454986,0.05379467,0.01099166,0.33522216,0.10615745,0.02101650
-5.93396698,0.51060120,0.00425133,0.01501837,0.18083915,0.04701860,0.00957324,0.29549173,0.09411838,0.01838988
-5.92796398,0.44697490,0.00361333,0.01314002,0.15883424,0.04085235,0.00828586,0.25882126,0.08289517,0.01599591
-5.92196098,0.38881585,0.00305191,0.01142529,0.13859359,0.03528818,0.00712772,0.22526731,0.07252810,0.01383200
-5.91595798,0.33611605,0.00256252,0.00987477,0.12013911,0.03031098,0.00609512,0.19483088,0.06303856,0.01189268
-5.90995498,0.28878360,0.00214011,0.00848647,0.10345975,0.02589972,0.00518288,0.16746386,0.05443058,0.01017015
-5.90395198,0.24665621,0.00177943,0.00725632,0.08851570,0.02202902,0.00438476,0.14307658,0.04669280,0.00865481
-5.89794897,0.20951579,0.00147516,0.00617869,0.07524308,0.01867074,0.00369382,0.12154607,0.03980080,0.00733587
-5.89194597,0.17710358,0.00122220,0.00524699,0.06355890,0.01579564,0.00310283,0.10272456,0.03371959,0.00620192
-5.88594297,0.14913509,0.00101579,0.00445414,0.05336596,0.01337493,0.00260460,0.08644793,0.02840618,0.00524148
-5.87993997,0.12531461,0.00085167,0.00379313,0.04455764,0.01138184,0.00219230,0.07254400,0.02381217,0.00444361
-5.87393697,0.10534872,0.00072618,0.00325754,0.03702233,0.00979302,0.00185974,0.06084015,0.01988622,0.00379834
-5.86793397,0.08895872,0.00063637,0.00284192,0.03064751,0.00858989,0.00160163,0.05117037,0.01657627,0.00329720
-5.86193097,0.07589163,0.00058006,0.00254230,0.02532321,0.00775989,0.00141379,0.04338149,0.01383169,0.00293360
-5.85592796,0.06592967,0.00055590,0.00235647,0.02094507,0.00729752,0.00129336,0.03733854,0.01160501,0.00270319
-5.84992496,0.05889831,0.00056337,0.00228436,0.01741675,0.00720539,0.00123892,0.03292927,0.00985353,0.00260417
-5.84392196,0.05467257,0.00060284,0.00232829,0.01465181,0.00749496,0.00125066,0.03006769,0.00854054,0.00263749
-5.83791896,0.05318185,0.00067555,0.00249317,0.01257508,0.00818727,0.00133042,0.02869677,0.00763637,0.00280706
-5.83191596,0.05441307,0.00078354,0.00278660,0.01112358,0.00931337,0.00148181,0.02879020,0.00711910,0.00311976
-5.82591296,0.05841220,0.00092970,0.00321901,0.01024695,0.01091461,0.00171021,0.03035331,0.00697506,0.00358553
-5.81990995,0.06528416,0.00111761,0.00380357,0.00990749,0.01304265,0.00202274,0.03342301,0.00719915,0.00421719
-5.81390695,0.07519089,0.00135154,0.00455610,0.01007988,0.01575920,0.00242825,0.03806693,0.00779479,0.00503029
