energy_ev,total_up,Al_p_up,Al_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,6.48479812,0.23412765,0.00000000,3.06893875,3.08859498,0.05032275,3.67219618
-5.99399700,6.84807798,0.24420409,0.00000000,3.20067469,3.29069451,0.05217799,3.89647048
-5.98799400,7.20667703,0.25419174,0.00000000,3.33067930,3.48923749,0.05386136,4.11824860
-5.98199100,7.55583934,0.26399223,0.00000000,3.45722048,3.68118862,0.05535016,4.33440431
-5.97598799,7.89067152,0.27349696,0.00000000,3.57845013,3.86351071,0.05662400,4.54173228
-5.96998499,8.20625268,0.28258878,0.00000000,3.69244827,4.03324196,0.05766523,4.73702433
-5.96398199,8.49775395,0.29114436,0.00000000,3.79727399,4.18757546,0.05845938,4.91715133
-5.95797899,8.76056403,0.29903689,0.00000000,3.89102131,4.32393842,0.05899549,5.07914787
-5.95197599,8.99041628,0.30613929,0.00000000,3.97187783,4.44006805,0.05926633,5.22029694
-5.94597299,9.18351277,0.31232761,0.00000000,4.03818367,4.53408114,0.05926861,5.33821116
-5.93996998,9.33664055,0.31748469,0.00000000,4.08848839,4.60453451,0.05900300,5.43090760
-5.93396698,9.44727543,0.32150381,0.00000000,4.12160333,4.65047388,0.05847408,5.49687310
-5.92796398,9.51366889,0.32429219,0.00000000,4.13664715,4.67146891,0.05769028,5.53511726
-5.92196098,9.53491449,0.32577428,0.00000000,4.13308266,4.66763280,0.05666358,5.54521100
-5.91595798,9.51099053,0.32589462,0.00000000,4.11074314,4.63962553,0.05540926,5.52730877
-5.90995498,9.44277690,0.32462014,0.00000000,4.06984723,4.58864032,0.05394553,5.48215342
-5.90395198,9.33204480,0.32194183,0.00000000,4.01100144,4.51637363,0.05229307,5.41106318
-5.89794897,9.18141941,0.31787565,0.00000000,3.93519035,4.42497966,0.05047461,5.31590119
-5.89194597,8.99431620,0.31246269,0.00000000,3.84375456,4.31701102,0.04851438,5.19902830
-5.88594297,8.77485305,0.30576843,0.00000000,3.73835748,4.19534750,0.04643764,5.06324098
-5.87993997,8.52774108,0.29788129,0.00000000,3.62094195,4.06311557,0.04427011,4.91169619
-5.87393697,8.25815779,0.28891035,0.00000000,3.49367849,3.92360131,0.04203752,4.74782604
-5.86793397,7.97160719,0.27898252,0.00000000,3.35890693,3.78015985,0.03976507,4.57524494
-5.86193097,7.67377159,0.26823906,0.00000000,3.21907359,3.63612415,0.03747701,4.39765259
-5.85592796,7.37036029,0.25683178,0.00000000,3.07666623,3.49471626,0.03519625,4.21873579
-5.84992496,7.06696042,0.24491904,0.00000000,2.93414897,3.35896352,0.03294398,4.04207241
-5.84392196,6.76889482,0.23266159,0.00000000,2.79389934,3.23162257,0.03073943,3.87104053
-5.83791896,6.48109172,0.22021862,0.00000000,2.65814944,3.11511290,0.02859965,3.70873541
-5.83191596,6.20797038,0.20774408,0.00000000,2.52893320,3.01146193,0.02653936,3.55789685
-5.82591296,5.95334597,0.19538333,0.00000000,2.40804097,2.92226298,0.02457094,3.42084888
-5.81990995,5.72035644,0.18327037,0.00000000,2.29698296,2.84864680,0.02270439,3.29945335
-5.81390695,5.51141300,0.17152570,0.00000000,2.19696217,2.79126732,0.02094747,3.19507854
-5.80790395,5.32817508,0.16025476,0.00000000,2.10885741,2.75030158,0.01930583,3.10858325
-5.80190095,5.17154968,0.14954707,0.00000000,2.03321663,2.72546346,0.01778323,3.04031654
-5.79589795,5.04171393,0.13947597,0.00000000,1.97026006,2.71603039,0.01638181,2.99013250
-5.78989495,4.93815933,0.13009899,0.00000000,1.91989303,2.72088200,0.01510237,2.95741929
-5.78389195,4.85975485,0.12145862,0.00000000,1.88172713,2.73854932,0.01394468,2.94114091
-5.77788894,4.80482601,0.11358360,0.00000000,1.85510903,2.76727258,0.01290783,2.93989019
-5.77188594,4.77124629,0.10649034,0.00000000,1.83915538,2.80506600,0.01199054,2.95195062
-5.76588294,4.75653701,0.10018463,0.00000000,1.83279234,2.84978705,0.01119145,2.97536498
-5.75987994,4.75797181,0.09466339,0.00000000,1.83479829,2.89920827,0.01050937,3.00800811
-5.75387694,4.77268162,0.08991631,0.00000000,1.84384806,2.95108899,0.00994355,3.04766128
-5.74787394,4.79775649,0.08592743,0.00000000,1.85855701,3.00324484,0.00949384,3.09208554
-5.74187094,4.83034074,0.08267655,0.00000000,1.87752372,3.05361263,0.00916078,3.13909162
-5.73586793,4.86771825,0.08014031,0.00000000,1.89936969,3.10030863,0.00894571,3.18660395
-5.72986493,4.90738555,0.07829310,0.00000000,1.92277507,3.14167824,0.00885071,3.23271689
-5.72386193,4.94711055,0.07710771,0.00000000,1.94650938,3.17633558,0.00887856,3.27574130
-5.71785893,4.98497574,0.07655559,0.00000000,1.96945666,3.20319179,0.00903256,3.31424031
-5.71185593,5.01940507,0.07660709,0.00000000,1.99063438,3.22147133,0.00931638,3.34705333
-5.70585293,5.04917464,0.07723128,0.00000000,2.00920625,3.23071595,0.00973373,3.37330801
