energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,1.47903837,0.45005949,0.40796993,0.00419901,0.09837422,0.02843452,0.85017785,0.39590256,0.16999863
-5.99399700,1.46265759,0.43833507,0.40874913,0.00427045,0.09404313,0.02899913,0.84182250,0.38310217,0.16738073
-5.98799400,1.44405912,0.42684498,0.40787182,0.00432131,0.09033220,0.02938323,0.83199017,0.37067240,0.16471814
-5.98199100,1.42314843,0.41559510,0.40530774,0.00434910,0.08724798,0.02957837,0.82064748,0.35874685,0.16197540
-5.97598799,1.40003958,0.40465125,0.40108295,0.00435204,0.08481059,0.02958036,0.80787866,0.34749869,0.15914435
-5.96998499,1.37504212,0.39413273,0.39527796,0.00432904,0.08305121,0.02938946,0.79387865,0.33713286,0.15624254
-5.96398199,1.34864139,0.38420411,0.38802401,0.00427977,0.08200910,0.02901033,0.77894235,0.32787716,0.15331068
-5.95797899,1.32147297,0.37506554,0.37949751,0.00420460,0.08172839,0.02845188,0.76345058,0.31997271,0.15040941
-5.95197599,1.29429232,0.36694212,0.36991299,0.00410458,0.08225477,0.02772703,0.74785313,0.31366393,0.14761541
-5.94597299,1.26794096,0.36007253,0.35951480,0.00398139,0.08363205,0.02685221,0.73264979,0.30918856,0.14501713
-5.93996998,1.24331030,0.35469755,0.34856792,0.00383724,0.08589889,0.02584685,0.71836998,0.30676794,0.14271020
-5.93396698,1.22130476,0.35104876,0.33734821,0.00367477,0.08908563,0.02473276,0.70555183,0.30659783,0.14079276
-5.92796398,1.20280529,0.34933783,0.32613264,0.00349699,0.09321144,0.02353342,0.69472141,0.30884011,0.13936094
-5.92196098,1.18863477,0.34974676,0.31518973,0.00330710,0.09828187,0.02227333,0.68637296,0.31361555,0.13850451
-5.91595798,1.17952653,0.35241941,0.30477067,0.00310844,0.10428675,0.02097722,0.68095080,0.32099776,0.13830302
-5.90995498,1.17609691,0.35745451,0.29510144,0.00290434,0.11119864,0.01966948,0.67883345,0.33100868,0.13882244
-5.90395198,1.17882281,0.36490035,0.28637618,0.00269803,0.11897192,0.01837347,0.68032052,0.34361550,0.14011244
-5.89794897,1.18802490,0.37475139,0.27875210,0.00249256,0.12754231,0.01711103,0.68562282,0.35872925,0.14220438
-5.89194597,1.20385672,0.38694665,0.27234593,0.00229072,0.13682713,0.01590202,0.69485567,0.37620490,0.14511011
-5.88594297,1.22629994,0.40137006,0.26723211,0.00209497,0.14672611,0.01476399,0.70803569,0.39584317,0.14882141
-5.87993997,1.25516551,0.41785250,0.26344257,0.00190742,0.15712281,0.01371195,0.72508099,0.41739376,0.15331029
-5.87393697,1.29010041,0.43617561,0.26096816,0.00172980,0.16788651,0.01275819,0.74581436,0.44055999,0.15852985
