energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,V_p_up,V_d_up
-6.00000000,3.07410038,0.00313922,0.04412283,0.02615259,2.11739690,0.73984701,0.25881268,1.25615913,0.47453473
-5.99399700,3.00420460,0.00297839,0.04314837,0.02609662,2.06963659,0.71689736,0.25390344,1.22313735,0.46246255
-5.98799400,2.92260205,0.00281157,0.04202683,0.02593446,2.01376235,0.69141156,0.24794928,1.18547964,0.44850002
-5.98199100,2.83042749,0.00264154,0.04076399,0.02566659,1.95057615,0.66374362,0.24103320,1.14375344,0.43285977
-5.97598799,2.72899426,0.00247104,0.03936985,0.02529525,1.88100048,0.63428993,0.23325318,1.09859449,0.41578130
-5.96998499,2.61975618,0.00230273,0.03785809,0.02482453,1.80605196,0.60347689,0.22471941,1.05068803,0.39752430
-5.96398199,2.50426835,0.00213913,0.03624556,0.02426028,1.72681417,0.57174843,0.21555125,1.00074965,0.37836212
-5.95797899,2.38414815,0.00198250,0.03455162,0.02361013,1.64441070,0.53955398,0.20587431,0.94950649,0.35857528
-5.95197599,2.26103746,0.00183489,0.03279763,0.02288334,1.55997898,0.50733696,0.19581754,0.89767936,0.33844544
-5.94597299,2.13656717,0.00169801,0.03100628,0.02209071,1.47464577,0.47552434,0.18551044,0.84596615,0.31824984
-5.93996998,2.01232452,0.00157325,0.02920104,0.02124437,1.38950465,0.44451738,0.17508048,0.79502716,0.29825633
-5.93396698,1.88982397,0.00146167,0.02740564,0.02035761,1.30559591,0.41468371,0.16465079,0.74547224,0.27871913
-5.92796398,1.77048179,0.00136395,0.02564350,0.01944462,1.22388909,0.38635085,0.15433804,0.69785031,0.25987518
-5.92196098,1.65559461,0.00128043,0.02393731,0.01852022,1.14526832,0.35980122,0.14425069,0.65264099,0.24194128
-5.91595798,1.54632199,0.00121111,0.02230856,0.01759958,1.07052042,0.33526858,0.13448746,0.61024859,0.22511175
-5.90995498,1.44367277,0.00115565,0.02077722,0.01669788,1.00032573,0.31293588,0.12513609,0.57099821,0.20955684
-5.90395198,1.34849528,0.00111344,0.01936137,0.01583003,0.93525161,0.29293442,0.11627246,0.53513393,0.19542146
-5.89794897,1.26147094,0.00108358,0.01807693,0.01501033,0.87574844,0.27534418,0.10795991,0.50281893,0.18282450
-5.89194597,1.18311121,0.00106494,0.01693742,0.01425214,0.82214791,0.26019517,0.10024884,0.47413731,0.17185843
-5.88594297,1.11375752,0.00105624,0.01595377,0.01356760,0.77466355,0.24746976,0.09317660,0.44909749,0.16258921
-5.87993997,1.05358399,0.00105601,0.01513415,0.01296735,0.73339325,0.23710581,0.08676760,0.42763703,0.15505646
-5.87393697,1.00260276,0.00106272,0.01448386,0.01246026,0.69832355,0.22900041,0.08103362,0.40962859,0.14927376
-5.86793397,0.96067167,0.00107478,0.01400527,0.01205323,0.66933581,0.22301422,0.07597442,0.39488699,0.14522918
-5.86193097,0.92750411,0.00109059,0.01369775,0.01175101,0.64621375,0.21897628,0.07157844,0.38317704,0.14288599
