energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,3.74507429,0.01552958,0.75988357,0.57297979,0.14487864,1.92083701,0.93118479,0.03246744,1.11080267
-5.99399700,3.58104246,0.01451472,0.72969643,0.55353963,0.13450278,1.82678170,0.89646050,0.03015411,1.05744950
-5.98799400,3.41794469,0.01353833,0.69849091,0.53477876,0.12473178,1.73185582,0.86056587,0.02799268,1.00630988
-5.98199100,3.25786250,0.01261241,0.66668208,0.51690468,0.11570118,1.63733545,0.82399030,0.02600261,0.95802615
-5.97598799,3.10284456,0.01174875,0.63468467,0.50012401,0.10753969,1.54441974,0.78723705,0.02420340,0.91322210
-5.96998499,2.95487306,0.01095864,0.60290481,0.48464090,0.10036743,1.45421044,0.75081342,0.02261417,0.87249517
-5.96398199,2.81583543,0.01025264,0.57173330,0.47065527,0.09429430,1.36769663,0.71522238,0.02125333,0.83640943
-5.95797899,2.68750104,0.00964037,0.54154053,0.45836100,0.08941858,1.28574424,0.68095584,0.02013814,0.80548922
-5.95197599,2.57150206,0.00913023,0.51267272,0.44794372,0.08582571,1.20909008,0.64848916,0.01928434,0.78021296
-5.94597299,2.46931729,0.00872925,0.48544944,0.43957808,0.08358722,1.13833949,0.61827691,0.01870570,0.76100700
-5.93996998,2.38225786,0.00844289,0.46016207,0.43342441,0.08275963,1.07396706,0.59074932,0.01841356,0.74823897
-5.93396698,2.31145356,0.00827487,0.43707280,0.42962473,0.08338350,1.01631953,0.56630924,0.01841647,0.74221059
-5.92796398,2.25783885,0.00822710,0.41641409,0.42829797,0.08548233,0.96562013,0.54532906,0.01871965,0.74314974
-5.92196098,2.22213800,0.00829950,0.39838810,0.42953476,0.08906153,0.92197375,0.52814757,0.01932466,0.75120169
-5.91595798,2.20484895,0.00849000,0.38316604,0.43339168,0.09410735,0.88537252,0.51506618,0.02022893,0.76641992
-5.90995498,2.20622623,0.00879447,0.37088720,0.43988547,0.10058575,0.85570145,0.50634467,0.02142539,0.78875670
-5.90395198,2.22626351,0.00920670,0.36165765,0.44898735,0.10844147,0.83274405,0.50219631,0.02290220,0.81805390
-5.89794897,2.26467696,0.00971848,0.35554866,0.46061791,0.11759716,0.81618800,0.50278245,0.02464245,0.85403488
-5.89194597,2.32089061,0.01031960,0.35259489,0.47464297,0.12795282,0.80563109,0.50820687,0.02662407,0.89629783
-5.88594297,2.39402557,0.01099803,0.35279250,0.49087075,0.13938557,0.80058777,0.51851011,0.02881978,0.94431169
-5.87993997,2.48289463,0.01174004,0.35609750,0.50905067,0.15174997,0.80049654,0.53366423,0.03119728,0.99741508
-5.87393697,2.58600401,0.01253042,0.36242447,0.52887424,0.16487887,0.80472868,0.55356844,0.03371950,1.05481905
-5.86793397,2.70156362,0.01335274,0.37164595,0.54997804,0.17858498,0.81259849,0.57804593,0.03634514,1.11561411
-5.86193097,2.82750705,0.01418965,0.38359273,0.57194902,0.19266318,0.82337534,0.60684247,0.03902934,1.17878200
-5.85592796,2.96152180,0.01502319,0.39805517,0.59433209,0.20689362,0.83629746,0.63962700,0.04172456,1.24321211
-5.84992496,3.10109003,0.01583524,0.41478578,0.61663980,0.22104561,0.85058741,0.67599463,0.04438170,1.30772270
-5.84392196,3.24353918,0.01660785,0.43350302,0.63836395,0.23488218,0.86546905,0.71547204,0.04695124,1.37108624
-5.83791896,3.38610159,0.01732371,0.45389641,0.65898865,0.24816528,0.88018550,0.75752542,0.04938469,1.43205852
-5.83191596,3.52598121,0.01796655,0.47563273,0.67800449,0.26066154,0.89401753,0.80157081,0.05163598,1.48941041
-5.82591296,3.66042543,0.01852156,0.49836324,0.69492312,0.27214821,0.90630182,0.84698661,0.05366297,1.54196135
-5.81990995,3.78679940,0.01897575,0.52173162,0.70929185,0.28241927,0.91644838,0.89312770,0.05542890,1.58861324
-5.81390695,3.90265987,0.01931831,0.54538240,0.72070748,0.29129137,0.92395636,0.93934100,0.05690383,1.62838357
-5.80790395,4.00582578,0.01954089,0.56896941,0.72882897,0.29860944,0.92842761,0.98498145,0.05806585,1.66043623
-5.80190095,4.09444245,0.01963780,0.59216404,0.73338832,0.30425160,0.92957744,1.02942814,0.05890216,1.68410888
-5.79589795,4.16703680,0.01960613,0.61466290,0.73419911,0.30813335,0.92724207,1.07209966,0.05940992,1.69893570
-5.78989495,4.22256103,0.01944583,0.63619461,0.73116262,0.31021058,0.92138246,1.11246821,0.05959675,1.70466434
-5.78389195,4.26042304,0.01915962,0.65652532,0.72427098,0.31048158,0.91208429,1.15007169,0.05948102,1.70126652
-5.77788894,4.28050217,0.01875292,0.67546300,0.71360741,0.30898761,0.89955428,1.18452361,0.05909169,1.68894160
-5.77188594,4.28314955,0.01823361,0.69286011,0.69934353,0.30581223,0.88411284,1.21552011,0.05846786,1.66811294
-5.76588294,4.26917334,0.01761173,0.70861488,0.68173382,0.30107927,0.86618355,1.24284424,0.05765807,1.63941716
-5.75987994,4.23980931,0.01689921,0.72267107,0.66110755,0.29494947,0.84627991,1.26636728,0.05671912,1.60368666
-5.75387694,4.19667840,0.01610941,0.73501645,0.63785843,0.28761612,0.82498990,1.28604729,0.05571476,1.56192591
-5.74787394,4.14173302,0.01525679,0.74568023,0.61243256,0.27929949,0.80295916,1.30192533,0.05471405,1.51528266
-5.74187094,4.07719463,0.01435641,0.75472961,0.58531498,0.27024068,0.78087338,1.31411953,0.05378957,1.46501486
