energy_ev,total_up,Cu_p_up,Cu_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,0.57283521,0.21090495,0.19140439,0.00280462,0.00010944,0.01577265,0.37062110
-5.99399700,0.57177994,0.20794957,0.19240436,0.00252095,0.00010808,0.01569554,0.36960111
-5.98799400,0.57097277,0.20486208,0.19337297,0.00226364,0.00010790,0.01557720,0.36862056
-5.98199100,0.57037821,0.20164275,0.19429453,0.00203072,0.00010892,0.01541815,0.36764904
-5.97598799,0.56996479,0.19829365,0.19515443,0.00182033,0.00011116,0.01521934,0.36665810
-5.96998499,0.56970757,0.19481911,0.19594031,0.00163068,0.00011466,0.01498214,0.36562326
-5.96398199,0.56959024,0.19122609,0.19664299,0.00146014,0.00011943,0.01470833,0.36452564
-5.95797899,0.56960624,0.18752442,0.19725722,0.00130716,0.00012551,0.01440013,0.36335325
-5.95197599,0.56975913,0.18372700,0.19778205,0.00117030,0.00013291,0.01406016,0.36210168
-5.94597299,0.57006181,0.17984970,0.19822090,0.00104822,0.00014164,0.01369142,0.36077423
-5.93996998,0.57053467,0.17591120,0.19858117,0.00093967,0.00015170,0.01329726,0.35938131
-5.93396698,0.57120265,0.17193248,0.19887343,0.00084349,0.00016306,0.01288132,0.35793914
-5.92796398,0.57209135,0.16793615,0.19911028,0.00075857,0.00017567,0.01244747,0.35646781
-5.92196098,0.57322231,0.16394564,0.19930483,0.00068388,0.00018949,0.01199975,0.35498881
-5.91595798,0.57460784,0.15998413,0.19946891,0.00061846,0.00020440,0.01154222,0.35352204
-5.90995498,0.57624560,0.15607339,0.19961126,0.00056138,0.00022028,0.01107895,0.35208269
-5.90395198,0.57811342,0.15223265,0.19973559,0.00051179,0.00023698,0.01061385,0.35067805
-5.89794897,0.58016478,0.14847743,0.19983884,0.00046888,0.00025431,0.01015063,0.34930449
-5.89194597,0.58232520,0.14481848,0.19990979,0.00043189,0.00027204,0.00969266,0.34794504
-5.88594297,0.58449006,0.14126097,0.19992796,0.00040013,0.00028993,0.00924291,0.34656745
-5.87993997,0.58652411,0.13780389,0.19986314,0.00037293,0.00030770,0.00880392,0.34512331
-5.87393697,0.58826274,0.13443981,0.19967546,0.00034971,0.00032506,0.00837770,0.34354806
-5.86793397,0.58951534,0.13115496,0.19931617,0.00032994,0.00034168,0.00796572,0.34176208
-5.86193097,0.59007039,0.12792971,0.19872900,0.00031315,0.00035725,0.00756893,0.33967292
-5.85592796,0.58970246,0.12473942,0.19785217,0.00029895,0.00037147,0.00718775,0.33717850
-5.84992496,0.58818048,0.12155558,0.19662089,0.00028703,0.00038402,0.00682213,0.33417120
-5.84392196,0.58527718,0.11834726,0.19497024,0.00027718,0.00039463,0.00647162,0.33054256
-5.83791896,0.58077900,0.11508271,0.19283829,0.00026930,0.00040304,0.00613539,0.32618851
-5.83191596,0.57449601,0.11173112,0.19016927,0.00026344,0.00040906,0.00581241,0.32101454
-5.82591296,0.56627130,0.10826428,0.18691661,0.00025982,0.00041250,0.00550144,0.31494081
-5.81990995,0.55598934,0.10465828,0.18304568,0.00025887,0.00041327,0.00520119,0.30790675
-5.81390695,0.54358269,0.10089487,0.17853605,0.00026126,0.00041131,0.00491041,0.29987486
-5.80790395,0.52903690,0.09696265,0.17338320,0.00026800,0.00040662,0.00462793,0.29083355
-5.80190095,0.51239308,0.09285790,0.16759943,0.00028048,0.00039928,0.00435274,0.28079884
-5.79589795,0.49374830,0.08858501,0.16121418,0.00030057,0.00038940,0.00408407,0.26981485
-5.78989495,0.47325348,0.08415654,0.15427343,0.00033071,0.00037717,0.00382139,0.25795297
-5.78389195,0.45110921,0.07959291,0.14683854,0.00037408,0.00036280,0.00356445,0.24530988
-5.77788894,0.42755956,0.07492169,0.13898433,0.00043466,0.00034656,0.00331327,0.23200452
-5.77188594,0.40288438,0.07017666,0.13079668,0.00051748,0.00032873,0.00306810,0.21817408
-5.76588294,0.37739039,0.06539656,0.12236979,0.00062874,0.00030965,0.00282944,0.20396949
-5.75987994,0.35140164,0.06062376,0.11380314,0.00077603,0.00028962,0.00259796,0.18955031
-5.75387694,0.32524984,0.05590278,0.10519836,0.00096853,0.00026898,0.00237445,0.17507967
-5.74787394,0.29926494,0.05127889,0.09665627,0.00121724,0.00024805,0.00215979,0.16071923
-5.74187094,0.27376644,0.04679671,0.08827406,0.00153516,0.00022713,0.00195491,0.14662446
-5.73586793,0.24905584,0.04249900,0.08014281,0.00193754,0.00020650,0.00176068,0.13294062
-5.72986493,0.22541036,0.03842561,0.07234550,0.00244198,0.00018641,0.00157793,0.11979925
-5.72386193,0.20307819,0.03461271,0.06495540,0.00306861,0.00016707,0.00140739,0.10731568
-5.71785893,0.18227526,0.03109212,0.05803503,0.00384016,0.00014868,0.00124966,0.09558718
-5.71185593,0.16318360,0.02789104,0.05163563,0.00478189,0.00013137,0.00110517,0.08469216
-5.70585293,0.14595103,0.02503186,0.04579707,0.00592152,0.00011524,0.00097423,0.07469001
-5.69984992,0.13069205,0.02253223,0.04054816,0.00728896,0.00010038,0.00085694,0.06562176
-5.69384692,0.11748971,0.02040524,0.03590732,0.00891592,0.00008680,0.00075328,0.05751129
-5.68784392,0.10639814,0.01865971,0.03188351,0.01083535,0.00007453,0.00066306,0.05036697
-5.68184092,0.09744539,0.01730056,0.02847727,0.01308076,0.00006353,0.00058598,0.04418363
-5.67583792,0.09063648,0.01632916,0.02568192,0.01568524,0.00005377,0.00052159,0.03894469
-5.66983492,0.08595620,0.01574366,0.02348465,0.01868047,0.00004518,0.00046937,0.03462430
-5.66383192,0.08337158,0.01553926,0.02186760,0.02209541,0.00003770,0.00042870,0.03118931
-5.65782891,0.08283385,0.01570836,0.02080881,0.02595496,0.00003123,0.00039892,0.02860115
-5.65182591,0.08427980,0.01624072,0.02028296,0.03027848,0.00002569,0.00037929,0.02681732
-5.64582291,0.08763247,0.01712335,0.02026195,0.03507826,0.00002098,0.00036906,0.02579260
-5.63981991,0.09280126,0.01834046,0.02071531,0.04035799,0.00001701,0.00036741,0.02547994
-5.63381691,0.09968157,0.01987327,0.02161036,0.04611132,0.00001371,0.00037355,0.02583095
-5.62781391,0.10815403,0.02169976,0.02291232,0.05232058,0.00001097,0.00038662,0.02679613
-5.62181091,0.11808358,0.02379447,0.02458423,0.05895568,0.00000873,0.00040578,0.02832486
-5.61580790,0.12931856,0.02612831,0.02658688,0.06597338,0.00000691,0.00043016,0.03036520
-5.60980490,0.14169006,0.02866836,0.02887867,0.07331688,0.00000545,0.00045887,0.03286354
-5.60380190,0.15501171,0.03137792,0.03141555,0.08091595,0.00000429,0.00049104,0.03576431
-5.59779890,0.16908007,0.03421660,0.03415102,0.08868742,0.00000339,0.00052574,0.03900968
-5.59179590,0.18367586,0.03714058,0.03703632,0.09653633,0.00000270,0.00056209,0.04253944
-5.58579290,0.19856605,0.04010309,0.04002072,0.10435750,0.00000218,0.00059917,0.04629102
-5.57978989,0.21350684,0.04305505,0.04305202,0.11203766,0.00000182,0.00063612,0.05019984
-5.57378689,0.22824765,0.04594591,0.04607722,0.11945806,0.00000159,0.00067205,0.05419979
-5.56778389,0.24253585,0.04872464,0.04904337,0.12649741,0.00000147,0.00070617,0.05822414
-5.56178089,0.25612226,0.05134085,0.05189860,0.13303517,0.00000145,0.00073768,0.06220656
-5.55577789,0.26876711,0.05374602,0.05459324,0.13895499,0.00000153,0.00076591,0.06608246
-5.54977489,0.28024627,0.05589475,0.05708099,0.14414816,0.00000169,0.00079023,0.06979044
-5.54377189,0.29035746,0.05774605,0.05932010,0.14851707,0.00000193,0.00081014,0.07327385
-5.53776888,0.29892614,0.05926450,0.06127459,0.15197830,0.00000226,0.00082525,0.07648229
