energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,5.68788321,0.01823313,0.62871475,0.77186591,0.44417668,1.95385262,2.09930937,0.04559402,2.46081211
-5.99399700,5.73111730,0.01856813,0.64066609,0.76519020,0.44067921,1.99094486,2.11085932,0.04636889,2.47371119
-5.98799400,5.77804402,0.01893304,0.65357406,0.75904541,0.43714625,2.02957510,2.12400621,0.04716775,2.48846178
-5.98199100,5.82757572,0.01931842,0.66727342,0.75345000,0.43360895,2.06907571,2.13842222,0.04798004,2.50461921
-5.97598799,5.87839184,0.01971465,0.68157810,0.74837787,0.43008195,2.10871466,2.15368833,0.04879385,2.52161879
-5.96998499,5.92897481,0.02011218,0.69628618,0.74376070,0.42656400,2.14771740,2.16930468,0.04959601,2.53879215
-5.96398199,5.97766042,0.02050186,0.71118631,0.73949279,0.42303979,2.18529281,2.18470654,0.05037228,2.55539036
-5.95797899,6.02270050,0.02087526,0.72606537,0.73543822,0.41948261,2.22066224,2.19928519,0.05110769,2.57061267
-5.95197599,6.06233501,0.02122495,0.74071711,0.73143980,0.41585801,2.25309014,2.21241274,0.05178693,2.58363981
-5.94597299,6.09487005,0.02154482,0.75495114,0.72732941,0.41212786,2.28191500,2.22346979,0.05239484,2.59366997
-5.93996998,6.11875782,0.02183030,0.76860198,0.72293912,0.40825495,2.30657882,2.23187433,0.05291693,2.59995591
-5.93396698,6.13267437,0.02207853,0.78153760,0.71811249,0.40420743,2.32665375,2.23711060,0.05333994,2.60184115
-5.92796398,6.13559111,0.02228852,0.79366692,0.71271549,0.39996327,2.34186441,2.23875621,0.05365242,2.59879360
-5.92196098,6.12683628,0.02246123,0.80494584,0.70664625,0.39551401,2.35210448,2.23650619,0.05384530,2.59043470
-5.91595798,6.10614289,0.02259947,0.81538147,0.69984336,0.39086797,2.35744690,2.23019269,0.05391234,2.57656289
-5.90995498,6.07368069,0.02270793,0.82503405,0.69229208,0.38605244,2.35814657,2.21979912,0.05385059,2.55716984
-5.90395198,6.03007011,0.02279293,0.83401662,0.68402812,0.38111492,2.35463551,2.20546815,0.05366071,2.53244896
-5.89794897,5.97637725,0.02286225,0.84249202,0.67513899,0.37612313,2.34751042,2.18750287,0.05334723,2.50279546
-5.89194597,5.91408979,0.02292485,0.85066757,0.66576253,0.37116396,2.33751301,2.16636109,0.05291856,2.46879801
-5.88594297,5.84507473,0.02299055,0.85878731,0.65608288,0.36634124,2.32550378,2.14264295,0.05238704,2.43122240
-5.87993997,5.77151952,0.02306972,0.86712225,0.64632411,0.36177258,2.31243051,2.11707225,0.05176869,2.39098774
-5.87393697,5.69585915,0.02317289,0.87595881,0.63674158,0.35758523,2.29929250,2.09047236,0.05108294,2.34913641
-5.86793397,5.62069213,0.02331041,0.88558615,0.62761170,0.35391133,2.28710225,2.06373781,0.05035218,2.30679893
