energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up
-6.00000000,10.83761429,1.57496821,7.22322154,0.00708122,1.25196820,0.70997157,0.31010033,0.08385750,1.52802330
-5.99399700,10.83556491,1.60671224,7.15599467,0.00770595,1.21607216,0.73650994,0.32196380,0.08799973,1.57857227
-5.98799400,10.86665489,1.64430562,7.10847194,0.00837507,1.18562261,0.76610431,0.33531608,0.09233333,1.63465583
-5.98199100,10.92775122,1.68672738,7.07883616,0.00908743,1.16026687,0.79857720,0.35007591,0.09679550,1.69583339
-5.97598799,11.01533803,1.73293349,7.06500127,0.00984164,1.13958215,0.83370503,0.36616648,0.10132050,1.76160792
-5.96998499,11.12562555,1.78188279,7.06468645,0.01063614,1.12308983,0.87121851,0.38351869,0.10584146,1.83143610
-5.96398199,11.25466294,1.83256169,7.07549273,0.01146922,1.11027038,0.91080453,0.40207383,0.11029222,1.90473988
-5.95797899,11.39845048,1.88400676,7.09497926,0.01233908,1.10057851,0.95210954,0.42178554,0.11460920,1.98091925
-5.95197599,11.55304714,1.93532464,7.12073613,0.01324388,1.09345791,0.99474444,0.44262092,0.11873319,2.05936549
-5.94597299,11.71466927,1.98570856,7.15045098,0.01418180,1.08835521,1.03829094,0.46456065,0.12261089,2.13947472
-5.93996998,11.87977681,2.03445101,7.18196692,0.01515105,1.08473263,1.08230910,0.48759813,0.12619637,2.22066086
-5.93396698,12.04514392,2.08095229,7.21332977,0.01614994,1.08207903,1.12634600,0.51173748,0.12945205,2.30236760
-5.92796398,12.20791171,2.12472473,7.24282323,0.01717689,1.07991896,1.16994500,0.53699055,0.13234949,2.38407870
-5.92196098,12.36562178,2.16539266,7.26899131,0.01823037,1.07781971,1.21265540,0.56337294,0.13486973,2.46532618
-5.91595798,12.51623032,2.20268849,7.29064789,0.01930898,1.07539611,1.25404205,0.59089923,0.13700326,2.54569596
-5.90995498,12.65810336,2.23644525,7.30687424,0.02041131,1.07231326,1.29369452,0.61957749,0.13874962,2.62483071
-5.90395198,12.78999493,2.26658626,7.31700568,0.02153596,1.06828724,1.33123554,0.64940349,0.14011666,2.70242976
-5.89794897,12.91101082,2.29311274,7.32060924,0.02268145,1.06308417,1.36632819,0.68035475,0.14111948,2.77824609
-5.89194597,13.02056098,2.31609016,7.31745452,0.02384614,1.05651775,1.39868179,0.71238473,0.14177914,2.85208071
-5.88594297,13.11830444,2.33563413,7.30748023,0.02502819,1.04844583,1.42805618,0.74541763,0.14212118,2.92377470
-5.87993997,13.20409060,2.35189691,7.29075886,0.02622547,1.03876620,1.45426415,0.77934387,0.14217405,2.99319954
-5.87393697,13.27790091,2.36505497,7.26746189,0.02743551,1.02741212,1.47717226,0.81401680,0.14196756,3.06024622
-5.86793397,13.33979447,2.37529856,7.23782769,0.02865547,1.01434784,1.49669982,0.84925064,0.14153137,3.12481394
-5.86193097,13.38986082,2.38282349,7.20213397,0.02988213,0.99956439,1.51281637,0.88482007,0.14089359,3.18679912
-5.85592796,13.42818239,2.38782556,7.16067593,0.03111192,0.98307590,1.52553775,0.92046148,0.14007963,3.24608541
-5.84992496,13.45480835,2.39049754,7.11375103,0.03234092,0.96491667,1.53492111,0.95587592,0.13911127,3.30253536
-5.84392196,13.46974070,2.39102871,7.06165056,0.03356495,0.94513882,1.54105915,0.99073389,0.13800600,3.35598436
-5.83791896,13.47293262,2.38960639,7.00465777,0.03477966,0.92381080,1.54407389,1.02468162,0.13677667,3.40623721
-5.83191596,13.46429822,2.38641910,6.94305176,0.03598059,0.90101649,1.54411034,1.05734892,0.13543145,3.45306762
-5.82591296,13.44373223,2.38166073,6.87711618,0.03716332,0.87685480,1.54133042,1.08835816,0.13397399,3.49622070
-5.81990995,13.41113731,2.37553487,6.80715110,0.03832354,0.85143969,1.53590725,1.11733412,0.13240392,3.53541838
-5.81390695,13.36645657,2.36825877,6.73348683,0.03945712,0.82490029,1.52802021,1.14391441,0.13071747,3.57036737
-5.80790395,13.30970845,2.36006621,6.65649781,0.04056021,0.79738101,1.51785083,1.16775996,0.12890832,3.60076932
-5.80190095,13.24102112,2.35120866,6.57661529,0.04162923,0.76904145,1.50557949,1.18856527,0.12696847,3.62633256
-5.79589795,13.16066365,2.34195449,6.49433741,0.04266090,0.74005595,1.49138320,1.20606794,0.12488920,3.64678475
-5.78989495,13.06907169,2.33258586,6.41023549,0.04365215,0.71061262,1.47543406,1.22005715,0.12266207,3.66188571
-5.78389195,12.96686564,2.32339333,6.32495607,0.04460005,0.68091191,1.45789861,1.23038078,0.12027973,3.67143975
-5.77788894,12.85485995,2.31466835,6.23921788,0.04550172,0.65116450,1.43893771,1.23695080,0.11773678,3.67530682
-5.77188594,12.73406281,2.30669395,6.15380411,0.04635413,0.62158877,1.41870685,1.23974678,0.11503043,3.67341184
-5.76588294,12.60566610,2.29973425,6.06954992,0.04715396,0.59240766,1.39735680,1.23881744,0.11216097,3.66575176
-5.75987994,12.47102596,2.29402330,5.98732599,0.04789748,0.56384523,1.37503431,1.23428001,0.10913220,3.65240005
-5.75387694,12.33163521,2.28975413,5.90801881,0.04858033,0.53612290,1.35188278,1.22631755,0.10595154,3.63350840
-5.74787394,12.18908888,2.28706861,5.83250887,0.04919747,0.50945556,1.32804288,1.21517432,0.10263008,3.60930558
-5.74187094,12.04504480,2.28604892,5.76164762,0.04974313,0.48404771,1.30365294,1.20114931,0.09918244,3.58009367
-5.73586793,11.90118119,2.28671137,5.69623468,0.05021075,0.46008965,1.27884920,1.18458818,0.09562645,3.54624187
-5.72986493,11.75915342,2.28900285,5.63699612,0.05059314,0.43775401,1.25376594,1.16587386,0.09198283,3.50817820
-5.72386193,11.62055191,2.29280061,5.58456497,0.05088260,0.41719256,1.22853540,1.14541625,0.08827462,3.46637970
-5.71785893,11.48686318,2.29791523,5.53946474,0.05107115,0.39853350,1.20328780,1.12364118,0.08452669,3.42136141
-5.71185593,11.35943547,2.30409711,5.50209666,0.05115087,0.38187925,1.17815131,1.10097918,0.08076509,3.37366490
-5.70585293,11.23945040,2.31104596,5.47273096,0.05111427,0.36730476,1.15325223,1.07785431,0.07701649,3.32384654
-5.69984992,11.12790151,2.31842326,5.45150248,0.05095473,0.35485642,1.12871520,1.05467347,0.07330758,3.27246631
-5.69384692,11.02558014,2.32586687,5.43841046,0.05066690,0.34455152,1.10466372,1.03181656,0.06966446,3.22007728
-5.68784392,10.93306894,2.33300745,5.43332240,0.05024722,0.33637838,1.08122077,1.00962772,0.06611216,3.16721630
-5.68184092,10.85074257,2.33948577,5.43598140,0.04969429,0.33029697,1.05850954,0.98840809,0.06267415,3.11439607
-5.67583792,10.77877540,2.34497023,5.44601654,0.04900929,0.32624013,1.03665425,0.96841013,0.05937199,3.06209882
-5.66983492,10.71715511,2.34917398,5.46295567,0.04819622,0.32411535,1.01578088,0.94983382,0.05622499,3.01077172
-5.66383192,10.66570155,2.35187069,5.48623981,0.04726221,0.32380702,0.99601774,0.93282484,0.05324999,2.96082407
-5.65782891,10.62408964,2.35290860,5.51523859,0.04621749,0.32517921,0.97749571,0.91747468,0.05046122,2.91262626
-5.65182591,10.59187526,2.35222212,5.54926596,0.04507546,0.32807880,0.96034812,0.90382270,0.04787025,2.86651027
-5.64582291,10.56852296,2.34984061,5.58759574,0.04385249,0.33233905,0.94471011,0.89186012,0.04548595,2.82277183
-5.63981991,10.55343443,2.34589399,5.62947641,0.04256765,0.33778343,0.93071737,0.88153553,0.04331463,2.78167366
-5.63381691,10.54597654,2.34061503,5.67414473,0.04124229,0.34422965,0.91850442,0.87276190,0.04136013,2.74344984
-5.62781391,10.54550802,2.33433800,5.72083806,0.03989958,0.35149380,0.90820216,0.86542458,0.03962399,2.70831071
-5.62181091,10.55140376,2.32749390,5.76880511,0.03856388,0.35939443,0.89993500,0.85939003,0.03810572,2.67644813
-5.61580790,10.56307588,2.32060213,5.81731506,0.03726011,0.36775657,0.89381760,0.85451477,0.03680300,2.64804049
-5.60980490,10.57999085,2.31425876,5.86566514,0.03601305,0.37641533,0.88995117,0.85065423,0.03571191,2.62325723
-5.60380190,10.60168197,2.30912172,5.91318674,0.03484671,0.38521918,0.88841988,0.84767094,0.03482724,2.60226238
-5.59779890,10.62775682,2.30589298,5.95925016,0.03378355,0.39403263,0.88928715,0.84544177,0.03414271,2.58521666
-5.59179590,10.65789930,2.30529824,6.00326832,0.03284398,0.40273823,0.89259228,0.84386387,0.03365118,2.57227804
-5.58579290,10.69186634,2.30806444,6.04469951,0.03204569,0.41123784,0.89834754,0.84285885,0.03334486,2.56360025
-5.57978989,10.72947939,2.31489565,6.08304959,0.03140330,0.41945305,0.90653588,0.84237532,0.03321551,2.55932942
-5.57378689,10.77061116,2.32644790,6.11787376,0.03092791,0.42732478,0.91710939,0.84238941,0.03325457,2.55959866
-5.56778389,10.81516850,2.34330380,6.14877817,0.03062693,0.43481211,0.92998867,0.84290347,0.03345323,2.56452091
-5.56178089,10.86307221,2.36594752,6.17542163,0.03050397,0.44189027,0.94506323,0.84394299,0.03380256,2.57418029
