energy_ev,total_up,Mo_p_up,Mo_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,1.45826210,1.15086207,0.65634140,0.00642330,0.24628737,0.00969938,0.46409017
-5.99399700,1.44523867,1.13635612,0.65332600,0.00646357,0.23708269,0.00948257,0.45984236
-5.98799400,1.43712543,1.12579563,0.65294228,0.00650183,0.22903886,0.00931803,0.45675229
-5.98199100,1.43437355,1.11949675,0.65538350,0.00653872,0.22223037,0.00921034,0.45500195
-5.97598799,1.43735977,1.11773981,0.66080958,0.00657494,0.21672342,0.00916331,0.45474430
-5.96998499,1.44637254,1.12076139,0.66933935,0.00661118,0.21257321,0.00917983,0.45609870
-5.96398199,1.46160061,1.12874821,0.68104402,0.00664809,0.20982202,0.00926187,0.45914719
-5.95797899,1.48312473,1.14183271,0.69594205,0.00668626,0.20849774,0.00941032,0.46393178
-5.95197599,1.51091251,1.16009057,0.71399578,0.00672617,0.20861314,0.00962506,0.47045281
-5.94597299,1.54481691,1.18353989,0.73510980,0.00676816,0.21016576,0.00990486,0.47866852
-5.93996998,1.58457817,1.21214181,0.75913132,0.00681239,0.21313820,0.01024749,0.48849585
-5.93396698,1.62982917,1.24580242,0.78585237,0.00685881,0.21749900,0.01064972,0.49981244
-5.92796398,1.68010407,1.28437557,0.81501387,0.00690718,0.22320368,0.01110742,0.51245991
-5.92196098,1.73484981,1.32766624,0.84631133,0.00695704,0.23019609,0.01161567,0.52624813
-5.91595798,1.79344005,1.37543423,0.87940208,0.00700772,0.23840973,0.01216886,0.54096063
-5.90995498,1.85519093,1.42739783,0.91391357,0.00705840,0.24776914,0.01276085,0.55636069
-5.90395198,1.91937818,1.48323719,0.94945255,0.00710809,0.25819107,0.01338514,0.57219805
-5.89794897,1.98525469,1.54259741,0.98561476,0.00715573,0.26958551,0.01403496,0.58821606
-5.89194597,2.05206809,1.60509099,1.02199458,0.00720022,0.28185651,0.01470348,0.60415878
-5.88594297,2.11907746,1.67029986,1.05819453,0.00724047,0.29490274,0.01538396,0.61977798
-5.87993997,2.18556868,1.73777696,1.09383390,0.00727547,0.30861784,0.01606985,0.63483967
-5.87393697,2.25086783,1.80704751,1.12855657,0.00730435,0.32289060,0.01675492,0.64912987
-5.86793397,2.31435222,1.87761026,1.16203738,0.00732639,0.33760514,0.01743339,0.66245946
-5.86193097,2.37545876,1.94893885,1.19398710,0.00734112,0.35264090,0.01809998,0.67466794
-5.85592796,2.43368952,2.02048377,1.22415579,0.00734826,0.36787295,0.01874998,0.68562595
-5.84992496,2.48861456,2.09167499,1.25233449,0.00734779,0.38317228,0.01937925,0.69523644
-5.84392196,2.53987214,2.16192573,1.27835546,0.00733991,0.39840652,0.01998425,0.70343468
-5.83791896,2.58716670,2.23063757,1.30209087,0.00732501,0.41344097,0.02056204,0.71018692
-5.83191596,2.63026505,2.29720696,1.32345048,0.00730363,0.42814000,0.02111021,0.71548815
-5.82591296,2.66899136,2.36103338,1.34237839,0.00727644,0.44236897,0.02162685,0.71935884
-5.81990995,2.70322151,2.42152912,1.35884928,0.00724410,0.45599653,0.02211051,0.72184122
-5.81390695,2.73287742,2.47813043,1.37286443,0.00720730,0.46889736,0.02256012,0.72299504
-5.80790395,2.75792196,2.53030993,1.38444800,0.00716662,0.48095524,0.02297497,0.72289338
-5.80190095,2.77835488,2.57758982,1.39364366,0.00712249,0.49206627,0.02335466,0.72161854
-5.79589795,2.79421011,2.61955551,1.40051196,0.00707520,0.50214225,0.02369905,0.71925840
-5.78989495,2.80555458,2.65586888,1.40512846,0.00702480,0.51111394,0.02400828,0.71590332
-5.78389195,2.81248866,2.68628080,1.40758277,0.00697114,0.51893398,0.02428279,0.71164387
-5.77788894,2.81514792,2.71064193,1.40797839,0.00691383,0.52557946,0.02452330,0.70656923
-5.77188594,2.81370584,2.72891132,1.40643312,0.00685232,0.53105371,0.02473087,0.70076654
-5.76588294,2.80837710,2.74116191,1.40307997,0.00678588,0.53538739,0.02490697,0.69432086
-5.75987994,2.79942058,2.74758262,1.39806810,0.00671371,0.53863848,0.02505352,0.68731584
-5.75387694,2.78714162,2.74847630,1.39156353,0.00663493,0.54089127,0.02517293,0.67983474
-5.74787394,2.77189270,2.74425339,1.38374925,0.00654872,0.54225420,0.02526812,0.67196175
-5.74187094,2.75407196,2.73542116,1.37482436,0.00645433,0.54285653,0.02534262,0.66378320
-5.73586793,2.73411898,2.72256859,1.36500210,0.00635120,0.54284394,0.02540046,0.65538865
-5.72986493,2.71250768,2.70634728,1.35450640,0.00623893,0.54237315,0.02544619,0.64687144
-5.72386193,2.68973590,2.68744890,1.34356708,0.00611740,0.54160580,0.02548481,0.63832865
-5.71785893,2.66631211,2.66658010,1.33241360,0.00598675,0.54070172,0.02552159,0.62986035
-5.71185593,2.64273938,2.64443567,1.32126764,0.00584740,0.53981198,0.02556198,0.62156804
-5.70585293,2.61949728,2.62167117,1.31033471,0.00570003,0.53907193,0.02561136,0.61355232
-5.69984992,2.59702267,2.59887638,1.29979538,0.00554557,0.53859467,0.02567484,0.60590988
-5.69384692,2.57569015,2.57655047,1.28979640,0.00538516,0.53846517,0.02575704,0.59872993
-5.68784392,2.55579342,2.55508052,1.28044244,0.00522009,0.53873546,0.02586178,0.59209032
-5.68184092,2.53752868,2.53472415,1.27178893,0.00505172,0.53942103,0.02599187,0.58605353
