energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-5.79589795,0.47988973,0.04670672,0.00000000,0.18383250,0.11952003,0.20532471,0.00000000
-5.78989495,0.50863787,0.04858184,0.00000000,0.19465893,0.12803542,0.21842134,0.00000000
-5.78389195,0.54225155,0.05027941,0.00000000,0.20679090,0.13779274,0.23474065,0.00000000
-5.77788894,0.58028601,0.05176126,0.00000000,0.22010858,0.14868479,0.25406903,0.00000000
-5.77188594,0.62231384,0.05299464,0.00000000,0.23450407,0.16060500,0.27619485,0.00000000
-5.76588294,0.66792144,0.05395319,0.00000000,0.24988028,0.17344709,0.30090452,0.00000000
-5.75987994,0.71670470,0.05461756,0.00000000,0.26614918,0.18710493,0.32797842,0.00000000
-5.75387694,0.76826410,0.05497594,0.00000000,0.28322946,0.20147223,0.35718697,0.00000000
-5.74787394,0.82219986,0.05502418,0.00000000,0.30104370,0.21644247,0.38828710,0.00000000
-5.74187094,0.87810719,0.05476579,0.00000000,0.31951521,0.23190883,0.42101932,0.00000000
-5.73586793,0.93557209,0.05421160,0.00000000,0.33856475,0.24776424,0.45510568,0.00000000
-5.72986493,0.99416794,0.05337917,0.00000000,0.35810716,0.26390151,0.49024864,0.00000000
-5.72386193,1.05345289,0.05229206,0.00000000,0.37804817,0.28021344,0.52613097,0.00000000
-5.71785893,1.11296840,0.05097885,0.00000000,0.39828156,0.29659301,0.56241675,0.00000000
-5.71185593,1.17223878,0.04947207,0.00000000,0.41868672,0.31293341,0.59875336,0.00000000
-5.70585293,1.23077192,0.04780701,0.00000000,0.43912684,0.32912805,0.63477443,0.00000000
-5.69984992,1.28806113,0.04602056,0.00000000,0.45944789,0.34507042,0.67010364,0.00000000
-5.69384692,1.34358796,0.04415002,0.00000000,0.47947834,0.36065383,0.70435923,0.00000000
-5.68784392,1.39682615,0.04223195,0.00000000,0.49902983,0.37577105,0.73715902,0.00000000
-5.68184092,1.44724633,0.04030118,0.00000000,0.51789866,0.39031390,0.76812587,0.00000000
-5.67583792,1.49432169,0.03838992,0.00000000,0.53586832,0.40417283,0.79689326,0.00000000
-5.66983492,1.53753421,0.03652706,0.00000000,0.55271274,0.41723659,0.82311102,0.00000000
-5.66383192,1.57638165,0.03473762,0.00000000,0.56820043,0.42939208,0.84645090,0.00000000
-5.65782891,1.61038501,0.03304240,0.00000000,0.58209918,0.44052457,0.86661200,0.00000000
-5.65182591,1.63909640,0.03145780,0.00000000,0.59418138,0.45051823,0.88332579,0.00000000
-5.64582291,1.66210724,0.02999583,0.00000000,0.60422965,0.45925716,0.89636087,0.00000000
-5.63981991,1.67905658,0.02866422,0.00000000,0.61204265,0.46662705,0.90552711,0.00000000
-5.63381691,1.68963944,0.02746677,0.00000000,0.61744087,0.47251723,0.91067938,0.00000000
-5.62781391,1.69361486,0.02640370,0.00000000,0.62027220,0.47682340,0.91172057,0.00000000
-5.62181091,1.69081356,0.02547207,0.00000000,0.62041704,0.47945071,0.90860403,0.00000000
-5.61580790,1.68114475,0.02466639,0.00000000,0.61779281,0.48031723,0.90133524,0.00000000
-5.60980490,1.66460197,0.02397907,0.00000000,0.61235757,0.47935759,0.88997274,0.00000000
-5.60380190,1.64126750,0.02340099,0.00000000,0.60411279,0.47652657,0.87462809,0.00000000
-5.59779890,1.61131515,0.02292203,0.00000000,0.59310487,0.47180248,0.85546507,0.00000000
-5.59179590,1.57501108,0.02253154,0.00000000,0.57942555,0.46519015,0.83269769,0.00000000
-5.58579290,1.53271252,0.02221878,0.00000000,0.56321107,0.45672323,0.80658741,0.00000000
-5.57978989,1.48486413,0.02197334,0.00000000,0.54464002,0.44646565,0.77743908,0.00000000
-5.57378689,1.43199214,0.02178549,0.00000000,0.52393004,0.43451228,0.74559613,0.00000000
-5.56778389,1.37469619,0.02164648,0.00000000,0.50133341,0.42098844,0.71143458,0.00000000
-5.56178089,1.31363915,0.02154883,0.00000000,0.47713170,0.40604847,0.67535638,0.00000000
-5.55577789,1.24953517,0.02148661,0.00000000,0.45162961,0.38987329,0.63778200,0.00000000
-5.54977489,1.18313645,0.02145569,0.00000000,0.42514831,0.37266714,0.59914254,0.00000000
-5.54377189,1.11521913,0.02145397,0.00000000,0.39801844,0.35465360,0.55987161,0.00000000
-5.53776888,1.04656888,0.02148164,0.00000000,0.37057310,0.33607108,0.52039719,0.00000000
-5.53176588,0.97796679,0.02154147,0.00000000,0.34314102,0.31716806,0.48113377,0.00000000
-5.52576288,0.91017598,0.02163904,0.00000000,0.31604017,0.29819825,0.44247504,0.00000000
-5.51975988,0.84392951,0.02178305,0.00000000,0.28957205,0.27941591,0.40478728,0.00000000
-5.51375688,0.77991993,0.02198553,0.00000000,0.26401675,0.26107155,0.36840383,0.00000000
-5.50775388,0.71879081,0.02226205,0.00000000,0.23962901,0.24340803,0.33362060,0.00000000
-5.50175088,0.66113021,0.02263194,0.00000000,0.21663523,0.22665731,0.30069289,0.00000000
-5.49574787,0.60746631,0.02311828,0.00000000,0.19523149,0.21103783,0.26983344,0.00000000
-5.48974487,0.55826488,0.02374789,0.00000000,0.17558264,0.19675240,0.24121176,0.00000000
-5.48374187,0.51392847,0.02455112,0.00000000,0.15782213,0.18398670,0.21495465,0.00000000
-5.47773887,0.47479673,0.02556146,0.00000000,0.14205272,0.17290815,0.19114773,0.00000000
-5.47173587,0.44114775,0.02681497,0.00000000,0.12834767,0.16366505,0.16983788,0.00000000
-5.46573287,0.41319961,0.02834942,0.00000000,0.11675240,0.15638583,0.15103624,0.00000000
-5.45972986,0.39111194,0.03020329,0.00000000,0.10728639,0.15117823,0.13472181,0.00000000
-5.45372686,0.37498702,0.03241450,0.00000000,0.09994504,0.14812833,0.12084511,0.00000000
-5.44772386,0.36487002,0.03501888,0.00000000,0.09470153,0.14729925,0.10933197,0.00000000
-5.44172086,0.36074828,0.03804856,0.00000000,0.09150839,0.14872951,0.10008711,0.00000000
-5.43571786,0.36254963,0.04153015,0.00000000,0.09029882,0.15243107,0.09299743,0.00000000
-5.42971486,0.37013964,0.04548294,0.00000000,0.09098764,0.15838701,0.08793495,0.00000000
-5.42371186,0.38331827,0.04991700,0.00000000,0.09347196,0.16654915,0.08475928,0.00000000
