energy_ev,total_up,Cd_p_up,Cd_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,1.68622333,1.66667030,0.18864640,0.55308205,0.00234205,0.52813222,0.00000000
-5.99399700,1.66037025,1.64462553,0.18496712,0.54839653,0.00231111,0.51984368,0.00000000
-5.98799400,1.63205752,1.61956239,0.18112548,0.54250692,0.00227835,0.51081938,0.00000000
-5.98199100,1.60134131,1.59146632,0.17712395,0.53545292,0.00224382,0.50103046,0.00000000
-5.97598799,1.56831905,1.56037905,0.17296522,0.52730612,0.00220759,0.49045695,0.00000000
-5.96998499,1.53314159,1.52640993,0.16865419,0.51817123,0.00216981,0.47909312,0.00000000
-5.96398199,1.49602275,1.48974405,0.16419988,0.50818580,0.00213067,0.46695213,0.00000000
-5.95797899,1.45724543,1.45064665,0.15961700,0.49751836,0.00209049,0.45406964,0.00000000
-5.95197599,1.41716384,1.40946337,0.15492717,0.48636508,0.00204968,0.44050613,0.00000000
-5.94597299,1.37620157,1.36661638,0.15015962,0.47494494,0.00200876,0.42634781,0.00000000
-5.93996998,1.33484558,1.32259636,0.14535151,0.46349369,0.00196839,0.41170612,0.00000000
-5.93396698,1.29363632,1.27795098,0.14054761,0.45225691,0.00192930,0.39671582,0.00000000
-5.92796398,1.25315457,1.23327030,0.13579959,0.44148235,0.00189231,0.38153186,0.00000000
-5.92196098,1.21400585,1.18917009,0.13116484,0.43141207,0.00185831,0.36632517,0.00000000
-5.91595798,1.17680314,1.14627389,0.12670501,0.42227479,0.00182823,0.35127773,0.00000000
-5.90995498,1.14214905,1.10519491,0.12248420,0.41427867,0.00180300,0.33657723,0.00000000
-5.90395198,1.11061852,1.06651871,0.11856719,0.40760514,0.00178352,0.32241150,0.00000000
-5.89794897,1.08274288,1.03078761,0.11501753,0.40240388,0.00177066,0.30896327,0.00000000
-5.89194597,1.05899620,0.99848758,0.11189578,0.39878935,0.00176520,0.29640535,0.00000000
-5.88594297,1.03978463,0.97003825,0.10925794,0.39683894,0.00176783,0.28489650,0.00000000
-5.87993997,1.02543912,0.94578631,0.10715414,0.39659288,0.00177914,0.27457824,0.00000000
-5.87393697,1.01621166,0.92600248,0.10562764,0.39805572,0.00179958,0.26557265,0.00000000
-5.86793397,1.01227504,0.91088189,0.10471411,0.40119943,0.00182950,0.25798108,0.00000000
-5.86193097,1.01372570,0.90054744,0.10444131,0.40596769,0.00186913,0.25188390,0.00000000
-5.85592796,1.02058916,0.89505559,0.10482892,0.41228112,0.00191858,0.24734097,0.00000000
-5.84992496,1.03282724,0.89440392,0.10588876,0.42004308,0.00197787,0.24439281,0.00000000
-5.84392196,1.05034627,0.89853949,0.10762498,0.42914560,0.00204694,0.24306211,0.00000000
-5.83791896,1.07300543,0.90736736,0.11003448,0.43947495,0.00212565,0.24335554,0.00000000
-5.83191596,1.10062432,0.92075828,0.11310725,0.45091663,0.00221380,0.24526535,0.00000000
-5.82591296,1.13298904,0.93855499,0.11682673,0.46335921,0.00231116,0.24877090,0.00000000
-5.81990995,1.16985627,0.96057661,0.12116996,0.47669697,0.00241741,0.25383968,0.00000000
-5.81390695,1.21095496,0.98662066,0.12610771,0.49083101,0.00253222,0.26042783,0.00000000
-5.80790395,1.25598553,1.01646278,0.13160437,0.50566892,0.00265520,0.26848008,0.00000000
-5.80190095,1.30461675,1.04985415,0.13761780,0.52112292,0.00278586,0.27792918,0.00000000
-5.79589795,1.35648071,1.08651695,0.14409897,0.53710684,0.00292365,0.28869476,0.00000000
-5.78989495,1.41116644,1.12613850,0.15099168,0.55353197,0.00306792,0.30068190,0.00000000
-5.78389195,1.46821312,1.16836466,0.15823228,0.57030245,0.00321786,0.31377948,0.00000000
-5.77788894,1.52710348,1.21279326,0.16574941,0.58731028,0.00337253,0.32785858,0.00000000
-5.77188594,1.58725864,1.25896843,0.17346409,0.60443063,0.00353080,0.34277109,0.00000000
-5.76588294,1.64803503,1.30637662,0.18128989,0.62151786,0.00369137,0.35834878,0.00000000
-5.75987994,1.70872424,1.35444484,0.18913356,0.63840252,0.00385271,0.37440301,0.00000000
-5.75387694,1.76855639,1.40254197,0.19689590,0.65488980,0.00401314,0.39072531,0.00000000
-5.74787394,1.82670744,1.44998324,0.20447308,0.67075965,0.00417075,0.40708884,0.00000000
-5.74187094,1.88231037,1.49603817,0.21175823,0.68576867,0.00432349,0.42325086,0.00000000
-5.73586793,1.93447035,1.53994201,0.21864346,0.69965382,0.00446919,0.43895624,0.00000000
-5.72986493,1.98228321,1.58091020,0.22502199,0.71213793,0.00460557,0.45394189,0.00000000
-5.72386193,2.02485671,1.61815559,0.23079062,0.72293667,0.00473032,0.46794202,0.00000000
-5.71785893,2.06133364,1.65090762,0.23585214,0.73176679,0.00484118,0.48069407,0.00000000
-5.71185593,2.09091587,1.67843279,0.24011782,0.73835518,0.00493593,0.49194516,0.00000000
-5.70585293,2.11288812,1.70005544,0.24350969,0.74244837,0.00501256,0.50145864,0.00000000
-5.69984992,2.12664046,1.71517808,0.24596269,0.74382191,0.00506925,0.50902073,0.00000000
-5.69384692,2.13168842,1.72330022,0.24742635,0.74228924,0.00510446,0.51444672,0.00000000
-5.68784392,2.12768985,1.72403503,0.24786624,0.73770965,0.00511700,0.51758676,0.00000000
-5.68184092,2.11445772,1.71712294,0.24726481,0.72999474,0.00510605,0.51833072,0.00000000
-5.67583792,2.09196836,1.70244185,0.24562188,0.71911335,0.00507122,0.51661216,0.00000000
-5.66983492,2.06036478,1.68001326,0.24295457,0.70509448,0.00501252,0.51241113,0.00000000
-5.66383192,2.01995505,1.65000433,0.23929676,0.68802827,0.00493045,0.50575567,0.00000000
-5.65782891,1.97120586,1.61272579,0.23469815,0.66806487,0.00482591,0.49672211,0.00000000
-5.65182591,1.91473169,1.56862571,0.22922294,0.64541136,0.00470022,0.48543402,0.00000000
-5.64582291,1.85128006,1.51827969,0.22294819,0.62032692,0.00455510,0.47205988,0.00000000
-5.63981991,1.78171372,1.46237778,0.21596195,0.59311634,0.00439258,0.45680964,0.00000000
-5.63381691,1.70699039,1.40170870,0.20836132,0.56412244,0.00421499,0.43993034,0.00000000
-5.62781391,1.62814108,1.33714216,0.20025028,0.53371742,0.00402490,0.42170076,0.00000000
-5.62181091,1.54624769,1.26960983,0.19173776,0.50229388,0.00382502,0.40242554,0.00000000
-5.61580790,1.46242067,1.20008574,0.18293553,0.47025555,0.00361819,0.38242882,0.00000000
-5.60980490,1.37777763,1.12956681,0.17395639,0.43800833,0.00340726,0.36204765,0.00000000
-5.60380190,1.29342321,1.05905403,0.16491244,0.40595189,0.00319507,0.34162530,0.00000000
-5.59779890,1.21043089,0.98953490,0.15591346,0.37447198,0.00298438,0.32150480,0.00000000
-5.59179590,1.12982692,0.92196750,0.14706560,0.34393394,0.00277784,0.30202262,0.00000000
-5.58579290,1.05257660,0.85726651,0.13847009,0.31467725,0.00257790,0.28350280,0.00000000
-5.57978989,0.97957280,0.79629127,0.13022220,0.28701145,0.00238681,0.26625157,0.00000000
-5.57378689,0.91162690,0.73983603,0.12241028,0.26121333,0.00220661,0.25055237,0.00000000
-5.56778389,0.84946163,0.68862220,0.11511490,0.23752526,0.00203904,0.23666159,0.00000000
-5.56178089,0.79370581,0.64329259,0.10840813,0.21615477,0.00188561,0.22480468,0.00000000
-5.55577789,0.74489070,0.60440722,0.10235278,0.19727499,0.00174753,0.21517290,0.00000000
-5.54977489,0.70344745,0.57244057,0.09700181,0.18102596,0.00162574,0.20792060,0.00000000
-5.54377189,0.66970572,0.54777992,0.09239768,0.16751643,0.00152090,0.20316295,0.00000000
-5.53776888,0.64389307,0.53072447,0.08857184,0.15682610,0.00143340,0.20097418,0.00000000
-5.53176588,0.62613490,0.52148508,0.08554423,0.14900798,0.00136336,0.20138640,0.00000000
-5.52576288,0.61645521,0.52018434,0.08332289,0.14409075,0.00131067,0.20438886,0.00000000
-5.51975988,0.61477775,0.52685691,0.08190372,0.14208096,0.00127497,0.20992783,0.00000000
-5.51375688,0.62092810,0.54145014,0.08127039,0.14296493,0.00125569,0.21790710,0.00000000
-5.50775388,0.63463644,0.56382495,0.08139443,0.14671033,0.00125206,0.22818922,0.00000000
-5.50175088,0.65554153,0.59375716,0.08223557,0.15326737,0.00126313,0.24059739,0.00000000
-5.49574787,0.68319586,0.63093944,0.08374239,0.16256963,0.00128779,0.25491834,0.00000000
-5.48974487,0.71707231,0.67498409,0.08585316,0.17453467,0.00132481,0.27090598,0.00000000
-5.48374187,0.75657252,0.72542702,0.08849710,0.18906431,0.00137282,0.28828597,0.00000000
-5.47773887,0.80103686,0.78173295,0.09159578,0.20604492,0.00143040,0.30676125,0.00000000
-5.47173587,0.84975625,0.84330229,0.09506494,0.22534767,0.00149605,0.32601828,0.00000000
-5.46573287,0.90198558,0.90947952,0.09881646,0.24682891,0.00156825,0.34573409,0.00000000
-5.45972986,0.95695846,0.97956336,0.10276050,0.27033082,0.00164550,0.36558386,0.00000000
-5.45372686,1.01390311,1.05281839,0.10680778,0.29568224,0.00172630,0.38524881,0.00000000
-5.44772386,1.07205875,1.12848806,0.11087189,0.32269993,0.00180925,0.40442430,0.00000000
-5.44172086,1.13069203,1.20580857,0.11487154,0.35119006,0.00189301,0.42282756,0.00000000
-5.43571786,1.18911284,1.28402328,0.11873266,0.38094997,0.00197637,0.44020516,0.00000000
-5.42971486,1.24668879,1.36239697,0.12239026,0.41177017,0.00205826,0.45633948,0.00000000
-5.42371186,1.30285774,1.44022938,0.12579001,0.44343626,0.00213775,0.47105430,0.00000000
-5.41770885,1.35713774,1.51686734,0.12888944,0.47573090,0.00221407,0.48421890,0.00000000
