energy_ev,total_up,Ag_p_up,Ag_d_up,As_p_up,As_d_up,S_s_up,S_p_up
-6.00000000,2.99664568,0.32216848,2.45755704,0.19380441,0.00000000,0.02281991,0.16168808
-5.99399700,3.04336236,0.32702825,2.50062399,0.19488650,0.00000000,0.02248333,0.16376577
-5.98799400,3.09253397,0.33180824,2.54584397,0.19616841,0.00000000,0.02222467,0.16573146
-5.98199100,3.14390197,0.33644790,2.59300319,0.19764326,0.00000000,0.02204448,0.16757727
-5.97598799,3.19723008,0.34088970,2.64191166,0.19930088,0.00000000,0.02194104,0.16929639
-5.96998499,3.25230194,0.34508082,2.69240043,0.20112751,0.00000000,0.02191039,0.17088291
-5.96398199,3.30891580,0.34897430,2.74431594,0.20310548,0.00000000,0.02194658,0.17233171
-5.95797899,3.36687680,0.35253003,2.79751219,0.20521290,0.00000000,0.02204186,0.17363823
-5.95197599,3.42598766,0.35571523,2.85184149,0.20742342,0.00000000,0.02218698,0.17479835
-5.94597299,3.48603872,0.35850468,2.90714460,0.20970609,0.00000000,0.02237156,0.17580826
-5.93996998,3.54679840,0.36088063,2.96324121,0.21202544,0.00000000,0.02258442,0.17666436
-5.93396698,3.60800475,0.36283249,3.01992161,0.21434168,0.00000000,0.02281397,0.17736321
-5.92796398,3.66935934,0.36435632,3.07694024,0.21661124,0.00000000,0.02304860,0.17790159
-5.92196098,3.73052361,0.36545423,3.13401187,0.21878752,0.00000000,0.02327704,0.17827657
-5.91595798,3.79111863,0.36613376,3.19081062,0.22082186,0.00000000,0.02348874,0.17848570
-5.90995498,3.85072799,0.36640722,3.24697222,0.22266479,0.00000000,0.02367413,0.17852714
-5.90395198,3.90890408,0.36629113,3.30209921,0.22426742,0.00000000,0.02382490,0.17839998
-5.89794897,3.96517729,0.36580562,3.35576917,0.22558298,0.00000000,0.02393421,0.17810442
-5.89194597,4.01906775,0.36497405,3.40754517,0.22656845,0.00000000,0.02399683,0.17764204
-5.88594297,4.07009891,0.36382257,3.45698828,0.22718606,0.00000000,0.02400921,0.17701605
-5.87993997,4.11781229,0.36237981,3.50367123,0.22740480,0.00000000,0.02396949,0.17623143
-5.87393697,4.16178281,0.36067659,3.54719270,0.22720168,0.00000000,0.02387748,0.17529513
-5.86793397,4.20163378,0.35874559,3.58719160,0.22656282,0.00000000,0.02373455,0.17421608
-5.86193097,4.23705120,0.35662112,3.62336078,0.22548413,0.00000000,0.02354349,0.17300530
-5.85592796,4.26779675,0.35433876,3.65545964,0.22397178,0.00000000,0.02330832,0.17167580
-5.84992496,4.29371920,0.35193505,3.68332543,0.22204221,0.00000000,0.02303417,0.17024259
-5.84392196,4.31476391,0.34944712,3.70688282,0.21972187,0.00000000,0.02272698,0.16872255
-5.83791896,4.33098049,0.34691232,3.72615165,0.21704662,0.00000000,0.02239338,0.16713433
-5.83191596,4.34252833,0.34436790,3.74125289,0.21406074,0.00000000,0.02204043,0.16549826
-5.82591296,4.34968017,0.34185060,3.75241252,0.21081585,0.00000000,0.02167551,0.16383623
-5.81990995,4.35282369,0.33939646,3.75996347,0.20736952,0.00000000,0.02130613,0.16217162
-5.81390695,4.35246089,0.33704055,3.76434546,0.20378380,0.00000000,0.02093979,0.16052920
-5.80790395,4.34920540,0.33481685,3.76610271,0.20012367,0.00000000,0.02058394,0.15893509
-5.80190095,4.34377729,0.33275818,3.76587919,0.19645548,0.00000000,0.02024581,0.15741664
-5.79589795,4.33699533,0.33089617,3.76441138,0.19284542,0.00000000,0.01993245,0.15600233
-5.78989495,4.32976623,0.32926132,3.76251814,0.18935806,0.00000000,0.01965060,0.15472155
-5.78389195,4.32307068,0.32788296,3.76108766,0.18605500,0.00000000,0.01940669,0.15360439
-5.77788894,4.31794596,0.32678920,3.76106106,0.18299363,0.00000000,0.01920679,0.15268118
-5.77188594,4.31546488,0.32600678,3.76341284,0.18022595,0.00000000,0.01905656,0.15198205
-5.76588294,4.31671124,0.32556079,3.76912808,0.17779767,0.00000000,0.01896119,0.15153622
-5.75987994,4.32275197,0.32547406,3.77917685,0.17574726,0.00000000,0.01892531,0.15137121
-5.75387694,4.33460664,0.32576657,3.79448625,0.17410521,0.00000000,0.01895294,0.15151189
-5.74787394,4.35321498,0.32645441,3.81591085,0.17289342,0.00000000,0.01904731,0.15197944
-5.74187094,4.37940368,0.32754870,3.84420264,0.17212466,0.00000000,0.01921081,0.15279018
-5.73586793,4.41385375,0.32905426,3.87998168,0.17180220,0.00000000,0.01944482,0.15395445
-5.72986493,4.45706995,0.33096830,3.92370875,0.17191956,0.00000000,0.01974961,0.15547551
-5.72386193,4.50935400,0.33327900,3.97566150,0.17246043,0.00000000,0.02012417,0.15734850
-5.71785893,4.57078317,0.33596434,4.03591561,0.17339875,0.00000000,0.02056621,0.15955964
-5.71185593,4.64119572,0.33899101,4.10433217,0.17469909,0.00000000,0.02107201,0.16208567
-5.70585293,4.72018461,0.34231381,4.18055242,0.17631712,0.00000000,0.02163642,0.16489358
-5.69984992,4.80710025,0.34587546,4.26400074,0.17820047,0.00000000,0.02225291,0.16794077
-5.69384692,4.90106304,0.34960693,4.35389613,0.18028975,0.00000000,0.02291361,0.17117548
-5.68784392,5.00098546,0.35342841,4.44927238,0.18251989,0.00000000,0.02360949,0.17453783
-5.68184092,5.10560342,0.35725098,4.54900618,0.18482170,0.00000000,0.02433049,0.17796107
-5.67583792,5.21351569,0.36097881,4.65185241,0.18712363,0.00000000,0.02506584,0.18137331
-5.66983492,5.32322987,0.36451203,4.75648497,0.18935375,0.00000000,0.02580427,0.18469960
-5.66383192,5.43321289,0.36775007,4.86154161,0.19144173,0.00000000,0.02653443,0.18786412
-5.65782891,5.54194379,0.37059537,4.96567040,0.19332098,0.00000000,0.02724519,0.19079268
-5.65182591,5.64796622,0.37295727,5.06757593,0.19493065,0.00000000,0.02792599,0.19341515
-5.64582291,5.74993808,0.37475599,5.16606270,0.19621754,0.00000000,0.02856726,0.19566789
-5.63981991,5.84667590,0.37592630,5.26007374,0.19713776,0.00000000,0.02916070,0.19749597
-5.63381691,5.93719176,0.37642099,5.34872246,0.19765813,0.00000000,0.02969959,0.19885512
-5.62781391,6.02072088,0.37621360,5.43131621,0.19775718,0.00000000,0.03017905,0.19971333
-5.62181091,6.09673867,0.37530051,5.50737052,0.19742571,0.00000000,0.03059617,0.20005194
-5.61580790,6.16496647,0.37370216,5.57661330,0.19666696,0.00000000,0.03095014,0.19986630
-5.60980490,6.22536592,0.37146322,5.63897916,0.19549628,0.00000000,0.03124225,0.19916585
-5.60380190,6.27812244,0.36865180,5.69459425,0.19394027,0.00000000,0.03147578,0.19797364
-5.59779890,6.32361904,0.36535764,5.74375286,0.19203563,0.00000000,0.03165590,0.19632539
-5.59179590,6.36240201,0.36168929,5.78688704,0.18982749,0.00000000,0.03178938,0.19426803
-5.58579290,6.39514059,0.35777046,5.82453138,0.18736756,0.00000000,0.03188432,0.19185787
-5.57978989,6.42258304,0.35373559,5.85728487,0.18471197,0.00000000,0.03194977,0.18915840
-5.57378689,6.44551142,0.34972495,5.88577204,0.18191903,0.00000000,0.03199534,0.18623795
-5.56778389,6.46469775,0.34587935,5.91060576,0.17904697,0.00000000,0.03203080,0.18316717
-5.56178089,6.48086367,0.34233479,5.93235345,0.17615175,0.00000000,0.03206565,0.18001653
-5.55577789,6.49464592,0.33921727,5.95150860,0.17328502,0.00000000,0.03210873,0.17685395
-5.54977489,6.50656895,0.33663791,5.96846905,0.17049235,0.00000000,0.03216785,0.17374257
-5.54377189,6.51702613,0.33468871,5.98352277,0.16781181,0.00000000,0.03224950,0.17073889
-5.53776888,6.52627009,0.33343912,5.99684179,0.16527286,0.00000000,0.03235857,0.16789120
-5.53176588,6.53441221,0.33293348,6.00848416,0.16289569,0.00000000,0.03249818,0.16523847
