energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,1.43812676,0.00280453,0.24337479,0.00729371,0.00000000,1.05021477,0.58798082,0.01402946,0.51839202
-5.99399700,1.38863334,0.00261924,0.22318683,0.00726750,0.00000000,0.95845860,0.56160833,0.01466450,0.51898974
-5.98799400,1.34359333,0.00245156,0.20420470,0.00723648,0.00000000,0.87129744,0.53754545,0.01531427,0.52033136
-5.98199100,1.30340645,0.00230299,0.18657623,0.00720086,0.00000000,0.78941473,0.51600551,0.01597440,0.52242667
-5.97598799,1.26828388,0.00217445,0.17040142,0.00716064,0.00000000,0.71330905,0.49711119,0.01663952,0.52524476
-5.96998499,1.23825660,0.00206630,0.15573447,0.00711565,0.00000000,0.64330222,0.48089838,0.01730335,0.52871598
-5.96398199,1.21318932,0.00197843,0.14258718,0.00706553,0.00000000,0.57955223,0.46732279,0.01795871,0.53273527
-5.95797899,1.19279897,0.00191025,0.13093349,0.00700978,0.00000000,0.52206998,0.45626861,0.01859772,0.53716667
-5.95197599,1.17667692,0.00186078,0.12071472,0.00694779,0.00000000,0.47073859,0.44755893,0.01921196,0.54184874
-5.94597299,1.16431353,0.00182875,0.11184531,0.00687890,0.00000000,0.42533426,0.44096722,0.01979262,0.54660085
-5.93996998,1.15512423,0.00181261,0.10421889,0.00680238,0.00000000,0.38554758,0.43622946,0.02033080,0.55122996
-5.93396698,1.14847585,0.00181063,0.09771416,0.00671753,0.00000000,0.35100444,0.43305627,0.02081774,0.55553765
-5.92796398,1.14371219,0.00182097,0.09220065,0.00662372,0.00000000,0.32128572,0.43114474,0.02124509,0.55932709
-5.92196098,1.14017800,0.00184174,0.08754399,0.00652036,0.00000000,0.29594520,0.43018930,0.02160516,0.56240978
-5.91595798,1.13724051,0.00187105,0.08361060,0.00640703,0.00000000,0.27452536,0.42989152,0.02189120,0.56461164
-5.90995498,1.13430779,0.00190704,0.08027170,0.00628343,0.00000000,0.25657066,0.42996845,0.02209760,0.56577832
-5.90395198,1.13084369,0.00194792,0.07740660,0.00614945,0.00000000,0.24163831,0.43015921,0.02222008,0.56577942
-5.89794897,1.12637881,0.00199201,0.07490517,0.00600519,0.00000000,0.22930660,0.43023004,0.02225584,0.56451159
-5.89194597,1.12051763,0.00203775,0.07266961,0.00585093,0.00000000,0.21918084,0.42997740,0.02220360,0.56190035
-5.88594297,1.11294184,0.00208371,0.07061549,0.00568716,0.00000000,0.21089725,0.42922963,0.02206367,0.55790059
-5.87993997,1.10341014,0.00212856,0.06867209,0.00551455,0.00000000,0.20412496,0.42784691,0.02183786,0.55249589
-5.87393697,1.09175501,0.00217112,0.06678228,0.00533398,0.00000000,0.19856660,0.42572014,0.02152945,0.54569670
