energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
1.20960480,8.99788422,0.02120941,0.40542244,0.02263305,0.82603152,0.24877745,8.31970765
1.21560780,8.93925711,0.02056490,0.40255618,0.02243672,0.81005458,0.24388540,8.27808210
1.22161081,8.86433704,0.01986941,0.39988202,0.02231154,0.79249896,0.23856364,8.21964803
1.22761381,8.77506533,0.01913277,0.39755198,0.02227464,0.77356091,0.23289165,8.14602539
1.23361681,8.67353302,0.01836479,0.39570317,0.02234195,0.75342658,0.22694401,8.05903048
1.23961981,8.56195996,0.01757512,0.39445427,0.02252783,0.73227000,0.22078896,7.96066112
1.24562281,8.44267068,0.01677308,0.39390288,0.02284474,0.71025218,0.21448744,7.85307634
1.25162581,8.31806628,0.01596760,0.39412351,0.02330295,0.68752127,0.20809263,7.73856968
1.25762881,8.19059135,0.01516710,0.39516649,0.02391035,0.66421367,0.20164989,7.61953531
1.26363182,8.06269590,0.01437945,0.39705760,0.02467219,0.64045584,0.19519723,7.49842679
1.26963482,7.93679193,0.01361193,0.39979847,0.02559104,0.61636659,0.18876599,7.37770885
1.27563782,7.81520548,0.01287117,0.40336757,0.02666666,0.59205970,0.18238188,7.25980289
1.28164082,7.70012498,0.01216315,0.40772177,0.02789601,0.56764643,0.17606613,7.14702785
1.28764382,7.59354738,0.01149318,0.41279836,0.02927328,0.54323778,0.16983671,7.04153817
1.29364682,7.49722402,0.01086586,0.41851721,0.03079000,0.51894639,0.16370955,6.94526126
1.29964982,7.41260824,0.01028507,0.42478329,0.03243513,0.49488763,0.15769954,6.85983713
1.30565283,7.34080742,0.00975396,0.43148908,0.03419527,0.47118007,0.15182148,6.78656295
1.31165583,7.28254167,0.00927488,0.43851699,0.03605485,0.44794516,0.14609063,6.72634539
1.31765883,7.23811167,0.00884942,0.44574173,0.03799634,0.42530602,0.14052311,6.67966320
1.32366183,7.20737793,0.00847832,0.45303244,0.04000052,0.40338567,0.13513593,6.64654265
1.32966483,7.18975321,0.00816147,0.46025478,0.04204675,0.38230462,0.12994683,6.62654738
1.33566783,7.18420946,0.00789788,0.46727278,0.04411328,0.36217810,0.12497385,6.61878413
1.34167084,7.18930016,0.00768571,0.47395069,0.04617750,0.34311306,0.12023475,6.62192492
1.34767384,7.20319803,0.00752224,0.48015477,0.04821636,0.32520525,0.11574631,6.63424558
1.35367684,7.22374767,0.00740394,0.48575512,0.05020662,0.30853647,0.11152360,6.65367971
