energy_ev,total_up,Bi_p_up,Bi_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,0.85322124,0.16466739,0.00384979,0.60962109,0.14498461,0.04955248,0.26950787
-5.99399700,0.78424421,0.15680246,0.00345143,0.57028830,0.13186855,0.04472956,0.24533337
-5.98799400,0.72399639,0.15148559,0.00310994,0.53711330,0.11985162,0.04056523,0.22368278
-5.98199100,0.67320360,0.14895770,0.00282667,0.51086875,0.10902596,0.03709113,0.20477047
-5.97598799,0.63253816,0.14946286,0.00260267,0.49230702,0.09947078,0.03433223,0.18878625
-5.96998499,0.60261849,0.15324551,0.00243874,0.48215526,0.09125273,0.03230738,0.17589695
-5.96398199,0.58400755,0.16054652,0.00233545,0.48110888,0.08442643,0.03102991,0.16624820
-5.95797899,0.57720929,0.17159788,0.00229325,0.48982305,0.07903501,0.03050800,0.15996589
-5.95197599,0.58266285,0.18661596,0.00231243,0.50890183,0.07511059,0.03074503,0.15715720
-5.94597299,0.60073376,0.20579349,0.00239315,0.53888453,0.07267466,0.03173964,0.15791086
-5.93996998,0.63170226,0.22929033,0.00253541,0.58022945,0.07173819,0.03348564,0.16229648
-5.93396698,0.67574873,0.25722323,0.00273904,0.63329492,0.07230152,0.03597160,0.17036295
-5.92796398,0.73293655,0.28965500,0.00300362,0.69831823,0.07435395,0.03918040,0.18213573
-5.92196098,0.80319309,0.32658346,0.00332838,0.77539300,0.07787311,0.04308847,0.19761319
-5.91595798,0.88628975,0.36793074,0.00371221,0.86444601,0.08282405,0.04766508,0.21676220
-5.90995498,0.98182214,0.41353351,0.00415345,0.96521454,0.08915824,0.05287148,0.23951301
-5.90395198,1.08919173,0.46313477,0.00464991,1.07722550,0.09681241,0.05866016,0.26575396
-5.89794897,1.20759046,0.51637791,0.00519874,1.19977799,0.10570753,0.06497432,0.29532614
-5.89194597,1.33598962,0.57280347,0.00579636,1.33193038,0.11574787,0.07174741,0.32801857
-5.88594297,1.47313446,0.63184942,0.00643841,1.47249368,0.12682033,0.07890313,0.36356419
-5.87993997,1.61754576,0.69285508,0.00711976,1.62003216,0.13879423,0.08635567,0.40163711
-5.87393697,1.76752921,0.75506911,0.00783447,1.77287235,0.15152152,0.09401040,0.44185146
-5.86793397,1.92119327,0.81766166,0.00857586,1.92912100,0.16483763,0.10176500,0.48376222
-5.86193097,2.07647568,0.87974038,0.00933654,2.08669237,0.17856293,0.10951094,0.52686812
-5.85592796,2.23117837,0.94037005,0.01010852,2.24334443,0.19250485,0.11713541,0.57061700
-5.84992496,2.38301006,0.99859519,0.01088337,2.39672355,0.20646067,0.12452357,0.61441337
-5.84392196,2.52963528,1.05346489,0.01165228,2.54441624,0.22022092,0.13156098,0.65762835
-5.83791896,2.66872839,1.10405885,0.01240632,2.68400657,0.23357328,0.13813631,0.69961162
-5.83191596,2.79803039,1.14951363,0.01313655,2.81313710,0.24630692,0.14414406,0.73970517
-5.82591296,2.91540661,1.18904789,0.01383422,2.92957112,0.25821707,0.14948715,0.77725832
-5.81990995,3.01890276,1.22198556,0.01449095,3.03125379,0.26910972,0.15407946,0.81164360
-5.81390695,3.10679710,1.24777587,0.01509892,3.11636960,0.27880616,0.15784802,0.84227285
-5.80790395,3.17764644,1.26600924,0.01565095,3.18339379,0.28714739,0.16073482,0.86861289
-5.80190095,3.23032416,1.27642849,0.01614071,3.23113556,0.29399792,0.16269824,0.89020027
-5.79589795,3.26404848,1.27893458,0.01656276,3.25877124,0.29924911,0.16371387,0.90665424
-5.78989495,3.27839995,1.27358699,0.01691266,3.26586601,0.30282171,0.16377487,0.91768771
-5.78389195,3.27332746,1.26059854,0.01718700,3.25238323,0.30466755,0.16289175,0.92311539
-5.77788894,3.24914268,1.24032513,0.01738343,3.21868125,0.30477036,0.16109164,0.92285904
-5.77188594,3.20650335,1.21325087,0.01750061,3.16549782,0.30314563,0.15841710,0.91694933
-5.76588294,3.14638635,1.17996954,0.01753825,3.09392290,0.29983957,0.15492446,0.90552447
-5.75987994,3.07005186,1.14116318,0.01749698,3.00536130,0.29492717,0.15068186,0.88882540
-5.75387694,2.97900043,1.09757897,0.01737834,2.90148680,0.28850951,0.14576709,0.86718793
-5.74787394,2.87492475,1.05000536,0.01718472,2.78418974,0.28071041,0.14026521,0.84103202
-5.74187094,2.75965827,0.99924866,0.01691920,2.65552039,0.27167253,0.13426613,0.81084878
-5.73586793,2.63512281,0.94611086,0.01658557,2.51763038,0.26155314,0.12786230,0.77718553
-5.72986493,2.50327701,0.89136962,0.01618820,2.37271437,0.25051967,0.12114643,0.74062969
