energy_ev,total_up,In_p_up,In_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,1.38099668,0.08445650,0.00394859,3.07019792,0.60548613,0.00728219,0.30681807
-5.99399700,1.33857049,0.08408452,0.00375146,2.95372123,0.59565338,0.00692530,0.29579628
-5.98799400,1.29345585,0.08341870,0.00354854,2.82684581,0.58586598,0.00655109,0.28343614
-5.98199100,1.24668565,0.08250118,0.00334312,2.69174638,0.57659346,0.00616595,0.26993609
-5.97598799,1.19927676,0.08137848,0.00313842,2.55064418,0.56827627,0.00577604,0.25550792
-5.96998499,1.15220123,0.08009992,0.00293746,2.40574623,0.56131217,0.00538712,0.24037103
-5.96398199,1.10636058,0.07871597,0.00274301,2.25918871,0.55604468,0.00500440,0.22474663
-5.95797899,1.06256426,0.07727661,0.00255752,2.11298625,0.55275419,0.00463249,0.20885239
-5.95197599,1.02151279,0.07582986,0.00238309,1.96898877,0.55165194,0.00427526,0.19289732
-5.94597299,0.98378632,0.07442040,0.00222146,1.82884680,0.55287727,0.00393586,0.17707745
-5.93996998,0.94983859,0.07308857,0.00207398,1.69398618,0.55649814,0.00361666,0.16157201
-5.93396698,0.91999651,0.07186951,0.00194164,1.56559221,0.56251495,0.00331931,0.14654059
-5.92796398,0.89446496,0.07079278,0.00182505,1.44460335,0.57086738,0.00304472,0.13212091
-5.92196098,0.87333652,0.06988211,0.00172455,1.33171374,0.58144411,0.00279316,0.11842763
-5.91595798,0.85660533,0.06915570,0.00164017,1.22738381,0.59409478,0.00256433,0.10555181
-5.90995498,0.84418436,0.06862658,0.00157173,1.13185793,0.60864382,0.00235741,0.09356118
-5.90395198,0.83592521,0.06830339,0.00151891,1.04518755,0.62490538,0.00217122,0.08250108
-5.89794897,0.83163938,0.06819127,0.00148126,0.96725873,0.64269890,0.00200425,0.07239595
-5.89194597,0.83112007,0.06829286,0.00145829,0.89782228,0.66186446,0.00185481,0.06325127
-5.88594297,0.83416345,0.06860942,0.00144954,0.83652516,0.68227724,0.00172107,0.05505588
-5.87993997,0.84058860,0.06914187,0.00145460,0.78294175,0.70386066,0.00160119,0.04778442
-5.87393697,0.85025508,0.06989180,0.00147319,0.73660366,0.72659730,0.00149337,0.04139996
-5.86793397,0.86307761,0.07086232,0.00150517,0.69702711,0.75053739,0.00139593,0.03585658
-5.86193097,0.87903724,0.07205873,0.00155059,0.66373686,0.77580433,0.00130731,0.03110188
-5.85592796,0.89818857,0.07348899,0.00160974,0.63628619,0.80259699,0.00122619,0.02707926
-5.84992496,0.92066285,0.07516398,0.00168309,0.61427241,0.83118868,0.00115142,0.02373001
-5.84392196,0.94666690,0.07709744,0.00177136,0.59734781,0.86192280,0.00108211,0.02099511
-5.83791896,0.97647803,0.07930582,0.00187549,0.58522602,0.89520518,0.00101759,0.01881671
-5.83191596,1.01043517,0.08180779,0.00199661,0.57768403,0.93149354,0.00095738,0.01713929
-5.82591296,1.04892679,0.08462372,0.00213602,0.57456035,0.97128432,0.00090124,0.01591060
-5.81990995,1.09237606,0.08777492,0.00229516,0.57574959,1.01509738,0.00084908,0.01508212
-5.81390695,1.14122405,0.09128289,0.00247555,0.58119444,1.06345931,0.00080099,0.01460947
