energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,7.69764328,-4.65568122,0.12215714,-0.03215645,0.46405782,-0.19828606,2.38757498,-1.44769774,1.19020308,-0.30509872,0.87445795,-0.50186106,0.15332243,-0.18753483,0.10094255,-0.06848157,3.28115836,-2.34482114
-5.99399700,7.87432122,-4.61086983,0.12682004,-0.03427324,0.47081737,-0.19941688,2.41855633,-1.45170177,1.22072632,-0.30780932,0.88477477,-0.51466745,0.15823009,-0.17889588,0.10465949,-0.06725362,3.35828569,-2.31796745
-5.98799400,8.03409490,-4.57733148,0.13111132,-0.03665915,0.47642081,-0.20121197,2.44407038,-1.45821724,1.24780958,-0.31187611,0.89304620,-0.52761592,0.16313528,-0.17054054,0.10812378,-0.06636757,3.42869731,-2.29600636
-5.98199100,8.17422103,-4.55806416,0.13496056,-0.03934323,0.48074331,-0.20378837,2.46394676,-1.46791256,1.27098312,-0.31751577,0.89916777,-0.54086847,0.16794192,-0.16261441,0.11126159,-0.06588529,3.49123630,-2.28041452
-5.97598799,8.29238970,-4.55585116,0.13830100,-0.04235268,0.48369002,-0.20725198,2.47815716,-1.48139376,1.28985033,-0.32492474,0.90307749,-0.55459693,0.17256037,-0.15525309,0.11400600,-0.06586230,3.54492144,-2.27257153
-5.96998499,8.38677378,-4.57318064,0.14107142,-0.04571169,0.48519815,-0.21169401,2.48681282,-1.49918374,1.30409686,-0.33427239,0.90475723,-0.56897801,0.17690929,-0.14857901,0.11629859,-0.06634608,3.58896783,-2.27372140
-5.96398199,8.45606061,-4.61216952,0.14321793,-0.04944023,0.48523778,-0.21718758,2.49015572,-1.52170338,1.31349694,-0.34569461,0.90423229,-0.58418734,0.18091725,-0.14269884,0.11809088,-0.06737443,3.62280004,-2.28493609
-5.95797899,8.49946485,-4.67449373,0.14469566,-0.05355277,0.48381161,-0.22378471,2.48854390,-1.54925513,1.31791691,-0.35928773,0.90156926,-0.60039293,0.18452383,-0.13770124,0.11934547,-0.06897407,3.64605748,-2.30708197
-5.95197599,8.51672233,-4.76132688,0.14547033,-0.05805687,0.48095343,-0.23151351,2.48243136,-1.58200956,1.31731571,-0.37510306,0.89687223,-0.61774787,0.18768035,-0.13365513,0.12003678,-0.07115947,3.65859182,-2.34079036
-5.94597299,8.50806566,-4.87328929,0.14551947,-0.06295189,0.47672567,-0.24037595,2.47234350,-1.61999559,1.31174242,-0.39314229,0.89027741,-0.63638282,0.19035019,-0.13060853,0.12015151,-0.07393194,3.66045672,-2.38643291
-5.93996998,8.47418321,-5.01040933,0.14483344,-0.06822773,0.47121593,-0.25034617,2.45884906,-1.66309465,1.30133114,-0.41335381,0.88194638,-0.65639834,0.19250864,-0.12858791,0.11968873,-0.07727910,3.65189063,-2.44410273
