energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Zr_p_up,Zr_d_up
-6.00000000,0.83785342,0.00536575,0.05146658,0.00437783,0.54233411,0.31043411,0.07585777,0.31697221,0.11399039
-5.99399700,0.83657343,0.00536570,0.04847773,0.00387006,0.54569393,0.31482715,0.07565340,0.32737082,0.11118517
-5.98799400,0.83927051,0.00535760,0.04640089,0.00341227,0.55085982,0.31906901,0.07594827,0.33743646,0.10929302
-5.98199100,0.84581953,0.00534634,0.04517447,0.00300493,0.55781437,0.32312535,0.07674763,0.34713631,0.10825169
-5.97598799,0.85608343,0.00533727,0.04473887,0.00264750,0.56652862,0.32697139,0.07805226,0.35645703,0.10800211
-5.96998499,0.86991305,0.00533611,0.04503687,0.00233860,0.57696140,0.33059155,0.07985855,0.36540365,0.10848837
-5.96398199,0.88714578,0.00534878,0.04601380,0.00207617,0.58905796,0.33397847,0.08215855,0.37399791,0.10965740
-5.95797899,0.90760337,0.00538126,0.04761766,0.00185760,0.60274821,0.33713152,0.08493988,0.38227598,0.11145844
-5.95197599,0.93108915,0.00543943,0.04979904,0.00167990,0.61794467,0.34005494,0.08818578,0.39028569,0.11384248
-5.94597299,0.95738521,0.00552893,0.05251106,0.00153981,0.63454055,0.34275565,0.09187499,0.39808349,0.11676152
-5.93996998,0.98624998,0.00565504,0.05570922,0.00143397,0.65240820,0.34524103,0.09598180,0.40573130,0.12016806
-5.93396698,1.01741672,0.00582255,0.05935133,0.00135899,0.67139819,0.34751685,0.10047611,0.41329330,0.12401452
-5.92796398,1.05059342,0.00603565,0.06339743,0.00131157,0.69133952,0.34958537,0.10532367,0.42083303,0.12825298
-5.92196098,1.08546430,0.00629788,0.06780978,0.00128857,0.71204099,0.35144401,0.11048639,0.42841071,0.13283507
-5.91595798,1.12169345,0.00661201,0.07255294,0.00128710,0.73329399,0.35308455,0.11592289,0.43608114,0.13771220
-5.90995498,1.15893036,0.00698004,0.07759388,0.00130454,0.75487679,0.35449296,0.12158916,0.44389208,0.14283594
-5.90395198,1.19681754,0.00740315,0.08290223,0.00133862,0.77656022,0.35565000,0.12743949,0.45188325,0.14815879
-5.89794897,1.23499982,0.00788165,0.08845046,0.00138743,0.79811462,0.35653249,0.13342741,0.46008590,0.15363502
-5.89194597,1.27313495,0.00841503,0.09421413,0.00144942,0.81931766,0.35711520,0.13950681,0.46852296,0.15922183
-5.88594297,1.31090496,0.00900192,0.10017206,0.00152344,0.83996288,0.35737330,0.14563317,0.47720963,0.16488042
-5.87993997,1.34802751,0.00964010,0.10630651,0.00160871,0.85986816,0.35728515,0.15176462,0.48615425,0.17057717
-5.87393697,1.38426665,0.01032652,0.11260311,0.00170481,0.87888391,0.35683522,0.15786312,0.49535941,0.17628466
