energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,4.63951956,0.04664576,0.04961132,1.74609890,3.74125803,0.51841491,0.27305854,0.28248330,0.00000000
-5.99399700,4.62635402,0.04657937,0.04984319,1.73112957,3.72430967,0.52442875,0.27254386,0.28136879,0.00000000
-5.98799400,4.60188516,0.04641612,0.04992600,1.71260238,3.69751525,0.52938210,0.27172062,0.27973807,0.00000000
-5.98199100,4.56519630,0.04613836,0.04985007,1.69027285,3.66020949,0.53309646,0.27049531,0.27753545,0.00000000
-5.97598799,4.51567760,0.04573097,0.04960840,1.66398240,3.61201721,0.53541582,0.26878162,0.27471575,0.00000000
-5.96998499,4.45303373,0.04518190,0.04919692,1.63366209,3.55285256,0.53621103,0.26650333,0.27124562,0.00000000
-5.96398199,4.37728064,0.04448264,0.04861464,1.59933298,3.48290822,0.53538320,0.26359676,0.26710438,0.00000000
-5.95797899,4.28873232,0.04362854,0.04786370,1.56110355,3.40263576,0.53286606,0.26001289,0.26228447,0.00000000
-5.95197599,4.18797893,0.04261899,0.04694933,1.51916459,3.31271845,0.52862729,0.25571882,0.25679154,0.00000000
-5.94597299,4.07585775,0.04145745,0.04587970,1.47378174,3.21403838,0.52266893,0.25069880,0.25064414,0.00000000
-5.93996998,3.95341892,0.04015141,0.04466571,1.42528654,3.10763964,0.51502686,0.24495464,0.24387317,0.00000000
-5.93396698,3.82188761,0.03871208,0.04332069,1.37406622,2.99468936,0.50576951,0.23850569,0.23652105,0.00000000
-5.92796398,3.68262455,0.03715418,0.04186009,1.32055293,2.87643865,0.49499591,0.23138819,0.22864072,0.00000000
-5.92196098,3.53708658,0.03549545,0.04030103,1.26521284,2.75418469,0.48283324,0.22365422,0.22029448,0.00000000
-5.91595798,3.38678874,0.03375619,0.03866202,1.20853549,2.62923569,0.46943391,0.21537030,0.21155274,0.00000000
-5.90995498,3.23326896,0.03195873,0.03696243,1.15102375,2.50287965,0.45497238,0.20661548,0.20249272,0.00000000
-5.90395198,3.07805640,0.03012686,0.03522224,1.09318460,2.37635773,0.43964171,0.19747931,0.19319706,0.00000000
-5.89794897,2.92264402,0.02828525,0.03346158,1.03552093,2.25084258,0.42365004,0.18805954,0.18375248,0.00000000
-5.89194597,2.76846557,0.02645885,0.03170048,0.97852434,2.12742199,0.40721695,0.17845965,0.17424839,0.00000000
-5.88594297,2.61687706,0.02467234,0.02995853,0.92266900,2.00708732,0.39056978,0.16878644,0.16477554,0.00000000
-5.87993997,2.46914253,0.02294962,0.02825469,0.86840634,1.89072669,0.37394000,0.15914752,0.15542467,0.00000000
-5.87393697,2.32642367,0.02131329,0.02660710,0.81616073,1.77912210,0.35755957,0.14964899,0.14628520,0.00000000
-5.86793397,2.18977277,0.01978420,0.02503291,0.76632569,1.67294980,0.34165733,0.14039320,0.13744401,0.00000000
-5.86193097,2.06012836,0.01838112,0.02354820,0.71926069,1.57278326,0.32645549,0.13147672,0.12898415,0.00000000
-5.85592796,1.93831312,0.01712032,0.02216795,0.67528841,1.47909786,0.31216618,0.12298861,0.12098380,0.00000000
-5.84992496,1.82503325,0.01601536,0.02090597,0.63469225,1.39227665,0.29898805,0.11500885,0.11351515,0.00000000
-5.84392196,1.72087903,0.01507684,0.01977495,0.59771417,1.31261658,0.28710315,0.10760715,0.10664354,0.00000000
-5.83791896,1.62632606,0.01431222,0.01878648,0.56455278,1.24033460,0.27667386,0.10084200,0.10042669,0.00000000
-5.83191596,1.54173704,0.01372573,0.01795111,0.53536171,1.17557339,0.26784015,0.09476007,0.09491404,0.00000000
-5.82591296,1.46736378,0.01331833,0.01727843,0.51024841,1.11840646,0.26071717,0.08939580,0.09014642,0.00000000
-5.81990995,1.40334966,0.01308765,0.01677711,0.48927339,1.06884253,0.25539319,0.08477140,0.08615581,0.00000000
-5.81390695,1.34973235,0.01302809,0.01645507,0.47245015,1.02682926,0.25192805,0.08089701,0.08296545,0.00000000
-5.80790395,1.30644718,0.01313089,0.01631948,0.45974578,0.99225638,0.25035217,0.07777114,0.08059010,0.00000000
-5.80190095,1.27333120,0.01338432,0.01637688,0.45108258,0.96495864,0.25066616,0.07538128,0.07903658,0.00000000
-5.79589795,1.25012815,0.01377389,0.01663328,0.44634050,0.94471854,0.25284115,0.07370480,0.07830460,0.00000000
-5.78989495,1.23649456,0.01428262,0.01709414,0.44536077,0.93126934,0.25681976,0.07270988,0.07838776,0.00000000
-5.78389195,1.23200705,0.01489141,0.01776446,0.44795048,0.92429839,0.26251783,0.07235668,0.07927466,0.00000000
-5.77788894,1.23617088,0.01557940,0.01864874,0.45388814,0.92345100,0.26982681,0.07259855,0.08095029,0.00000000
-5.77188594,1.24842955,0.01632448,0.01975095,0.46293007,0.92833502,0.27861679,0.07338334,0.08339733,0.00000000
-5.76588294,1.26817549,0.01710377,0.02107439,0.47481739,0.93852594,0.28873999,0.07465479,0.08659753,0.00000000
-5.75987994,1.29476128,0.01789417,0.02262160,0.48928333,0.95357258,0.30003464,0.07635380,0.09053294,0.00000000
-5.75387694,1.32751116,0.01867297,0.02439407,0.50606046,0.97300318,0.31232915,0.07841985,0.09518700,0.00000000
-5.74787394,1.36573230,0.01941841,0.02639204,0.52488761,0.99633151,0.32544621,0.08079221,0.10054531,0.00000000
-5.74187094,1.40872534,0.02011030,0.02861407,0.54551594,1.02306293,0.33920683,0.08341112,0.10659605,0.00000000
-5.73586793,1.45579371,0.02073059,0.03105674,0.56771381,1.05269990,0.35343396,0.08621883,0.11333002,0.00000000
-5.72986493,1.50625129,0.02126388,0.03371412,0.59127020,1.08474686,0.36795570,0.08916050,0.12074020,0.00000000
-5.72386193,1.55942815,0.02169792,0.03657737,0.61599634,1.11871405,0.38260779,0.09218492,0.12882075,0.00000000
-5.71785893,1.61467408,0.02202397,0.03963425,0.64172547,1.15412041,0.39723547,0.09524501,0.13756566,0.00000000
-5.71185593,1.67135999,0.02223708,0.04286867,0.66831059,1.19049517,0.41169443,0.09829819,0.14696685,0.00000000
-5.70585293,1.72887736,0.02233632,0.04626028,0.69562044,1.22737863,0.42585114,0.10130654,0.15701199,0.00000000
-5.69984992,1.78663610,0.02232476,0.04978420,0.72353387,1.26432196,0.43958242,0.10423680,0.16768209,0.00000000
-5.69384692,1.84406139,0.02220945,0.05341081,0.75193301,1.30088658,0.45277442,0.10706022,0.17894898,0.00000000
-5.68784392,1.90059012,0.02200120,0.05710573,0.78069578,1.33664344,0.46532127,0.10975234,0.19077290,0.00000000
-5.68184092,1.95566781,0.02171428,0.06082997,0.80968825,1.37117264,0.47712349,0.11229265,0.20310041,0.00000000
-5.67583792,2.00874666,0.02136595,0.06454028,0.83875763,1.40406377,0.48808643,0.11466425,0.21586268,0.00000000
-5.66983492,2.05928547,0.02097598,0.06818973,0.86772639,1.43491761,0.49811891,0.11685350,0.22897460,0.00000000
-5.66383192,2.10675210,0.02056596,0.07172851,0.89638820,1.46334920,0.50713231,0.11884973,0.24233454,0.00000000
-5.65782891,2.15062874,0.02015872,0.07510490,0.92450616,1.48899272,0.51504025,0.12064498,0.25582511,0.00000000
-5.65182591,2.19042010,0.01977753,0.07826647,0.95181374,1.51150808,0.52175889,0.12223380,0.26931495,0.00000000
-5.64582291,2.22566455,0.01944538,0.08116144,0.97801856,1.53058916,0.52720800,0.12361318,0.28266145,0.00000000
-5.63981991,2.25594752,0.01918429,0.08374006,1.00280901,1.54597317,0.53131270,0.12478249,0.29571444,0.00000000
-5.63381691,2.28091660,0.01901451,0.08595613,1.02586350,1.55745089,0.53400576,0.12574347,0.30832065,0.00000000
-5.62781391,2.30029728,0.01895392,0.08776844,1.04686195,1.56487685,0.53523037,0.12650032,0.32032881,0.00000000
-5.62181091,2.31390830,0.01901738,0.08914217,1.06549874,1.56817886,0.53494315,0.12705966,0.33159506,0.00000000
-5.61580790,2.32167518,0.01921622,0.09005010,1.08149660,1.56736604,0.53311713,0.12743058,0.34198843,0.00000000
