energy_ev,total_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.00033839,0.00025879,0.00017804,0.00000002,0.00001817,0.00014773,0.00000000
-5.99399700,0.00045838,0.00035056,0.00024118,0.00000003,0.00002461,0.00020011,0.00000000
-5.98799400,0.00061648,0.00047147,0.00032436,0.00000004,0.00003310,0.00026913,0.00000000
-5.98199100,0.00082315,0.00062952,0.00043310,0.00000006,0.00004419,0.00035936,0.00000000
-5.97598799,0.00109122,0.00083453,0.00057415,0.00000007,0.00005858,0.00047639,0.00000000
-5.96998499,0.00143621,0.00109835,0.00075566,0.00000010,0.00007711,0.00062700,0.00000000
-5.96398199,0.00187669,0.00143521,0.00098743,0.00000013,0.00010075,0.00081930,0.00000000
-5.95797899,0.00243468,0.00186191,0.00128102,0.00000016,0.00013071,0.00106289,0.00000000
-5.95197599,0.00313591,0.00239815,0.00164999,0.00000021,0.00016836,0.00136902,0.00000000
-5.94597299,0.00401014,0.00306666,0.00210999,0.00000027,0.00021529,0.00175068,0.00000000
-5.93996998,0.00509130,0.00389339,0.00267888,0.00000034,0.00027334,0.00222267,0.00000000
-5.93396698,0.00641763,0.00490755,0.00337678,0.00000043,0.00034455,0.00280169,0.00000000
-5.92796398,0.00803150,0.00614152,0.00422600,0.00000054,0.00043119,0.00350623,0.00000000
-5.92196098,0.00997922,0.00763067,0.00525093,0.00000068,0.00053576,0.00435651,0.00000000
-5.91595798,0.01231051,0.00941297,0.00647774,0.00000083,0.00066093,0.00537423,0.00000000
-5.90995498,0.01507780,0.01152840,0.00793403,0.00000102,0.00080951,0.00658226,0.00000000
-5.90395198,0.01833513,0.01401818,0.00964831,0.00000124,0.00098440,0.00800420,0.00000000
-5.89794897,0.02213694,0.01692375,0.01164926,0.00000150,0.00118853,0.00966379,0.00000000
-5.89194597,0.02653643,0.02028555,0.01396495,0.00000180,0.00142476,0.01158424,0.00000000
-5.88594297,0.03158373,0.02414156,0.01662189,0.00000214,0.00169578,0.01378740,0.00000000
-5.87993997,0.03732380,0.02852570,0.01964386,0.00000252,0.00200402,0.01629286,0.00000001
-5.87393697,0.04379420,0.03346606,0.02305086,0.00000296,0.00235151,0.01911695,0.00000001
-5.86793397,0.05102277,0.03898307,0.02685779,0.00000345,0.00273974,0.02227175,0.00000001
-5.86193097,0.05902530,0.04508767,0.03107335,0.00000399,0.00316959,0.02576404,0.00000002
-5.85592796,0.06780340,0.05177958,0.03569887,0.00000457,0.00364116,0.02959436,0.00000003
-5.84992496,0.07734261,0.05904578,0.04072739,0.00000521,0.00415372,0.03375620,0.00000004
-5.84392196,0.08761097,0.06685930,0.04614291,0.00000590,0.00470560,0.03823533,0.00000005
-5.83791896,0.09855817,0.07517839,0.05192004,0.00000663,0.00529416,0.04300941,0.00000008
-5.83191596,0.11011546,0.08394633,0.05802399,0.00000739,0.00591578,0.04804794,0.00000010
-5.82591296,0.12219638,0.09309174,0.06441098,0.00000818,0.00656594,0.05331253,0.00000014
-5.81990995,0.13469847,0.10252968,0.07102928,0.00000900,0.00723927,0.05875761,0.00000020
-5.81390695,0.14750599,0.11216352,0.07782070,0.00000983,0.00792974,0.06433157,0.00000027
-5.80790395,0.16049369,0.12188744,0.08472266,0.00001065,0.00863086,0.06997834,0.00000036
-5.80190095,0.17353158,0.13158984,0.09167084,0.00001147,0.00933594,0.07563941,0.00000049
-5.79589795,0.18649055,0.14115725,0.09860223,0.00001226,0.01003843,0.08125618,0.00000065
-5.78989495,0.19924879,0.15047891,0.10545866,0.00001302,0.01073226,0.08677267,0.00000086
-5.78389195,0.21169868,0.15945170,0.11219054,0.00001373,0.01141222,0.09213845,0.00000114
-5.77788894,0.22375399,0.16798520,0.11876078,0.00001439,0.01207440,0.09731158,0.00000149
-5.77188594,0.23535690,0.17600684,0.12514863,0.00001499,0.01271656,0.10226164,0.00000194
-5.76588294,0.24648481,0.18346672,0.13135336,0.00001551,0.01333853,0.10697245,0.00000251
-5.75987994,0.25715615,0.19034192,0.13739743,0.00001597,0.01394255,0.11144453,0.00000324
-5.75387694,0.26743531,0.19664003,0.14332918,0.00001636,0.01453354,0.11569703,0.00000414
-5.74787394,0.27743594,0.20240175,0.14922459,0.00001669,0.01511930,0.11976906,0.00000527
-5.74187094,0.28732264,0.20770222,0.15518815,0.00001696,0.01571066,0.12372027,0.00000666
-5.73586793,0.29731060,0.21265111,0.16135270,0.00001722,0.01632139,0.12763054,0.00000836
-5.72986493,0.30766314,0.21739120,0.16787794,0.00001747,0.01696816,0.13159884,0.00001044
-5.72386193,0.31868708,0.22209553,0.17494785,0.00001776,0.01767020,0.13574113,0.00001295
-5.71785893,0.33072584,0.22696313,0.18276683,0.00001814,0.01844896,0.14018739,0.00001597
-5.71185593,0.34415057,0.23221341,0.19155466,0.00001867,0.01932759,0.14507777,0.00001957
-5.70585293,0.35934931,0.23807932,0.20154040,0.00001942,0.02033026,0.15055805,0.00002383
-5.69984992,0.37671471,0.24479966,0.21295544,0.00002050,0.02148143,0.15677453,0.00002884
-5.69384692,0.39663050,0.25261060,0.22602581,0.00002200,0.02280504,0.16386846,0.00003468
-5.68784392,0.41945726,0.26173694,0.24096405,0.00002406,0.02432356,0.17197030,0.00004144
-5.68184092,0.44551800,0.27238322,0.25796098,0.00002684,0.02605711,0.18119403,0.00004921
-5.67583792,0.47508414,0.28472526,0.27717757,0.00003053,0.02802244,0.19163167,0.00005808
-5.66983492,0.50836227,0.29890231,0.29873734,0.00003533,0.03023206,0.20334834,0.00006811
-5.66383192,0.54548256,0.31501016,0.32271950,0.00004149,0.03269336,0.21637799,0.00007937
-5.65782891,0.58648898,0.33309564,0.34915328,0.00004929,0.03540783,0.23072012,0.00009192
-5.65182591,0.63133220,0.35315262,0.37801362,0.00005904,0.03837045,0.24633756,0.00010580
-5.64582291,0.67986530,0.37511981,0.40921857,0.00007112,0.04156914,0.26315546,0.00012101
-5.63981991,0.73184272,0.39888042,0.44262854,0.00008590,0.04498454,0.28106175,0.00013757
-5.63381691,0.78692280,0.42426394,0.47804759,0.00010383,0.04858993,0.29990887,0.00015543
-5.62781391,0.84467386,0.45104984,0.51522695,0.00012538,0.05235135,0.31951694,0.00017455
-5.62181091,0.90458387,0.47897322,0.55387054,0.00015105,0.05622805,0.33967833,0.00019484
-5.61580790,0.96607363,0.50773237,0.59364273,0.00018138,0.06017316,0.36016334,0.00021621
-5.60980490,1.02851311,0.53699785,0.63417794,0.00021693,0.06413461,0.38072706,0.00023852
-5.60380190,1.09124059,0.56642292,0.67509207,0.00025826,0.06805633,0.40111707,0.00026163
-5.59779890,1.15358394,0.59565508,0.71599523,0.00030596,0.07187957,0.42108171,0.00028537
-5.59179590,1.21488360,0.62434813,0.75650562,0.00036058,0.07554457,0.44037874,0.00030957
-5.58579290,1.27451623,0.65217458,0.79626389,0.00042266,0.07899220,0.45878398,0.00033405
-5.57978989,1.33191846,0.67883774,0.83494766,0.00049271,0.08216583,0.47609970,0.00035861
-5.57378689,1.38660964,0.70408331,0.87228557,0.00057116,0.08501315,0.49216238,0.00038309
-5.56778389,1.43821292,0.72770977,0.90807036,0.00065839,0.08748800,0.50684952,0.00040732
-5.56178089,1.48647358,0.74957744,0.94217037,0.00075468,0.08955209,0.52008533,0.00043117
-5.55577789,1.53127402,0.76961557,0.97453909,0.00086019,0.09117659,0.53184489,0.00045453
-5.54977489,1.57264456,0.78782740,1.00522218,0.00097497,0.09234340,0.54215673,0.00047732
-5.54377189,1.61076964,0.80429287,1.03436166,0.00109893,0.09304623,0.55110365,0.00049949
-5.53776888,1.64598880,0.81916870,1.06219695,0.00123185,0.09329130,0.55882159,0.00052104
-5.53176588,1.67879245,0.83268605,1.08906263,0.00137333,0.09309764,0.56549680,0.00054203
-5.52576288,1.70981232,0.84514554,1.11538285,0.00152285,0.09249702,0.57136110,0.00056251
-5.51975988,1.73980667,0.85690989,1.14166239,0.00167971,0.09153340,0.57668551,0.00058261
-5.51375688,1.76964080,0.86839439,1.16847474,0.00184309,0.09026204,0.58177246,0.00060248
-5.50775388,1.80026335,0.88005544,1.19644732,0.00201200,0.08874813,0.58694669,0.00062230
-5.50175088,1.83267901,0.89237756,1.22624435,0.00218537,0.08706512,0.59254529,0.00064227
-5.49574787,1.86791867,0.90585925,1.25854792,0.00236200,0.08529274,0.59890703,0.00066260
-5.48974487,1.90700779,0.92099830,1.29403771,0.00254064,0.08351467,0.60636143,0.00068351
-5.48374187,1.95093417,0.93827674,1.33337016,0.00271997,0.08181618,0.61521788,0.00070523
-5.47773887,2.00061593,0.95814626,1.37715762,0.00289866,0.08028153,0.62575509,0.00072797
-5.47173587,2.05687104,0.98101432,1.42594821,0.00307536,0.07899147,0.63821125,0.00075193
-5.46573287,2.12038917,1.00723148,1.48020720,0.00324877,0.07802071,0.65277517,0.00077730
-5.45972986,2.19170684,1.03708040,1.54030022,0.00341766,0.07743566,0.66957865,0.00080423
-5.45372686,2.27118687,1.07076681,1.60647936,0.00358085,0.07729228,0.68869032,0.00083285
-5.44772386,2.35900266,1.10841276,1.67887226,0.00373731,0.07763435,0.71011119,0.00086328
-5.44172086,2.45512801,1.15005238,1.75747493,0.00388611,0.07849203,0.73377200,0.00089558
-5.43571786,2.55933294,1.19563033,1.84214851,0.00402647,0.07988092,0.75953249,0.00092981
-5.42971486,2.67118565,1.24500289,1.93262027,0.00415776,0.08180151,0.78718272,0.00096598
-5.42371186,2.79006087,1.29794184,2.02848878,0.00427950,0.08423917,0.81644645,0.00100411
-5.41770885,2.91515419,1.35414078,2.12923339,0.00439141,0.08716460,0.84698644,0.00104416
-5.41170585,3.04550240,1.41322394,2.23422762,0.00449335,0.09053473,0.87841174,0.00108611
-5.40570285,3.18000876,1.47475695,2.34275607,0.00458533,0.09429414,0.91028675,0.00112989
-5.39969985,3.31747287,1.53825925,2.45403435,0.00466753,0.09837678,0.94214179,0.00117545
-5.39369685,3.45662379,1.60321772,2.56723118,0.00474026,0.10270809,0.97348503,0.00122272
-5.38769385,3.59615529,1.66910093,2.68149186,0.00480396,0.10720732,1.00381527,0.00127160
-5.38169085,3.73476203,1.73537350,2.79596214,0.00485916,0.11179006,1.03263534,0.00132200
-5.37568784,3.87117498,1.80150989,2.90981139,0.00490651,0.11637078,1.05946559,0.00137382
-5.36968484,4.00419485,1.86700714,3.02225414,0.00494668,0.12086538,1.08385692,0.00142696
-5.36368184,4.13272202,1.93139595,3.13256893,0.00498043,0.12519356,1.10540303,0.00148129
-5.35767884,4.25578171,1.99424977,3.24011360,0.00500850,0.12928098,1.12375126,0.00153666
-5.35167584,4.37254334,2.05519133,3.34433646,0.00503162,0.13306110,1.13861172,0.00159293
-5.34567284,4.48233332,2.11389667,3.44478268,0.00505052,0.13647664,1.14976410,0.00164993
-5.33966983,4.58464089,2.17009640,3.54109590,0.00506583,0.13948062,1.15706223,0.00170745
-5.33366683,4.67911684,2.22357434,3.63301508,0.00507810,0.14203696,1.16043586,0.00176529
