energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-1.82191096,2.76426527,0.00170340,0.04024066,2.51056628,1.22717764,0.00669446,0.19821457,0.21630977,0.50085338
-1.81590795,2.79624497,0.00175510,0.04109104,2.54365980,1.24172429,0.00670634,0.20107131,0.21895624,0.50426483
-1.80990495,2.81569300,0.00179931,0.04176076,2.56465259,1.25047370,0.00670463,0.20299267,0.22082168,0.50579657
-1.80390195,2.82209661,0.00183570,0.04223192,2.57299226,1.25312565,0.00668583,0.20394284,0.22186018,0.50546536
-1.79789895,2.81525923,0.00186408,0.04249174,2.56840814,1.24952634,0.00664712,0.20390843,0.22204863,0.50334111
-1.79189595,2.79530032,0.00188439,0.04253292,2.55091080,1.23967027,0.00658642,0.20289859,0.22138667,0.49954474
-1.78589295,2.76264406,0.00189670,0.04235384,2.52078180,1.22369662,0.00650250,0.20094432,0.21989585,0.49424427
-1.77988994,2.71799767,0.00190117,0.04195854,2.47855457,1.20188059,0.00639487,0.19809703,0.21761799,0.48764950
-1.77388694,2.66232071,0.00189807,0.04135648,2.42498773,1.17462020,0.00626384,0.19442652,0.21461289,0.48000527
-1.76788394,2.59678697,0.00188772,0.04056212,2.36103234,1.14241936,0.00611039,0.19001842,0.21095554,0.47158371
-1.76188094,2.52274091,0.00187054,0.03959430,2.28779493,1.10586813,0.00593615,0.18497113,0.20673288,0.46267570
-1.75587794,2.44165060,0.00184694,0.03847551,2.20649804,1.06562120,0.00574326,0.17939263,0.20204044,0.45358190
-1.74987494,2.35505936,0.00181740,0.03723108,2.11844031,1.02237545,0.00553428,0.17339706,0.19697881,0.44460365
-1.74387194,2.26453812,0.00178238,0.03588822,2.02495758,0.97684775,0.00531206,0.16710134,0.19165032,0.43603400
-1.73786893,2.17164017,0.00174236,0.03447514,1.92738662,0.92975378,0.00507967,0.16062195,0.18615578,0.42814924
-1.73186593,2.07786009,0.00169781,0.03302012,1.82703275,0.88178873,0.00484023,0.15407194,0.18059168,0.42120127
-1.72586293,1.98459788,0.00164918,0.03155067,1.72514206,0.83361032,0.00459689,0.14755826,0.17504772,0.41541080
-1.71985993,1.89312940,0.00159693,0.03009276,1.62287894,0.78582481,0.00435265,0.14117954,0.16960480,0.41096186
-1.71385693,1.80458345,0.00154151,0.02867019,1.52130903,0.73897606,0.00411038,0.13502429,0.16433357,0.40799760
-1.70785393,1.71992589,0.00148334,0.02730402,1.42138744,0.69353781,0.00387270,0.12916957,0.15929335,0.40661748
-1.70185093,1.63995040,0.00142288,0.02601228,1.32395205,0.64990910,0.00364197,0.12368014,0.15453166,0.40687596
-1.69584792,1.56527564,0.00136056,0.02480966,1.22972104,0.60841263,0.00342025,0.11860806,0.15008408,0.40878263
-1.68984492,1.49634813,0.00129682,0.02370747,1.13929424,0.56929562,0.00320932,0.11399264,0.14597461,0.41230372
-1.68384192,1.43344996,0.00123211,0.02271369,1.05315726,0.53273301,0.00301065,0.10986081,0.14221623,0.41736492
-1.67783892,1.37671052,0.00116689,0.02183316,0.97168781,0.49883234,0.00282544,0.10622776,0.13881185,0.42385533
-1.67183592,1.32612123,0.00110161,0.02106782,0.89516336,0.46763994,0.00265461,0.10309778,0.13575539,0.43163234
-1.66583292,1.28155241,0.00103673,0.02041709,0.82376951,0.43914803,0.00249887,0.10046533,0.13303302,0.44052727
-1.65982991,1.24277126,0.00097269,0.01987827,0.75760861,0.41330234,0.00235875,0.09831615,0.13062449,0.45035152
