energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,4.72605877,0.03278438,0.45806005,0.05576049,3.58338798,1.49731428,0.06388767,1.65572676
-5.99399700,4.77370011,0.03108252,0.49110939,0.05235313,3.74690128,1.53243027,0.06275128,1.62048806
-5.98799400,4.83263155,0.02938488,0.52604339,0.04947162,3.91795043,1.57098423,0.06183194,1.58905383
-5.98199100,4.90274908,0.02771774,0.56249717,0.04716719,4.09501109,1.61289178,0.06114197,1.56187905
-5.97598799,4.98348224,0.02610569,0.60004266,0.04548390,4.27620128,1.65794061,0.06068620,1.53925144
-5.96998499,5.07380465,0.02457127,0.63819598,0.04445844,4.45930775,1.70579074,0.06046214,1.52129028
-5.96398199,5.17226435,0.02313472,0.67642736,0.04412001,4.64182865,1.75598025,0.06046056,1.50795254
-5.95797899,5.27703211,0.02181377,0.71417304,0.04449028,4.82103107,1.80793592,0.06066611,1.49904535
-5.95197599,5.38596491,0.02062354,0.75084889,0.04558339,4.99402084,1.86098826,0.06105830,1.49424392
-5.94597299,5.49668104,0.01957652,0.78586509,0.04740582,5.15782174,1.91439018,0.06161244,1.49311358
-5.93996998,5.60664323,0.01868257,0.81864133,0.04995631,5.30946049,1.96733839,0.06230081,1.49513464
-5.93396698,5.71324558,0.01794903,0.84862201,0.05322562,5.44605385,2.01899645,0.06309366,1.49972875
-5.92796398,5.81390047,0.01738076,0.87529072,0.05719627,5.56489390,2.06851858,0.06396037,1.50628532
-5.92196098,5.90612175,0.01698035,0.89818359,0.06184224,5.66352802,2.11507328,0.06487040,1.51418696
-5.91595798,5.98760083,0.01674819,0.91690089,0.06712861,5.73983002,2.15786572,0.06579416,1.52283277
-5.90995498,6.05627327,0.01668263,0.93111669,0.07301132,5.79205994,2.19615843,0.06670380,1.53165882
-5.90395198,6.11037351,0.01678010,0.94058602,0.07943692,5.81891022,2.22928942,0.06757381,1.54015508
-5.89794897,6.14847693,0.01703526,0.94514969,0.08634255,5.81953693,2.25668758,0.06838149,1.54787863
-5.89194597,6.16952826,0.01744104,0.94473636,0.09365608,5.79357553,2.27788487,0.06910727,1.55446293
-5.88594297,6.17285676,0.01798876,0.93936222,0.10129656,5.74114123,2.29252540,0.06973494,1.55962329
-5.87993997,6.15817865,0.01866820,0.92912825,0.10917484,5.66281474,2.30037124,0.07025169,1.56315877
-5.87393697,6.12558803,0.01946766,0.91421531,0.11719466,5.55961497,2.30130522,0.07064815,1.56495086
-5.86793397,6.07553747,0.02037404,0.89487743,0.12525396,5.43296037,2.29533087,0.07091831,1.56495950
-5.86193097,6.00881018,0.02137286,0.87143352,0.13324649,5.28462111,2.28256955,0.07105937,1.56321676
-5.85592796,5.92648505,0.02244845,0.84425803,0.14106376,5.11666452,2.26325530,0.07107158,1.55981868
-5.84992496,5.82989642,0.02358395,0.81377066,0.14859715,4.93139598,2.23772726,0.07095805,1.55491584
-5.84392196,5.72058990,0.02476154,0.78042582,0.15574018,4.73129763,2.20642018,0.07072453,1.54870290
-5.83791896,5.60027568,0.02596256,0.74470181,0.16239084,4.51896696,2.16985300,0.07037915,1.54140749
-5.83191596,5.47078056,0.02716774,0.70709031,0.16845391,4.29705708,2.12861573,0.06993220,1.53327882
