energy_ev,total_up,Bi_p_up,Bi_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,3.16563469,1.30536934,0.02298652,1.65817806,1.67907087,1.16058909,0.00000000
-5.99399700,3.14516941,1.30785972,0.02277443,1.64189333,1.66829622,1.14065431,0.00000000
-5.98799400,3.11605973,1.30516307,0.02253311,1.62082452,1.65345113,1.11907391,0.00000000
-5.98199100,3.07849406,1.29739941,0.02226542,1.59512541,1.63457592,1.09581313,0.00000000
-5.97598799,3.03283731,1.28478824,0.02197457,1.56504946,1.61180053,1.07088147,0.00000000
-5.96998499,2.97964101,1.26765013,0.02166419,1.53095284,1.58535199,1.04434091,0.00000000
-5.96398199,2.91964580,1.24640486,0.02133838,1.49329319,1.55555759,1.01631128,0.00000000
-5.95797899,2.85377517,1.22156587,0.02100171,1.45262370,1.52284322,0.98697216,0.00000000
-5.95197599,2.78312022,1.19373096,0.02065915,1.40958246,1.48772666,0.95656120,0.00000000
-5.94597299,2.70891541,1.16356920,0.02031603,1.36487729,1.45080581,0.92536891,0.00000000
-5.93996998,2.63250599,1.13180444,0.01997780,1.31926649,1.41274220,0.89372996,0.00000000
-5.93396698,2.55530828,1.09919585,0.01964996,1.27353634,1.37424031,0.86201167,0.00000000
-5.92796398,2.47876432,1.06651607,0.01933776,1.22847616,1.33602379,0.83060009,0.00000000
-5.92196098,2.40429299,1.03452796,0.01904599,1.18485214,1.29880937,0.79988466,0.00000000
-5.91595798,2.33323977,1.00396068,0.01877874,1.14338103,1.26328000,0.77024202,0.00000000
-5.90995498,2.26682750,0.97548606,0.01853915,1.10470505,1.23005829,0.74202010,0.00000000
-5.90395198,2.20611048,0.94969648,0.01832915,1.06936901,1.19968167,0.71552318,0.00000000
-5.89794897,2.15193416,0.92708486,0.01814938,1.03780094,1.17258044,0.69099879,0.00000000
-5.89194597,2.10490237,0.90802787,0.01799897,1.01029690,1.14905990,0.66862712,0.00000000
-5.88594297,2.06535369,0.89277305,0.01787551,0.98701081,1.12928737,0.64851342,0.00000000
-5.87993997,2.03334812,0.88143024,0.01777509,0.96794984,1.11328472,0.63068382,0.00000000
-5.87393697,2.00866460,0.87396803,0.01769235,0.95297522,1.10092690,0.61508466,0.00000000
-5.86793397,1.99080973,0.87021502,0.01762067,0.94180887,1.09194640,0.60158538,0.00000000
-5.86193097,1.97903710,0.86986626,0.01755238,0.93404507,1.08594361,0.58998473,0.00000000
-5.85592796,1.97237648,0.87249430,0.01747904,0.92916695,1.08240238,0.58001990,0.00000000
-5.84992496,1.96967142,0.87756470,0.01739183,0.92656688,1.08071026,0.57137812,0.00000000
-5.84392196,1.96962380,0.88445523,0.01728184,0.92556990,1.08018238,0.56371012,0.00000000
-5.83791896,1.97084319,0.89247812,0.01714049,0.92545916,1.08008794,0.55664475,0.00000000
-5.83191596,1.97189901,0.90090444,0.01695988,0.92550236,1.07967810,0.54980405,0.00000000
-5.82591296,1.97137332,0.90898976,0.01673315,0.92497804,1.07821419,0.54281815,0.00000000
-5.81990995,1.96791202,0.91600004,0.01645472,0.92320075,1.07499494,0.53533923,0.00000000
-5.81390695,1.96027262,0.92123688,0.01612059,0.91954413,1.06938174,0.52705411,0.00000000
-5.80790395,1.94736657,0.92406114,0.01572847,0.91346111,1.06082089,0.51769487,0.00000000
-5.80190095,1.92829490,0.92391408,0.01527789,0.90450051,1.04886213,0.50704724,0.00000000
-5.79589795,1.90237589,0.92033539,0.01477021,0.89231968,1.03317278,0.49495644,0.00000000
-5.78989495,1.86916396,0.91297741,0.01420859,0.87669271,1.01354715,0.48133045,0.00000000
-5.78389195,1.82845960,0.90161515,0.01359780,0.85751429,0.98991104,0.46614065,0.00000000
-5.77788894,1.78031023,0.88615187,0.01294412,0.83479915,0.96232140,0.44942008,0.00000000
-5.77188594,1.72500237,0.86662021,0.01225502,0.80867739,0.93096136,0.43125942,0.00000000
-5.76588294,1.66304600,0.84317876,0.01153894,0.77938620,0.89613112,0.41180112,0.00000000
-5.75987994,1.59515193,0.81610470,0.01080498,0.74725823,0.85823517,0.39123200,0.00000000
-5.75387694,1.52220355,0.78578258,0.01006261,0.71270759,0.81776674,0.36977476,0.00000000
-5.74787394,1.44522426,0.75269000,0.00932134,0.67621376,0.77528991,0.34767882,0.00000000
-5.74187094,1.36534195,0.71738084,0.00859049,0.63830448,0.73142044,0.32521082,0.00000000
-5.73586793,1.28375213,0.68046659,0.00787891,0.59953798,0.68680598,0.30264540,0.00000000
-5.72986493,1.20168093,0.64259669,0.00719478,0.56048546,0.64210636,0.28025627,0.00000000
-5.72386193,1.12034925,0.60443846,0.00654542,0.52171421,0.59797467,0.25830814,0.00000000
-5.71785893,1.04093928,0.56665740,0.00593719,0.48377203,0.55503963,0.23704962,0.00000000
-5.71185593,0.96456405,0.52989844,0.00537536,0.44717321,0.51388985,0.21670719,0.00000000
-5.70585293,0.89224098,0.49476863,0.00486410,0.41238657,0.47506007,0.19748053,0.00000000
-5.69984992,0.82486972,0.46182182,0.00440643,0.37982553,0.43901988,0.17953897,0.00000000
-5.69384692,0.76321457,0.43154555,0.00400429,0.34984049,0.40616483,0.16301928,0.00000000
-5.68784392,0.70789176,0.40435042,0.00365850,0.32271354,0.37681007,0.14802464,0.00000000
-5.68184092,0.65936130,0.38056214,0.00336894,0.29865533,0.35118643,0.13462464,0.00000000
-5.67583792,0.61792336,0.36041623,0.00313451,0.27780410,0.32943887,0.12285636,0.00000000
-5.66983492,0.58371900,0.34405532,0.00295334,0.26022669,0.31162706,0.11272616,0.00000000
-5.66383192,0.55673472,0.33152915,0.00282278,0.24592138,0.29772805,0.10421226,0.00000000
-5.65782891,0.53681069,0.32279688,0.00273959,0.23482231,0.28764072,0.09726787,0.00000000
-5.65182591,0.52365218,0.31773184,0.00269999,0.22680536,0.28119193,0.09182480,0.00000000
-5.64582291,0.51684391,0.31612833,0.00269981,0.22169532,0.27814408,0.08779731,0.00000000
-5.63981991,0.51586695,0.31771029,0.00273456,0.21927414,0.27820404,0.08508634,0.00000000
-5.63381691,0.52011777,0.32214177,0.00279960,0.21929003,0.28103318,0.08358377,0.00000000
-5.62781391,0.52892916,0.32903881,0.00289019,0.22146743,0.28625833,0.08317685,0.00000000
-5.62181091,0.54159259,0.33798249,0.00300164,0.22551751,0.29348354,0.08375255,0.00000000
-5.61580790,0.55738167,0.34853291,0.00312945,0.23114913,0.30230241,0.08520191,0.00000000
-5.60980490,0.57557607,0.36024373,0.00326941,0.23807993,0.31231070,0.08742420,0.00000000
-5.60380190,0.59548560,0.37267691,0.00341771,0.24604756,0.32311898,0.09033086,0.00000000
-5.59779890,0.61647369,0.38541729,0.00357113,0.25482056,0.33436513,0.09384917,0.00000000
