energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.51816961,0.01109300,0.53183964,0.23820890,0.10756981,0.94144242,0.00000000,0.86789389,0.88964559
-5.99399700,2.50715636,0.01021249,0.55269508,0.23526400,0.10559362,0.91088808,0.00000000,0.92470236,0.89896486
-5.98799400,2.51658390,0.00945389,0.57620900,0.23594284,0.10477882,0.89055123,0.00000000,0.99129085,0.91091649
-5.98199100,2.54625185,0.00881879,0.60196831,0.24044744,0.10514992,0.88090601,0.00000000,1.06750518,0.92481993
-5.97598799,2.59563257,0.00830682,0.62953431,0.24893840,0.10670734,0.88224010,0.00000000,1.15306033,0.93996635
-5.96998499,2.66389749,0.00791572,0.65845361,0.26153232,0.10942757,0.89465555,0.00000000,1.24753823,0.95564317
-5.96398199,2.74994691,0.00764146,0.68826858,0.27829913,0.11326376,0.91807264,0.00000000,1.35038674,0.97115784
-5.95797899,2.85244148,0.00747839,0.71852706,0.29925947,0.11814683,0.95223597,0.00000000,1.46092029,0.98585968
-5.95197599,2.96983390,0.00741935,0.74879099,0.32438189,0.12398690,0.99672259,0.00000000,1.57832197,0.99915898
-5.94597299,3.10039969,0.00745591,0.77864362,0.35358022,0.13067517,1.05095152,0.00000000,1.70164753,1.01054272
-5.93996998,3.24226606,0.00757851,0.80769524,0.38671100,0.13808609,1.11419445,0.00000000,1.82983125,1.01958607
-5.93396698,3.39343844,0.00777665,0.83558733,0.42357120,0.14607989,1.18558735,0.00000000,1.96169398,1.02595969
-5.92796398,3.55182439,0.00803907,0.86199502,0.46389654,0.15450525,1.26414287,0.00000000,2.09595350,1.02943250
-5.92196098,3.71525537,0.00835398,0.88662820,0.50736040,0.16320229,1.34876352,0.00000000,2.23123732,1.02987025
-5.91595798,3.88150647,0.00870922,0.90923131,0.55357393,0.17200569,1.43825575,0.00000000,2.36609795,1.02723016
-5.90995498,4.04831528,0.00909247,0.92958213,0.60208726,0.18074785,1.53134481,0.00000000,2.49903090,1.02155225
-5.90395198,4.21340041,0.00949145,0.94748987,0.65239229,0.18926221,1.62669086,0.00000000,2.62849511,1.01294810
-5.89794897,4.37448089,0.00989409,0.96279288,0.70392714,0.19738647,1.72290626,0.00000000,2.75293595,1.00158781
-5.89194597,4.52929715,0.01028873,0.97535642,0.75608250,0.20496580,1.81857412,0.00000000,2.87081040,0.98768617
-5.88594297,4.67563453,0.01066436,0.98507065,0.80820991,0.21185582,1.91226843,0.00000000,2.98061422,0.97148863
-5.87993997,4.81134975,0.01101069,0.99184919,0.85963188,0.21792548,2.00257550,0.00000000,3.08091059,0.95325824
