energy_ev,total_up,Al_p_up,Al_d_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up
-6.00000000,2.24824235,0.48516095,0.00000000,0.54527093,1.47718726,0.48372149,0.00000000
-5.99399700,2.37002687,0.50788860,0.00000000,0.56969568,1.55994639,0.51535216,0.00000000
-5.98799400,2.48954644,0.53035984,0.00000000,0.59472411,1.64083132,0.54613542,0.00000000
-5.98199100,2.60554106,0.55239597,0.00000000,0.62006371,1.71903006,0.57562147,0.00000000
-5.97598799,2.71678476,0.57380541,0.00000000,0.64541808,1.79375605,0.60338224,0.00000000
-5.96998499,2.82210988,0.59438810,0.00000000,0.67049013,1.86426463,0.62902169,0.00000000
-5.96398199,2.92043217,0.61394107,0.00000000,0.69498652,1.92986963,0.65218576,0.00000000
-5.95797899,3.01077614,0.63226500,0.00000000,0.71862318,1.98995971,0.67257175,0.00000000
-5.95197599,3.09230002,0.64917146,0.00000000,0.74113180,2.04401401,0.68993660,0.00000000
-5.94597299,3.16431938,0.66449067,0.00000000,0.76226713,2.09161682,0.70410383,0.00000000
-5.93996998,3.22632907,0.67807946,0.00000000,0.78181469,2.13247076,0.71496889,0.00000000
-5.93396698,3.27802246,0.68982910,0.00000000,0.79959870,2.16640832,0.72250264,0.00000000
-5.92796398,3.31930764,0.69967258,0.00000000,0.81548974,2.19340134,0.72675294,0.00000000
-5.92196098,3.35031971,0.70759117,0.00000000,0.82941200,2.21356810,0.72784407,0.00000000
-5.91595798,3.37142875,0.71361977,0.00000000,0.84134938,2.22717780,0.72597429,0.00000000
-5.90995498,3.38324283,0.71785082,0.00000000,0.85135043,2.23465207,0.72141132,0.00000000
-5.90395198,3.38660555,0.72043640,0.00000000,0.85953156,2.23656321,0.71448601,0.00000000
-5.89794897,3.38258761,0.72158851,0.00000000,0.86607818,2.23362884,0.70558430,0.00000000
-5.89194597,3.37247201,0.72157703,0.00000000,0.87124371,2.22670265,0.69513778,0.00000000
-5.88594297,3.35773259,0.72072553,0.00000000,0.87534591,2.21676106,0.68361292,0.00000000
-5.87993997,3.34000576,0.71940480,0.00000000,0.87876078,2.20488555,0.67149940,0.00000000
-5.87393697,3.32105537,0.71802401,0.00000000,0.88191363,2.19224063,0.65929766,0.00000000
-5.86793397,3.30273103,0.71701990,0.00000000,0.88526774,2.18004751,0.64750607,0.00000000
-5.86193097,3.28692060,0.71684399,0.00000000,0.88931047,2.16955381,0.63660801,0.00000000
-5.85592796,3.27549746,0.71794824,0.00000000,0.89453745,2.16199972,0.62705911,0.00000000
-5.84992496,3.27026405,0.72076959,0.00000000,0.90143508,2.15858149,0.61927504,0.00000000
-5.84392196,3.27289328,0.72571377,0.00000000,0.91046203,2.16041310,0.61362012,0.00000000
-5.83791896,3.28486960,0.73313909,0.00000000,0.92203033,2.16848749,0.61039716,0.00000000
-5.83191596,3.30743212,0.74334074,0.00000000,0.93648698,2.18363877,0.60983876,0.00000000
-5.82591296,3.34152220,0.75653632,0.00000000,0.95409666,2.20650692,0.61210048,0.00000000
-5.81990995,3.38773785,0.77285317,0.00000000,0.97502661,2.23750686,0.61725608,0.00000000
-5.81390695,3.44629771,0.79231835,0.00000000,0.99933439,2.27680341,0.62529514,0.00000000
-5.80790395,3.51701651,0.81485154,0.00000000,1.02695919,2.32429379,0.63612318,0.00000000
-5.80190095,3.59929437,0.84026174,0.00000000,1.05771749,2.37959901,0.64956450,0.00000000
-5.79589795,3.69212092,0.86824769,0.00000000,1.09130336,2.44206527,0.66536763,0.00000000
-5.78989495,3.79409548,0.89840268,0.00000000,1.12729374,2.51077581,0.68321345,0.00000000
-5.78389195,3.90346310,0.93022337,0.00000000,1.16515869,2.58457364,0.70272564,0.00000000
-5.77788894,4.01816594,0.96312271,0.00000000,1.20427643,2.66209464,0.72348343,0.00000000
-5.77188594,4.13590851,0.99644657,0.00000000,1.24395261,2.74181012,0.74503592,0.00000000
-5.76588294,4.25423446,1.02949344,0.00000000,1.28344324,2.82207756,0.76691773,0.00000000
-5.75987994,4.37061212,1.06153656,0.00000000,1.32198020,2.90119744,0.78866537,0.00000000
-5.75387694,4.48252530,1.09184768,0.00000000,1.35879847,2.97747418,0.80983360,0.00000000
-5.74787394,4.58756550,1.11972138,0.00000000,1.39316366,3.04927829,0.83001123,0.00000000
-5.74187094,4.68352160,1.14449917,0.00000000,1.42439885,3.11510739,0.84883567,0.00000000
-5.73586793,4.76846297,1.16559207,0.00000000,1.45190937,3.17364309,0.86600567,0.00000000
-5.72986493,4.84081241,1.18250108,0.00000000,1.47520450,3.22380149,0.88129163,0.00000000
-5.72386193,4.89940545,1.19483442,0.00000000,1.49391510,3.26477471,0.89454313,0.00000000
-5.71785893,4.94353361,1.20232106,0.00000000,1.50780647,3.29606181,0.90569328,0.00000000
-5.71185593,4.97296953,1.20481981,0.00000000,1.51678576,3.31748763,0.91475979,0.00000000
-5.70585293,4.98797305,1.20232385,0.00000000,1.52090393,3.32920881,0.92184260,0.00000000
-5.69984992,4.98927818,1.19496054,0.00000000,1.52035203,3.33170666,0.92711834,0.00000000
-5.69384692,4.97806155,1.18298649,0.00000000,1.51545229,3.32576753,0.93083178,0.00000000
-5.68784392,4.95589412,1.16677845,0.00000000,1.50664435,3.31245137,0.93328465,0.00000000
-5.68184092,4.92467843,1.14682024,0.00000000,1.49446762,3.29305022,0.93482240,0.00000000
-5.67583792,4.88657426,1.12368658,0.00000000,1.47954027,3.26903838,0.93581938,0.00000000
-5.66983492,4.84391606,1.09802436,0.00000000,1.46253625,3.24201660,0.93666317,0.00000000
-5.66383192,4.79912579,1.07053232,0.00000000,1.44416103,3.21365251,0.93773857,0.00000000
-5.65782891,4.75462467,1.04193983,0.00000000,1.42512723,3.18561998,0.93941208,0.00000000
-5.65182591,4.71274753,1.01298559,0.00000000,1.40613111,3.15953969,0.94201726,0.00000000
-5.64582291,4.67566284,0.98439708,0.00000000,1.38783065,3.13692322,0.94584162,0.00000000
