energy_ev,total_up,Al_p_up,Al_d_up,Au_p_up,Au_d_up,Te_p_up,Te_d_up
-6.00000000,2.11407205,0.05953046,0.00000000,0.07394561,1.95018172,0.18737091,0.00000000
-5.99399700,2.07769143,0.05647314,0.00000000,0.07484456,1.91508801,0.18645222,0.00000000
-5.98799400,2.04002389,0.05366330,0.00000000,0.07610051,1.87873223,0.18541332,0.00000000
-5.98199100,2.00161741,0.05110253,0.00000000,0.07768919,1.84164127,0.18427455,0.00000000
-5.97598799,1.96304521,0.04879109,0.00000000,0.07958278,1.80436423,0.18305789,0.00000000
-5.96998499,1.92488958,0.04672809,0.00000000,0.08174966,1.76745782,0.18178562,0.00000000
-5.96398199,1.88772588,0.04491145,0.00000000,0.08415429,1.73147184,0.18047902,0.00000000
-5.95797899,1.85210726,0.04333805,0.00000000,0.08675727,1.69693530,0.17915726,0.00000000
-5.95197599,1.81855061,0.04200364,0.00000000,0.08951567,1.66434358,0.17783640,0.00000000
-5.94597299,1.78752428,0.04090293,0.00000000,0.09238351,1.63414727,0.17652866,0.00000000
-5.93996998,1.75943813,0.04002949,0.00000000,0.09531249,1.60674289,0.17524196,0.00000000
-5.93396698,1.73463621,0.03937571,0.00000000,0.09825293,1.58246600,0.17397976,0.00000000
-5.92796398,1.71339237,0.03893275,0.00000000,0.10115489,1.56158689,0.17274113,0.00000000
-5.92196098,1.69590899,0.03869050,0.00000000,0.10396941,1.54430908,0.17152128,0.00000000
-5.91595798,1.68231880,0.03863756,0.00000000,0.10664988,1.53077055,0.17031219,0.00000000
-5.90995498,1.67268969,0.03876129,0.00000000,0.10915340,1.52104770,0.16910358,0.00000000
-5.90395198,1.66703225,0.03904789,0.00000000,0.11144213,1.51516177,0.16788404,0.00000000
-5.89794897,1.66530960,0.03948261,0.00000000,0.11348455,1.51308740,0.16664230,0.00000000
-5.89194597,1.66744893,0.04004996,0.00000000,0.11525657,1.51476279,0.16536848,0.00000000
-5.88594297,1.67335428,0.04073411,0.00000000,0.11674244,1.52010107,0.16405542,0.00000000
-5.87993997,1.68291967,0.04151924,0.00000000,0.11793542,1.52900202,0.16269986,0.00000000
-5.87393697,1.69604192,0.04239001,0.00000000,0.11883815,1.54136373,0.16130341,0.00000000
-5.86793397,1.71263247,0.04333211,0.00000000,0.11946276,1.55709330,0.15987340,0.00000000
-5.86193097,1.73262739,0.04433274,0.00000000,0.11983064,1.57611614,0.15842334,0.00000000
-5.85592796,1.75599501,0.04538109,0.00000000,0.11997192,1.59838305,0.15697316,0.00000000
-5.84992496,1.78274052,0.04646883,0.00000000,0.11992464,1.62387487,0.15554907,0.00000000
-5.84392196,1.81290739,0.04759044,0.00000000,0.11973372,1.65260399,0.15418305,0.00000000
-5.83791896,1.84657496,0.04874350,0.00000000,0.11944960,1.68461277,0.15291207,0.00000000
-5.83191596,1.88385261,0.04992877,0.00000000,0.11912687,1.71996864,0.15177695,0.00000000
-5.82591296,1.92487024,0.05115018,0.00000000,0.11882258,1.75875606,0.15082099,0.00000000
-5.81990995,1.96976565,0.05241466,0.00000000,0.11859464,1.80106555,0.15008836,0.00000000
-5.81390695,2.01866926,0.05373172,0.00000000,0.11850015,1.84698038,0.14962234,0.00000000
-5.80790395,2.07168689,0.05511294,0.00000000,0.11859378,1.89656143,0.14946349,0.00000000
-5.80190095,2.12888150,0.05657135,0.00000000,0.11892629,1.94983115,0.14964784,0.00000000
-5.79589795,2.19025482,0.05812057,0.00000000,0.11954317,2.00675733,0.15020514,0.00000000
-5.78989495,2.25573002,0.05977400,0.00000000,0.12048357,2.06723781,0.15115731,0.00000000
-5.78389195,2.32513648,0.06154390,0.00000000,0.12177944,2.13108697,0.15251708,0.00000000
-5.77788894,2.39819765,0.06344046,0.00000000,0.12345501,2.19802508,0.15428703,0.00000000
-5.77188594,2.47452309,0.06547098,0.00000000,0.12552655,2.26767127,0.15645898,0.00000000
-5.76588294,2.55360538,0.06763908,0.00000000,0.12800252,2.33954092,0.15901378,0.00000000
-5.75987994,2.63482258,0.06994413,0.00000000,0.13088403,2.41304798,0.16192163,0.00000000
-5.75387694,2.71744654,0.07238080,0.00000000,0.13416567,2.48751247,0.16514281,0.00000000
-5.74787394,2.80065712,0.07493882,0.00000000,0.13783657,2.56217335,0.16862892,0.00000000
-5.74187094,2.88356208,0.07760305,0.00000000,0.14188180,2.63620634,0.17232456,0.00000000
