energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,3.24052429,0.01668559,0.35562407,0.97976706,0.63170220,0.63170153,0.86917520,0.00744606,1.66440242
-5.99399700,3.32645690,0.01617943,0.36548380,1.01106460,0.63944173,0.63920296,0.89991703,0.00729621,1.70993358
-5.98799400,3.41186066,0.01566553,0.37485492,1.04342836,0.64672118,0.64673324,0.92989929,0.00715377,1.75587721
-5.98199100,3.49608848,0.01515329,0.38365868,1.07657806,0.65357699,0.65424951,0.95885842,0.00702341,1.80188910
-5.97598799,3.57846869,0.01465100,0.39182358,1.11020274,0.66004268,0.66169496,0.98653953,0.00690964,1.84759522
-5.96998499,3.65830409,0.01416566,0.39928545,1.14396391,0.66614384,0.66899716,1.01269844,0.00681662,1.89259215
-5.96398199,3.73487380,0.01370275,0.40598746,1.17750009,0.67189398,0.67606723,1.03710359,0.00674791,1.93644955
-5.95797899,3.80743792,0.01326615,0.41188001,1.21043263,0.67729124,0.68280010,1.05953798,0.00670634,1.97871476
-5.95197599,3.87524544,0.01285809,0.41692069,1.24237270,0.68231631,0.68907577,1.07980119,0.00669388,2.01891947
-5.94597299,3.93754493,0.01247916,0.42107417,1.27292919,0.68693162,0.69476161,1.09771136,0.00671148,2.05658829
-5.93996998,3.99359795,0.01212839,0.42431225,1.30171720,0.69108167,0.69971575,1.11310718,0.00675906,2.09124881
-5.93396698,4.04269430,0.01180344,0.42661379,1.32836681,0.69469475,0.70379116,1.12584980,0.00683548,2.12244281
-5.92796398,4.08416873,0.01150078,0.42796476,1.35253176,0.69768565,0.70684050,1.13582459,0.00693852,2.14973803
-5.92196098,4.11741787,0.01121595,0.42835824,1.37389760,0.69995932,0.70872139,1.14294263,0.00706498,2.17273997
-5.91595798,4.14191692,0.01094385,0.42779439,1.39218909,0.70141528,0.70930177,1.14714196,0.00721077,2.19110306
-5.90995498,4.15723490,0.01067900,0.42628042,1.40717631,0.70195244,0.70846529,1.14838830,0.00737101,2.20454073
-5.90395198,4.16304786,0.01041586,0.42383038,1.41867943,0.70147416,0.70611630,1.14667545,0.00754024,2.21283385
-5.89794897,4.15914936,0.01014913,0.42046495,1.42657185,0.69989321,0.70218422,1.14202509,0.00771255,2.21583707
-5.89194597,4.14545770,0.00987395,0.41621120,1.43078166,0.69713645,0.69662716,1.13448621,0.00788184,2.21348293
-5.88594297,4.12201974,0.00958621,0.41110211,1.43129131,0.69314899,0.68943464,1.12413399,0.00804194,2.20578348
-5.87993997,4.08901115,0.00928265,0.40517628,1.42813583,0.68789764,0.68062918,1.11106838,0.00818690,2.19282943
-5.87393697,4.04673326,0.00896103,0.39847742,1.42139950,0.68137354,0.67026683,1.09541231,0.00831113,2.17478702
-5.86793397,3.99560688,0.00862023,0.39105404,1.41121145,0.67359394,0.65843668,1.07730976,0.00840959,2.15189285
-5.86193097,3.93616356,0.00826023,0.38295906,1.39774033,0.66460296,0.64525924,1.05692369,0.00847799,2.12444703
-5.85592796,3.86903482,0.00788208,0.37424964,1.38118855,0.65447152,0.63088405,1.03443403,0.00851286,2.09280505
-5.84992496,3.79494004,0.00748790,0.36498699,1.36178627,0.64329633,0.61548635,1.01003564,0.00851168,2.05736893
-5.84392196,3.71467341,0.00708069,0.35523638,1.33978562,0.63119817,0.59926334,0.98393654,0.00847295,2.01857798
-5.83791896,3.62909076,0.00666422,0.34506718,1.31545521,0.61831942,0.58242982,0.95635621,0.00839620,1.97689964
-5.83191596,3.53909644,0.00624286,0.33455299,1.28907541,0.60482100,0.56521369,0.92752406,0.00828201,1.93282081
-5.82591296,3.44563053,0.00582140,0.32377177,1.26093419,0.59087890,0.54785124,0.89767799,0.00813193,1.88683971
-5.81990995,3.34965673,0.00540487,0.31280591,1.23132386,0.57668033,0.53058248,0.86706294,0.00794843,1.83945865
-5.81390695,3.25215057,0.00499832,0.30174217,1.20053841,0.56241952,0.51364657,0.83592941,0.00773480,1.79117752
-5.80790395,3.15408813,0.00460671,0.29067144,1.16887153,0.54829350,0.49727747,0.80453174,0.00749501,1.74248808
-5.80190095,3.05643474,0.00423472,0.27968828,1.13661487,0.53449770,0.48169969,0.77312608,0.00723358,1.69386881
-5.79589795,2.96013372,0.00388660,0.26889003,1.10405659,0.52122156,0.46712443,0.74196802,0.00695542,1.64578011
-5.78989495,2.86609452,0.00356610,0.25837571,1.07147977,0.50864421,0.45374589,0.71130970,0.00666565,1.59865975
-5.78389195,2.77518056,0.00327634,0.24824450,1.03916047,0.49693034,0.44173789,0.68139650,0.00636949,1.55291821
-5.77788894,2.68819625,0.00301979,0.23859387,1.00736546,0.48622628,0.43125068,0.65246326,0.00607206,1.50893390
-5.77188594,2.60587364,0.00279822,0.22951744,0.97634926,0.47665642,0.42240818,0.62473013,0.00577827,1.46704816
-5.76588294,2.52885887,0.00261265,0.22110262,0.94635062,0.46832010,0.41530541,0.59839821,0.00549267,1.42755998
-5.75987994,2.45769880,0.00246342,0.21342813,0.91758856,0.46128909,0.41000640,0.57364512,0.00521938,1.39072086
