energy_ev,total_up,As_p_up,As_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,0.64486357,0.49313642,0.00000000,0.32070466,0.43964718,0.00826768,0.02028255
-5.99399700,0.69876886,0.53827646,0.00000000,0.34247398,0.48327552,0.00932545,0.02057327
-5.98799400,0.75765283,0.58680991,0.00000000,0.36729326,0.52958601,0.01044397,0.02111414
-5.98199100,0.82066090,0.63811867,0.00000000,0.39469565,0.57805405,0.01161349,0.02186772
-5.97598799,0.88682984,0.69149952,0.00000000,0.42416202,0.62807690,0.01282203,0.02279484
-5.96998499,0.95510052,0.74617341,0.00000000,0.45512796,0.67898150,0.01405556,0.02385522
-5.96398199,1.02433453,0.80129783,0.00000000,0.48699237,0.73003536,0.01529817,0.02500805
-5.95797899,1.09333456,0.85598235,0.00000000,0.51912778,0.78046028,0.01653243,0.02621257
-5.95197599,1.16086843,0.90930697,0.00000000,0.55089224,0.82944885,0.01773978,0.02742878
-5.94597299,1.22569637,0.96034304,0.00000000,0.58164273,0.87618332,0.01890102,0.02861805
-5.93996998,1.28660064,1.00817620,0.00000000,0.61074971,0.91985623,0.01999693,0.02974381
-5.93396698,1.34241701,1.05193055,0.00000000,0.63761247,0.95969233,0.02100885,0.03077221
-5.92796398,1.39206663,1.09079334,0.00000000,0.66167480,0.99497080,0.02191937,0.03167276
-5.92196098,1.43458746,1.12403916,0.00000000,0.68244042,1.02504718,0.02271297,0.03241897
-5.91595798,1.46916374,1.15105281,0.00000000,0.69948748,1.04937387,0.02337667,0.03298881
-5.90995498,1.49515250,1.17134970,0.00000000,0.71248170,1.06751854,0.02390063,0.03336526
-5.90395198,1.51210569,1.18459305,0.00000000,0.72118731,1.07917959,0.02427864,0.03353656
-5.89794897,1.51978715,1.19060706,0.00000000,0.72547555,1.08419781,0.02450856,0.03349647
-5.89194597,1.51818336,1.18938531,0.00000000,0.72533005,1.08256397,0.02459261,0.03324430
-5.88594297,1.50750757,1.18109414,0.00000000,0.72084899,1.07442166,0.02453753,0.03278484
-5.87993997,1.48819688,1.16607063,0.00000000,0.71224371,1.06006540,0.02435460,0.03212809
-5.87393697,1.46090241,1.14481527,0.00000000,0.69983392,1.03993392,0.02405951,0.03128890
-5.86793397,1.42647271,1.11797945,0.00000000,0.68403954,1.01459893,0.02367210,0.03028638
-5.86193097,1.38593120,1.08634841,0.00000000,0.66536948,0.98474972,0.02321597,0.02914331
-5.85592796,1.34044821,1.05082008,0.00000000,0.64440783,0.95117421,0.02271793,0.02788531
-5.84992496,1.29130901,1.01238070,0.00000000,0.62179794,0.91473715,0.02220742,0.02654012
-5.84392196,1.23987863,0.97207809,0.00000000,0.59822493,0.87635637,0.02171579,0.02513666
-5.83791896,1.18756500,0.93099353,0.00000000,0.57439742,0.83697777,0.02127557,0.02370421
-5.83191596,1.13578162,0.89021324,0.00000000,0.55102894,0.79755012,0.02091966,0.02227159
-5.82591296,1.08591095,0.85080038,0.00000000,0.52881978,0.75900040,0.02068058,0.02086634
-5.81990995,1.03926967,0.81376845,0.00000000,0.50843981,0.72221050,0.02058970,0.01951405
-5.81390695,0.99707699,0.78005690,0.00000000,0.49051283,0.68799602,0.02067648,0.01823773
-5.80790395,0.96042662,0.75050958,0.00000000,0.47560276,0.65708760,0.02096786,0.01705732
-5.80190095,0.93026321,0.72585659,0.00000000,0.46420214,0.63011549,0.02148759,0.01598931
-5.79589795,0.90736384,0.70669983,0.00000000,0.45672308,0.60759742,0.02225580,0.01504651
-5.78989495,0.89232453,0.69350263,0.00000000,0.45349076,0.58993006,0.02328851,0.01423791
-5.78389195,0.88555221,0.68658331,0.00000000,0.45473962,0.57738417,0.02459738,0.01356865
-5.77788894,0.88726184,0.68611286,0.00000000,0.46061199,0.57010332,0.02618942,0.01304019
-5.77188594,0.89747850,0.69211645,0.00000000,0.47115915,0.56810594,0.02806690,0.01265044
-5.76588294,0.91604418,0.70447844,0.00000000,0.48634448,0.57129058,0.03022735,0.01239409
-5.75987994,0.94262852,0.72295068,0.00000000,0.50604852,0.57944389,0.03266356,0.01226295
-5.75387694,0.97674327,0.74716352,0.00000000,0.53007546,0.59225103,0.03536376,0.01224638
-5.74787394,1.01775953,0.77663909,0.00000000,0.55816086,0.60930794,0.03831182,0.01233169
-5.74187094,1.06492718,0.81080631,0.00000000,0.58998006,0.63013511,0.04148749,0.01250464
-5.73586793,1.11739582,0.84901710,0.00000000,0.62515708,0.65419221,0.04486674,0.01274992
