energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.53958008,-1.23597707,0.36208358,-0.32090848,0.14930284,-0.11936245,0.91312967,-0.80515002,0.17658097,-0.08807803,0.00072502,-0.00011197,0.13822144,-0.14334746,0.00529451,-0.00822113,0.76578239,-0.62821192
-5.99399700,1.52414541,-1.28173046,0.35413743,-0.33461713,0.15000878,-0.12263134,0.89862994,-0.83580329,0.17509089,-0.09104159,0.00072706,-0.00012193,0.13523213,-0.14804396,0.00525058,-0.00818006,0.76064941,-0.65149529
-5.98799400,1.50816773,-1.32565752,0.34601933,-0.34775989,0.15095344,-0.12581480,0.88183215,-0.86472733,0.17366953,-0.09386769,0.00072761,-0.00013230,0.13194424,-0.15239261,0.00522855,-0.00812854,0.75560041,-0.67402321
-5.98199100,1.49245261,-1.36722510,0.33797455,-0.36014680,0.15220840,-0.12889457,0.86314051,-0.89152464,0.17242397,-0.09651920,0.00072658,-0.00014296,0.12843816,-0.15632606,0.00522944,-0.00806782,0.75101523,-0.69554435
-5.97598799,1.47778916,-1.40589296,0.33024210,-0.37158603,0.15384375,-0.13185125,0.84298447,-0.91580580,0.17145608,-0.09895781,0.00072390,-0.00015381,0.12479676,-0.15977798,0.00525391,-0.00799885,0.74726082,-0.71580108
-5.96998499,1.46492588,-1.44113427,0.32304784,-0.38189059,0.15592591,-0.13466559,0.82180653,-0.93720367,0.17085946,-0.10114547,0.00071951,-0.00016476,0.12110301,-0.16268556,0.00530227,-0.00792230,0.74467963,-0.73453946
-5.96398199,1.45454838,-1.47245757,0.31659813,-0.39088558,0.15851530,-0.13731999,0.80005038,-0.95538772,0.17071668,-0.10304599,0.00071339,-0.00017571,0.11743795,-0.16499199,0.00537434,-0.00783856,0.74357879,-0.75152020
-5.95797899,1.44725943,-1.49942904,0.31107437,-0.39841534,0.16166419,-0.13980015,0.77814964,-0.97007791,0.17109709,-0.10462671,0.00070552,-0.00018656,0.11387871,-0.16664885,0.00546950,-0.00774781,0.74422054,-0.76652977
-5.95197599,1.44356211,-1.52169395,0.30662840,-0.40435048,0.16541457,-0.14209660,0.75651769,-0.98105712,0.17205512,-0.10586009,0.00069592,-0.00019723,0.11049703,-0.16761844,0.00558654,-0.00765010,0.74681400,-0.77939137
-5.94597299,1.44384637,-1.53899585,0.30337902,-0.40859416,0.16979616,-0.14420631,0.73553860,-0.98818163,0.17362919,-0.10672528,0.00068466,-0.00020764,0.10735797,-0.16787558,0.00572375,-0.00754543,0.75150855,-0.78997490
-5.93996998,1.44837948,-1.55119269,0.30140960,-0.41108740,0.17482477,-0.14613393,0.71555969,-0.99138887,0.17584127,-0.10720939,0.00067184,-0.00021770,0.10451919,-0.16740913,0.00587884,-0.00743383,0.75838913,-0.79820538
-5.93396698,1.45730042,-1.55826861,0.30076682,-0.41181303,0.18050078,-0.14789288,0.69688544,-0.99070204,0.17869701,-0.10730853,0.00065762,-0.00022735,0.10203043,-0.16622289,0.00604903,-0.00731546,0.76747339,-0.80406946
-5.92796398,1.47061835,-1.56034100,0.30146062,-0.41079820,0.18680819,-0.14950598,0.67977318,-0.98623139,0.18218656,-0.10702851,0.00064221,-0.00023651,0.09993356,-0.16433594,0.00623103,-0.00719069,0.77871078,-0.80761954
-5.92196098,1.48821508,-1.55766213,0.30346518,-0.40811509,0.19371394,-0.15100576,0.66443022,-0.97817193,0.18628582,-0.10638515,0.00062587,-0.00024512,0.09826286,-0.16178237,0.00642117,-0.00706017,0.79198373,-0.80897521
-5.91595798,1.50985150,-1.55061547,0.30672094,-0.40388003,0.20116780,-0.15243421,0.65101271,-0.96679781,0.19095833,-0.10540421,0.00060890,-0.00025311,0.09704567,-0.15861038,0.00661547,-0.00692487,0.80711079,-0.80832207
-5.90995498,1.53517769,-1.53970659,0.31113756,-0.39825079,0.20910285,-0.15384217,0.63962593,-0.95245353,0.19615742,-0.10412089,0.00059169,-0.00026040,0.09630326,-0.15488085,0.00680975,-0.00678611,0.82385169,-0.80590776
