energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,13.91671030,1.10699356,4.85630321,0.01987027,1.40861025,3.32158639,4.68141590,0.06057140,2.56801127
-5.99399700,13.60999057,1.09235197,4.71241871,0.01975465,1.39255919,3.28470747,4.58906978,0.06219838,2.50398121
-5.98799400,13.27948339,1.07417812,4.56458210,0.01971068,1.37498180,3.23812760,4.48734595,0.06368117,2.43172123
-5.98199100,12.92791198,1.05266647,4.41399490,0.01973675,1.35586929,3.18207243,4.37715475,0.06499109,2.35199400
-5.97598799,12.55858499,1.02809522,4.26201440,0.01983286,1.33527178,3.11703011,4.25957676,0.06610216,2.26572394
-5.96998499,12.17532203,1.00081900,4.11012202,0.02000044,1.31330304,3.04374141,4.13584030,0.06699174,2.17396906
-5.96398199,11.78235752,0.97125893,3.95988482,0.02024206,1.29014171,2.96317943,4.00729366,0.06764123,2.07788882
-5.95797899,11.38422770,0.93989045,3.81291244,0.02056100,1.26602892,2.87652007,3.87537296,0.06803658,1.97870973
-5.95197599,10.98564658,0.90722973,3.67081181,0.02096084,1.24126243,2.78510459,3.74156746,0.06816876,1.87769009
-5.94597299,10.59137708,0.87381915,3.53514229,0.02144490,1.21618758,2.69039629,3.60738347,0.06803410,1.77608564
-5.93996998,10.20610331,0.84021260,3.40737335,0.02201572,1.19118565,2.59393337,3.47430872,0.06763450,1.67511725
-5.93396698,9.83430977,0.80696130,3.28884712,0.02267452,1.16666015,2.49728030,3.34377832,0.06697747,1.57594211
-5.92796398,9.48017258,0.77460049,3.18074729,0.02342075,1.14302188,2.40197982,3.21714369,0.06607603,1.47962910
-5.92196098,9.14746656,0.74363765,3.08407565,0.02425165,1.12067339,2.30950786,3.09564554,0.06494854,1.38713923
-5.91595798,8.83949127,0.71454245,2.99963685,0.02516194,1.09999379,2.22123313,2.98039148,0.06361828,1.29931133
-5.90995498,8.55901761,0.68773862,2.92803147,0.02614371,1.08132447,2.13838293,2.87233890,0.06211294,1.21685316
-5.90395198,8.30825541,0.66359786,2.86965698,0.02718631,1.06495649,2.06201626,2.77228335,0.06046408,1.14033757
-5.89794897,8.08884134,0.64243573,2.82471566,0.02827651,1.05112015,1.99300484,2.68085214,0.05870635,1.07020345
-5.89194597,7.90184544,0.62450934,2.79322829,0.02939876,1.03997708,1.93202236,2.59850315,0.05687674,1.00676066
-5.88594297,7.74779361,0.61001658,2.77505187,0.03053563,1.03161519,1.87954144,2.52552821,0.05501377,0.95019821
-5.87993997,7.62670311,0.59909673,2.76990011,0.03166835,1.02604652,1.83583786,2.46206036,0.05315660,0.90059487
-5.87393697,7.53812747,0.59183205,2.77736467,0.03277741,1.02320792,1.80100089,2.40808443,0.05134421,0.85793132
-5.86793397,7.48120726,0.58824995,2.79693583,0.03384336,1.02296441,1.77494861,2.36344994,0.04961451,0.82210292
-5.86193097,7.45472343,0.58832573,2.82802138,0.03484750,1.02511485,1.75744666,2.32788572,0.04800357,0.79293253
-5.85592796,7.45715007,0.59198529,2.86996252,0.03577267,1.02939956,1.74812916,2.30101527,0.04654483,0.77018247
-5.84992496,7.48670410,0.59910787,2.92204644,0.03660389,1.03550944,1.74652018,2.28237237,0.04526840,0.75356537
-5.84392196,7.54139012,0.60952858,2.98351516,0.03732906,1.04309602,1.75205475,2.27141619,0.04420042,0.74275339
-5.83791896,7.61903911,0.62304068,3.05357098,0.03793936,1.05178201,1.76409812,2.26754549,0.04336253,0.73738577
-5.83191596,7.71734081,0.63939754,3.13137898,0.03842967,1.06117187,1.78196263,2.27011153,0.04277135,0.73707453
-5.82591296,7.83386989,0.65831447,3.21606743,0.03879871,1.07086193,1.80492162,2.27842960,0.04243811,0.74140859
-5.81990995,7.96610689,0.67947046,3.30672725,0.03904904,1.08044983,1.83222032,2.29178890,0.04236836,0.74995649
-5.81390695,8.11145541,0.70250994,3.40241154,0.03918688,1.08954292,1.86308361,2.30946106,0.04256177,0.76226810
-5.80790395,8.26725723,0.72704493,3.50213644,0.03922179,1.09776547,1.89672139,2.33070740,0.04301206,0.77787570
-5.80190095,8.43080737,0.75265758,3.60488446,0.03916613,1.10476470,1.93233187,2.35478514,0.04370698,0.79629495
-5.79589795,8.59937096,0.77890347,3.70961100,0.03903445,1.11021554,1.96910369,2.38095307,0.04462851,0.81702609
-5.78989495,8.77020372,0.80531575,3.81525482,0.03884277,1.11382436,2.00621778,2.40847695,0.04575310,0.83955603
-5.78389195,8.94057736,0.83141035,3.92075272,0.03860786,1.11533155,2.04284967,2.43663507,0.04705210,0.86336135
-5.77788894,9.10781093,0.85669229,4.02505816,0.03834640,1.11451351,2.07817316,2.46472434,0.04849230,0.88791279
-5.77188594,9.26930830,0.88066315,4.12716366,0.03807426,1.11118393,2.11136593,2.49206720,0.05003661,0.91268121
-5.76588294,9.42260159,0.90282964,4.22612576,0.03780583,1.10519467,2.14161761,2.51801955,0.05164486,0.93714508
-5.75987994,9.56539942,0.92271312,4.32109170,0.03755339,1.09643647,2.16814029,2.54197968,0.05327477,0.96079939
-5.75387694,9.69563840,0.93985989,4.41132623,0.03732667,1.08483949,2.19018170,2.56339838,0.05488290,0.98316574
-5.74787394,9.81153578,0.95385191,4.49623707,0.03713249,1.07037387,2.20704049,2.58178967,0.05642579,1.00380327
-5.74187094,9.91164060,0.96431760,4.57539743,0.03697459,1.05305020,2.21808303,2.59674211,0.05786109,1.02231987
-5.73586793,9.99488041,0.97094227,4.64856401,0.03685357,1.03291994,2.22276110,2.60792996,0.05914866,1.03838325
-5.72986493,10.06060088,0.97347775,4.71568910,0.03676702,1.01007569,2.22062932,2.61512378,0.06025174,1.05173115
-5.72386193,10.10859527,0.97175070,4.77692574,0.03670972,0.98465113,2.21136137,2.61819965,0.06113788,1.06218017
-5.71785893,10.13912137,0.96566932,4.83262508,0.03667402,0.95682039,2.19476396,2.61714648,0.06177993,1.06963270
-5.71185593,10.15290390,0.95522775,4.88332563,0.03665024,0.92679692,2.17078760,2.61207056,0.06215679,1.07408127
-5.70585293,10.15112107,0.94050824,4.92973439,0.03662722,0.89483141,2.13953316,2.60319689,0.06225394,1.07561013
