energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,2.97952604,0.82767669,2.15439098,0.04558871,0.01682445,0.35223208,0.58250010,0.00000000
-5.99399700,2.99245696,0.82852409,2.18815246,0.04602747,0.01599546,0.32469393,0.56887463,0.00000000
-5.98799400,3.01565713,0.83160314,2.22957192,0.04649746,0.01520878,0.29906396,0.55691686,0.00000000
-5.98199100,3.04898423,0.83695657,2.27835832,0.04700540,0.01447085,0.27543913,0.54674083,0.00000000
-5.97598799,3.09191774,0.84452707,2.33393445,0.04755409,0.01378637,0.25386790,0.53839901,0.00000000
-5.96998499,3.14356185,0.85415535,2.39544145,0.04814202,0.01315821,0.23435251,0.53188038,0.00000000
-5.96398199,3.20266389,0.86558263,2.46175535,0.04876308,0.01258740,0.21685260,0.52711089,0.00000000
-5.95797899,3.26764789,0.87845739,2.53151531,0.04940657,0.01207318,0.20128965,0.52395639,0.00000000
-5.95197599,3.33666223,0.89234640,2.60316255,0.05005739,0.01161312,0.18755241,0.52222796,0.00000000
-5.94597299,3.40763936,0.90674963,2.67498846,0.05069656,0.01120339,0.17550279,0.52168940,0.00000000
-5.93996998,3.47836524,0.92111825,2.74518980,0.05130186,0.01083896,0.16498221,0.52206665,0.00000000
-5.93396698,3.54655543,0.93487517,2.81192857,0.05184875,0.01051393,0.15581810,0.52305873,0.00000000
-5.92796398,3.60993454,0.94743704,2.87339407,0.05231138,0.01022184,0.14783031,0.52434972,0.00000000
-5.92196098,3.66631553,0.95823676,2.92786418,0.05266375,0.00995602,0.14083727,0.52562120,0.00000000
-5.91595798,3.71367534,0.96674545,2.97376337,0.05288087,0.00970989,0.13466175,0.52656465,0.00000000
-5.90995498,3.75022376,0.97249286,3.00971488,0.05293990,0.00947726,0.12913600,0.52689324,0.00000000
-5.90395198,3.77446235,0.97508524,3.03458490,0.05282122,0.00925258,0.12410614,0.52635248,0.00000000
-5.89794897,3.78523144,0.97421989,3.04751700,0.05250939,0.00903118,0.11943581,0.52472922,0.00000000
