energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.46000680,-3.19496759,0.01321641,-0.05893299,0.12154512,-0.74851121,0.68505197,-1.34554475,0.37886803,-0.86556867,0.35800311,-0.50455648,0.00696263,-0.07868854,0.77213211,-1.17110418,0.00000000,-0.00000000
-5.99399700,1.47482176,-3.19965896,0.01426076,-0.06292393,0.11653893,-0.75069743,0.67102621,-1.30711309,0.39242903,-0.89636828,0.35945784,-0.50517921,0.00745753,-0.07485809,0.78346354,-1.16633594,0.00000000,-0.00000000
-5.98799400,1.49220529,-3.20689595,0.01530367,-0.06689472,0.11202816,-0.75325802,0.65876689,-1.27362987,0.40684623,-0.92629384,0.36144623,-0.50649568,0.00800911,-0.07099852,0.79566516,-1.16304328,0.00000000,-0.00000000
-5.98199100,1.51197168,-3.21579372,0.01632844,-0.07078820,0.10805794,-0.75595955,0.64825768,-1.24490576,0.42208440,-0.95483029,0.36392822,-0.50837565,0.00861552,-0.06714494,0.80857122,-1.16098587,0.00000000,-0.00000000
-5.97598799,1.53386441,-3.22528470,0.01731753,-0.07454548,0.10467137,-0.75853286,0.63944065,-1.22058723,0.43809947,-0.98145112,0.36684209,-0.51064640,0.00927449,-0.06333044,0.82197214,-1.15983952,0.00000000,-0.00000000
-5.96998499,1.55756490,-3.23414770,0.01825303,-0.07810711,0.10190915,-0.76068135,0.63221816,-1.20017448,0.45484103,-1.00562991,0.37010642,-0.51309787,0.00998313,-0.05958526,0.83562041,-1.15920441,0.00000000,-0.00000000
-5.96398199,1.58270489,-3.24104510,0.01911713,-0.08141444,0.09980971,-0.76209062,0.62645658,-1.18304417,0.47225542,-1.02685304,0.37362293,-0.51548966,0.01073781,-0.05593605,0.84923855,-1.15861738,0.00000000,-0.00000000
-5.95797899,1.60888138,-3.24456642,0.01989261,-0.08441091,0.09840954,-0.76243909,0.62199143,-1.16847614,0.49028917,-1.04463280,0.37727990,-0.51755950,0.01153405,-0.05240533,0.86252825,-1.15756737,0.00000000,-0.00000000
-5.95197599,1.63567312,-3.24327676,0.02056344,-0.08704347,0.09774374,-0.76140909,0.61863370,-1.15568291,0.50889237,-1.05852067,0.38095593,-0.51903289,0.01236649,-0.04901121,0.87518052,-1.15551380,0.00000000,-0.00000000
-5.94597299,1.66265731,-3.23576802,0.02111525,-0.08926389,0.09784660,-0.75869806,0.61617678,-1.14384091,0.52802171,-1.06812015,0.38452392,-0.51963356,0.01322881,-0.04576725,0.88688583,-1.15190679,0.00000000,-0.00000000
-5.93996998,1.68942554,-3.22071071,0.02153589,-0.09102998,0.09875216,-0.75402942,0.61440360,-1.13212216,0.54764291,-1.07309864,0.38785492,-0.51909423,0.01411379,-0.04268250,0.89734403,-1.14620842,0.00000000,-0.00000000
-5.93396698,1.71559797,-3.19690443,0.02181578,-0.09230676,0.10049457,-0.74716266,0.61309370,-1.11972518,0.56773213,-1.07319806,0.39082175,-0.51716721,0.01501332,-0.03976178,0.90627335,-1.13791423,0.00000000,-0.00000000
-5.92796398,1.74083486,-3.16332451,0.02194834,-0.09306742,0.10310815,-0.73790227,0.61202969,-1.10590399,0.58827640,-1.06824353,0.39330222,-0.51363437,0.01591852,-0.03700605,0.91341819,-1.12657377,0.00000000,-0.00000000
-5.92196098,1.76484499,-3.11916316,0.02193024,-0.09329403,0.10662712,-0.72610512,0.61100300,-1.08999413,0.60927273,-1.05814998,0.39518187,-0.50831616,0.01681987,-0.03441292,0.91855545,-1.11180951,0.00000000,-0.00000000
-5.91595798,1.78739076,-3.06386322,0.02176151,-0.09297813,0.11108481,-0.71168610,0.60981877,-1.07143473,0.63072603,-1.04292628,0.39635623,-0.50107911,0.01770739,-0.03197722,0.92149923,-1.09333303,0.00000000,-0.00000000
-5.90995498,1.80828975,-2.99714303,0.02144563,-0.09212097,0.11651249,-0.69462166,0.60829964,-1.04978594,0.65264586,-1.02267675,0.39673252,-0.49184161,0.01857091,-0.02969169,0.92210409,-1.07095809,0.00000000,-0.00000000
-5.90395198,1.82741320,-2.91901160,0.02098944,-0.09073351,0.12293761,-0.67495133,0.60628863,-1.02474118,0.67504211,-0.99759988,0.39623095,-0.48057778,0.01940039,-0.02754757,0.92026674,-1.04460966,0.00000000,-0.00000000
-5.89794897,1.84468174,-2.82977335,0.02040295,-0.08883619,0.13038169,-0.65277693,0.60365109,-0.99613393,0.69791984,-0.96798444,0.39478574,-0.46731922,0.02018622,-0.02553527,0.91592671,-1.01432891,0.00000000,-0.00000000
-5.89194597,1.86005908,-2.73002243,0.01969906,-0.08645836,0.13885771,-0.62825978,0.60027586,-0.96393894,0.72127350,-0.93420296,0.39234579,-0.45215459,0.02091968,-0.02364494,0.90906603,-0.98027381,0.00000000,-0.00000000
-5.88594297,1.87354430,-2.62062703,0.01889324,-0.08363752,0.14836732,-0.60161585,0.59607593,-0.92826824,0.74508103,-0.89670281,0.38887530,-0.43522720,0.02159340,-0.02186700,0.89970845,-0.94271548,0.00000000,-0.00000000
-5.87993997,1.88516368,-2.50270449,0.01800305,-0.08041831,0.15889780,-0.57310925,0.59098859,-0.88936222,0.76929783,-0.85599540,0.38435436,-0.41673077,0.02220184,-0.02019254,0.88791841,-0.90203059,0.00000000,-0.00000000
-5.87393697,1.89496271,-2.37758860,0.01704775,-0.07685131,0.17041912,-0.54304416,0.58497546,-0.84757648,0.79385134,-0.81264367,0.37877961,-0.39690343,0.02274183,-0.01861369,0.87380005,-0.85869022,0.00000000,-0.00000000
-5.86793397,1.90299908,-2.24679051,0.01604779,-0.07299173,0.18288113,-0.51175582,0.57802242,-0.80336523,0.81863631,-0.76724839,0.37216489,-0.37602059,0.02321315,-0.01712382,0.85749654,-0.81324588,0.00000000,-0.00000000
-5.86193097,1.90933726,-2.11195518,0.01502436,-0.06889792,0.19621118,-0.47960066,0.57013958,-0.75726219,0.84351120,-0.72043393,0.36454217,-0.35438671,0.02361903,-0.01571772,0.83918970,-0.76631334,0.00000000,-0.00000000
-5.85592796,1.91404510,-1.97481530,0.01399898,-0.06462996,0.21031226,-0.44694618,0.56136141,-0.70985988,0.86829593,-0.67283375,0.35596235,-0.33232661,0.02396671,-0.01439167,0.81910022,-0.71855509,0.00000000,-0.00000000
-5.84992496,1.91719281,-1.83714453,0.01299307,-0.06024815,0.22506203,-0.41416100,0.55174700,-0.66178826,0.89277145,-0.62507629,0.34649618,-0.31017655,0.02426791,-0.01314345,0.79748805,-0.67066215,0.00000000,-0.00000000
-5.84392196,1.91885431,-1.70071205,0.01202768,-0.05581162,0.24031269,-0.38160521,0.54138041,-0.61369376,0.91668096,-0.57777160,0.33623499,-0.28827545,0.02453929,-0.01197226,0.77465309,-0.62333623,0.00000000,-0.00000000
-5.83791896,1.91911116,-1.56724000,0.01112318,-0.05137704,0.25589197,-0.34962170,0.53037115,-0.56621939,0.93973331,-0.53149922,0.32529127,-0.26695669,0.02480271,-0.01087870,0.75093583,-0.57727258,0.00000000,-0.00000000
-5.83191596,1.91805853,-1.43836525,0.01029909,-0.04699748,0.27160538,-0.31852846,0.51885444,-0.51998672,0.96160833,-0.48679743,0.31379878,-0.24654054,0.02508555,-0.00986469,0.72671771,-0.53314439,0.00000000,-0.00000000
-5.82591296,1.91581315,-1.31560652,0.00957394,-0.04272144,0.28723954,-0.28861223,0.50699148,-0.47558027,0.98196429,-0.44415440,0.30191230,-0.22732756,0.02542070,-0.00893340,0.70242076,-0.49158916,0.00000000,-0.00000000
-5.81990995,1.91252255,-1.20033772,0.00896519,-0.03859215,0.30256689,-0.26012355,0.49496924,-0.43353463,1.00044717,-0.40400100,0.28980676,-0.20959311,0.02584654,-0.00808921,0.67850648,-0.45319714,0.00000000,-0.00000000
-5.81390695,1.90837520,-1.09376769,0.00848922,-0.03464702,0.31735142,-0.23327336,0.48299999,-0.39432465,1.01670185,-0.36670567,0.27767568,-0.19358288,0.02640671,-0.00733777,0.65547338,-0.41850228,0.00000000,-0.00000000
-5.80790395,1.90361075,-0.99692661,0.00816127,-0.03091741,0.33135546,-0.20823109,0.47132014,-0.35835855,1.03038455,-0.33257114,0.26572901,-0.17950960,0.02714958,-0.00668601,0.63385325,-0.38797552,0.00000000,-0.00000000
-5.80190095,1.89852988,-0.91065848,0.00799550,-0.02742851,0.34434727,-0.18512421,0.46018866,-0.32597402,1.04117656,-0.30183282,0.25419021,-0.16755070,0.02812774,-0.00614229,0.61420574,-0.36202039,0.00000000,-0.00000000
-5.79589795,1.89350300,-0.83561954,0.00800496,-0.02419958,0.35610916,-0.16403900,0.44988472,-0.29743700,1.04879858,-0.27465884,0.24329279,-0.15784703,0.02939701,-0.00571659,0.59711144,-0.34097072,0.00000000,-0.00000000
-5.78989495,1.88897734,-0.77228146,0.00820154,-0.02124425,0.36644589,-0.14502259,0.44070490,-0.27294280,1.05302524,-0.25115152,0.23327625,-0.15050226,0.03101550,-0.00542071,0.58316326,-0.32509020,0.00000000,-0.00000000
-5.78389195,1.88548172,-0.72093892,0.00859591,-0.01857104,0.37519301,-0.12808585,0.43295967,-0.25261918,1.05369942,-0.23134984,0.22438162,-0.14558309,0.03304231,-0.00526856,0.57295647,-0.31457343,0.00000000,-0.00000000
-5.77788894,1.88362888,-0.68172028,0.00919739,-0.01618399,0.38222475,-0.11320705,0.42696953,-0.23653095,1.05074564,-0.21523292,0.21684682,-0.14311995,0.03553614,-0.00527645,0.56707738,-0.30954825,0.00000000,-0.00000000
-5.77188594,1.88411474,-0.65460070,0.01001377,-0.01408339,0.38746127,-0.10033595,0.42306081,-0.22468575,1.04418217,-0.20272415,0.21090187,-0.14310811,0.03855371,-0.00546338,0.56609124,-0.31007897,0.00000000,-0.00000000
-5.76588294,1.88771487,-0.63941688,0.01105108,-0.01226654,0.39087485,-0.08939829,0.42156131,-0.21704044,1.03413130,-0.19369579,0.20676427,-0.14550925,0.04214814,-0.00585128,0.57052952,-0.31617020,0.00000000,-0.00000000
-5.75987994,1.89527797,-0.63588251,0.01231328,-0.01072852,0.39249477,-0.08030024,0.42279600,-0.21350789,1.02082741,-0.18797394,0.20463477,-0.15025325,0.04636722,-0.00646526,0.58087723,-0.32777114,0.00000000,-0.00000000
-5.75387694,1.90771665,-0.64360406,0.01380196,-0.00946293,0.39241077,-0.07293288,0.42708295,-0.21396373,1.00462232,-0.18534365,0.20469356,-0.15724024,0.05125175,-0.00733370,0.59756070,-0.34478011,0.00000000,-0.00000000
-5.74787394,1.92599604,-0.66209629,0.01551596,-0.00846258,0.39077482,-0.06717635,0.43472978,-0.21825288,0.98598795,-0.18555427,0.20709720,-0.16634293,0.05683387,-0.00848825,0.62093633,-0.36704915,0.00000000,-0.00000000
-5.74187094,1.95112054,-0.69079719,0.01745102,-0.00772011,0.38780118,-0.06290374,0.44603074,-0.22619566,0.96551585,-0.18832479,0.21197639,-0.17740925,0.06313567,-0.00996370,0.65128096,-0.39438863,0.00000000,-0.00000000
-5.73586793,1.98411959,-0.72908204,0.01959949,-0.00722843,0.38376481,-0.05998453,0.46126465,-0.23759325,0.94391368,-0.19334941,0.21943466,-0.19026524,0.07016791,-0.01179758,0.68878420,-0.42657182,0.00000000,-0.00000000
-5.72986493,2.02603285,-0.77627657,0.02195002,-0.00698114,0.37899801,-0.05828760,0.48069381,-0.25223251,0.92199864,-0.20030315,0.22954798,-0.20471830,0.07792910,-0.01402964,0.73354334,-0.46333938,0.00000000,-0.00000000
-5.72386193,2.07789568,-0.83166899,0.02448738,-0.00697267,0.37388553,-0.05768368,0.50456400,-0.26989007,0.90068791,-0.20884760,0.24236545,-0.22056079,0.08640492,-0.01670100,0.78556103,-0.50440366,0.00000000,-0.00000000
-5.71785893,2.14072525,-0.89452092,0.02719240,-0.00719845,0.36885826,-0.05804742,0.53310539,-0.29033563,0.88098621,-0.21863684,0.25791083,-0.23757398,0.09556806,-0.01985312,0.84474604,-0.54945280,0.00000000,-0.00000000
-5.71185593,2.21550781,-0.96407711,0.03004194,-0.00765476,0.36438556,-0.05925894,0.56653458,-0.31333452,0.86397085,-0.22932351,0.27618494,-0.25553229,0.10537854,-0.02352650,0.91091716,-0.59815472,0.00000000,-0.00000000
-5.70585293,2.30318719,-1.03957406,0.03300914,-0.00833861,0.36096654,-0.06120495,0.60505719,-0.33864953,0.85077413,-0.24056501,0.29716865,-0.27420787,0.11578444,-0.02775908,0.98381012,-0.65016061,0.00000000,-0.00000000
-5.69984992,2.40465444,-1.12024731,0.03606372,-0.00924738,0.35912034,-0.06377955,0.64887109,-0.36604203,0.84256362,-0.25202974,0.32082632,-0.29337528,0.12672319,-0.03258454,1.06308722,-0.70510820,0.00000000,-0.00000000
-5.69384692,2.52073835,-1.20533755,0.03917244,-0.01037841,0.35937556,-0.06688460,0.69816962,-0.39527247,0.84052029,-0.26340327,0.34710939,-0.31281628,0.13812319,-0.03803033,1.14834930,-0.76262454,0.00000000,-0.00000000
-5.68784392,2.65219605,-1.29409549,0.04229975,-0.01172856,0.36225910,-0.07042988,0.75314443,-0.42610034,0.84581470,-0.27439440,0.37595983,-0.33232453,0.14990588,-0.04411569,1.23914932,-0.82232825,0.00000000,-0.00000000
-5.68184092,2.79970297,-1.38578541,0.04540849,-0.01329363,0.36828430,-0.07433300,0.81398757,-0.45828358,0.85958144,-0.28474082,0.40731312,-0.35171007,0.16198807,-0.05084953,1.33500682,-0.88383131,0.00000000,-0.00000000
-5.67583792,2.96384120,-1.47968774,0.04846073,-0.01506786,0.37793867,-0.07851910,0.88089197,-0.49157777,0.88289207,-0.29421434,0.44110056,-0.37080337,0.17428443,-0.05822856,1.43542240,-0.94674034,0.00000000,-0.00000000
-5.66983492,3.14508511,-1.57510048,0.05141865,-0.01704336,0.39167126,-0.08292045,0.95405022,-0.52573505,0.91672666,-0.30262537,0.47725043,-0.38945885,0.18671011,-0.06623538,1.53989124,-1.01065744,0.00000000,-0.00000000
