energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.15048779,0.27847016,0.11728609,0.03064403,0.13931436,0.45518387,0.00000000,0.58749595,0.11890698
-5.99399700,1.17782119,0.28195663,0.11859811,0.03066338,0.14576880,0.46344356,0.00000000,0.61219813,0.12112869
-5.98799400,1.20115120,0.28453706,0.11944148,0.03060143,0.15170684,0.47010700,0.00000000,0.63494972,0.12298945
-5.98199100,1.21986600,0.28607684,0.11978815,0.03044584,0.15703425,0.47495132,0.00000000,0.65532065,0.12442037
-5.97598799,1.23351101,0.28647968,0.11962629,0.03018903,0.16167560,0.47781392,0.00000000,0.67295860,0.12536946
-5.96998499,1.24180552,0.28569034,0.11896099,0.02982820,0.16557780,0.47859799,0.00000000,0.68760402,0.12580301
-5.96398199,1.24465381,0.28369598,0.11781440,0.02936520,0.16871279,0.47727598,0.00000000,0.69910177,0.12570657
-5.95797899,1.24215010,0.28052611,0.11622553,0.02880626,0.17107939,0.47389075,0.00000000,0.70740898,0.12508513
-5.95197599,1.23457694,0.27625106,0.11424954,0.02816158,0.17270398,0.46855442,0.00000000,0.71259844,0.12396278
-5.94597299,1.22239687,0.27097907,0.11195653,0.02744488,0.17364016,0.46144484,0.00000000,0.71485740,0.12238162
-5.93996998,1.20623757,0.26485203,0.10943001,0.02667274,0.17396717,0.45279972,0.00000000,0.71448142,0.12040012
-5.93396698,1.18687071,0.25804016,0.10676481,0.02586396,0.17378717,0.44290876,0.00000000,0.71186365,0.11809087
-5.92796398,1.16518536,0.25073562,0.10406478,0.02503880,0.17322148,0.43210380,0.00000000,0.70747967,0.11553781
-5.92196098,1.14215668,0.24314546,0.10144009,0.02421821,0.17240582,0.42074753,0.00000000,0.70186857,0.11283306
-5.91595798,1.11881104,0.23548403,0.09900432,0.02342304,0.17148490,0.40922105,0.00000000,0.69561091,0.11007342
-5.90995498,1.09618885,0.22796520,0.09687140,0.02267327,0.17060633,0.39791069,0.00000000,0.68930453,0.10735677
-5.90395198,1.07530647,0.22079470,0.09515244,0.02198725,0.16991438,0.38719468,0.00000000,0.68353920,0.10477834
-5.89794897,1.05711859,0.21416272,0.09395254,0.02138106,0.16954365,0.37743004,0.00000000,0.67887122,0.10242708
-5.89194597,1.04248256,0.20823724,0.09336770,0.02086787,0.16961302,0.36894016,0.00000000,0.67579904,0.10038238
-5.88594297,1.03212598,0.20315812,0.09348184,0.02045749,0.17022015,0.36200364,0.00000000,0.67474099,0.09871097
-5.87993997,1.02661880,0.19903233,0.09436404,0.02015599,0.17143681,0.35684461,0.00000000,0.67601621,0.09746447
-5.87393697,1.02635107,0.19593039,0.09606613,0.01996546,0.17330511,0.35362501,0.00000000,0.67982942,0.09667741
-5.86793397,1.03151704,0.19388420,0.09862056,0.01988391,0.17583505,0.35243900,0.00000000,0.68626052,0.09636594
-5.86193097,1.04210635,0.19288622,0.10203877,0.01990538,0.17900332,0.35330972,0.00000000,0.69525924,0.09652721
-5.85592796,1.05790258,0.19289019,0.10631003,0.02002009,0.18275346,0.35618856,0.00000000,0.70664518,0.09713950
-5.84992496,1.07848922,0.19381315,0.11140076,0.02021480,0.18699745,0.36095675,0.00000000,0.72011339,0.09816305
-5.84392196,1.10326272,0.19553880,0.11725456,0.02047331,0.19161863,0.36742946,0.00000000,0.73524496,0.09954154
-5.83791896,1.13145233,0.19792202,0.12379270,0.02077698,0.19647579,0.37536198,0.00000000,0.75152254,0.10120418
-5.83191596,1.16214568,0.20079434,0.13091532,0.02110548,0.20140830,0.38445790,0.00000000,0.76834967,0.10306835
-5.82591296,1.19431932,0.20397015,0.13850329,0.02143742,0.20624209,0.39437900,0.00000000,0.78507354,0.10504263
-5.81990995,1.22687295,0.20725345,0.14642061,0.02175120,0.21079618,0.40475632,0.00000000,0.80100975,0.10703008
-5.81390695,1.25866611,0.21044476,0.15451741,0.02202570,0.21488939,0.41520219,0.00000000,0.81546831,0.10893175
-5.80790395,1.28855588,0.21334810,0.16263357,0.02224107,0.21834719,0.42532270,0.00000000,0.82777959,0.11065015
-5.80190095,1.31543425,0.21577757,0.17060264,0.02237936,0.22100805,0.43473017,0.00000000,0.83731914,0.11209262
-5.79589795,1.33826376,0.21756347,0.17825628,0.02242515,0.22272940,0.44305525,0.00000000,0.84353043,0.11317440
-5.78989495,1.35611025,0.21855765,0.18542881,0.02236602,0.22339257,0.44995821,0.00000000,0.84594450,0.11382144
-5.78389195,1.36817143,0.21863795,0.19196196,0.02219289,0.22290689,0.45513902,0.00000000,0.84419573,0.11397266
-5.77788894,1.37380052,0.21771153,0.19770958,0.02190028,0.22121248,0.45834601,0.00000000,0.83803336,0.11358169
-5.77188594,1.37252407,0.21571709,0.20254209,0.02148640,0.21828186,0.45938273,0.00000000,0.82732818,0.11261807
-5.76588294,1.36405373,0.21262590,0.20635067,0.02095304,0.21412026,0.45811292,0.00000000,0.81207449,0.11106779
-5.75987994,1.34829149,0.20844169,0.20905093,0.02030544,0.20876469,0.45446346,0.00000000,0.79238722,0.10893328
-5.75387694,1.32532868,0.20319938,0.21058591,0.01955197,0.20228182,0.44842526,0.00000000,0.76849480,0.10623277
-5.74787394,1.29543894,0.19696284,0.21092841,0.01870370,0.19476491,0.44005215,0.00000000,0.74072806,0.10299921
-5.74187094,1.25906564,0.18982181,0.21008236,0.01777393,0.18632982,0.42945789,0.00000000,0.70950593,0.09927864
-5.73586793,1.21680451,0.18188811,0.20808335,0.01677764,0.17711050,0.41681143,0.00000000,0.67531875,0.09512831
-5.72986493,1.16938237,0.17329137,0.20499815,0.01573097,0.16725399,0.40233077,0.00000000,0.63870998,0.09061446
-5.72386193,1.11763279,0.16417442,0.20092333,0.01465056,0.15691530,0.38627557,0.00000000,0.60025708,0.08580997
-5.71785893,1.06246983,0.15468860,0.19598286,0.01355310,0.14625240,0.36893885,0.00000000,0.56055264,0.08079192
