energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.92214427,-1.26647515,0.55209591,-0.36269745,0.24606816,-0.14665331,0.60300156,-0.38704927,0.34955825,-0.10831071,0.00053355,-0.00016930,0.07310930,-0.07088349,0.01125476,-0.01239244,1.08184360,-0.74358871
-5.99399700,1.94303339,-1.21169135,0.55478549,-0.34644614,0.24916550,-0.14230798,0.62022094,-0.36936146,0.35293334,-0.10362955,0.00051756,-0.00015216,0.07825521,-0.06643163,0.01103563,-0.01151515,1.08846837,-0.71389819
-5.98799400,1.95425935,-1.15991903,0.55438665,-0.33165588,0.25078374,-0.13838623,0.63509292,-0.35268863,0.35480532,-0.09912876,0.00049945,-0.00013913,0.08359904,-0.06212735,0.01075284,-0.01066235,1.08895903,-0.68593645
-5.98199100,1.95586904,-1.11194564,0.55092667,-0.31855863,0.25089342,-0.13499545,0.64744869,-0.33725106,0.35525958,-0.09487965,0.00047941,-0.00012972,0.08913364,-0.05800315,0.01041097,-0.00984125,1.08334121,-0.66018168
-5.97598799,1.94811912,-1.06850522,0.54449263,-0.30735645,0.24949792,-0.13224059,0.65715955,-0.32325411,0.35442110,-0.09094899,0.00045769,-0.00012353,0.09485203,-0.05408906,0.01001604,-0.00905853,1.07176624,-0.63708091
-5.96998499,1.93146362,-1.03026620,0.53522752,-0.29821872,0.24663302,-0.13022154,0.66413734,-0.31088524,0.35245055,-0.08739798,0.00043457,-0.00012018,0.10074733,-0.05041241,0.00957529,-0.00832016,1.05450399,-0.61704226
-5.96398199,1.90653665,-0.99781934,0.52332495,-0.29127969,0.24236565,-0.12903046,0.66833410,-0.30031096,0.34953943,-0.08428127,0.00041037,-0.00011938,0.10681288,-0.04699755,0.00909693,-0.00763128,1.03193265,-0.60042717
-5.95797899,1.87413111,-0.97166621,0.50902275,-0.28663637,0.23679166,-0.12874892,0.66974125,-0.29167366,0.34590444,-0.08164617,0.00038541,-0.00012086,0.11304238,-0.04386568,0.00858983,-0.00699615,1.00452601,-0.58754297
-5.95197599,1.83517434,-0.95220828,0.49259572,-0.28434678,0.23003290,-0.12944510,0.66838842,-0.28508858,0.34178142,-0.07953175,0.00036005,-0.00012439,0.11943025,-0.04103466,0.00806325,-0.00641811,0.97283867,-0.57863587
-5.94597299,1.79070188,-0.93973705,0.47434797,-0.28442871,0.22223364,-0.13117111,0.66434193,-0.28064097,0.33741899,-0.07796817,0.00033461,-0.00012975,0.12597220,-0.03851884,0.00752659,-0.00589963,0.93749006,-0.57388459
-5.93996998,1.74183043,-0.93442570,0.45460490,-0.28685891,0.21355651,-0.13396045,0.65770322,-0.27838357,0.33307231,-0.07697611,0.00030942,-0.00013674,0.13266589,-0.03632898,0.00698911,-0.00544228,0.89914758,-0.57339492
-5.93396698,1.68973095,-0.93632250,0.43370534,-0.29157303,0.20417813,-0.13782579,0.64860714,-0.27833455,0.32899713,-0.07656627,0.00028479,-0.00014517,0.13951181,-0.03447214,0.00645976,-0.00504686,0.85850978,-0.57719554
-5.92796398,1.63560304,-0.94534671,0.41199396,-0.29846616,0.19428457,-0.14275723,0.63722023,-0.28047622,0.32544443,-0.07673916,0.00026101,-0.00015484,0.14651434,-0.03295172,0.00594693,-0.00471349,0.81628997,-0.58523532
