energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Y_p_up,Y_d_up
-6.00000000,3.66722891,0.02432634,0.05982367,0.11729572,2.56970847,1.51357365,0.74125501,0.42271956,0.18378158
-5.99399700,3.68041956,0.02453040,0.06057884,0.11752846,2.57950842,1.51901368,0.75077738,0.42423567,0.18418895
-5.98799400,3.68418392,0.02468045,0.06118639,0.11749997,2.58250858,1.52099645,0.75715006,0.42487665,0.18411449
-5.98199100,3.67748112,0.02476985,0.06162590,0.11718199,2.57798692,1.51913914,0.76018700,0.42450393,0.18350784
-5.97598799,3.65955685,0.02479334,0.06188115,0.11655383,2.56542288,1.51317105,0.75976892,0.42300745,0.18233301
-5.96998499,3.62995329,0.02474709,0.06194022,0.11560263,2.54450535,1.50293880,0.75584424,0.42030764,0.18056885
-5.96398199,3.58850883,0.02462878,0.06179554,0.11432332,2.51513345,1.48840750,0.74842793,0.41635633,0.17820906
-5.95797899,3.53534850,0.02443762,0.06144371,0.11271842,2.47741044,1.46965785,0.73759858,0.41113678,0.17526167
-5.95197599,3.47086602,0.02417430,0.06088540,0.11079750,2.43163166,1.44687963,0.72349378,0.40466279,0.17174817
-5.94597299,3.39569901,0.02384093,0.06012503,0.10857651,2.37826724,1.42036197,0.70630423,0.39697707,0.16770231
-5.93996998,3.31069869,0.02344089,0.05917049,0.10607698,2.31794070,1.39048087,0.68626681,0.38814884,0.16316857
-5.93396698,3.21689572,0.02297877,0.05803279,0.10332509,2.25140447,1.35768456,0.66365699,0.37827101,0.15820047
-5.92796398,3.11546358,0.02246015,0.05672571,0.10035075,2.17951342,1.32247728,0.63878082,0.36745682,0.15285880
-5.92196098,3.00768098,0.02189146,0.05526543,0.09718662,2.10319745,1.28540210,0.61196692,0.35583625,0.14720977
-5.91595798,2.89489452,0.02127979,0.05367014,0.09386717,2.02343397,1.24702329,0.58355853,0.34355209,0.14132315
-5.90995498,2.77848263,0.02063272,0.05195974,0.09042775,1.94122131,1.20790881,0.55390608,0.33075610,0.13527054
-5.90395198,2.65982185,0.01995812,0.05015542,0.08690384,1.85755351,1.16861352,0.52336013,0.31760502,0.12912372
-5.89794897,2.54025612,0.01926398,0.04827941,0.08333024,1.77339734,1.12966346,0.49226518,0.30425676,0.12295319
-5.89194597,2.42106950,0.01855820,0.04635460,0.07974043,1.68967182,1.09154166,0.46095403,0.29086677,0.11682680
