energy_ev,total_up,Hf_p_up,Hf_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.14812891,0.45158808,0.49264933,0.50613799,0.28495961,0.00120513,0.43964059,0.00217464,1.02155521
-5.99399700,2.06081102,0.43445203,0.46718161,0.48568070,0.27861899,0.00113668,0.41766524,0.00235868,0.98429567
-5.98799400,1.98093251,0.42103597,0.44298276,0.46629626,0.27381527,0.00107692,0.39790353,0.00258801,0.94939675
-5.98199100,1.91032217,0.41190071,0.42048631,0.44838593,0.27074614,0.00102650,0.38078345,0.00286493,0.91766504
-5.97598799,1.85071520,0.40760136,0.40009783,0.43234181,0.26959154,0.00098597,0.36670401,0.00319159,0.88987703
-5.96998499,1.80370767,0.40867869,0.38218516,0.41853523,0.27050719,0.00095579,0.35602732,0.00356984,0.86675571
-5.96398199,1.77071554,0.41564988,0.36707006,0.40730594,0.27361879,0.00093633,0.34907187,0.00400127,0.84894927
-5.95797899,1.75293953,0.42899884,0.35502147,0.39895257,0.27901716,0.00092780,0.34610677,0.00448706,0.83701273
-5.95197599,1.75133641,0.44916602,0.34625051,0.39372453,0.28675441,0.00093026,0.34734725,0.00502800,0.83139290
-5.94597299,1.76659740,0.47653815,0.34090723,0.39181549,0.29684141,0.00094361,0.35295132,0.00562439,0.83241707
-5.93996998,1.79913393,0.51143794,0.33907908,0.39335871,0.30924653,0.00096757,0.36301750,0.00627599,0.84028564
-5.93396698,1.84907070,0.55411419,0.34079097,0.39842412,0.32389580,0.00100167,0.37758370,0.00698201,0.85506860
-5.92796398,1.91624601,0.60473247,0.34600694,0.40701715,0.34067439,0.00104524,0.39662722,0.00774104,0.87670587
-5.92196098,2.00021904,0.66336704,0.35463302,0.41907938,0.35942953,0.00109745,0.42006573,0.00855106,0.90501122
-5.91595798,2.10028352,0.72999407,0.36652149,0.43449066,0.37997455,0.00115726,0.44775929,0.00940939,0.93967942
-5.90995498,2.21548748,0.80448695,0.38147595,0.45307284,0.40209416,0.00122350,0.47951340,0.01031272,0.98029630
-5.90395198,2.34465819,0.88661376,0.39925739,0.47459470,0.42555054,0.00129484,0.51508302,0.01125711,1.02635122
-5.89794897,2.48643188,0.97603744,0.41959084,0.49877810,0.45009033,0.00136985,0.55417754,0.01223806,1.07725154
-5.89194597,2.63928719,1.07231881,0.44217261,0.52530496,0.47545189,0.00144702,0.59646671,0.01325051,1.13233852
-5.88594297,2.80158168,1.17492251,0.46667779,0.55382508,0.50137296,0.00152481,0.64158740,0.01428890,1.19090427
-5.87993997,2.97159032,1.28322592,0.49276795,0.58396446,0.52759812,0.00160165,0.68915107,0.01534730,1.25220917
-5.87393697,3.14754500,1.39653076,0.52009891,0.61533387,0.55388593,0.00167606,0.73875192,0.01641945,1.31549926
-5.86793397,3.32767390,1.51407707,0.54832820,0.64753755,0.58001533,0.00174663,0.78997526,0.01749887,1.38002318
-5.86193097,3.51023947,1.63505891,0.57712232,0.68018178,0.60579114,0.00181207,0.84240619,0.01857896,1.44504810
-5.85592796,3.69357387,1.75864122,0.60616330,0.71288294,0.63104827,0.00187127,0.89563798,0.01965310,1.50987428
-5.84992496,3.87611059,1.88397688,0.63515463,0.74527509,0.65565451,0.00192334,0.94927995,0.02071480,1.57384776
-5.84392196,4.05641102,2.01022328,0.66382620,0.77701659,0.67951177,0.00196758,1.00296456,0.02175776,1.63637088
-5.83791896,4.23318507,2.13655734,0.69193823,0.80779568,0.70255555,0.00200357,1.05635327,0.02277602,1.69691026
-5.83191596,4.40530476,2.26218830,0.71928387,0.83733484,0.72475274,0.00203112,1.10914086,0.02376403,1.75500200
-5.82591296,4.57181044,2.38636746,0.74569055,0.86539379,0.74609782,0.00205031,1.16105805,0.02471676,1.81025408
-5.81990995,4.73190910,2.50839455,0.77101985,0.89177100,0.76660751,0.00206146,1.21187217,0.02562978,1.86234577
-5.81390695,4.88496514,2.62762010,0.79516607,0.91630372,0.78631429,0.00206512,1.26138578,0.02649932,1.91102429
-5.80790395,5.03048391,2.74344424,0.81805339,0.93886662,0.80525887,0.00206203,1.30943346,0.02732237,1.95609887
-5.80190095,5.16808907,2.85531176,0.83963188,0.95936909,0.82348225,0.00205310,1.35587662,0.02809664,1.99743265
-5.79589795,5.29749501,2.96270429,0.85987252,0.97775137,0.84101762,0.00203936,1.40059703,0.02882064,2.03493274
-5.78989495,5.41847611,3.06513023,0.87876144,0.99397990,0.85788255,0.00202192,1.44348907,0.02949368,2.06853928
-5.78389195,5.53083459,3.16211356,0.89629385,1.00804199,0.87407207,0.00200193,1.48445161,0.03011582,2.09821393
-5.77788894,5.63436916,3.25318252,0.91246783,1.01994024,0.88955291,0.00198052,1.52337971,0.03068782,2.12392853
-5.77188594,5.72884660,3.33785959,0.92727848,1.02968718,0.90425930,0.00195877,1.56015708,0.03121112,2.14565480
-5.76588294,5.81397817,3.41565378,0.94071273,1.03730021,0.91809075,0.00193766,1.59464972,0.03168772,2.16335549
-5.75987994,5.88940289,3.48605639,0.95274527,1.04279748,0.93091184,0.00191804,1.62670135,0.03212006,2.17697780
-5.75387694,5.95467885,3.54854104,0.96333572,1.04619466,0.94255424,0.00190059,1.65613118,0.03251093,2.18644936
-5.74787394,6.00928392,3.60256869,0.97242741,1.04750318,0.95282096,0.00188582,1.68273424,0.03286329,2.19167721
-5.74187094,6.05262602,3.64759775,0.97994790,1.04672972,0.96149253,0.00187405,1.70628461,0.03318013,2.19254988
-5.73586793,6.08406310,3.68309925,0.98581126,1.04387730,0.96833508,0.00186537,1.72654157,0.03346434,2.18894250
-5.72986493,6.10293195,3.70857663,0.98992200,1.03894771,0.97310982,0.00185970,1.74325841,0.03371852,2.18072482
-5.72386193,6.10858468,3.72358926,0.99218062,1.03194528,0.97558355,0.00185675,1.75619371,0.03394484,2.16777157
-5.71785893,6.10043111,3.72777846,0.99249040,1.02288165,0.97553961,0.00185605,1.76512447,0.03414492,2.14997477
-5.71185593,6.07798471,3.72089489,0.99076512,1.01178141,0.97278899,0.00185700,1.76986058,0.03431975,2.12725720
-5.70585293,6.04090977,3.70282536,0.98693729,0.99868800,0.96718069,0.00185885,1.77025967,0.03446960,2.09958624
-5.69984992,5.98906694,3.67361784,0.98096643,0.98366977,0.95861118,0.00186078,1.76624171,0.03459399,2.06698736
-5.69384692,5.92255462,3.63350272,0.97284690,0.96682551,0.94703228,0.00186190,1.75780241,0.03469171,2.02955630
-5.68784392,5.84174345,3.58290906,0.96261472,0.94828926,0.93245709,0.00186130,1.74502450,0.03476092,1.98746931
-5.68184092,5.74730180,3.52247442,0.95035306,0.92823388,0.91496378,0.00185808,1.72808628,0.03479922,1.94099071
-5.67583792,5.64021017,3.45304742,0.93619593,0.90687313,0.89469689,0.00185142,1.70726669,0.03480383,1.89047712
-5.66983492,5.52176330,3.37568223,0.92032965,0.88446197,0.87186615,0.00184054,1.68294640,0.03477175,1.83637820
-5.66383192,5.39355906,3.29162485,0.90299217,0.86129492,0.84674286,0.00182480,1.65560466,0.03470003,1.77923343
-5.65782891,5.25747404,3.20229132,0.88446975,0.83770247,0.81965391,0.00180370,1.62581167,0.03458594,1.71966508
-5.65182591,5.11562629,3.10923824,0.86509143,0.81404537,0.79097365,0.00177690,1.59421675,0.03442726,1.65836744
-5.64582291,4.97032630,3.01412671,0.84522108,0.79070717,0.76111413,0.00174424,1.56153249,0.03422246,1.59609268
-5.63981991,4.82401794,2.91868068,0.82524757,0.76808508,0.73051382,0.00170572,1.52851541,0.03397090,1.53363389
-5.63381691,4.67921156,2.82464143,0.80557326,0.74657953,0.69962552,0.00166156,1.49594387,0.03367302,1.47180576
-5.62781391,4.53841182,2.73371959,0.78660137,0.72658276,0.66890380,0.00161215,1.46459409,0.03333036,1.41142395
-5.62181091,4.40404311,2.64754670,0.76872268,0.70846697,0.63879251,0.00155804,1.43521518,0.03294566,1.35328367
-5.61580790,4.27837571,2.56762805,0.75230224,0.69257244,0.60971278,0.00149996,1.40850422,0.03252281,1.29813849
-5.60980490,4.16345550,2.49529859,0.73766660,0.67919625,0.58205204,0.00143876,1.38508253,0.03206674,1.24668014
-5.60380190,4.06104045,2.43168369,0.72509214,0.66858189,0.55615436,0.00137541,1.36547405,0.03158328,1.19952018
-5.59779890,3.97254620,2.37766604,0.71479513,0.66091048,0.53231247,0.00131097,1.35008680,0.03107891,1.15717412
-5.59179590,3.89900330,2.33386024,0.70692380,0.65629381,0.51076175,0.00124657,1.33919826,0.03056054,1.12004875
-5.58579290,3.84102766,2.30059583,0.70155300,0.65476958,0.49167624,0.00118336,1.33294538,0.03003519,1.08843303
-5.57978989,3.79880560,2.27790939,0.69868152,0.65629925,0.47516689,0.00112249,1.33131952,0.02950970,1.06249285
-5.57378689,3.77209390,2.26554622,0.69823235,0.66076831,0.46128185,0.00106511,1.33416678,0.02899045,1.04226985
-5.56778389,3.76023484,2.26297127,0.70005572,0.66798932,0.45000889,0.00101228,1.34119357,0.02848303,1.02768424
-5.56178089,3.76218553,2.26938903,0.70393493,0.67770735,0.44127955,0.00096504,1.35197721,0.02799205,1.01854135
-5.55577789,3.77656007,2.28377157,0.70959460,0.68960779,0.43497503,0.00092431,1.36598124,0.02752097,1.01454160
-5.54977489,3.80168273,2.30489368,0.71671100,0.70332605,0.43093319,0.00089091,1.38257467,0.02707188,1.01529337
