energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,2.06498216,0.13178005,0.00752734,0.00280670,0.69720075,2.05647537,0.51689250
-5.99399700,2.09248912,0.13247260,0.00760973,0.00285368,0.70328869,2.08714894,0.52272317
-5.98799400,2.10971147,0.13265074,0.00765766,0.00288561,0.70647621,2.10735459,0.52608901
-5.98199100,2.11565380,0.13225471,0.00766729,0.00290125,0.70640331,2.11607907,0.52674441
-5.97598799,2.10960088,0.13123838,0.00763582,0.00289971,0.70279511,2.11258892,0.52451226
-5.96998499,2.09113973,0.12957124,0.00756150,0.00288048,0.69547095,2.09645391,0.51928939
-5.96398199,2.06017063,0.12723960,0.00744373,0.00284345,0.68434990,2.06755917,0.51104931
-5.95797899,2.01690656,0.12424720,0.00728304,0.00278892,0.66945246,2.02610569,0.49984214
-5.95197599,1.96186136,0.12061508,0.00708106,0.00271761,0.65089835,1.97259920,0.48579171
-5.94597299,1.89582706,0.11638071,0.00684044,0.00263059,0.62890074,1.90782821,0.46909009
-5.93996998,1.81984194,0.11159656,0.00656474,0.00252929,0.60375695,1.83283224,0.44998975
-5.93396698,1.73515069,0.10632800,0.00625826,0.00241543,0.57583654,1.74886215,0.42879384
-5.92796398,1.64315872,0.10065090,0.00592595,0.00229092,0.54556696,1.65733429,0.40584496
-5.92196098,1.54538294,0.09464885,0.00557313,0.00215790,0.51341791,1.55978095,0.38151317
-5.91595798,1.44340115,0.08841021,0.00520540,0.00201854,0.47988482,1.45779919,0.35618349
-5.90995498,1.33880232,0.08202519,0.00482840,0.00187508,0.44547253,1.35300048,0.33024378
-5.90395198,1.23313981,0.07558304,0.00444765,0.00172971,0.41067953,1.24696317,0.30407325
-5.89794897,1.12788934,0.06916941,0.00406844,0.00158454,0.37598377,1.14118963,0.27803211
-5.89194597,1.02441309,0.06286411,0.00369564,0.00144152,0.34183020,1.03706956,0.25245286
-5.88594297,0.92393103,0.05673927,0.00333363,0.00130242,0.30862073,0.93585054,0.22763318
-5.87993997,0.82750004,0.05085792,0.00298620,0.00116879,0.27670664,0.83861641,0.20383091
-5.87393697,0.73600097,0.04527307,0.00265654,0.00104198,0.24638364,0.74627379,0.18126086
-5.86793397,0.65013352,0.04002726,0.00234717,0.00092308,0.21788956,0.65954642,0.16009360
