energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,3.83300608,1.06815967,0.00000000,0.01033937,0.45260794,0.02719263,2.32854284,1.38722450,0.83165766
-5.99399700,3.61659769,1.01249948,0.00000000,0.01019770,0.42791681,0.02537230,2.20262589,1.33788407,0.77279898
-5.98799400,3.40434283,0.95801770,0.00000000,0.01006800,0.40486350,0.02353508,2.07777493,1.28971197,0.71507417
-5.98199100,3.19822082,0.90519597,0.00000000,0.00994948,0.38353177,0.02170247,1.95529912,1.24310710,0.65904570
-5.97598799,2.99982452,0.85441093,0.00000000,0.00984029,0.36394090,0.01989438,1.83629541,1.19833131,0.60518685
-5.96998499,2.81035412,0.80593365,0.00000000,0.00973758,0.34605126,0.01812883,1.72163891,1.15551224,0.55387839
-5.96398199,2.63062602,0.75993308,0.00000000,0.00963773,0.32977165,0.01642166,1.61198228,1.11465203,0.50540844
-5.95797899,2.46109521,0.71648314,0.00000000,0.00953654,0.31496808,0.01478641,1.50776356,1.07564108,0.45997547
-5.95197599,2.30188930,0.67557285,0.00000000,0.00942948,0.30147350,0.01323419,1.40922150,1.03827608,0.41769384
-5.94597299,2.15285161,0.63711896,0.00000000,0.00931189,0.28909814,0.01177371,1.31641700,1.00228131,0.37860158
-5.93996998,2.01359086,0.60098016,0.00000000,0.00917927,0.27763982,0.01041127,1.22925917,0.96733179,0.34266977
-5.93396698,1.88353462,0.56697226,0.00000000,0.00902748,0.26689401,0.00915090,1.14753451,0.93307726,0.30981300
-5.92796398,1.76198378,0.53488363,0.00000000,0.00885295,0.25666301,0.00799453,1.07093752,0.89916557,0.27990043
-5.92196098,1.64816565,0.50448990,0.00000000,0.00865285,0.24676420,0.00694216,0.99910114,0.86526453,0.25276693
-5.91595798,1.54128325,0.47556772,0.00000000,0.00842524,0.23703678,0.00599210,0.93162585,0.83108103,0.22822384
-5.90995498,1.44055908,0.44790659,0.00000000,0.00816910,0.22734714,0.00514123,0.86810591,0.79637676,0.20606896
-5.90395198,1.34527188,0.42131881,0.00000000,0.00788444,0.21759247,0.00438527,0.80815213,0.76097994,0.18609551
-5.89794897,1.25478556,0.39564693,0.00000000,0.00757223,0.20770281,0.00371898,0.75141025,0.72479269,0.16809985
-5.89194597,1.16856968,0.37076881,0.00000000,0.00723442,0.19764143,0.00313650,0.69757473,0.68779399,0.15188777
-5.88594297,1.08621174,0.34660019,0.00000000,0.00687375,0.18740385,0.00263151,0.64639787,0.65003856,0.13727936
-5.87993997,1.00742155,0.32309499,0.00000000,0.00649373,0.17701546,0.00219746,0.59769423,0.61165171,0.12411247
-5.87393697,0.93202854,0.30024351,0.00000000,0.00609842,0.16652821,0.00182781,0.55134103,0.57282115,0.11224484
-5.86793397,0.85997315,0.27806894,0.00000000,0.00569227,0.15601637,0.00151611,0.50727488,0.53378604,0.10155494
-5.86193097,0.79129332,0.25662249,0.00000000,0.00528001,0.14557187,0.00125619,0.46548556,0.49482443,0.09194190
-5.85592796,0.72610760,0.23597758,0.00000000,0.00486640,0.13529925,0.00104225,0.42600763,0.45623960,0.08332445
-5.84992496,0.66459609,0.21622346,0.00000000,0.00445610,0.12531067,0.00086893,0.38891060,0.41834624,0.07563927
-5.84392196,0.60698044,0.19745874,0.00000000,0.00405355,0.11572096,0.00073133,0.35428834,0.38145712,0.06883883
-5.83791896,0.55350402,0.17978500,0.00000000,0.00366281,0.10664315,0.00062509,0.32224840,0.34587091,0.06288885
-5.83191596,0.50441314,0.16330092,0.00000000,0.00328745,0.09818435,0.00054634,0.29290184,0.31186159,0.05776572
-5.82591296,0.45994009,0.14809710,0.00000000,0.00293051,0.09044228,0.00049172,0.26635386,0.27966976,0.05345377
-5.81990995,0.42028841,0.13425163,0.00000000,0.00259446,0.08350236,0.00045832,0.24269570,0.24949624,0.04994269
-5.81390695,0.38562077,0.12182669,0.00000000,0.00228112,0.07743540,0.00044365,0.22199790,0.22149776,0.04722510
-5.80790395,0.35604954,0.11086596,0.00000000,0.00199174,0.07229601,0.00044561,0.20430510,0.19578490,0.04529426
-5.80190095,0.33163003,0.10139300,0.00000000,0.00172696,0.06812139,0.00046237,0.18963224,0.17242195,0.04414217
-5.79589795,0.31235625,0.09341051,0.00000000,0.00148693,0.06493082,0.00049240,0.17796236,0.15142864,0.04375787
-5.78989495,0.29815907,0.08690029,0.00000000,0.00127129,0.06272544,0.00053431,0.16924554,0.13278323,0.04412609
-5.78389195,0.28890645,0.08182384,0.00000000,0.00107928,0.06148852,0.00058688,0.16339928,0.11642677,0.04522625
-5.77788894,0.28440562,0.07812361,0.00000000,0.00090982,0.06118601,0.00064896,0.16030979,0.10226818,0.04703172
-5.77188594,0.28440685,0.07572455,0.00000000,0.00076154,0.06176742,0.00071941,0.15983436,0.09018980,0.04950958
-5.76588294,0.28860880,0.07453617,0.00000000,0.00063293,0.06316693,0.00079708,0.16180453,0.08005319,0.05262062
-5.75987994,0.29666514,0.07445475,0.00000000,0.00052231,0.06530474,0.00088079,0.16603011,0.07170484,0.05631977
-5.75387694,0.30819248,0.07536583,0.00000000,0.00042796,0.06808867,0.00096927,0.17230382,0.06498172,0.06055690
-5.74787394,0.32277933,0.07714693,0.00000000,0.00034817,0.07141600,0.00106116,0.18040661,0.05971641,0.06527794
-5.74187094,0.33999612,0.07967025,0.00000000,0.00028124,0.07517550,0.00115501,0.19011345,0.05574187,0.07042645
-5.73586793,0.35940610,0.08280564,0.00000000,0.00022556,0.07924970,0.00124930,0.20119972,0.05289555,0.07594534
-5.72986493,0.38057682,0.08642349,0.00000000,0.00017962,0.08351735,0.00134243,0.21344772,0.05102314,0.08177898
-5.72386193,0.40309217,0.09039774,0.00000000,0.00014201,0.08785611,0.00143275,0.22665353,0.04998164,0.08787541
-5.71785893,0.42656442,0.09460878,0.00000000,0.00011148,0.09214530,0.00151860,0.24063374,0.04964203,0.09418860
-5.71185593,0.45064600,0.09894626,0.00000000,0.00008689,0.09626879,0.00159834,0.25523183,0.04989139,0.10068068
-5.70585293,0.47504047,0.10331177,0.00000000,0.00006724,0.10011785,0.00167042,0.27032415,0.05063461,0.10732402
-5.69984992,0.49951229,0.10762116,0.00000000,0.00005166,0.10359397,0.00173337,0.28582474,0.05179559,0.11410288
-5.69384692,0.52389457,0.11180656,0.00000000,0.00003941,0.10661140,0.00178588,0.30168920,0.05331809,0.12101466
-5.68784392,0.54809464,0.11581789,0.00000000,0.00002985,0.10909955,0.00182686,0.31791673,0.05516607,0.12807048
-5.68184092,0.57209652,0.11962382,0.00000000,0.00002244,0.11100482,0.00185541,0.33455053,0.05732364,0.13529503
-5.67583792,0.59596026,0.12321205,0.00000000,0.00001676,0.11229208,0.00187091,0.35167599,0.05979452,0.14272561
-5.66983492,0.61981757,0.12658895,0.00000000,0.00001242,0.11294555,0.00187303,0.36941669,0.06260103,0.15041020
-5.66383192,0.64386377,0.12977839,0.00000000,0.00000914,0.11296904,0.00186170,0.38792805,0.06578252,0.15840477
-5.65782891,0.66834612,0.13281985,0.00000000,0.00000668,0.11238551,0.00183716,0.40738884,0.06939339,0.16676966
-5.65182591,0.69354871,0.13576584,0.00000000,0.00000485,0.11123606,0.00179994,0.42799053,0.07350045,0.17556521
-5.64582291,0.71977451,0.13867864,0.00000000,0.00000349,0.10957819,0.00175081,0.44992509,0.07817986,0.18484693
-5.63981991,0.74732515,0.14162661,0.00000000,0.00000250,0.10748352,0.00169080,0.47337143,0.08351358,0.19466024
-5.63381691,0.77647937,0.14468001,0.00000000,0.00000177,0.10503502,0.00162113,0.49848124,0.08958537,0.20503514
-5.62781391,0.80747118,0.14790671,0.00000000,0.00000125,0.10232384,0.00154317,0.52536484,0.09647648,0.21598108
-5.62181091,0.84046868,0.15136788,0.00000000,0.00000087,0.09944590,0.00145840,0.55407774,0.10426114,0.22748240
-5.61580790,0.87555483,0.15511385,0.00000000,0.00000061,0.09649831,0.00136840,0.58460867,0.11300191,0.23949451
-5.60980490,0.91271122,0.15918041,0.00000000,0.00000042,0.09357585,0.00127474,0.61686982,0.12274522,0.25194118
-5.60380190,0.95180576,0.16358568,0.00000000,0.00000029,0.09076760,0.00117896,0.65068989,0.13351704,0.26471324
-5.59779890,0.99258530,0.16832780,0.00000000,0.00000020,0.08815389,0.00108255,0.68581065,0.14531909,0.27766867
-5.59179590,1.03467367,0.17338346,0.00000000,0.00000013,0.08580356,0.00098690,0.72188715,0.15812572,0.29063447
-5.58579290,1.07757564,0.17870749,0.00000000,0.00000009,0.08377190,0.00089324,0.75849211,0.17188150,0.30341005
-5.57978989,1.12068672,0.18423345,0.00000000,0.00000006,0.08209904,0.00080268,0.79512435,0.18650002,0.31577226
-5.57378689,1.16330880,0.18987532,0.00000000,0.00000004,0.08080902,0.00071614,0.83122107,0.20186362,0.32748183
-5.56778389,1.20467098,0.19553016,0.00000000,0.00000003,0.07990954,0.00063437,0.86617380,0.21782463,0.33829099
-5.56178089,1.24395480,0.20108164,0.00000000,0.00000002,0.07939238,0.00055794,0.89934723,0.23420776,0.34795194
-5.55577789,1.28032293,0.20640440,0.00000000,0.00000001,0.07923436,0.00048725,0.93010032,0.25081397,0.35622579
-5.54977489,1.31295000,0.21136889,0.00000000,0.00000001,0.07939897,0.00042254,0.95780887,0.26742562,0.36289160
-5.54377189,1.34105437,0.21584664,0.00000000,0.00000001,0.07983844,0.00036391,0.98188849,0.28381279,0.36775503
-5.53776888,1.36392930,0.21971565,0.00000000,0.00000001,0.08049622,0.00031132,1.00181707,0.29974068,0.37065621
-5.53176588,1.38097223,0.22286563,0.00000000,0.00000001,0.08130974,0.00026463,1.01715579,0.31497781,0.37147650
-5.52576288,1.39171095,0.22520299,0.00000000,0.00000001,0.08221339,0.00022363,1.02756770,0.32930468,0.37014372
-5.51975988,1.39582537,0.22665528,0.00000000,0.00000002,0.08314146,0.00018803,1.03283312,0.34252270,0.36663572
-5.51375688,1.39316413,0.22717484,0.00000000,0.00000002,0.08403118,0.00015752,1.03286119,0.35446280,0.36098205
-5.50775388,1.38375524,0.22674163,0.00000000,0.00000003,0.08482538,0.00013176,1.02769703,0.36499355,0.35326370
-5.50175088,1.36781044,0.22536510,0.00000000,0.00000005,0.08547502,0.00011040,1.01752434,0.37402827,0.34361098
-5.49574787,1.34572311,0.22308485,0.00000000,0.00000007,0.08594126,0.00009314,1.00266311,0.38153081,0.33219965
-5.48974487,1.31805983,0.21997036,0.00000000,0.00000009,0.08619711,0.00007969,0.98356279,0.38751960,0.31924552
-5.48374187,1.28554609,0.21611951,0.00000000,0.00000013,0.08622850,0.00006981,0.96079106,0.39206977,0.30499781
-5.47773887,1.24904667,0.21165616,0.00000000,0.00000018,0.08603485,0.00006332,0.93501855,0.39531302,0.28973166
-5.47173587,1.20954153,0.20672667,0.00000000,0.00000025,0.08562906,0.00006011,0.90700031,0.39743529,0.27374000
-5.46573287,1.16809818,0.20149576,0.00000000,0.00000034,0.08503685,0.00006013,0.87755448,0.39867193,0.25732541
-5.45972986,1.12584148,0.19614162,0.00000000,0.00000047,0.08429568,0.00006343,0.84753903,0.39930070,0.24079204
-5.45372686,1.08392204,0.19085055,0.00000000,0.00000063,0.08345304,0.00007011,0.81782734,0.39963258,0.22443810
-5.44772386,1.04348424,0.18581132,0.00000000,0.00000085,0.08256446,0.00008039,0.78928329,0.40000083,0.20854913
-5.44172086,1.00563483,0.18120944,0.00000000,0.00000113,0.08169103,0.00009454,0.76273690,0.40074853,0.19339227
-5.43571786,0.97141330,0.17722151,0.00000000,0.00000150,0.08089683,0.00011292,0.73896089,0.40221514,0.17921167
-5.42971486,0.94176464,0.17400992,0.00000000,0.00000198,0.08024613,0.00013597,0.71864926,0.40472256,0.16622506
-5.42371186,0.91751541,0.17171794,0.00000000,0.00000259,0.07980061,0.00016418,0.70239806,0.40856134,0.15462165
-5.41770885,0.89935371,0.17046555,0.00000000,0.00000336,0.07961675,0.00019812,0.69068933,0.41397748,0.14456109
-5.41170585,0.88781355,0.17034604,0.00000000,0.00000432,0.07974335,0.00023839,0.68387819,0.42116063,0.13617358
-5.40570285,0.88326401,0.17142345,0.00000000,0.00000553,0.08021943,0.00028563,0.68218388,0.43023401,0.12956083
-5.39969985,0.88590333,0.17373112,0.00000000,0.00000702,0.08107253,0.00034049,0.68568457,0.44124674,0.12479780
-5.39369685,0.89575811,0.17727122,0.00000000,0.00000885,0.08231754,0.00040360,0.69431645,0.45416884,0.12193499
-5.38769385,0.91268743,0.18201539,0.00000000,0.00001107,0.08395599,0.00047561,0.70787677,0.46888942,0.12100106
