energy_ev,total_up,Bi_p_up,Bi_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,2.62912053,0.49481485,0.01813415,1.22968008,0.43210620,1.14778037,0.00000000
-5.99399700,2.49608544,0.46388677,0.01726089,1.16152628,0.41316556,1.08658979,0.00000000
-5.98799400,2.36062166,0.43315117,0.01635126,1.09284859,0.39318661,1.02618637,0.00000000
-5.98199100,2.22445526,0.40289254,0.01541591,1.02440340,0.37245333,0.96741811,0.00000000
-5.97598799,2.08938980,0.37339037,0.01446612,0.95696561,0.35127023,0.91115890,0.00000000
-5.96998499,1.95726985,0.34491534,0.01351351,0.89131475,0.32995578,0.85828929,0.00000000
-5.96398199,1.82994423,0.31772548,0.01256986,0.82822105,0.30883571,0.80967765,0.00000000
-5.95797899,1.70923034,0.29206264,0.01164690,0.76843187,0.28823649,0.76616220,0.00000000
-5.95197599,1.59688060,0.26814923,0.01075608,0.71265914,0.26847911,0.72853418,0.00000000
-5.94597299,1.49455210,0.24618551,0.00990841,0.66156808,0.24987340,0.69752262,0.00000000
-5.93996998,1.40377990,0.22634737,0.00911428,0.61576757,0.23271306,0.67378074,0.00000000
-5.93396698,1.32595453,0.20878485,0.00838334,0.57580231,0.21727135,0.65787414,0.00000000
-5.92796398,1.26230369,0.19362122,0.00772436,0.54214680,0.20379763,0.65027093,0.00000000
-5.92196098,1.21387813,0.18095271,0.00714517,0.51520120,0.19251456,0.65133354,0.00000000
-5.91595798,1.18154122,0.17084882,0.00665261,0.49528862,0.18361602,0.66131248,0.00000000
-5.90995498,1.16596175,0.16335306,0.00625247,0.48265391,0.17726554,0.68034166,0.00000000
-5.90395198,1.16760936,0.15848406,0.00594948,0.47746333,0.17359516,0.70843547,0.00000000
-5.89794897,1.18675185,0.15623692,0.00574730,0.47980498,0.17270448,0.74548731,0.00000000
-5.89194597,1.22345380,0.15658460,0.00564847,0.48968952,0.17465996,0.79126976,0.00000000
-5.88594297,1.27757591,0.15947932,0.00565448,0.50705091,0.17949410,0.84543603,0.00000000
-5.87993997,1.34877462,0.16485383,0.00576565,0.53174700,0.18720460,0.90752297,0.00000000
-5.87393697,1.43650186,0.17262238,0.00598118,0.56355971,0.19775339,0.97695536,0.00000000
-5.86793397,1.54000477,0.18268150,0.00629910,0.60219480,0.21106556,1.05305166,0.00000000
-5.86193097,1.65832577,0.19491044,0.00671617,0.64728142,0.22702817,1.13503105,0.00000000
-5.85592796,1.79030323,0.20917133,0.00722794,0.69837130,0.24548924,1.22202190,0.00000000
-5.84992496,1.93457345,0.22530914,0.00782860,0.75493828,0.26625683,1.31307152,0.00000000
-5.84392196,2.08957466,0.24315149,0.00851103,0.81637812,0.28909866,1.40715721,0.00000000
-5.83791896,2.25355388,0.26250842,0.00926672,0.88200933,0.31374221,1.50319867,0.00000000
-5.83191596,2.42457753,0.28317229,0.01008583,0.95107526,0.33987585,1.60007147,0.00000000
-5.82591296,2.60054652,0.30491788,0.01095721,1.02274802,0.36715083,1.69662174,0.00000000
-5.81990995,2.77921673,0.32750296,0.01186848,1.09613457,0.39518464,1.79168175,0.00000000
-5.81390695,2.95822508,0.35066929,0.01280617,1.17028534,0.42356566,1.88408634,0.00000000
-5.80790395,3.13512161,0.37414429,0.01375591,1.24420552,0.45185915,1.97268999,0.00000000
-5.80190095,3.30740739,0.39764350,0.01470265,1.31686926,0.47961472,2.05638424,0.00000000
-5.79589795,3.47257792,0.42087371,0.01563092,1.38723651,0.50637501,2.13411522,0.00000000
-5.78989495,3.62817092,0.44353698,0.01652518,1.45427241,0.53168539,2.20490099,0.00000000
-5.78389195,3.77181774,0.46533540,0.01737016,1.51696875,0.55510452,2.26784826,0.00000000
-5.77788894,3.90129646,0.48597651,0.01815120,1.57436696,0.57621531,2.32216822,0.00000000
-5.77188594,4.01458531,0.50517937,0.01885469,1.62558184,0.59463591,2.36719089,0.00000000
-5.76588294,4.10991420,0.52268092,0.01946839,1.66982538,0.61003028,2.40237785,0.00000000
-5.75987994,4.18581250,0.53824268,0.01998181,1.70642965,0.62211789,2.42733263,0.00000000
-5.75387694,4.24115109,0.55165739,0.02038648,1.73486796,0.63068211,2.44180864,0.00000000
-5.74787394,4.27517679,0.56275538,0.02067626,1.75477330,0.63557699,2.44571422,0.00000000
-5.74187094,4.28753767,0.57141047,0.02084750,1.76595340,0.63673188,2.43911452,0.00000000
-5.73586793,4.27829794,0.57754517,0.02089919,1.76840167,0.63415389,2.42223017,0.00000000
-5.72986493,4.24794164,0.58113484,0.02083297,1.76230331,0.62792795,2.39543254,0.00000000
-5.72386193,4.19736478,0.58221075,0.02065313,1.74803651,0.61821441,2.35923588,0.00000000
-5.71785893,4.12785602,0.58086175,0.02036649,1.72616831,0.60524434,2.31428620,0.00000000
-5.71185593,4.04106643,0.57723449,0.01998217,1.69744517,0.58931267,2.26134746,0.00000000
-5.70585293,3.93896950,0.57153204,0.01951141,1.66277850,0.57076946,2.20128539,0.00000000
-5.69984992,3.82381261,0.56401096,0.01896719,1.62322549,0.55000970,2.13504928,0.00000000
-5.69384692,3.69806174,0.55497670,0.01836391,1.57996566,0.52746201,2.06365240,0.00000000
-5.68784392,3.56434125,0.54477755,0.01771702,1.53427384,0.50357673,1.98815167,0.00000000
-5.68184092,3.42537063,0.53379707,0.01704257,1.48749030,0.47881378,1.90962689,0.00000000
-5.67583792,3.28390034,0.52244534,0.01635682,1.44098876,0.45363083,1.82916036,0.00000000
-5.66983492,3.14264844,0.51114907,0.01567589,1.39614318,0.42847210,1.74781722,0.00000000
-5.66383192,3.00423983,0.50034097,0.01501532,1.35429408,0.40375812,1.66662701,0.00000000
-5.65782891,2.87114966,0.49044847,0.01438975,1.31671535,0.37987684,1.58656669,0.00000000
-5.65182591,2.74565209,0.48188232,0.01381260,1.28458222,0.35717607,1.50854567,0.00000000
-5.64582291,2.62977563,0.47502519,0.01329582,1.25894134,0.33595771,1.43339274,0.00000000
-5.63981991,2.52526566,0.47022073,0.01284968,1.24068362,0.31647344,1.36184525,0.00000000
-5.63381691,2.43355485,0.46776338,0.01248256,1.23052053,0.29892218,1.29454056,0.00000000
-5.62781391,2.35574176,0.46788933,0.01220086,1.22896458,0.28344906,1.23200975,0.00000000
-5.62181091,2.29257782,0.47076882,0.01200895,1.23631456,0.27014597,1.17467363,0.00000000
-5.61580790,2.24446274,0.47650022,0.01190910,1.25264595,0.25905328,1.12284095,0.00000000
-5.60980490,2.21144808,0.48510595,0.01190157,1.27780698,0.25016287,1.07670890,0.00000000
-5.60380190,2.19324887,0.49653063,0.01198464,1.31142068,0.24342214,1.03636565,0.00000000
-5.59779890,2.18926277,0.51064136,0.01215475,1.35289293,0.23873875,1.00179500,0.00000000
-5.59179590,2.19859627,0.52723038,0.01240665,1.40142663,0.23598611,0.97288291,0.00000000
-5.58579290,2.22009727,0.54601996,0.01273358,1.45604167,0.23500928,0.94942599,0.00000000
-5.57978989,2.25239330,0.56666940,0.01312748,1.51560052,0.23563118,0.93114148,0.00000000
-5.57378689,2.29393435,0.58878413,0.01357928,1.57883861,0.23765892,0.91767885,0.00000000
-5.56778389,2.34303927,0.61192636,0.01407909,1.64439896,0.24089014,0.90863254,0.00000000
-5.56178089,2.39794462,0.63562728,0.01461651,1.71086995,0.24511918,0.90355557,0.00000000
-5.55577789,2.45685462,0.65940024,0.01518095,1.77682522,0.25014290,0.90197381,0.00000000
-5.54977489,2.51799081,0.68275451,0.01576182,1.84086445,0.25576614,0.90340031,0.00000000
-5.54377189,2.57964009,0.70520936,0.01634890,1.90165370,0.26180650,0.90734938,0.00000000
-5.53776888,2.64019979,0.72630782,0.01693256,1.95796407,0.26809861,0.91334996,0.00000000
-5.53176588,2.69821833,0.74562981,0.01750402,2.00870728,0.27449746,0.92095784,0.00000000
-5.52576288,2.75243051,0.76280431,0.01805555,2.05296707,0.28088103,0.92976626,0.00000000
-5.51975988,2.80178626,0.77751999,0.01858072,2.09002534,0.28715198,0.93941471,0.00000000
-5.51375688,2.84547217,0.78953430,0.01907451,2.11938211,0.29323840,0.94959539,0.00000000
-5.50775388,2.88292525,0.79868052,0.01953346,2.14076869,0.29909378,0.96005735,0.00000000
-5.50175088,2.91383865,0.80487267,0.01995577,2.15415372,0.30469598,0.97060822,0.00000000
-5.49574787,2.93815943,0.80810822,0.02034129,2.15974181,0.31004551,0.98111335,0.00000000
-5.48974487,2.95607866,0.80846842,0.02069156,2.15796496,0.31516310,0.99149283,0.00000000
-5.48374187,2.96801432,0.80611632,0.02100975,2.14946718,0.32008668,1.00171633,0.00000000
-5.47773887,2.97458797,0.80129249,0.02130055,2.13508284,0.32486795,1.01179622,0.00000000
-5.47173587,2.97659596,0.79430864,0.02157003,2.11580952,0.32956865,1.02177951,0.00000000
-5.46573287,2.97497635,0.78553918,0.02182545,2.09277637,0.33425670,1.03173871,0.00000000
-5.45972986,2.97077267,0.77541093,0.02207506,2.06720888,0.33900240,1.04176247,0.00000000
-5.45372686,2.96509578,0.76439138,0.02232781,2.04039140,0.34387476,1.05194618,0.00000000
-5.44772386,2.95908494,0.75297558,0.02259306,2.01362829,0.34893811,1.06238304,0.00000000
-5.44172086,2.95386925,0.74167208,0.02288029,1.98820508,0.35424912,1.07315598,0.00000000
-5.43571786,2.95053051,0.73098832,0.02319876,1.96535051,0.35985426,1.08433076,0.00000000
-5.42971486,2.95006853,0.72141572,0.02355716,1.94620066,0.36578783,1.09595030,0.00000000
-5.42371186,2.95336953,0.71341500,0.02396330,1.93176603,0.37207045,1.10803059,0.00000000
-5.41770885,2.96117863,0.70740208,0.02442380,1.92290235,0.37870818,1.12055802,0.00000000
-5.41170585,2.97407668,0.70373502,0.02494378,1.92028599,0.38569206,1.13348818,0.00000000
-5.40570285,2.99246225,0.70270236,0.02552663,1.92439452,0.39299824,1.14674602,0.00000000
-5.39969985,3.01653883,0.70451333,0.02617379,1.93549277,0.40058846,1.16022723,0.00000000
-5.39369685,3.04630771,0.70929029,0.02688462,1.95362506,0.40841096,1.17380055,0.00000000
-5.38769385,3.08156651,0.71706367,0.02765631,1.97861341,0.41640172,1.18731101,0.00000000
-5.38169085,3.12191352,0.72776964,0.02848387,2.01006219,0.42448590,1.20058367,0.00000000
-5.37568784,3.16675758,0.74125078,0.02936019,2.04736882,0.43257962,1.21342792,0.00000000
-5.36968484,3.21533345,0.75725971,0.03027621,2.08974049,0.44059178,1.22564194,0.00000000
-5.36368184,3.26672222,0.77546561,0.03122108,2.13621625,0.44842612,1.23701745,0.00000000
-5.35767884,3.31987623,0.79546366,0.03218247,2.18569416,0.45598333,1.24734435,0.00000000
-5.35167584,3.37364789,0.81678683,0.03314688,2.23696248,0.46316317,1.25641549,0.00000000
-5.34567284,3.42682157,0.83891991,0.03410005,2.28873413,0.46986670,1.26403123,0.00000000
-5.33966983,3.47814757,0.86131511,0.03502731,2.33968328,0.47599843,1.27000380,0.00000000
-5.33366683,3.52637716,0.88340875,0.03591405,2.38848289,0.48146839,1.27416152,0.00000000
-5.32766383,3.57029741,0.90463834,0.03674609,2.43384203,0.48619409,1.27635262,0.00000000
-5.32166083,3.60876463,0.92445948,0.03751011,2.47454155,0.49010229,1.27644861,0.00000000
-5.31565783,3.64073520,0.94236180,0.03819397,2.50946695,0.49313053,1.27434718,0.00000000
-5.30965483,3.66529257,0.95788343,0.03878704,2.53763718,0.49522831,1.26997446,0.00000000
-5.30365183,3.68166937,0.97062332,0.03928042,2.55822850,0.49635796,1.26328645,0.00000000
