energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.43323617,0.01027827,0.29669726,0.47486685,1.27774694,0.00000000,1.20225756,0.39601507
-5.99399700,2.48714302,0.00994452,0.30368263,0.49274690,1.30658371,0.00000000,1.24404355,0.39885889
-5.98799400,2.53395376,0.00966899,0.30990892,0.50983197,1.33132996,0.00000000,1.28215297,0.40083060
-5.98199100,2.57267252,0.00945895,0.31526112,0.52577351,1.35145367,0.00000000,1.31589909,0.40185614
-5.97598799,2.60246778,0.00932094,0.31963561,0.54024563,1.36652501,0.00000000,1.34466496,0.40188321
-5.96998499,2.62270939,0.00926083,0.32294547,0.55295502,1.37623439,0.00000000,1.36792602,0.40088631
-5.96398199,2.63299906,0.00928387,0.32512548,0.56364974,1.38040626,0.00000000,1.38527064,0.39887098
-5.95797899,2.63319298,0.00939474,0.32613658,0.57212634,1.37900811,0.00000000,1.39641744,0.39587680
-5.95197599,2.62341529,0.00959763,0.32596961,0.57823532,1.37215420,0.00000000,1.40122883,0.39197907
-5.94597299,2.60406174,0.00989623,0.32464794,0.58188448,1.36010381,0.00000000,1.39972015,0.38728885
-5.93996998,2.57579316,0.01029375,0.32222912,0.58304016,1.34325404,0.00000000,1.39206365,0.38195154
-5.93396698,2.53951884,0.01079283,0.31880504,0.58172632,1.32212747,0.00000000,1.37858742,0.37614372
-5.92796398,2.49637035,0.01139552,0.31450088,0.57802150,1.29735512,0.00000000,1.35976884,0.37006853
-5.92196098,2.44766673,0.01210306,0.30947259,0.57205389,1.26965536,0.00000000,1.33622286,0.36394964
-5.91595798,2.39487238,0.01291579,0.30390307,0.56399468,1.23980974,0.00000000,1.30868540,0.35802400
-5.90995498,2.33954921,0.01383289,0.29799712,0.55405004,1.20863652,0.00000000,1.27799236,0.35253373
-5.90395198,2.28330483,0.01485219,0.29197529,0.54245219,1.17696312,0.00000000,1.24505492,0.34771737
-5.89794897,2.22773891,0.01596994,0.28606693,0.52944982,1.14559839,0.00000000,1.21083205,0.34380088
-5.89194597,2.17438949,0.01718059,0.28050253,0.51529852,1.11530598,0.00000000,1.17630106,0.34098873
-5.88594297,2.12468158,0.01847655,0.27550580,0.50025147,1.08677948,0.00000000,1.14242726,0.33945543
-5.87993997,2.07987954,0.01984811,0.27128570,0.48455094,1.06062064,0.00000000,1.11013386,0.33933795
-5.87393697,2.04104541,0.02128327,0.26802863,0.46842077,1.03732099,0.00000000,1.08027297,0.34072914
-5.86793397,2.00900425,0.02276778,0.26589134,0.45206043,1.01724783,0.00000000,1.05359889,0.34367264
-5.86193097,1.98431800,0.02428512,0.26499455,0.43564050,1.00063476,0.00000000,1.03074445,0.34815940
-5.85592796,1.96726852,0.02581669,0.26541770,0.41930000,0.98757712,0.00000000,1.01220134,0.35412602
-5.84992496,1.95785032,0.02734204,0.26719510,0.40314531,0.97803226,0.00000000,0.99830495,0.36145491
-5.84392196,1.95577325,0.02883921,0.27031348,0.38725090,0.97182465,0.00000000,0.98922436,0.36997652
-5.83791896,1.96047468,0.03028512,0.27471115,0.37166140,0.96865533,0.00000000,0.98495773,0.37947329
-5.83191596,1.97114087,0.03165610,0.28027893,0.35639506,0.96811536,0.00000000,0.98533323,0.38968548
