energy_ev,total_up,Cr_p_up,Cr_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.71236623,0.86486431,0.33383690,0.79032223,0.25758029,0.01145238,0.17371350,0.70925631,0.00000000
-5.99399700,1.65439251,0.83832856,0.32708623,0.74894097,0.25025881,0.01050503,0.16445436,0.68323448,0.00000000
-5.98799400,1.59451273,0.81168167,0.31936309,0.70665125,0.24294701,0.00964409,0.15508322,0.65630322,0.00000000
-5.98199100,1.53383009,0.78552525,0.31080340,0.66421460,0.23577270,0.00888497,0.14576926,0.62896912,0.00000000
-5.97598799,1.47341467,0.76042504,0.30155081,0.62237316,0.22885080,0.00824177,0.13667608,0.60172385,0.00000000
-5.96998499,1.41428613,0.73690109,0.29175408,0.58183624,0.22228196,0.00772735,0.12795897,0.57503544,0.00000000
-5.96398199,1.35739881,0.71541990,0.28156426,0.54326838,0.21615171,0.00735334,0.11976260,0.54934073,0.00000000
-5.95797899,1.30362918,0.69638862,0.27113208,0.50727906,0.21053017,0.00713020,0.11221891,0.52503918,0.00000000
-5.95197599,1.25376550,0.68015111,0.26060526,0.47441398,0.20547221,0.00706729,0.10544550,0.50248779,0.00000000
-5.94597299,1.20849949,0.66698560,0.25012595,0.44514800,0.20101800,0.00717285,0.09954417,0.48199721,0.00000000
-5.93996998,1.16841965,0.65710387,0.23982840,0.41987941,0.19719388,0.00745397,0.09459982,0.46382882,0.00000000
-5.93396698,1.13400602,0.65065129,0.22983664,0.39892550,0.19401339,0.00791646,0.09067948,0.44819264,0.00000000
-5.92796398,1.10562610,0.64770770,0.22026261,0.38251926,0.19147843,0.00856473,0.08783159,0.43524598,0.00000000
-5.92196098,1.08353151,0.64828864,0.21120427,0.37080710,0.18958035,0.00940154,0.08608538,0.42509257,0.00000000
-5.91595798,1.06785549,0.65234672,0.20274424,0.36384743,0.18830100,0.01042773,0.08545040,0.41778218,0.00000000
-5.90995498,1.05861090,0.65977298,0.19494851,0.36161012,0.18761362,0.01164189,0.08591625,0.41331058,0.00000000
-5.90395198,1.05568899,0.67039808,0.18786563,0.36397689,0.18748346,0.01304004,0.08745237,0.41161988,0.00000000
-5.89794897,1.05885901,0.68399350,0.18152608,0.37074262,0.18786829,0.01461524,0.09000811,0.41259918,0.00000000
-5.89194597,1.06776890,0.70027275,0.17594205,0.38161776,0.18871865,0.01635729,0.09351308,0.41608578,0.00000000
-5.88594297,1.08194750,0.71889279,0.17110757,0.39623210,0.18997796,0.01825245,0.09787772,0.42186684,0.00000000
-5.87993997,1.10080860,0.73945617,0.16699896,0.41413986,0.19158258,0.02028321,0.10299433,0.42968190,0.00000000
-5.87393697,1.12365740,0.76151395,0.16357565,0.43482654,0.19346180,0.02242822,0.10873845,0.43922614,0.00000000
-5.86793397,1.14969958,0.78456994,0.16078137,0.45771736,0.19553802,0.02466232,0.11497078,0.45015482,0.00000000
-5.86193097,1.17805347,0.80808652,0.15854566,0.48218770,0.19772700,0.02695670,0.12153955,0.46208872,0.00000000
-5.85592796,1.20776533,0.83149224,0.15678584,0.50757516,0.19993850,0.02927925,0.12828339,0.47462091,0.00000000
-5.84992496,1.23782790,0.85419132,0.15540913,0.53319337,0.20207720,0.03159507,0.13503465,0.48732464,0.00000000
-5.84392196,1.26720191,0.87557514,0.15431524,0.55834725,0.20404406,0.03386709,0.14162316,0.49976241,0.00000000
-5.83791896,1.29484019,0.89503544,0.15339907,0.58234923,0.20573803,0.03605693,0.14788022,0.51149597,0.00000000
-5.83191596,1.31971369,0.91197896,0.15255364,0.60453614,0.20705822,0.03812580,0.15364288,0.52209699,0.00000000
-5.82591296,1.34083872,0.92584314,0.15167310,0.62428611,0.20790635,0.04003549,0.15875811,0.53115818,0.00000000
-5.81990995,1.35730419,0.93611203,0.15065579,0.64103484,0.20818948,0.04174949,0.16308701,0.53830429,0.00000000
-5.81390695,1.36829800,0.94233207,0.14940712,0.65429070,0.20782287,0.04323405,0.16650859,0.54320264,0.00000000
-5.80790395,1.37313124,0.94412672,0.14784234,0.66364791,0.20673283,0.04445919,0.16892318,0.54557277,0.00000000
-5.80190095,1.37125919,0.94120928,0.14588896,0.66879725,0.20485938,0.04539970,0.17025517,0.54519467,0.00000000
-5.79589795,1.36229811,0.93339325,0.14348878,0.66953382,0.20215863,0.04603593,0.17045500,0.54191521,0.00000000
-5.78989495,1.34603679,0.92059963,0.14059945,0.66576144,0.19860473,0.04635444,0.16950037,0.53565255,0.00000000
-5.78389195,1.32244259,0.90286061,0.13719549,0.65749350,0.19419120,0.04634849,0.16739646,0.52639807,0.00000000
-5.77788894,1.29166119,0.88031951,0.13326871,0.64485014,0.18893161,0.04601824,0.16417527,0.51421596,0.00000000
-5.77188594,1.25401042,0.85322683,0.12882808,0.62805199,0.18285959,0.04537073,0.15989408,0.49924023,0.00000000
-5.76588294,1.20996810,0.82193251,0.12389897,0.60741063,0.17602801,0.04441970,0.15463304,0.48166947,0.00000000
-5.75987994,1.16015469,0.78687481,0.11852187,0.58331625,0.16850756,0.04318506,0.14849207,0.46175941,0.00000000
-5.75387694,1.10531145,0.74856625,0.11275066,0.55622316,0.16038461,0.04169229,0.14158719,0.43981379,0.00000000
-5.74787394,1.04627519,0.70757736,0.10665050,0.52663366,0.15175856,0.03997157,0.13404650,0.41617383,0.00000000
-5.74187094,0.98395075,0.66451887,0.10029544,0.49508119,0.14273879,0.03805686,0.12600580,0.39120690,0.00000000
-5.73586793,0.91928252,0.62002327,0.09376587,0.46211317,0.13344135,0.03598487,0.11760434,0.36529478,0.00000000
-5.72986493,0.85322623,0.57472651,0.08714597,0.42827468,0.12398552,0.03379394,0.10898062,0.33882219,0.00000000
-5.72386193,0.78672219,0.52925066,0.08052120,0.39409311,0.11449046,0.03152307,0.10026849,0.31216582,0.00000000
-5.71785893,0.72067101,0.48418810,0.07397603,0.36006478,0.10507206,0.02921084,0.09159378,0.28568451,0.00000000
-5.71185593,0.65591267,0.44008804,0.06759189,0.32664358,0.09584006,0.02689455,0.08307135,0.25971079,0.00000000
-5.70585293,0.59320962,0.39744551,0.06144553,0.29423216,0.08689573,0.02460942,0.07480289,0.23454403,0.00000000
-5.69984992,0.53323414,0.35669327,0.05560766,0.26317571,0.07832991,0.02238797,0.06687531,0.21044546,0.00000000
-5.69384692,0.47656028,0.31819672,0.05014212,0.23375829,0.07022172,0.02025954,0.05935979,0.18763488,0.00000000
-5.68784392,0.42366013,0.28225161,0.04510536,0.20620173,0.06263775,0.01824996,0.05231151,0.16628929,0.00000000
-5.68184092,0.37490415,0.24908448,0.04054630,0.18066673,0.05563179,0.01638144,0.04576992,0.14654312,0.00000000
-5.67583792,0.33056497,0.21885544,0.03650653,0.15725595,0.04924506,0.01467251,0.03975951,0.12848987,0.00000000
-5.66983492,0.29082421,0.19166289,0.03302075,0.13601869,0.04350685,0.01313816,0.03429104,0.11218500,0.00000000
-5.66383192,0.25578136,0.16754971,0.03011731,0.11695675,0.03843548,0.01179006,0.02936299,0.09764974,0.00000000
-5.65782891,0.22546409,0.14651034,0.02781898,0.10003107,0.03403943,0.01063682,0.02496331,0.08487546,0.00000000
-5.65182591,0.19983927,0.12849850,0.02614357,0.08516878,0.03031869,0.00968430,0.02107123,0.07382840,0.00000000
-5.64582291,0.17882379,0.11343470,0.02510454,0.07227031,0.02726606,0.00893596,0.01765914,0.06445444,0.00000000
-5.63981991,0.16229485,0.10121360,0.02471148,0.06121624,0.02486840,0.00839315,0.01469430,0.05668369,0.00000000
-5.63381691,0.15009896,0.09171046,0.02497038,0.05187359,0.02310783,0.00805540,0.01214063,0.05043470,0.00000000
-5.62781391,0.14205947,0.08478672,0.02588358,0.04410148,0.02196261,0.00792060,0.00996012,0.04561806,0.00000000
-5.62181091,0.13798219,0.08029445,0.02744962,0.03775594,0.02140791,0.00798516,0.00811420,0.04213944,0.00000000
-5.61580790,0.13765926,0.07807961,0.02966269,0.03269388,0.02141628,0.00824408,0.00656485,0.03990198,0.00000000
-5.60980490,0.14087114,0.07798405,0.03251195,0.02877611,0.02195786,0.00869092,0.00527546,0.03880785,0.00000000
-5.60380190,0.14738696,0.07984658,0.03598062,0.02586958,0.02300046,0.00931774,0.00421151,0.03875934,0.00000000
-5.59779890,0.15696349,0.08350294,0.04004502,0.02384884,0.02450935,0.01011499,0.00334104,0.03965929,0.00000000
-5.59179590,0.16934321,0.08878524,0.04467356,0.02259676,0.02644699,0.01107134,0.00263499,0.04141109,0.00000000
-5.58579290,0.18425173,0.09552071,0.04982576,0.02200481,0.02877265,0.01217351,0.00206727,0.04391839,0.00000000
-5.57978989,0.20139520,0.10353046,0.05545148,0.02197285,0.03144206,0.01340611,0.00161487,0.04708459,0.00000000
-5.57378689,0.22045804,0.11262812,0.06149044,0.02240861,0.03440709,0.01475158,0.00125771,0.05081228,0.00000000
-5.56778389,0.24110153,0.12261885,0.06787205,0.02322707,0.03761553,0.01619008,0.00097853,0.05500278,0.00000000
-5.56178089,0.26296361,0.13329888,0.07451573,0.02434967,0.04101116,0.01769956,0.00076267,0.05955588,0.00000000
-5.55577789,0.28566016,0.14445570,0.08133169,0.02570365,0.04453391,0.01925589,0.00059785,0.06436986,0.00000000
-5.54977489,0.30878803,0.15586915,0.08822229,0.02722138,0.04812034,0.02083313,0.00047391,0.06934191,0.00000000
-5.54377189,0.33192991,0.16731327,0.09508400,0.02883994,0.05170442,0.02240385,0.00038258,0.07436894,0.00000000
-5.53776888,0.35466097,0.17855918,0.10180978,0.03050083,0.05521852,0.02393966,0.00031723,0.07934877,0.00000000
-5.53176588,0.37655724,0.18937864,0.10829206,0.03214983,0.05859468,0.02541174,0.00027266,0.08418185,0.00000000
-5.52576288,0.39720526,0.19954844,0.11442609,0.03373715,0.06176607,0.02679155,0.00024492,0.08877317,0.00000000
-5.51975988,0.41621293,0.20885518,0.12011354,0.03521763,0.06466858,0.02805152,0.00023112,0.09303455,0.00000000
-5.51375688,0.43322081,0.21710043,0.12526635,0.03655115,0.06724254,0.02916582,0.00022930,0.09688709,0.00000000
-5.50775388,0.44791358,0.22410595,0.12981049,0.03770311,0.06943440,0.03011108,0.00023832,0.10026363,0.00000000
-5.50175088,0.46003099,0.22971856,0.13368962,0.03864490,0.07119833,0.03086714,0.00025773,0.10311120,0.00000000
-5.49574787,0.46937778,0.23381471,0.13686845,0.03935444,0.07249769,0.03141764,0.00028779,0.10539327,0.00000000
-5.48974487,0.47583215,0.23630419,0.13933549,0.03981657,0.07330625,0.03175058,0.00032930,0.10709163,0.00000000
-5.48374187,0.47935218,0.23713295,0.14110536,0.04002345,0.07360909,0.03185868,0.00038369,0.10820791,0.00000000
-5.47773887,0.47997991,0.23628487,0.14222021,0.03997469,0.07340320,0.03173968,0.00045289,0.10876457,0.00000000
-5.47173587,0.47784288,0.23378228,0.14275035,0.03967746,0.07269766,0.03139635,0.00053938,0.10880527,0.00000000
-5.46573287,0.47315290,0.22968531,0.14279395,0.03914632,0.07151345,0.03083645,0.00064617,0.10839467,0.00000000
-5.45972986,0.46620216,0.22409001,0.14247589,0.03840293,0.06988289,0.03007242,0.00077679,0.10761757,0.00000000
-5.45372686,0.45735666,0.21712541,0.14194561,0.03747563,0.06784866,0.02912100,0.00093528,0.10657742,0.00000000
-5.44772386,0.44704738,0.20894965,0.14137416,0.03639878,0.06546264,0.02800268,0.00112618,0.10539431,0.00000000
-5.44172086,0.43575953,0.19974538,0.14095048,0.03521211,0.06278436,0.02674103,0.00135456,0.10420242,0.00000000
-5.43571786,0.42402016,0.18971466,0.14087705,0.03395989,0.05987938,0.02536196,0.00162592,0.10314711,0.00000000
-5.42971486,0.41238489,0.17907372,0.14136500,0.03269016,0.05681754,0.02389300,0.00194626,0.10238172,0.00000000
-5.42371186,0.40142413,0.16804769,0.14262894,0.03145391,0.05367118,0.02236249,0.00232196,0.10206421,0.00000000
-5.41770885,0.39170944,0.15686579,0.14488166,0.03030431,0.05051348,0.02079883,0.00275982,0.10235377,0.00000000
-5.41170585,0.38380048,0.14575694,0.14832879,0.02929606,0.04741688,0.01922982,0.00326697,0.10340758,0.00000000
-5.40570285,0.37823322,0.13494630,0.15316382,0.02848480,0.04445172,0.01768203,0.00385085,0.10537779,0.00000000
-5.39969985,0.37550955,0.12465262,0.15956343,0.02792670,0.04168512,0.01618034,0.00451912,0.10840883,0.00000000
-5.39369685,0.37608902,0.11508673,0.16768347,0.02767818,0.03918015,0.01474751,0.00527971,0.11263521,0.00000000
-5.38769385,0.38038257,0.10645104,0.17765564,0.02779574,0.03699525,0.01340396,0.00614068,0.11817982,0.00000000
-5.38169085,0.38874872,0.09894019,0.18958505,0.02833594,0.03518398,0.01216758,0.00711023,0.12515291,0.00000000
-5.37568784,0.40149208,0.09274267,0.20354869,0.02935551,0.03379499,0.01105377,0.00819670,0.13365154,0.00000000
-5.36968484,0.41886414,0.08804331,0.21959486,0.03091150,0.03287227,0.01007544,0.00940848,0.14375976,0.00000000
-5.36368184,0.44106623,0.08502658,0.23774364,0.03306147,0.03245555,0.00924321,0.01075409,0.15554936,0.00000000
-5.35767884,0.46825430,0.08388025,0.25798823,0.03586369,0.03258086,0.00856562,0.01224207,0.16908104,0.00000000
-5.35167584,0.50054515,0.08479949,0.28029718,0.03937729,0.03328118,0.00804938,0.01388106,0.18440607,0.00000000
-5.34567284,0.53802371,0.08799075,0.30461728,0.04366224,0.03458709,0.00769966,0.01567971,0.20156815,0.00000000
-5.33966983,0.58075078,0.09367550,0.33087695,0.04877924,0.03652741,0.00752039,0.01764673,0.22060546,0.00000000
-5.33366683,0.62877069,0.10209326,0.35899001,0.05478933,0.03912970,0.00751449,0.01979077,0.24155253,0.00000000
