energy_ev,total_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.09570635,0.17180981,0.26834163,0.18388041,1.06015945,0.05290088,0.02207921,0.04177980,0.44063456
-5.99399700,2.04050538,0.17289845,0.25337543,0.18485607,1.03548442,0.04954550,0.02197220,0.03907190,0.43055222
-5.98799400,1.99753432,0.17566659,0.23951577,0.18771961,1.01620035,0.04624505,0.02212737,0.03647971,0.42350529
-5.98199100,1.96800263,0.18022036,0.22687364,0.19254493,1.00302150,0.04305784,0.02254476,0.03402032,0.41972793
-5.97598799,1.95292556,0.18664867,0.21554419,0.19938383,0.99654952,0.04003749,0.02322195,0.03170946,0.41941768
-5.96998499,1.95308277,0.19501826,0.20560316,0.20826282,0.99725009,0.03723174,0.02415389,0.02956101,0.42272691
-5.96398199,1.96898352,0.20536917,0.19710378,0.21918035,1.00543416,0.03468154,0.02533268,0.02758652,0.42975508
-5.95797899,2.00084026,0.21771068,0.19007432,0.23210488,1.02124459,0.03242035,0.02674751,0.02579491,0.44054245
-5.95197599,2.04855203,0.23201806,0.18451651,0.24697378,1.04464864,0.03047375,0.02838463,0.02419219,0.45506549
-5.94597299,2.11169842,0.24823036,0.18040496,0.26369321,1.07543680,0.02885928,0.03022742,0.02278142,0.47323420
-5.93996998,2.18954481,0.26624924,0.17768759,0.28213921,1.11322784,0.02758656,0.03225656,0.02156270,0.49489172
-5.93396698,2.28105873,0.28593916,0.17628722,0.30215978,1.15747996,0.02665757,0.03445032,0.02053338,0.51981627
-5.92796398,2.38493681,0.30712887,0.17610409,0.32357817,1.20750758,0.02606719,0.03678497,0.01968833,0.54772528
-5.92196098,2.49964140,0.32961420,0.17701949,0.34619703,1.26250306,0.02580389,0.03923525,0.01902037,0.57828186
-5.91595798,2.62344549,0.35316217,0.17890008,0.36980349,1.32156246,0.02585053,0.04177493,0.01852069,0.61110316
-5.90995498,2.75448399,0.37751632,0.18160300,0.39417477,1.38371426,0.02618533,0.04437744,0.01817938,0.64577048
-5.90395198,2.89080950,0.40240300,0.18498134,0.41908412,1.44794993,0.02678291,0.04701644,0.01798595,0.68184071
-5.89794897,3.03045019,0.42753846,0.18888996,0.44430692,1.51325497,0.02761539,0.04966647,0.01792986,0.71885860
-5.89194597,3.17146747,0.45263648,0.19319118,0.46962645,1.57863930,0.02865355,0.05230342,0.01800091,0.75636952
-5.88594297,3.31201115,0.47741625,0.19776037,0.49483919,1.64316569,0.02986796,0.05490505,0.01818968,0.79393203
-5.87993997,3.45036987,0.50161010,0.20249099,0.51975929,1.70597506,0.03123014,0.05745130,0.01848781,0.83112995
-5.87393697,3.58501464,0.52497086,0.20729898,0.54422209,1.76630788,0.03271366,0.05992445,0.01888812,0.86758324
-5.86793397,3.71463411,0.54727841,0.21212620,0.56808642,1.82352055,0.03429510,0.06230927,0.01938472,0.90295748
-5.86193097,3.83815991,0.56834524,0.21694295,0.59123565,1.87709655,0.03595495,0.06459282,0.01997297,0.93697135
-5.85592796,3.95478149,0.58802068,0.22174919,0.61357740,1.92665180,0.03767834,0.06676432,0.02064924,0.96940204
-5.84992496,4.06394993,0.60619367,0.22657454,0.63504205,1.97193434,0.03945559,0.06881473,0.02141074,1.00008816
