energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,3.53052516,0.02567319,0.00000000,0.01315649,0.55490241,0.01955608,1.73038403,1.92161523,0.88601373
-5.99399700,3.60991782,0.02618083,0.00000000,0.01296204,0.57459960,0.01915134,1.76199826,1.98914981,0.90456470
-5.98799400,3.68764485,0.02660359,0.00000000,0.01277132,0.59787698,0.01879708,1.78864216,2.05738934,0.92363212
-5.98199100,3.76188296,0.02692878,0.00000000,0.01257880,0.62443817,0.01848389,1.80943735,2.12516350,0.94280219
-5.97598799,3.83078790,0.02714549,0.00000000,0.01237879,0.65387661,0.01820140,1.82360993,2.19123939,0.96162986
-5.96998499,3.89255029,0.02724496,0.00000000,0.01216574,0.68568434,0.01793869,1.83051771,2.25435368,0.97965201
-5.96398199,3.94544916,0.02722091,0.00000000,0.01193455,0.71926413,0.01768479,1.82967238,2.31324574,0.99640096
-5.95797899,3.98790185,0.02706972,0.00000000,0.01168087,0.75394469,0.01742910,1.82075591,2.36669098,1.01141805
-5.95197599,4.01850882,0.02679062,0.00000000,0.01140123,0.78899875,0.01716180,1.80363056,2.41353353,1.02426680
-5.94597299,4.03609222,0.02638564,0.00000000,0.01109328,0.82366334,0.01687417,1.77834242,2.45271734,1.03454536
-5.93996998,4.03972748,0.02585959,0.00000000,0.01075587,0.85716196,0.01655887,1.74511841,2.48331488,1.04189801
-5.93396698,4.02876742,0.02521986,0.00000000,0.01038903,0.88872770,0.01621013,1.70435733,2.50455292,1.04602540
-5.92796398,4.00285844,0.02447617,0.00000000,0.00999403,0.91762660,0.01582390,1.65661545,2.51583429,1.04669320
-5.92196098,3.96194882,0.02364028,0.00000000,0.00957324,0.94318049,0.01539790,1.60258759,2.51675538,1.04373914
-5.91595798,3.90628909,0.02272558,0.00000000,0.00913005,0.96478823,0.01493159,1.54308462,2.50711854,1.03707799
-5.90995498,3.83642468,0.02174669,0.00000000,0.00866868,0.98194464,0.01442614,1.47900850,2.48693898,1.02670447
-5.90395198,3.75318120,0.02071906,0.00000000,0.00819401,0.99425626,0.01388432,1.41132584,2.45644589,1.01269393
