energy_ev,total_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,3.27812572,0.47719219,0.00992442,0.00296373,2.01332825,2.10299698,1.47704748
-5.99399700,3.26264256,0.47378152,0.01016635,0.00283717,1.99898704,2.11623395,1.45910661
-5.98799400,3.24087689,0.46952731,0.01040581,0.00272842,1.98048165,2.12576394,1.43747306
-5.98199100,3.21277027,0.46438566,0.01063913,0.00263646,1.95792025,2.13127050,1.41230755
-5.97598799,3.17838158,0.45832699,0.01086275,0.00255990,1.93148935,2.13251196,1.38383518
-5.96998499,3.13790214,0.45134024,0.01107339,0.00249709,1.90145857,2.12933698,1.35234715
-5.96398199,3.09166505,0.44343601,0.01126818,0.00244618,1.86818198,2.12169624,1.31819975
-5.95797899,3.04014811,0.43464873,0.01144478,0.00240527,1.83209566,2.10964968,1.28181053
-5.95197599,2.98396967,0.42503765,0.01160143,0.00237243,1.79371116,2.09336884,1.24365153
-5.94597299,2.92387739,0.41468667,0.01173704,0.00234582,1.75360497,2.07313390,1.20423971
-5.93996998,2.86073018,0.40370300,0.01185121,0.00232375,1.71240413,2.04932572,1.16412486
-5.93396698,2.79547407,0.39221478,0.01194423,0.00230469,1.67076865,2.02241307,1.12387545
-5.92796398,2.72911306,0.38036782,0.01201700,0.00228737,1.62937127,1.99293578,1.08406300
-5.92196098,2.66267634,0.36832158,0.01207102,0.00227071,1.58887562,1.96148464,1.04524558
-5.91595798,2.59718341,0.35624459,0.01210825,0.00225394,1.54991366,1.92867891,1.00795123
-5.90995498,2.53360882,0.34430962,0.01213103,0.00223647,1.51306356,1.89514289,0.97266206
-5.90395198,2.47284831,0.33268864,0.01214192,0.00221797,1.47882909,1.86148230,0.93979961
-5.89794897,2.41568778,0.32154796,0.01214357,0.00219828,1.44762150,1.82826211,0.90971235
-5.89194597,2.36277688,0.31104353,0.01213862,0.00217738,1.41974488,1.79598644,0.88266570
-5.88594297,2.31460811,0.30131679,0.01212952,0.00215538,1.39538565,1.76508183,0.85883509
-5.87993997,2.27150265,0.29249094,0.01211844,0.00213247,1.37460686,1.73588443,0.83830233
-5.87393697,2.23360332,0.28466796,0.01210717,0.00210885,1.35734742,1.70863169,0.82105544
-5.86793397,2.20087497,0.27792635,0.01209704,0.00208472,1.34342640,1.68345888,0.80699186
-5.86193097,2.17311220,0.27231958,0.01208888,0.00206026,1.33255231,1.66040037,0.79592494
-5.85592796,2.14995376,0.26787539,0.01208299,0.00203559,1.32433659,1.63939555,0.78759332
-5.84992496,2.13090301,0.26459587,0.01207915,0.00201076,1.31831109,1.62029884,0.78167273
-5.84392196,2.11535327,0.26245829,0.01207664,0.00198574,1.31394830,1.60289320,0.77778979
-5.83791896,2.10261684,0.26141657,0.01207433,0.00196043,1.31068375,1.58690632,0.77553704
-5.83191596,2.09195626,0.26140355,0.01207073,0.00193467,1.30793925,1.57202859,0.77448869
-5.82591296,2.08261654,0.26233361,0.01206407,0.00190825,1.30514621,1.55793191,0.77421642
-5.81990995,2.07385671,0.26410590,0.01205246,0.00188093,1.30176786,1.54428832,0.77430455
-5.81390695,2.06497963,0.26660786,0.01203391,0.00185248,1.29731960,1.53078767,0.77436415
-5.80790395,2.05535872,0.26971887,0.01200653,0.00182268,1.29138655,1.51715352,0.77404545
-5.80190095,2.04446074,0.27331416,0.01196857,0.00179138,1.28363793,1.50315650,0.77304832
-5.79589795,2.03186387,0.27726846,0.01191851,0.00175850,1.27383756,1.48862479,0.77113044
-5.78989495,2.01727050,0.28145960,0.01185518,0.00172407,1.26185045,1.47345137,0.76811299
-5.78389195,2.00051469,0.28577177,0.01177779,0.00168824,1.24764531,1.45759783,0.76388379
-5.77788894,1.98156407,0.29009831,0.01168600,0.00165127,1.23129316,1.44109492,0.75839804
-5.77188594,1.96051662,0.29434399,0.01157991,0.00161357,1.21296229,1.42403993,0.75167654
-5.76588294,1.93759255,0.29842669,0.01146010,0.00157570,1.19290991,1.40659120,0.74380187
-5.75987994,1.91312200,0.30227844,0.01132759,0.00153832,1.17147120,1.38896031,0.73491256
-5.75387694,1.88752914,0.30584576,0.01118386,0.00150222,1.14904593,1.37140232,0.72519568
-5.74787394,1.86131349,0.30908937,0.01103076,0.00146827,1.12608366,1.35420457,0.71487819
-5.74187094,1.83502912,0.31198330,0.01087051,0.00143739,1.10306779,1.33767458,0.70421728
-5.73586793,1.80926271,0.31451336,0.01070558,0.00141055,1.08049906,1.32212756,0.69349019
-5.72986493,1.78461096,0.31667535,0.01053866,0.00138870,1.05887916,1.30787386,0.68298373
-5.72386193,1.76165827,0.31847274,0.01037260,0.00137273,1.03869470,1.29520682,0.67298382
-5.71785893,1.74095518,0.31991431,0.01021027,0.00136347,1.02040196,1.28439135,0.66376536
-5.71185593,1.72299817,0.32101170,0.01005455,0.00136160,1.00441289,1.27565338,0.65558267
-5.70585293,1.70821135,0.32177701,0.00990819,0.00136766,0.99108233,1.26917054,0.64866075
-5.69984992,1.69693040,0.32222069,0.00977376,0.00138197,0.98069701,1.26506409,0.64318741
-5.69384692,1.68938914,0.32234974,0.00965355,0.00140464,0.97346623,1.26339236,0.63930669
-5.68784392,1.68570917,0.32216640,0.00954952,0.00143556,0.96951448,1.26414576,0.63711349
-5.68184092,1.68589268,0.32166741,0.00946319,0.00147433,0.96887624,1.26724354,0.63664966
-5.67583792,1.68981875,0.32084375,0.00939558,0.00152031,0.97149292,1.27253236,0.63790163
-5.66983492,1.69724343,0.31968115,0.00934718,0.00157262,0.97721216,1.27978687,0.64079964
-5.66383192,1.70780355,0.31816110,0.00931788,0.00163013,0.98578955,1.28871240,0.64521874
-5.65782891,1.72102443,0.31626253,0.00930694,0.00169150,0.99689296,1.29894986,0.65098144
-5.65182591,1.73633150,0.31396389,0.00931300,0.00175524,1.01010927,1.31008292,0.65786212
-5.64582291,1.75306566,0.31124578,0.00933406,0.00181971,1.02495380,1.32164746,0.66559310
-5.63981991,1.77050203,0.30809376,0.00936752,0.00188318,1.04088201,1.33314333,0.67387230
-5.63381691,1.78787196,0.30450140,0.00941025,0.00194394,1.05730359,1.34404805,0.68237231
-5.62781391,1.80438749,0.30047334,0.00945866,0.00200025,1.07359845,1.35383241,0.69075062
-5.62181091,1.81926770,0.29602818,0.00950879,0.00205051,1.08913435,1.36197741,0.69866077
-5.61580790,1.83176616,0.29120109,0.00955646,0.00209325,1.10328557,1.36799211,0.70576409
-5.60980490,1.84119845,0.28604600,0.00959739,0.00212718,1.11545222,1.37143172,0.71174158
-5.60380190,1.84696876,0.28063715,0.00962738,0.00215127,1.12507935,1.37191535,0.71630546
-5.59779890,1.84859447,0.27506997,0.00964244,0.00216478,1.13167529,1.36914248,0.71921017
-5.59179590,1.84572767,0.26946111,0.00963898,0.00216726,1.13482847,1.36290757,0.72026201
-5.58579290,1.83817261,0.26394764,0.00961394,0.00215859,1.13422201,1.35311195,0.71932730
-5.57978989,1.82589804,0.25868521,0.00956497,0.00213899,1.12964547,1.33977234,0.71633854
-5.57378689,1.80904395,0.25384539,0.00949050,0.00210897,1.12100321,1.32302544,0.71129825
-5.56778389,1.78792186,0.24961202,0.00938985,0.00206936,1.10831891,1.30312819,0.70428023
-5.56178089,1.76300872,0.24617672,0.00926328,0.00202126,1.09173596,1.28045343,0.69542822
