energy_ev,total_up,Au_p_up,Au_d_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up
-6.00000000,5.83019836,0.86994629,5.41858628,0.23154868,0.02738304,0.03784913,0.19736385
-5.99399700,5.91091859,0.90358003,5.47994943,0.24065951,0.02762951,0.04029651,0.20492776
-5.98799400,5.98810617,0.93363535,5.53959577,0.24886162,0.02788594,0.04265203,0.21175893
-5.98199100,6.06021071,0.95959802,5.59625994,0.25598923,0.02814668,0.04487941,0.21775384
-5.97598799,6.12566818,0.98102211,5.64862908,0.26189368,0.02840575,0.04694262,0.22282109
-5.96998499,6.18292886,0.99754230,5.69536396,0.26644775,0.02865692,0.04880681,0.22688353
-5.96398199,6.23048764,1.00888383,5.73512381,0.26954944,0.02889375,0.05043920,0.22987989
-5.95797899,6.26691637,1.01486966,5.76659439,0.27112495,0.02910970,0.05181012,0.23176610
-5.95197599,6.29089711,1.01542461,5.78851871,0.27113089,0.02929822,0.05289381,0.23251604
-5.94597299,6.30125542,1.01057628,5.79972921,0.26955550,0.02945285,0.05366928,0.23212181
-5.93996998,6.29699230,1.00045275,5.79918040,0.26641888,0.02956740,0.05412096,0.23059360
-5.93396698,6.27731349,0.98527727,5.78598032,0.26177221,0.02963600,0.05423926,0.22795900
-5.92796398,6.24165469,0.96536005,5.75941945,0.25569599,0.02965332,0.05402093,0.22426201
-5.92196098,6.18970147,0.94108770,5.71899557,0.24829743,0.02961462,0.05346920,0.21956163
-5.91595798,6.12140269,0.91291064,5.66443322,0.23970700,0.02951592,0.05259379,0.21393011
-5.90995498,6.03697660,0.88132915,5.59569660,0.23007443,0.02935409,0.05141068,0.20745109
-5.90395198,5.93690915,0.84687852,5.51299517,0.21956421,0.02912689,0.04994167,0.20021742
-5.89794897,5.82194419,0.81011400,5.41678149,0.20835085,0.02883304,0.04821383,0.19232901
-5.89194597,5.69306608,0.77159602,5.30774121,0.19661404,0.02847224,0.04625874,0.18389055
-5.88594297,5.55147508,0.73187631,5.18677578,0.18453396,0.02804514,0.04411162,0.17500931
-5.87993997,5.39855678,0.69148530,5.05497834,0.17228686,0.02755331,0.04181046,0.16579302
-5.87393697,5.23584669,0.65092122,4.91360428,0.16004106,0.02699918,0.03939499,0.15634790
-5.86793397,5.06499161,0.61064118,4.76403749,0.14795354,0.02638595,0.03690570,0.14677683
-5.86193097,4.88770944,0.57105441,4.60775415,0.13616716,0.02571749,0.03438289,0.13717780
-5.85592796,4.70574901,0.53251762,4.44628543,0.12480852,0.02499822,0.03186580,0.12764259
-5.84992496,4.52085159,0.49533273,4.28118085,0.11398661,0.02423303,0.02939174,0.11825571
-5.84392196,4.33471557,0.45974647,4.11397368,0.10379207,0.02342712,0.02699544,0.10909367
-5.83791896,4.14896526,0.42595200,3.94614971,0.09429718,0.02258596,0.02470843,0.10022448
-5.83191596,3.96512504,0.39409206,3.77912031,0.08555629,0.02171514,0.02255863,0.09170753
-5.82591296,3.78459920,0.36426349,3.61420062,0.07760689,0.02082033,0.02057000,0.08359367
-5.81990995,3.60865776,0.33652270,3.45259313,0.07047087,0.01990717,0.01876232,0.07592565
-5.81390695,3.43842841,0.31089185,3.29537697,0.06415622,0.01898128,0.01715118,0.06873869
-5.80790395,3.27489407,0.28736531,3.14350249,0.05865877,0.01804815,0.01574792,0.06206141
-5.80190095,3.11889566,0.26591627,2.99779103,0.05396406,0.01711318,0.01455979,0.05591682
-5.79589795,2.97113939,0.24650306,2.85893913,0.05004916,0.01618158,0.01359010,0.05032354
-5.78989495,2.83220785,0.22907514,2.72752661,0.04688441,0.01525842,0.01283844,0.04529711
-5.78389195,2.70257389,0.21357846,2.60402772,0.04443502,0.01434856,0.01230099,0.04085131
-5.77788894,2.58261675,0.19996016,2.48882468,0.04266253,0.01345666,0.01197075,0.03699960
-5.77188594,2.47263929,0.18817245,2.38222271,0.04152598,0.01258716,0.01183791,0.03375636
-5.76588294,2.37288585,0.17817580,2.28446589,0.04098301,0.01174423,0.01189015,0.03113824
-5.75987994,2.28355979,0.16994119,2.19575320,0.04099067,0.01093177,0.01211297,0.02916513
-5.75387694,2.20484013,0.16345166,2.11625394,0.04150615,0.01015338,0.01249004,0.02786113
-5.74787394,2.13689666,0.15870305,2.04612203,0.04248733,0.00941231,0.01300356,0.02725513
-5.74187094,2.07990279,0.15570399,1.98550848,0.04389318,0.00871145,0.01363456,0.02738111
-5.73586793,2.03404567,0.15447527,1.93457161,0.04568415,0.00805330,0.01436331,0.02827808
-5.72986493,1.99953294,0.15504844,1.89348435,0.04782239,0.00743991,0.01516967,0.02998964
-5.72386193,1.97659565,0.15746379,1.86243822,0.05027198,0.00687293,0.01603346,0.03256303
-5.71785893,1.96548674,0.16176773,1.84164352,0.05299904,0.00635353,0.01693479,0.03604782
-5.71185593,1.96647488,0.16800950,1.83132539,0.05597181,0.00588244,0.01785445,0.04049406
-5.70585293,1.97983341,0.17623730,1.83171562,0.05916061,0.00545992,0.01877423,0.04595003
-5.69984992,2.00582420,0.18649394,1.84303999,0.06253778,0.00508578,0.01967726,0.05245962
-5.69384692,2.04467690,0.19881195,1.86550147,0.06607743,0.00475939,0.02054818,0.06005928
-5.68784392,2.09656372,0.21320835,1.89925966,0.06975516,0.00447968,0.02137349,0.06877486
-5.68184092,2.16157091,0.22967921,1.94440698,0.07354761,0.00424521,0.02214158,0.07861824
-5.67583792,2.23966767,0.24819418,2.00094267,0.07743193,0.00405413,0.02284290,0.08958399
-5.66983492,2.33067415,0.26869116,2.06874577,0.08138516,0.00390422,0.02346994,0.10164619
-5.66383192,2.43423004,0.29107148,2.14754839,0.08538352,0.00379294,0.02401718,0.11475569
-5.65782891,2.54976561,0.31519580,2.23691079,0.08940175,0.00371744,0.02448098,0.12883777
-5.65182591,2.67647722,0.34088103,2.33620006,0.09341237,0.00367456,0.02485938,0.14379056
-5.64582291,2.81330907,0.36789856,2.44457382,0.09738512,0.00366090,0.02515188,0.15948434
-5.63981991,2.95894299,0.39597409,2.56097050,0.10128648,0.00367285,0.02535919,0.17576174
-5.63381691,3.11179793,0.42478922,2.68410755,0.10507945,0.00370659,0.02548293,0.19243912
-5.62781391,3.27003993,0.45398494,2.81248836,0.10872349,0.00375817,0.02552540,0.20930899
-5.62181091,3.43160347,0.48316713,2.94441858,0.11217484,0.00382355,0.02548930,0.22614362
-5.61580790,3.59422407,0.51191391,3.07803178,0.11538711,0.00389864,0.02537750,0.24269962
-5.60980490,3.75548148,0.53978475,3.21132400,0.11831212,0.00397938,0.02519294,0.25872360
-5.60380190,3.91285235,0.56633110,3.34219625,0.12090119,0.00406179,0.02493850,0.27395841
-5.59779890,4.06377045,0.59110804,3.46850348,0.12310647,0.00414208,0.02461693,0.28815007
-5.59179590,4.20569215,0.61368668,3.58810798,0.12488267,0.00421664,0.02423097,0.30105485
-5.58579290,4.33616446,0.63366660,3.69893530,0.12618877,0.00428221,0.02378333,0.31244642
-5.57978989,4.45289262,0.65068802,3.79902991,0.12698978,0.00433587,0.02327691,0.32212252
-5.57378689,4.55380430,0.66444286,3.88660853,0.12725848,0.00437513,0.02271497,0.32991120
-5.56778389,4.63710755,0.67468452,3.96010843,0.12697694,0.00439800,0.02210127,0.33567592
-5.56178089,4.70133987,0.68123563,4.01822882,0.12613782,0.00440296,0.02144031,0.33931974
-5.55577789,4.74540632,0.68399356,4.05996350,0.12474533,0.00438907,0.02073752,0.34078799
-5.54977489,4.76860514,0.68293347,4.08462346,0.12281574,0.00435591,0.01999939,0.34006965
-5.54377189,4.77064002,0.67810868,4.09184873,0.12037756,0.00430360,0.01923357,0.33719714
-5.53776888,4.75161880,0.66964845,4.08160936,0.11747119,0.00423275,0.01844896,0.33224476
-5.53176588,4.71203915,0.65775331,4.05419573,0.11414816,0.00414448,0.01765564,0.32532566
-5.52576288,4.65276236,0.64268818,4.01019930,0.11046995,0.00404027,0.01686485,0.31658771
-5.51975988,4.57497695,0.62477361,3.95048507,0.10650643,0.00392199,0.01608882,0.30620833
-5.51375688,4.48015408,0.60437566,3.87615719,0.10233411,0.00379175,0.01534056,0.29438863
-5.50775388,4.36999724,0.58189486,3.78851992,0.09803403,0.00365187,0.01463361,0.28134702
-5.50175088,4.24638837,0.55775469,3.68903553,0.09368963,0.00350479,0.01398175,0.26731277
