energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.88305615,0.00724566,0.05982423,0.15887674,0.52919892,0.27209137,0.00000000,0.24782287,0.03051127
-5.99399700,0.92338845,0.00803872,0.06215086,0.16715661,0.55174824,0.28492560,0.00000000,0.26020606,0.03204946
-5.98799400,0.96270398,0.00886719,0.06431801,0.17537588,0.57376896,0.29757355,0.00000000,0.27188883,0.03352461
-5.98199100,1.00012391,0.00972249,0.06626442,0.18337715,0.59475647,0.30976387,0.00000000,0.28259820,0.03490339
-5.97598799,1.03480402,0.01059483,0.06793279,0.19100763,0.61422477,0.32123221,0.00000000,0.29208066,0.03615447
-5.96998499,1.06595825,0.01147332,0.06927175,0.19812302,0.63172069,0.33172828,0.00000000,0.30010892,0.03724932
-5.96398199,1.09288074,0.01234610,0.07023762,0.20459130,0.64683713,0.34102272,0.00000000,0.30648827,0.03816291
-5.95797899,1.11496564,0.01320062,0.07079591,0.21029637,0.65922464,0.34891330,0.00000000,0.31106214,0.03887435
-5.95197599,1.13172367,0.01402391,0.07092252,0.21514121,0.66860110,0.35523041,0.00000000,0.31371667,0.03936740
-5.94597299,1.14279508,0.01480291,0.07060457,0.21905065,0.67475893,0.35984140,0.00000000,0.31438400,0.03963082
-5.93996998,1.14795834,0.01552481,0.06984081,0.22197358,0.67756978,0.36265395,0.00000000,0.31304423,0.03965864
-5.93396698,1.14713446,0.01617751,0.06864163,0.22388442,0.67698656,0.36361807,0.00000000,0.30972585,0.03945020
-5.92796398,1.14038692,0.01674992,0.06702869,0.22478407,0.67304286,0.36272690,0.00000000,0.30450473,0.03901007
-5.92196098,1.12791740,0.01723244,0.06503406,0.22470001,0.66584991,0.36001623,0.00000000,0.29750164,0.03834777
-5.91595798,1.11005761,0.01761724,0.06269918,0.22368583,0.65559137,0.35556289,0.00000000,0.28887847,0.03747739
-5.90995498,1.08725788,0.01789860,0.06007338,0.22182007,0.64251632,0.34948209,0.00000000,0.27883335,0.03641710
-5.90395198,1.06007301,0.01807317,0.05721225,0.21920437,0.62693084,0.34192383,0.00000000,0.26759492,0.03518852
-5.89794897,1.02914611,0.01814012,0.05417590,0.21596120,0.60918857,0.33306864,0.00000000,0.25541591,0.03381607
-5.89194597,0.99519115,0.01810123,0.05102705,0.21223098,0.58968079,0.32312279,0.00000000,0.24256648,0.03232630
-5.88594297,0.95897493,0.01796090,0.04782921,0.20816877,0.56882633,0.31231309,0.00000000,0.22932741,0.03074713
-5.87993997,0.92129905,0.01772602,0.04464491,0.20394065,0.54706174,0.30088162,0.00000000,0.21598355,0.02910722
-5.87393697,0.88298245,0.01740579,0.04153402,0.19971975,0.52483199,0.28908035,0.00000000,0.20281764,0.02743535
-5.86793397,0.84484497,0.01701143,0.03855232,0.19568208,0.50258193,0.27716591,0.00000000,0.19010474,0.02575982
-5.86193097,0.80769227,0.01655582,0.03575021,0.19200214,0.48074869,0.26539464,0.00000000,0.17810735,0.02410800
-5.85592796,0.77230229,0.01605308,0.03317173,0.18884855,0.45975515,0.25401791,0.00000000,0.16707136,0.02250590
-5.84992496,0.73941346,0.01551807,0.03085377,0.18637956,0.44000446,0.24327776,0.00000000,0.15722276,0.02097784
-5.84392196,0.70971456,0.01496593,0.02882553,0.18473877,0.42187559,0.23340308,0.00000000,0.14876515,0.01954628
-5.83791896,0.68383636,0.01441157,0.02710828,0.18405094,0.40571988,0.22460613,0.00000000,0.14187797,0.01823155
-5.83191596,0.66234483,0.01386916,0.02571526,0.18441816,0.39185857,0.21707947,0.00000000,0.13671526,0.01705184
-5.82591296,0.64573578,0.01335167,0.02465182,0.18591646,0.38058104,0.21099344,0.00000000,0.13340502,0.01602304
-5.81990995,0.63443101,0.01287048,0.02391571,0.18859292,0.37214385,0.20649395,0.00000000,0.13204881,0.01515879
-5.81390695,0.62877557,0.01243507,0.02349754,0.19246352,0.36677033,0.20370076,0.00000000,0.13272160,0.01447040
-5.80790395,0.62903610,0.01205270,0.02338138,0.19751171,0.36465065,0.20270615,0.00000000,0.13547180,0.01396684
-5.80190095,0.63540028,0.01172827,0.02354535,0.20368789,0.36594232,0.20357394,0.00000000,0.14032120,0.01365472
-5.79589795,0.64797698,0.01146425,0.02396246,0.21090996,0.37077085,0.20633898,0.00000000,0.14726491,0.01353828
-5.78989495,0.66679725,0.01126067,0.02460135,0.21906473,0.37923068,0.21100699,0.00000000,0.15627125,0.01361925
-5.78389195,0.69181592,0.01111525,0.02542722,0.22801044,0.39138602,0.21755467,0.00000000,0.16728155,0.01389684
-5.77788894,0.72291376,0.01102353,0.02640268,0.23758031,0.40727168,0.22593035,0.00000000,0.18020986,0.01436763
-5.77188594,0.75990007,0.01097920,0.02748868,0.24758690,0.42689358,0.23605480,0.00000000,0.19494283,0.01502546
-5.76588294,0.80251557,0.01097434,0.02864548,0.25782732,0.45022903,0.24782243,0.00000000,0.21133963,0.01586137
-5.75987994,0.85043556,0.01099984,0.02983357,0.26808901,0.47722640,0.26110282,0.00000000,0.22923214,0.01686353
-5.75387694,0.90327325,0.01104572,0.03101460,0.27815596,0.50780442,0.27574247,0.00000000,0.24842554,0.01801720
-5.74787394,0.96058312,0.01110161,0.03215228,0.28781504,0.54185078,0.29156678,0.00000000,0.26869942,0.01930478
-5.74187094,1.02186444,0.01115707,0.03321330,0.29686226,0.57922023,0.30838234,0.00000000,0.28980941,0.02070593
-5.73586793,1.08656488,0.01120201,0.03416809,0.30510878,0.61973216,0.32597934,0.00000000,0.31148964,0.02219770
-5.72986493,1.15408419,0.01122704,0.03499159,0.31238620,0.66316789,0.34413419,0.00000000,0.33345586,0.02375483
-5.72386193,1.22377841,0.01122374,0.03566392,0.31855128,0.70926781,0.36261237,0.00000000,0.35540940,0.02535013
-5.71785893,1.29496435,0.01118491,0.03617099,0.32348950,0.75772874,0.38117139,0.00000000,0.37704191,0.02695492
-5.71185593,1.36692497,0.01110482,0.03650490,0.32711781,0.80820184,0.39956393,0.00000000,0.39804083,0.02853957
-5.70585293,1.43891571,0.01097922,0.03666433,0.32938606,0.86029153,0.41754124,0.00000000,0.41809540,0.03007415
-5.69984992,1.51017207,0.01080553,0.03665480,0.33027751,0.91355574,0.43485658,0.00000000,0.43690329,0.03152909
-5.69384692,1.57991877,0.01058273,0.03648875,0.32980813,0.96750806,0.45126895,0.00000000,0.45417734,0.03287595
-5.68784392,1.64738057,0.01031138,0.03618556,0.32802515,1.02162201,0.46654689,0.00000000,0.46965256,0.03408808
-5.68184092,1.71179500,0.00999346,0.03577141,0.32500463,1.07533784,0.48047251,0.00000000,0.48309284,0.03514142
-5.67583792,1.77242686,0.00963224,0.03527909,0.32084860,1.12807188,0.49284550,0.00000000,0.49429736,0.03601512
-5.66983492,1.82858444,0.00923211,0.03474766,0.31568169,1.17922858,0.50348726,0.00000000,0.50310634,0.03669221
-5.66383192,1.87963721,0.00879834,0.03422202,0.30964761,1.22821504,0.51224491,0.00000000,0.50940590,0.03716003
-5.65782891,1.92503427,0.00833688,0.03375238,0.30290555,1.27445754,0.51899521,0.00000000,0.51313195,0.03741069
-5.65182591,1.96432325,0.00785412,0.03339365,0.29562678,1.31741978,0.52364813,0.00000000,0.51427277,0.03744127
-5.64582291,1.99716864,0.00735670,0.03320472,0.28799139,1.35662189,0.52615004,0.00000000,0.51287025,0.03725396
-5.63981991,2.02336873,0.00685128,0.03324767,0.28018543,1.39165941,0.52648633,0.00000000,0.50901974,0.03685596
-5.63381691,2.04287024,0.00634436,0.03358681,0.27239837,1.42222140,0.52468331,0.00000000,0.50286837,0.03625930
-5.62781391,2.05577958,0.00584214,0.03428761,0.26482078,1.44810653,0.52080922,0.00000000,0.49461195,0.03548048
-5.62181091,2.06236984,0.00535037,0.03541560,0.25764244,1.46923613,0.51497431,0.00000000,0.48449044,0.03453992
-5.61580790,2.06308266,0.00487428,0.03703496,0.25105038,1.48566351,0.50732974,0.00000000,0.47278218,0.03346144
-5.60980490,2.05852434,0.00441845,0.03920712,0.24522714,1.49757837,0.49806540,0.00000000,0.45979698,0.03227149
-5.60380190,2.04945570,0.00398687,0.04198915,0.24034888,1.50530617,0.48740646,0.00000000,0.44586827,0.03099840
-5.59779890,2.03677555,0.00358282,0.04543201,0.23658322,1.50930166,0.47560877,0.00000000,0.43134454,0.02967158
-5.59179590,2.02149795,0.00320896,0.04957876,0.23408692,1.51013683,0.46295314,0.00000000,0.41658031,0.02832073
-5.58579290,2.00472364,0.00286733,0.05446263,0.23300313,1.50848333,0.44973863,0.00000000,0.40192686,0.02697498
