energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,5.68860899,1.42956195,0.63439227,0.00389048,0.78843497,0.77652787,0.69805424,0.13961501,2.64230086
-5.99399700,5.59019289,1.37710953,0.61703280,0.00374369,0.79577350,0.77319025,0.70094919,0.13648516,2.56969832
-5.98799400,5.49641936,1.32320550,0.59906666,0.00361062,0.80539788,0.77239228,0.70596444,0.13332696,2.49750672
-5.98199100,5.40883362,1.26864625,0.58069875,0.00349300,0.81719790,0.77426211,0.71302243,0.13018835,2.42688179
-5.97598799,5.32889936,1.21421794,0.56214135,0.00339243,0.83103949,0.77890946,0.72202219,0.12711512,2.35895325
-5.96998499,5.25797586,1.16068104,0.54360942,0.00331037,0.84676840,0.78642484,0.73284290,0.12414992,2.29480562
-5.96398199,5.19729867,1.10875615,0.52531593,0.00324811,0.86421461,0.79687904,0.74534796,0.12133145,2.23546051
-5.95797899,5.14796388,1.05911164,0.50746731,0.00320671,0.88319721,0.81032291,0.75938965,0.11869378,2.18186066
-5.95197599,5.11091610,1.01235304,0.49025919,0.00318704,0.90352982,0.82678745,0.77481420,0.11626590,2.13485564
-5.94597299,5.08693976,0.96901445,0.47387257,0.00318969,0.92502634,0.84628410,0.79146715,0.11407144,2.09518941
-5.93996998,5.07665322,0.92955179,0.45847040,0.00321498,0.94750681,0.86880530,0.80919884,0.11212852,2.06348926
-5.93396698,5.08050492,0.89433808,0.44419476,0.00326292,0.97080315,0.89432504,0.82786973,0.11044980,2.04025630
-5.92796398,5.09877096,0.86366026,0.43116462,0.00333324,0.99476452,0.92279939,0.84735528,0.10904263,2.02585715
-5.92196098,5.13155318,0.83771766,0.41947416,0.00342534,1.01926184,0.95416681,0.86755014,0.10790928,2.02051688
-5.91595798,5.17877714,0.81662189,0.40919174,0.00353830,1.04419136,0.98834807,0.88837137,0.10704728,2.02431291
-5.90995498,5.24018951,0.80039784,0.40035933,0.00367086,1.06947686,1.02524570,0.90976028,0.10644973,2.03717026
-5.90395198,5.31535454,0.78898588,0.39299256,0.00382145,1.09507018,1.06474282,0.93168297,0.10610571,2.05885801
-5.89794897,5.40364974,0.78224486,0.38708114,0.00398821,1.12095012,1.10670136,0.95412902,0.10600059,2.08898741
-5.89194597,5.50426090,0.77995618,0.38258980,0.00416894,1.14711934,1.15095957,0.97710863,0.10611641,2.12701192
-5.88594297,5.61617715,0.78182853,0.37945946,0.00436121,1.17359949,1.19732907,1.00064788,0.10643223,2.17222962
-5.87993997,5.73818693,0.78750369,0.37760888,0.00456232,1.20042454,1.24559139,1.02478255,0.10692440,2.22378844
-5.87393697,5.86887583,0.79656301,0.37693649,0.00476937,1.22763266,1.29549432,1.04955040,0.10756691,2.28069465
-5.86793397,6.00662750,0.80853503,0.37732251,0.00497929,1.25525683,1.34674835,1.07498251,0.10833167,2.34182489
-5.86193097,6.14962894,0.82290388,0.37863139,0.00518892,1.28331484,1.39902352,1.10109388,0.10918885,2.40594221
-5.85592796,6.29588120,0.83911874,0.38071439,0.00539502,1.31179903,1.45194695,1.12787394,0.11010727,2.47171598
-5.84992496,6.44321654,0.85660424,0.38341247,0.00559435,1.34066642,1.50510156,1.15527741,0.11105477,2.53774579
-5.84392196,6.58932291,0.87477168,0.38655937,0.00578375,1.36982990,1.55802629,1.18321611,0.11199865,2.60258893
-5.83791896,6.73177606,0.89303099,0.38998491,0.00596019,1.39915105,1.61021811,1.21155236,0.11290627,2.66479105
-5.83191596,6.86807933,0.91080322,0.39351848,0.00612086,1.42843518,1.66113618,1.24009441,0.11374554,2.72291922
-5.82591296,6.99571085,0.92753326,0.39699270,0.00626319,1.45742913,1.71020832,1.26859439,0.11448560,2.77559644
-5.81990995,7.11217721,0.94270255,0.40024713,0.00638495,1.48582210,1.75683976,1.29674917,0.11509745,2.82153661
-5.81390695,7.21507220,0.95584132,0.40313204,0.00648433,1.51324998,1.80042439,1.32420431,0.11555470,2.85957876
-5.80790395,7.30213914,0.96654006,0.40551216,0.00655990,1.53930295,1.84035801,1.35056122,0.11583416,2.88871920
-5.80190095,7.37133449,0.97445974,0.40727018,0.00661075,1.56353649,1.87605357,1.37538730,0.11591657,2.90814047
-5.79589795,7.42089047,0.97934048,0.40831005,0.00663646,1.58548536,1.90695767,1.39822897,0.11578714,2.91723576
-5.78989495,7.44937414,0.98100820,0.40855988,0.00663712,1.60468001,1.93256798,1.41862687,0.11543603,2.91562790
-5.78389195,7.45574039,0.97937902,0.40797422,0.00661334,1.62066486,1.95245069,1.43613296,0.11485877,2.90318190
-5.77788894,7.43937628,0.97446117,0.40653587,0.00656625,1.63301755,1.96625748,1.45032837,0.11405640,2.88001049
-5.77188594,7.40013439,0.96635419,0.40425677,0.00649746,1.64136829,1.97374094,1.46084158,0.11303556,2.84647220
-5.76588294,7.33835341,0.95524541,0.40117818,0.00640902,1.64541833,1.97476794,1.46736570,0.11180836,2.80316194
-5.75987994,7.25486422,0.94140377,0.39736993,0.00630339,1.64495660,1.96933009,1.46967428,0.11039203,2.75089433
-5.75387694,7.15098082,0.92517109,0.39292875,0.00618336,1.63987369,1.95755072,1.46763460,0.10880839,2.69068018
-5.74787394,7.02847564,0.90695108,0.38797579,0.00605200,1.63017227,1.93968781,1.46121782,0.10708325,2.62369698
-5.74187094,6.88953962,0.88719643,0.38265315,0.00591259,1.61597355,1.91613277,1.45050547,0.10524546,2.55125448
-5.73586793,6.73672840,0.86639446,0.37711990,0.00576852,1.59751913,1.88740473,1.43569178,0.10332608,2.47475643
-5.72986493,6.57289597,0.84505172,0.37154724,0.00562323,1.57516825,1.85414053,1.41708176,0.10135726,2.39566009
-5.72386193,6.40111857,0.82367821,0.36611345,0.00548014,1.54939046,1.81708076,1.39508500,0.09937123,2.31543475
-5.71785893,6.22461120,0.80277181,0.36099848,0.00534255,1.52075392,1.77705223,1.37020547,0.09739921,2.23552095
-5.71185593,6.04664033,0.78280327,0.35637851,0.00521360,1.48991005,1.73494763,1.34302777,0.09547040,2.15729165
-5.70585293,5.87043586,0.76420256,0.35242072,0.00509618,1.45757492,1.69170306,1.31420039,0.09361109,2.08201689
-5.69984992,5.69910581,0.74734689,0.34927846,0.00499289,1.42450863,1.64827442,1.28441683,0.09184387,2.01083299
-5.69384692,5.53555714,0.73255088,0.34708692,0.00490599,1.39149316,1.60561349,1.25439534,0.09018698,1.94471727
-5.68784392,5.38242524,0.72005914,0.34595963,0.00483740,1.35931009,1.56464462,1.22485814,0.08865398,1.88446905
-5.68184092,5.24201500,0.71004157,0.34598578,0.00478859,1.32871884,1.52624287,1.19651113,0.08725348,1.83069738
-5.67583792,5.11625494,0.70259131,0.34722846,0.00476067,1.30043637,1.49121436,1.17002468,0.08598915,1.78381557
-5.66983492,5.00666590,0.69772546,0.34972392,0.00475431,1.27511914,1.46027938,1.14601636,0.08485996,1.74404247
-5.66383192,4.91434458,0.69538839,0.35348175,0.00476979,1.25334797,1.43405870,1.12503616,0.08386060,1.71141009
-5.65782891,4.83996195,0.69545740,0.35848600,0.00480698,1.23561595,1.41306339,1.10755454,0.08298202,1.68577689
-5.65182591,4.78377536,0.69775032,0.36469704,0.00486540,1.22231999,1.39768817,1.09395366,0.08221221,1.66684585
-5.64582291,4.74565316,0.70203480,0.37205410,0.00494421,1.21375570,1.38820817,1.08452169,0.08153695,1.65418646
-5.63981991,4.72510970,0.70803876,0.38047826,0.00504227,1.21011569,1.38477903,1.07945035,0.08094077,1.64725933
-5.63381691,4.72134839,0.71546142,0.38987576,0.00515815,1.21149085,1.38743975,1.07883525,0.08040779,1.64544248
