energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.54918424,0.80758675,0.78471019,0.00364197,0.16161709,1.06130878,0.17064724,1.47447900,0.00000000
-5.99399700,2.47518381,0.78356456,0.77105041,0.00371661,0.15369420,1.01807392,0.16560364,1.43381330,0.00000000
-5.98799400,2.39858022,0.75934667,0.75449553,0.00377343,0.14584695,0.97366720,0.16094592,1.39197070,0.00000000
-5.98199100,2.32052541,0.73535245,0.73528182,0.00381241,0.13816756,0.92872574,0.15677939,1.34964525,0.00000000
-5.97598799,2.24220151,0.71199684,0.71371039,0.00383409,0.13074070,0.88388320,0.15319876,1.30754406,0.00000000
-5.96998499,2.16479803,0.68968229,0.69014035,0.00383950,0.12364219,0.83975843,0.15028609,1.26637322,0.00000000
-5.96398199,2.08948688,0.66879050,0.66497974,0.00383014,0.11693804,0.79694409,0.14810904,1.22682256,0.00000000
-5.95797899,2.01739599,0.64967400,0.63867474,0.00380794,0.11068348,0.75599572,0.14671919,1.18954979,0.00000000
-5.95197599,1.94958256,0.63264813,0.61169759,0.00377516,0.10492232,0.71742144,0.14615079,1.15516456,0.00000000
-5.94597299,1.88700734,0.61798361,0.58453371,0.00373431,0.09968644,0.68167275,0.14641976,1.12421329,0.00000000
-5.93996998,1.83051087,0.60589999,0.55766881,0.00368807,0.09499557,0.64913664,0.14752312,1.09716540,0.00000000
-5.93396698,1.78079315,0.59656048,0.53157630,0.00363921,0.09085729,0.62012936,0.14943899,1.07440158,0.00000000
-5.92796398,1.73839767,0.59006832,0.50670571,0.00359042,0.08726739,0.59489208,0.15212699,1.05620493,0.00000000
-5.92196098,1.70370063,0.58646489,0.48347237,0.00354431,0.08421045,0.57358854,0.15552929,1.04275521,0.00000000
-5.91595798,1.67690590,0.58572979,0.46224879,0.00350325,0.08166079,0.55630482,0.15957223,1.03412660,0.00000000
-5.90995498,1.65804603,0.58778282,0.44335795,0.00346930,0.07958359,0.54305112,0.16416836,1.03028914,0.00000000
-5.90395198,1.64698909,0.59248789,0.42706842,0.00344420,0.07793640,0.53376555,0.16921915,1.03111368,0.00000000
-5.89794897,1.64345096,0.59965856,0.41359148,0.00342926,0.07667075,0.52831953,0.17461792,1.03638002,0.00000000
-5.89194597,1.64701227,0.60906497,0.40308005,0.00342533,0.07573396,0.52652472,0.18025317,1.04578792,0.00000000
-5.88594297,1.65713903,0.62044194,0.39562905,0.00343284,0.07507106,0.52814090,0.18601200,1.05897006,0.00000000
-5.87993997,1.67320562,0.63349757,0.39127723,0.00345174,0.07462664,0.53288468,0.19178357,1.07550653,0.00000000
-5.87393697,1.69451907,0.64792220,0.39000981,0.00348154,0.07434676,0.54043844,0.19746245,1.09493983,0.00000000
-5.86793397,1.72034308,0.66339702,0.39176193,0.00352135,0.07418064,0.55045922,0.20295155,1.11678967,0.00000000
-5.86193097,1.74992075,0.67960217,0.39642241,0.00356990,0.07408218,0.56258724,0.20816477,1.14056686,0.00000000
-5.85592796,1.78249492,0.69622383,0.40383770,0.00362560,0.07401117,0.57645366,0.21302900,1.16578556,0.00000000
-5.84992496,1.81732522,0.71296013,0.41381575,0.00368661,0.07393430,0.59168748,0.21748556,1.19197357,0.00000000
-5.84392196,1.85370143,0.72952571,0.42612980,0.00375088,0.07382571,0.60792145,0.22149091,1.21868014,0.00000000
-5.83791896,1.89095274,0.74565477,0.44052187,0.00381625,0.07366722,0.62479673,0.22501675,1.24548140,0.00000000
-5.83191596,1.92845312,0.76110287,0.45670622,0.00388047,0.07344828,0.64196661,0.22804940,1.27198320,0.00000000
-5.82591296,1.96562303,0.77564739,0.47437261,0.00394130,0.07316544,0.65909919,0.23058860,1.29782193,0.00000000
-5.81990995,2.00192810,0.78908706,0.49318966,0.00399657,0.07282172,0.67587911,0.23264588,1.32266342,0.00000000
-5.81390695,2.03687553,0.80124067,0.51280844,0.00404419,0.07242553,0.69200880,0.23424249,1.34620049,0.00000000
-5.80790395,2.07000902,0.81194545,0.53286634,0.00408226,0.07198956,0.70720905,0.23540713,1.36814979,0.00000000
-5.80190095,2.10090319,0.82105528,0.55299142,0.00410908,0.07152947,0.72121949,0.23617356,1.38824839,0.00000000
-5.79589795,2.12915822,0.82843911,0.57280739,0.00412320,0.07106258,0.73379890,0.23657826,1.40625062,0.00000000
-5.78989495,2.15439565,0.83397977,0.59193910,0.00412341,0.07060650,0.74472569,0.23665829,1.42192571,0.00000000
-5.78389195,2.17625564,0.83757346,0.61001867,0.00410883,0.07017792,0.75379854,0.23644934,1.43505650,0.00000000
-5.77788894,2.19439624,0.83912983,0.62669202,0.00407884,0.06979150,0.76083736,0.23598416,1.44543941,0.00000000
-5.77188594,2.20849479,0.83857292,0.64162574,0.00403315,0.06945888,0.76568464,0.23529141,1.45288580,0.00000000
-5.76588294,2.21825127,0.83584264,0.65451402,0.00397177,0.06918804,0.76820698,0.23439483,1.45722447,0.00000000
-5.75987994,2.22339341,0.83089679,0.66508539,0.00389501,0.06898271,0.76829696,0.23331287,1.45830534,0.00000000
-5.75387694,2.22368307,0.82371345,0.67310895,0.00380346,0.06884216,0.76587499,0.23205863,1.45600373,0.00000000
-5.74787394,2.21892332,0.81429334,0.67839981,0.00369794,0.06876114,0.76089128,0.23064014,1.45022500,0.00000000
