energy_ev,total_up,As_p_up,As_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.19219934,0.21839251,0.00000000,0.48650902,0.60535529,0.44791275,0.00000000
-5.99399700,1.12898664,0.20505367,0.00000000,0.46405535,0.57020854,0.42752737,0.00000000
-5.98799400,1.06859309,0.19192387,0.00000000,0.44175222,0.53708777,0.40804290,0.00000000
-5.98199100,1.01182740,0.17914311,0.00000000,0.41983476,0.50645931,0.38975324,0.00000000
-5.97598799,0.95940169,0.16683563,0.00000000,0.39852619,0.47872514,0.37292199,0.00000000
-5.96998499,0.91192997,0.15511025,0.00000000,0.37803969,0.45422144,0.35778106,0.00000000
-5.96398199,0.86992981,0.14406113,0.00000000,0.35858076,0.43321911,0.34453025,0.00000000
-5.95797899,0.83382639,0.13376906,0.00000000,0.34034981,0.41592596,0.33333778,0.00000000
-5.95197599,0.80395850,0.12430284,0.00000000,0.32354470,0.40249021,0.32434153,0.00000000
-5.94597299,0.78058564,0.11572083,0.00000000,0.30836283,0.39300493,0.31765068,0.00000000
-5.93996998,0.76389573,0.10807251,0.00000000,0.29500276,0.38751319,0.31334772,0.00000000
-5.93396698,0.75401293,0.10139977,0.00000000,0.28366497,0.38601343,0.31149063,0.00000000
-5.92796398,0.75100504,0.09573811,0.00000000,0.27455176,0.38846500,0.31211501,0.00000000
-5.92196098,0.75489018,0.09111744,0.00000000,0.26786616,0.39479343,0.31523611,0.00000000
-5.91595798,0.76564246,0.08756263,0.00000000,0.26380979,0.40489541,0.32085069,0.00000000
-5.90995498,0.78319640,0.08509366,0.00000000,0.26257973,0.41864318,0.32893857,0.00000000
-5.90395198,0.80745004,0.08372546,0.00000000,0.26436443,0.43588834,0.33946384,0.00000000
-5.89794897,0.83826658,0.08346746,0.00000000,0.26933876,0.45646490,0.35237568,0.00000000
-5.89194597,0.87547469,0.08432282,0.00000000,0.27765825,0.48019158,0.36760879,0.00000000
-5.88594297,0.91886735,0.08628751,0.00000000,0.28945288,0.50687328,0.38508339,0.00000000
-5.87993997,0.96819958,0.08934924,0.00000000,0.30482035,0.53630186,0.40470481,0.00000000
-5.87393697,1.02318507,0.09348636,0.00000000,0.32381932,0.56825614,0.42636273,0.00000000
-5.86793397,1.08349214,0.09866677,0.00000000,0.34646263,0.60250141,0.44993009,0.00000000
