energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.08314907,0.75685384,0.26460874,0.05398242,0.20837873,0.09209109,0.72233261,0.93725130,0.06379219
-5.99399700,2.04948363,0.73970275,0.26667653,0.05488825,0.20620289,0.09157983,0.70082615,0.90187588,0.06294574
-5.98799400,2.00868046,0.72120896,0.26749295,0.05543085,0.20348006,0.09058627,0.67736147,0.86424034,0.06182175
-5.98199100,1.96137934,0.70164095,0.26704284,0.05559876,0.20025491,0.08913518,0.65230979,0.82488255,0.06043643
-5.97598799,1.90833416,0.68127704,0.26533898,0.05538865,0.19657994,0.08726160,0.62606135,0.78434441,0.05881222
-5.96998499,1.85039334,0.66039882,0.26242178,0.05480552,0.19251419,0.08500979,0.59901538,0.74315952,0.05697696
-5.96398199,1.78847797,0.63928451,0.25835808,0.05386260,0.18812187,0.08243186,0.57157039,0.70184199,0.05496291
-5.95797899,1.72355866,0.61820231,0.25323907,0.05258103,0.18347053,0.07958640,0.54411511,0.66087643,0.05280565
-5.95197599,1.65663155,0.59740399,0.24717736,0.05098927,0.17862924,0.07653686,0.51702025,0.62070959,0.05054307
-5.94597299,1.58869458,0.57711881,0.24030341,0.04912228,0.17366654,0.07334995,0.49063143,0.58174359,0.04821416
-5.93996998,1.52072477,0.55754828,0.23276138,0.04702055,0.16864845,0.07009410,0.46526345,0.54433093,0.04585805
-5.93396698,1.45365736,0.53886163,0.22470480,0.04472902,0.16363652,0.06683792,0.44119596,0.50877127,0.04351301
-5.92796398,1.38836758,0.52119252,0.21629199,0.04229583,0.15868604,0.06364884,0.41867076,0.47531004,0.04121558
-5.92196098,1.32565583,0.50463697,0.20768173,0.03977118,0.15384458,0.06059186,0.39789068,0.44413863,0.03899988
-5.91595798,1.26623646,0.48925269,0.19902909,0.03720608,0.14915083,0.05772852,0.37901993,0.41539628,0.03689709
-5.90995498,1.21073074,0.47506003,0.19048182,0.03465124,0.14463388,0.05511607,0.36218600,0.38917323,0.03493501
-5.90395198,1.15966392,0.46204428,0.18217732,0.03215607,0.14031295,0.05280677,0.34748274,0.36551522,0.03313787
-5.89794897,1.11346614,0.45015961,0.17424018,0.02976773,0.13619765,0.05084745,0.33497444,0.34442876,0.03152629
-5.89194597,1.07247685,0.43933408,0.16678057,0.02753040,0.13228863,0.04927915,0.32470070,0.32588716,0.03011728
-5.88594297,1.03695215,0.42947586,0.15989323,0.02548468,0.12857873,0.04813686,0.31668166,0.30983696,0.02892447
-5.87993997,1.00707404,0.42048009,0.15365713,0.02366713,0.12505443,0.04744941,0.31092318,0.29620428,0.02795833
-5.87393697,0.98296085,0.41223610,0.14813567,0.02210992,0.12169758,0.04723928,0.30742181,0.28490105,0.02722644
-5.86793397,0.96467776,0.40463468,0.14337731,0.02084064,0.11848728,0.04752249,0.30616893,0.27583066,0.02673379
-5.86193097,0.95224639,0.39757473,0.13941645,0.01988215,0.11540179,0.04830836,0.30715396,0.26889271,0.02648304
-5.85592796,0.94565274,0.39096924,0.13627449,0.01925253,0.11242034,0.04959933,0.31036621,0.26398686,0.02647472
-5.84992496,0.94485246,0.38474995,0.13396091,0.01896505,0.10952472,0.05139059,0.31579529,0.26101545,0.02670734
