energy_ev,total_up,Ir_p_up,Ir_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,3.70377839,0.65413067,2.38349931,0.65063549,0.02063840,0.00913837,1.11691109
-5.99399700,3.78230774,0.67221952,2.42915689,0.66328345,0.02060570,0.00902014,1.14961756
-5.98799400,3.85501459,0.68894709,2.47159408,0.67518850,0.02056983,0.00891673,1.17958441
-5.98199100,3.91986270,0.70385694,2.50959284,0.68595343,0.02052251,0.00882571,1.20615520
-5.97598799,3.97485022,0.71650263,2.54194505,0.69517953,0.02045502,0.00874501,1.22870505
-5.96998499,4.01808134,0.72646405,2.56749581,0.70248090,0.02035870,0.00867304,1.24666114
-5.96398199,4.04783622,0.73336337,2.58518582,0.70749868,0.02022542,0.00860891,1.25952190
-5.95797899,4.06263565,0.73687980,2.59409100,0.70991436,0.02004807,0.00855254,1.26687436
-5.95197599,4.06129760,0.73676251,2.59345736,0.70946181,0.01982096,0.00850478,1.26840860
-5.94597299,4.04298293,0.73284093,2.58272961,0.70593721,0.01954013,0.00846750,1.26392878
-5.93996998,4.00722819,0.72503205,2.56157231,0.69920665,0.01920369,0.00844359,1.25336029
-5.93396698,3.95396425,0.71334429,2.52988268,0.68921092,0.01881186,0.00843691,1.23675269
-5.92796398,3.88352004,0.69787782,2.48779462,0.67596749,0.01836711,0.00845225,1.21427831
-5.92196098,3.79661141,0.67882140,2.43567406,0.65956955,0.01787402,0.00849514,1.18622682
-5.91595798,3.69431613,0.65644582,2.37410592,0.64018223,0.01733913,0.00857162,1.15299583
-5.90995498,3.57803623,0.63109443,2.30387356,0.61803639,0.01677068,0.00868808,1.11507821
-5.90395198,3.44944992,0.60317124,2.22593186,0.59342020,0.01617827,0.00885087,1.07304660
-5.89794897,3.31045519,0.57312718,2.14137518,0.56666904,0.01557238,0.00906605,1.02753592
-5.89194597,3.16310811,0.54144520,2.05140182,0.53815421,0.01496403,0.00933904,0.97922461
-5.88594297,3.00955833,0.50862501,1.95727652,0.50827101,0.01436421,0.00967433,0.92881541
-5.87993997,2.85198476,0.47516803,1.86029260,0.47742668,0.01378353,0.01007516,0.87701638
-5.87393697,2.69253394,0.44156325,1.76173537,0.44602873,0.01323169,0.01054330,0.82452302
-5.86793397,2.53326360,0.40827466,1.66284809,0.41447412,0.01271720,0.01107885,0.77200198
-5.86193097,2.37609320,0.37573046,1.56480169,0.38313962,0.01224702,0.01168011,0.72007698
-5.85592796,2.22276325,0.34431467,1.46866935,0.35237363,0.01182635,0.01234355,0.66931720
-5.84992496,2.07480425,0.31436110,1.37540646,0.32248979,0.01145851,0.01306386,0.62022863
-5.84392196,1.93351600,0.28614989,1.28583653,0.29376222,0.01114488,0.01383411,0.57324819
-5.83791896,1.79995728,0.25990637,1.20064307,0.26642271,0.01088496,0.01464596,0.52874092
-5.83191596,1.67494551,0.23580233,1.12036748,0.24065955,0.01067650,0.01549002,0.48699987
-5.82591296,1.55906559,0.21395912,1.04541237,0.21661793,0.01051573,0.01635620,0.44824855
-5.81990995,1.45268680,0.19445246,0.97604988,0.19440183,0.01039761,0.01723419,0.41264559
-5.81390695,1.35598621,0.17731837,0.91243414,0.17407688,0.01031620,0.01811395,0.38029122
-5.80790395,1.26897708,0.16255999,0.85461698,0.15567432,0.01026495,0.01898615,0.35123503
-5.80190095,1.19154044,0.15015471,0.80256586,0.13919537,0.01023716,0.01984275,0.32548471
-5.79589795,1.12345796,0.14006122,0.75618303,0.12461606,0.01022628,0.02067733,0.30301501
-5.78989495,1.06444464,0.13222626,0.71532482,0.11189207,0.01022626,0.02148552,0.28377683
-5.78389195,1.01417946,0.12659055,0.67982014,0.10096352,0.01023188,0.02226524,0.26770565
-5.77788894,0.97233277,0.12309381,0.64948722,0.09175925,0.01023897,0.02301686,0.25472917
-5.77188594,0.93858924,0.12167869,0.62414798,0.08420082,0.01024462,0.02374323,0.24477379
-5.76588294,0.91266560,0.12229341,0.60363937,0.07820568,0.01024729,0.02444958,0.23776973
-5.75987994,0.89432256,0.12489318,0.58782130,0.07368985,0.01024686,0.02514323,0.23365461
-5.75387694,0.88337094,0.12944054,0.57658106,0.07056976,0.01024457,0.02583326,0.23237553
-5.74787394,0.87967193,0.13590447,0.56983416,0.06876349,0.01024299,0.02653002,0.23388959
-5.74187094,0.88313232,0.14425875,0.56752195,0.06819133,0.01024579,0.02724451,0.23816312
-5.73586793,0.89369503,0.15447958,0.56960630,0.06877577,0.01025760,0.02798779,0.24516959
-5.72986493,0.91132626,0.16654276,0.57606191,0.07044110,0.01028369,0.02877031,0.25488671
-5.72386193,0.93600017,0.18042066,0.58686709,0.07311256,0.01032980,0.02960125,0.26729276
-5.71785893,0.96768237,0.19607931,0.60199342,0.07671539,0.01040177,0.03048793,0.28236259
-5.71185593,1.00631333,0.21347564,0.62139534,0.08117377,0.01050531,0.03143531,0.30006355
-5.70585293,1.05179290,0.23255527,0.64500028,0.08640975,0.01064576,0.03244556,0.32035161
-5.69984992,1.10396693,0.25325081,0.67269995,0.09234238,0.01082781,0.03351781,0.34316798
-5.69384692,1.16261674,0.27548087,0.70434348,0.09888707,0.01105537,0.03464803,0.36843630
-5.68784392,1.22745200,0.29914977,0.73973269,0.10595524,0.01133140,0.03582909,0.39606068
-5.68184092,1.29810737,0.32414782,0.77861995,0.11345431,0.01165781,0.03705095,0.42592454
-5.67583792,1.37414285,0.35035225,0.82070848,0.12128805,0.01203544,0.03830099,0.45789035
-5.66983492,1.45504773,0.37762850,0.86565526,0.12935724,0.01246404,0.03956451,0.49180007
-5.66383192,1.54024749,0.40583170,0.91307623,0.13756069,0.01294234,0.04082522,0.52747631
-5.65782891,1.62911320,0.43480833,0.96255336,0.14579640,0.01346812,0.04206593,0.56472398
-5.65182591,1.72097255,0.46439756,1.01364321,0.15396297,0.01403831,0.04326910,0.60333225
-5.64582291,1.81512167,0.49443243,1.06588639,0.16196101,0.01464913,0.04441753,0.64307666
-5.63981991,1.91083697,0.52474048,1.11881737,0.16969460,0.01529623,0.04549486,0.68372114
-5.63381691,2.00738619,0.55514391,1.17197409,0.17707265,0.01597483,0.04648611,0.72501989
-5.62781391,2.10403816,0.58545922,1.22490675,0.18401005,0.01667982,0.04737804,0.76671889
-5.62181091,2.20007064,0.61549635,1.27718555,0.19042870,0.01740588,0.04815941,0.80855719
-5.61580790,2.29477625,0.64505753,1.32840682,0.19625824,0.01814760,0.04882112,0.85026772
-5.60980490,2.38746632,0.67393600,1.37819753,0.20143654,0.01889952,0.04935626,0.89157800
-5.60380190,2.47747297,0.70191484,1.42621802,0.20590994,0.01965616,0.04976000,0.93221060
-5.59779890,2.56414973,0.72876624,1.47216306,0.20963336,0.02041209,0.05002940,0.97188371
-5.59179590,2.64687138,0.75425136,1.51576142,0.21257009,0.02116190,0.05016318,1.01031198
-5.58579290,2.72503345,0.77812128,1.55677419,0.21469166,0.02190022,0.05016145,1.04720767
-5.57978989,2.79805225,0.80011896,1.59499228,0.21597747,0.02262169,0.05002534,1.08228254
