energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,0.72613139,0.07226515,0.00000000,0.02737224,0.15978461,0.18350974,0.11913556
-5.99399700,0.80961163,0.08043030,0.00000000,0.03030510,0.17897394,0.20425342,0.13319122
-5.98799400,0.89709495,0.08893737,0.00000000,0.03333003,0.19939154,0.22593357,0.14806519
-5.98199100,0.98794639,0.09770932,0.00000000,0.03641530,0.22099000,0.24838854,0.16369821
-5.97598799,1.08143321,0.10665707,0.00000000,0.03952538,0.24371682,0.27143469,0.18002326
-5.96998499,1.17674064,0.11568096,0.00000000,0.04262161,0.26751900,0.29487088,0.19696886
-5.96398199,1.27299225,0.12467259,0.00000000,0.04566314,0.29234843,0.31848400,0.21446276
-5.95797899,1.36927426,0.13351728,0.00000000,0.04860785,0.31816758,0.34205541,0.23243628
-5.95197599,1.46466296,0.14209677,0.00000000,0.05141356,0.34495544,0.36536813,0.25082867
-5.94597299,1.55825431,0.15029233,0.00000000,0.05403917,0.37271305,0.38821432,0.26959159
-5.93996998,1.64919427,0.15798803,0.00000000,0.05644593,0.40146848,0.41040284,0.28869326
-5.93396698,1.73670856,0.16507405,0.00000000,0.05859860,0.43128064,0.43176651,0.30812203
-5.92796398,1.82013025,0.17144997,0.00000000,0.06046659,0.46224155,0.45216860,0.32788910
-5.92196098,1.89892378,0.17702782,0.00000000,0.06202496,0.49447676,0.47150827,0.34803010
-5.91595798,1.97270394,0.18173484,0.00000000,0.06325525,0.52814347,0.48972461,0.36860528
-5.90995498,2.04124856,0.18551571,0.00000000,0.06414606,0.56342618,0.50679894,0.38969822
-5.90395198,2.10450413,0.18833421,0.00000000,0.06469347,0.60052983,0.52275523,0.41141281
-5.89794897,2.16258349,0.19017430,0.00000000,0.06490111,0.63967035,0.53765849,0.43386862
-5.89194597,2.21575568,0.19104040,0.00000000,0.06478006,0.68106290,0.55161116,0.45719471
-5.88594297,2.26442803,0.19095699,0.00000000,0.06434839,0.72490812,0.56474763,0.48152198
-5.87993997,2.30912116,0.18996749,0.00000000,0.06363055,0.77137705,0.57722697,0.50697451
-5.87393697,2.35043822,0.18813253,0.00000000,0.06265648,0.82059515,0.58922449,0.53366010
-5.86793397,2.38902960,0.18552756,0.00000000,0.06146060,0.87262642,0.60092216,0.56166060
-5.86193097,2.42555516,0.18224008,0.00000000,0.06008066,0.92745844,0.61249879,0.59102246
-5.85592796,2.46064588,0.17836655,0.00000000,0.05855646,0.98498912,0.62412009,0.62174799
-5.84992496,2.49486697,0.17400910,0.00000000,0.05692866,1.04501620,0.63592952,0.65378803
-5.84392196,2.52868468,0.16927221,0.00000000,0.05523753,1.10723017,0.64804011,0.68703632
-5.83791896,2.56243862,0.16425963,0.00000000,0.05352181,1.17121134,0.66052801,0.72132607
-5.83191596,2.59632114,0.15907143,0.00000000,0.05181768,1.23643155,0.67342794,0.75642911
-5.82591296,2.63036525,0.15380158,0.00000000,0.05015795,1.30226085,0.68673087,0.79205777
-5.81990995,2.66444160,0.14853595,0.00000000,0.04857132,1.36797904,0.70038418,0.82786957
-5.81390695,2.69826498,0.14335089,0.00000000,0.04708192,1.43279210,0.71429418,0.86347466
-5.80790395,2.73141011,0.13831242,0.00000000,0.04570908,1.49585284,0.72833102,0.89844585
-5.80190095,2.76333584,0.13347596,0.00000000,0.04446719,1.55628517,0.74233558,0.93233086
-5.79589795,2.79341657,0.12888662,0.00000000,0.04336583,1.61321115,0.75612825,0.96466639
-5.78989495,2.82097950,0.12458001,0.00000000,0.04241009,1.66577975,0.76951885,0.99499340
-5.78389195,2.84534545,0.12058334,0.00000000,0.04160091,1.71319621,0.78231742,1.02287319
-5.77788894,2.86587154,0.11691696,0.00000000,0.04093566,1.75475089,0.79434529,1.04790349
-5.77188594,2.88199338,0.11359586,0.00000000,0.04040873,1.78984638,0.80544578,1.06973410
-5.76588294,2.89326487,0.11063140,0.00000000,0.04001213,1.81802210,0.81549410,1.08808145
-5.75987994,2.89939352,0.10803282,0.00000000,0.03973620,1.83897509,0.82440604,1.10274154
-5.75387694,2.90026991,0.10580864,0.00000000,0.03957020,1.85257664,0.83214488,1.11360089
-5.74787394,2.89598981,0.10396779,0.00000000,0.03950292,1.85888389,0.83872634,1.12064513
-5.74187094,2.88686797,0.10252034,0.00000000,0.03952320,1.85814623,0.84422135,1.12396480
-5.73586793,2.87344329,0.10147791,0.00000000,0.03962033,1.85080622,0.84875648,1.12375850
-5.72986493,2.85647485,0.10085365,0.00000000,0.03978443,1.83749508,0.85251214,1.12033284
-5.72386193,2.83692933,0.10066184,0.00000000,0.04000670,1.81902281,0.85571851,1.11409960
-5.71785893,2.81596004,0.10091715,0.00000000,0.04027951,1.79636329,0.85864951,1.10556973
-5.71185593,2.79487854,0.10163352,0.00000000,0.04059647,1.77063470,0.86161506,1.09534448
-5.70585293,2.77511974,0.10282295,0.00000000,0.04095240,1.74307567,0.86495186,1.08410378
-5.69984992,2.75820161,0.10449401,0.00000000,0.04134316,1.71501765,0.86901321,1.07259179
-5.69384692,2.74568084,0.10665033,0.00000000,0.04176550,1.68785408,0.87415814,1.06160017
-5.68784392,2.73910570,0.10928920,0.00000000,0.04221685,1.66300686,0.88074025,1.05194895
-5.68184092,2.73996742,0.11240019,0.00000000,0.04269502,1.64189083,0.88909685,1.04446564
