energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-5.72386193,2.65728687,0.00221729,0.50690875,0.91114395,0.42747332,0.01088149,1.15518628,1.49194565,0.54174601
-5.71785893,2.62506729,0.00213992,0.49733375,0.90615974,0.41928653,0.01115244,1.15322794,1.46402910,0.53204994
-5.71185593,2.59419340,0.00208176,0.48754938,0.89999400,0.41154810,0.01149841,1.15176793,1.43438528,0.52309177
-5.70585293,2.56467415,0.00204158,0.47759730,0.89263034,0.40428203,0.01191511,1.15072985,1.40287129,0.51490885
-5.69984992,2.53653791,0.00201795,0.46752868,0.88408919,0.39751103,0.01239726,1.15004822,1.36941096,0.50753499
-5.69384692,2.50983820,0.00200932,0.45740538,0.87442899,0.39125718,0.01293850,1.14967079,1.33400467,0.50100183
-5.68784392,2.48465643,0.00201402,0.44730059,0.86374554,0.38554232,0.01353125,1.14955960,1.29673521,0.49533966
-5.68184092,2.46110171,0.00203035,0.43729850,0.85216961,0.38038827,0.01416675,1.14969094,1.25776958,0.49057769
-5.67583792,2.43930797,0.00205658,0.42749324,0.83986286,0.37581673,0.01483504,1.15005427,1.21735667,0.48674380
-5.66983492,2.41942866,0.00209102,0.41798700,0.82701241,0.37184907,0.01552505,1.15065046,1.17582099,0.48386372
-5.66383192,2.40162981,0.00213204,0.40888749,0.81382427,0.36850592,0.01622477,1.15148963,1.13355314,0.48195992
-5.65782891,2.38608195,0.00217812,0.40030487,0.80051608,0.36580676,0.01692141,1.15258882,1.09099728,0.48105018
-5.65182591,2.37295167,0.00222788,0.39234830,0.78730955,0.36376939,0.01760170,1.15396983,1.04863658,0.48114608
-5.64582291,2.36239346,0.00228013,0.38512239,0.77442292,0.36240954,0.01825217,1.15565738,1.00697727,0.48225152
-5.63981991,2.35454253,0.00233390,0.37872361,0.76206401,0.36174047,0.01885950,1.15767785,0.96653220,0.48436152
-5.63381691,2.34950891,0.00238845,0.37323699,0.75042395,0.36177265,0.01941091,1.16005861,0.92780444,0.48746124
-5.62781391,2.34737313,0.00244336,0.36873317,0.73967202,0.36251357,0.01989451,1.16282777,0.89127185,0.49152551
-5.62181091,2.34818365,0.00249846,0.36526603,0.72995170,0.36396752,0.02029963,1.16601455,0.85737296,0.49651873
-5.61580790,2.35195583,0.00255393,0.36287090,0.72137800,0.36613542,0.02061722,1.16964965,0.82649471,0.50239529
-5.60980490,2.35867208,0.00261024,0.36156343,0.71403611,0.36901458,0.02084007,1.17376578,0.79896233,0.50910036
-5.60380190,2.36828302,0.00266816,0.36133921,0.70798115,0.37259833,0.02096302,1.17839766,0.77503152,0.51657104
-5.59779890,2.38070893,0.00272876,0.36217394,0.70323904,0.37687548,0.02098315,1.18358163,0.75488299,0.52473765
-5.59179590,2.39584111,0.00279332,0.36402425,0.69980806,0.38182957,0.02089981,1.18935430,0.73861933,0.53352524
-5.58579290,2.41354276,0.00286332,0.36682897,0.69766105,0.38743794,0.02071462,1.19575029,0.72626409,0.54285486
-5.57978989,2.43364898,0.00294034,0.37051079,0.69674789,0.39367058,0.02043131,1.20279898,0.71776288,0.55264484
-5.57378689,2.45596579,0.00302602,0.37497824,0.69699803,0.40048879,0.02005562,1.21052032,0.71298633,0.56281168
-5.56778389,2.48026810,0.00312193,0.38012769,0.69832300,0.40784389,0.01959496,1.21891992,0.71173469,0.57327065
-5.56178089,2.50629700,0.00322950,0.38584562,0.70061862,0.41567595,0.01905818,1.22798372,0.71374380,0.58393599
-5.55577789,2.53375657,0.00334991,0.39201065,0.70376695,0.42391274,0.01845518,1.23767272,0.71869233,0.59472082
-5.54977489,2.56231085,0.00348399,0.39849573,0.70763793,0.43246910,0.01779657,1.24791815,0.72621000,0.60553667
-5.54377189,2.59158164,0.00363214,0.40516994,0.71209072,0.44124687,0.01709329,1.25861769,0.73588667,0.61629290
