energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.37566757,0.08164327,0.00000000,0.00473772,0.73728777,1.33364188,0.70517492
-5.99399700,2.48901500,0.08864576,0.00000000,0.00491446,0.77203749,1.41024725,0.73518867
-5.98799400,2.60132389,0.09574475,0.00000000,0.00510873,0.80534222,1.48690764,0.76470347
-5.98199100,2.71157691,0.10285731,0.00000000,0.00531634,0.83682665,1.56287646,0.79346074
-5.97598799,2.81866098,0.10989245,0.00000000,0.00553233,0.86610442,1.63733605,0.82117796
-5.96998499,2.92138312,0.11675291,0.00000000,0.00575115,0.89278484,1.70941125,0.84755235
-5.96398199,3.01849134,0.12333737,0.00000000,0.00596683,0.91648098,1.77818645,0.87226585
-5.95797899,3.10870030,0.12954297,0.00000000,0.00617316,0.93681900,1.84272578,0.89499150
-5.95197599,3.19072098,0.13526806,0.00000000,0.00636394,0.95344832,1.90209569,0.91540086
-5.94597299,3.26329324,0.14041510,0.00000000,0.00653314,0.96605222,1.95538923,0.93317238
-5.93996998,3.32522015,0.14489351,0.00000000,0.00667516,0.97435849,2.00175099,0.94800026
-5.93396698,3.37540268,0.14862246,0.00000000,0.00678497,0.97814957,2.04040191,0.95960356
-5.92796398,3.41287334,0.15153346,0.00000000,0.00685833,0.97727160,2.07066265,0.96773508
-5.92196098,3.43682734,0.15357245,0.00000000,0.00689192,0.97164203,2.09197493,0.97218971
-5.91595798,3.44664994,0.15470167,0.00000000,0.00688340,0.96125512,2.10391966,0.97281174
-5.90995498,3.44193900,0.15490079,0.00000000,0.00683156,0.94618531,2.10623133,0.96950101
-5.90395198,3.42252160,0.15416767,0.00000000,0.00673629,0.92658783,2.09880817,0.96221754
-5.89794897,3.38846449,0.15251836,0.00000000,0.00659859,0.90269687,2.08171756,0.95098434
-5.89194597,3.34007771,0.14998668,0.00000000,0.00642050,0.87482095,2.05519684,0.93588866
-5.88594297,3.27791176,0.14662311,0.00000000,0.00620503,0.84333603,2.01964953,0.91708129
-5.87993997,3.20274844,0.14249331,0.00000000,0.00595606,0.80867635,1.97563729,0.89477423
-5.87393697,3.11558601,0.13767620,0.00000000,0.00567815,0.77132366,1.92386807,0.86923690
-5.86793397,3.01761949,0.13226170,0.00000000,0.00537641,0.73179515,1.86518117,0.84079089
